secs,km,power,hr,cad,alt
0,0,,75,,78
1,0.00547,,75,,77.8
2,0.00999,,75,,77.8
3,0.01522,,77,,78
4,0.01794,,79,,78.4
5,0.02041,,80,,78.6
6,0.02424,,83,,78
7,0.0279,,83,,78
8,0.03171,,85,,77.6
9,0.03546,,89,,77.8
10,0.04234,,92,,78
11,0.04977,,92,,78.8
12,0.05608,,98,,78.2
13,0.06104,,98,,77.8
14,0.06483,,100,,78
15,0.06877,,102,,77.8
16,0.07397,,104,,77.8
17,0.07884,,105,,77.8
18,0.08608,,107,,77.8
19,0.0925,,108,,77.8
20,0.09613,,110,,78
21,0.10244,,111,,78
22,0.10879,,113,,78
23,0.11492,,114,,78
24,0.12153,,115,,78
25,0.1272,,116,,78
26,0.13345,,116,,77.8
27,0.13875,,118,,78
28,0.14428,,119,,78
29,0.14954,,119,,78
30,0.15425,,120,,78
31,0.15889,,121,,78.2
32,0.16248,,121,,78.2
33,0.16665,,122,,78.2
34,0.16985,,123,,78.2
35,0.17279,,124,,78.2
36,0.17555,,124,,78.2
37,0.1784,,124,,78.2
38,0.18125,,125,,78.2
39,0.18367,,125,,78.2
40,0.18645,,126,,78
41,0.18903,,126,,78
42,0.19148,,127,,78
43,0.1972,,127,,78
44,0.20339,,127,,78
45,0.21422,,128,,78
46,0.2177,,128,,77.8
47,0.2216,,128,,77.8
48,0.22399,,128,,77.8
49,0.22629,,129,,77.8
50,0.22841,,129,,77.8
51,0.23159,,129,,77.8
52,0.23536,,129,,77.8
53,0.23935,,129,,77.8
54,0.24339,,129,,77.8
55,0.24695,,130,,77.6
56,0.2507,,130,,77.6
57,0.254,,130,,77.6
58,0.25753,,130,,77.6
59,0.26094,,130,,77.6
60,0.26411,,130,,77.6
61,0.26751,,130,,77.6
62,0.27084,,130,,77.6
63,0.27411,,130,,78
64,0.27735,,130,,77.8
65,0.28068,,130,,77.8
66,0.28385,,130,,77.8
67,0.28688,,130,,77.8
68,0.28965,,130,,77.8
69,0.29262,,130,,77.8
70,0.29561,,130,,77.8
71,0.29845,,130,,77.8
72,0.30135,,130,,77.8
73,0.30441,,130,,77.8
74,0.30747,,130,,77.8
75,0.31064,,130,,78
76,0.31385,,130,,78
77,0.31673,,130,,78
78,0.31974,,130,,78
79,0.32331,,130,,78
80,0.32606,,130,,78
81,0.32918,,130,,78
82,0.33196,,130,,78
83,0.33494,,130,,78
84,0.33785,,130,,78
85,0.34077,,130,,78
86,0.34391,,130,,78
87,0.34689,,130,,78
88,0.34992,,130,,78
89,0.35291,,131,,78
90,0.35585,,131,,78
91,0.35866,,130,,78
92,0.36142,,130,,78
93,0.3641,,130,,78
94,0.36661,,130,,78
95,0.36881,,130,,78
96,0.37076,,130,,77.8
97,0.37379,,130,,77.8
98,0.37672,,130,,77.8
99,0.3794,,129,,77.8
100,0.38149,,129,,77.6
101,0.3839,,129,,77.6
102,0.38645,,129,,77.6
103,0.38893,,129,,77.6
104,0.39152,,129,,77.6
105,0.39455,,128,,77.6
106,0.39718,,128,,77.6
107,0.39965,,128,,77.6
108,0.40266,,128,,77.8
109,0.40567,,128,,77.8
110,0.40845,,128,,77.8
111,0.41119,,128,,77.8
112,0.41383,,128,,77.6
113,0.41634,,127,,77.6
114,0.41883,,127,,77.4
115,0.42113,,127,,77.2
116,0.4236,,127,,77.2
117,0.42577,,127,,77
118,0.42867,,127,,77
119,0.43105,,127,,77
120,0.43388,,127,,77.2
121,0.43686,,127,,77.2
122,0.43978,,127,,77.2
123,0.44235,,127,,77.2
124,0.44519,,127,,77.2
125,0.44814,,126,,77.2
126,0.45049,,126,,77.2
127,0.45318,,126,,77
128,0.4552,,126,,77
129,0.45738,,126,,77
130,0.45968,,125,,77
131,0.46174,,125,,77
132,0.46333,,125,,77
133,0.46573,,125,,77.2
134,0.46853,,125,,77.2
135,0.47149,,125,,77.2
136,0.47426,,125,,77.2
137,0.47675,,125,,77.2
138,0.47912,,125,,77.2
139,0.48108,,125,,77.2
140,0.48325,,124,,77.2
141,0.48576,,124,,77.2
142,0.48835,,124,,77.2
143,0.49092,,124,,77.2
144,0.49316,,124,,77.2
145,0.4956,,124,,77.2
146,0.4984,,123,,77.2
147,0.50061,,123,,77.2
148,0.50253,,124,,77.2
149,0.50463,,124,,77.2
150,0.50654,,124,,77.2
151,0.50862,,124,,77.2
152,0.51113,,124,,77.2
153,0.51318,,124,,77.2
154,0.51556,,125,,77.4
155,0.51807,,125,,77.4
156,0.52032,,125,,77.4
157,0.52277,,125,,77.4
158,0.52515,,126,,77.4
159,0.52785,,126,,77.4
160,0.53047,,126,,77.4
161,0.53314,,126,,77.4
162,0.53582,,127,,77.2
163,0.53848,,127,,77.2
164,0.54114,,127,,77.2
165,0.54374,,127,,77.2
166,0.5464,,127,,77.2
167,0.54864,,127,,77.4
168,0.5509,,127,,77.4
169,0.55333,,127,,77.4
170,0.5561,,127,,77.4
171,0.55899,,127,,77.4
172,0.56173,,127,,77.4
173,0.5647,,127,,77.4
174,0.56717,,127,,77.4
175,0.57009,,127,,77.4
176,0.57286,,127,,77.4
177,0.57602,,127,,77.4
178,0.57905,,127,,77.4
179,0.58227,,127,,77.4
180,0.58501,,126,,77.4
181,0.58767,,126,,77.4
182,0.59087,,126,,77.4
183,0.59417,,126,,77.4
184,0.5977,,126,,77.6
185,0.60105,,126,,77.8
186,0.60382,,126,,77.8
187,0.60681,,126,,77.8
188,0.60977,,126,,78
189,0.61302,,126,,78
190,0.61606,,127,,78
191,0.61879,,127,,78
192,0.62155,,127,,78
193,0.62433,,127,,78
194,0.62696,,127,,78
195,0.63003,,127,,78
196,0.63263,,127,,78
197,0.63517,,128,,78
198,0.6379,,128,,78
199,0.64047,,128,,78
200,0.64322,,128,,78
201,0.64664,,128,,78
202,0.64961,,128,,78
203,0.65261,,128,,77.8
204,0.65522,,127,,77.8
205,0.65787,,127,,77.8
206,0.6604,,127,,77.8
207,0.66307,,128,,77.8
208,0.6656,,128,,77.8
209,0.66752,,128,,77.8
210,0.6699,,128,,77.8
211,0.67205,,129,,77.8
212,0.6747,,129,,77.8
213,0.67761,,129,,77.8
214,0.68008,,128,,78
215,0.68304,,128,,78.2
216,0.68578,,128,,78.4
217,0.68843,,128,,78.6
218,0.69127,,128,,78.8
219,0.69393,,128,,78.8
220,0.69661,,128,,78.8
221,0.69951,,128,,78.8
222,0.70231,,128,,78.8
223,0.7043,,128,,78.8
224,0.70696,,128,,78.8
225,0.70948,,128,,79
226,0.7125,,128,,79
227,0.71546,,128,,79
228,0.71877,,129,,79
229,0.72163,,129,,79
230,0.72518,,129,,79
231,0.72843,,129,,79
232,0.73131,,129,,79
233,0.73422,,129,,79
234,0.73696,,129,,78.8
235,0.73961,,129,,78.8
236,0.74202,,129,,78.8
237,0.74487,,128,,78.6
238,0.74763,,128,,78.6
239,0.75031,,128,,78.6
240,0.75389,,128,,78.4
241,0.75693,,128,,78.4
242,0.7596,,128,,78.2
243,0.76217,,128,,78
244,0.76497,,128,,78
245,0.76821,,128,,77.8
246,0.77149,,128,,77.8
247,0.77469,,128,,77.8
248,0.77789,,129,,77.8
249,0.78124,,129,,77.8
250,0.78426,,129,,77.6
251,0.7872,,129,,77.6
252,0.78977,,130,,77.6
253,0.7922,,130,,77.6
254,0.79423,,130,,77.6
255,0.79634,,130,,77.6
256,0.7988,,130,,77.6
257,0.80171,,129,,77.6
258,0.80448,,129,,77.6
259,0.80753,,129,,77.6
