secs,km,power,hr,cad,alt
0,0,,105,,11.8
1,0.00729,,104,,12.2
2,0.00729,,101,,12.2
3,0.01081,,102,,12.4
4,0.01438,,104,,12.6
5,0.01808,,106,,13
6,0.02164,,106,,13.2
7,0.02508,,107,,13.2
8,0.03185,,106,,13.6
9,0.03185,,106,,13.6
10,0.03492,,105,,13.6
11,0.03779,,107,,14
12,0.04357,,109,,14.4
13,0.04357,,109,,14.4
14,0.04639,,109,,14.6
15,0.04933,,111,,14.6
16,0.0524,,111,,14.6
17,0.05551,,108,,14.6
18,0.05862,,109,,14.8
19,0.06169,,108,,14.8
20,0.0677,,109,,14.8
21,0.0677,,109,,14.8
22,0.07074,,115,,15
23,0.07383,,117,,15
24,0.0769,,119,,15.2
25,0.08,,121,,15.2
26,0.08326,,121,,15.2
27,0.08642,,123,,15.4
28,0.08975,,125,,15.8
29,0.09317,,125,,16.2
30,0.09665,,124,,16.6
31,0.1,,123,,16.6
32,0.10339,,122,,16.8
33,0.10683,,122,,17
34,0.11031,,121,,17.4
35,0.11371,,119,,17.4
36,0.11713,,118,,17.8
37,0.1205,,117,,18
38,0.12382,,116,,18.4
39,0.12686,,117,,18.4
40,0.1298,,120,,18.4
41,0.13273,,120,,18.4
42,0.13555,,121,,18.4
43,0.13823,,123,,18.4
44,0.14088,,124,,18.4
45,0.14394,,127,,18.6
46,0.14697,,125,,18.6
47,0.15,,125,,18.8
48,0.15307,,125,,19
49,0.15633,,125,,19
50,0.15959,,128,,19.2
51,0.16601,,127,,19.6
52,0.16601,,127,,19.6
53,0.16921,,126,,19.8
54,0.17257,,128,,20
55,0.17581,,128,,20.2
56,0.17891,,128,,20.4
57,0.18237,,128,,20.6
58,0.186,,129,,20.8
59,0.18985,,129,,21
60,0.19358,,129,,21.2
61,0.19691,,129,,21.6
62,0.20064,,129,,22
63,0.20436,,129,,22.4
64,0.20794,,129,,22.8
65,0.21164,,129,,23
66,0.21548,,128,,23.2
67,0.21903,,128,,23.6
68,0.22626,,128,,24
69,0.22626,,128,,24
70,0.22979,,128,,24
71,0.23339,,128,,24.2
72,0.2369,,130,,24.2
73,0.2402,,129,,24
74,0.24357,,129,,23.8
75,0.247,,129,,23.8
76,0.2503,,129,,24
77,0.25369,,129,,24.2
78,0.25717,,130,,24.2
79,0.26065,,130,,24.2
80,0.26407,,130,,24.4
81,0.26734,,130,,24.4
82,0.27076,,130,,24.4
83,0.27421,,131,,24.4
84,0.27755,,131,,24.4
85,0.28081,,132,,24.4
86,0.28386,,132,,24.2
87,0.28711,,132,,24
88,0.29042,,131,,24
89,0.29366,,130,,24
90,0.29698,,130,,24
91,0.30049,,129,,23.8
92,0.30363,,129,,23.6
93,0.30705,,129,,23.4
94,0.31046,,129,,23
95,0.31356,,130,,23
96,0.32057,,130,,23
97,0.32057,,130,,23
98,0.32396,,131,,23.2
99,0.32755,,131,,23.2
100,0.3312,,131,,23.2
101,0.33479,,132,,23.6
102,0.33829,,132,,23.6
103,0.34165,,133,,23.6
104,0.3448,,133,,23.8
105,0.34806,,133,,23.8
106,0.35122,,133,,23.8
107,0.35456,,133,,24
108,0.36126,,133,,24
109,0.36126,,133,,24
110,0.36448,,133,,24.4
111,0.36777,,133,,24.6
112,0.37113,,133,,24.4
113,0.37464,,133,,24.6
114,0.37814,,133,,24.6
115,0.38162,,134,,24.6
116,0.38491,,134,,24.8
117,0.3882,,134,,25
118,0.39153,,134,,25.2
119,0.39469,,133,,25.2
120,0.40075,,133,,25.2
121,0.40075,,133,,25.2
122,0.40354,,132,,25.2
123,0.40632,,132,,25.4
