secs,km,power,hr,cad,alt
0,0,,92,56,72.8
1,0.00029,,92,56,73
2,0.00038,,93,56,73
3,0.00186,,93,60,73
4,0.0036,,94,85,73.2
5,0.00489,,94,84,73
6,0.00663,,96,84,73.2
7,0.00844,,97,84,73.2
8,0.01042,,99,84,73.2
9,0.0123,,100,84,73.2
10,0.01416,,102,84,73.2
11,0.01605,,103,84,73.2
12,0.01835,,105,84,73.4
13,0.02075,,106,84,73.4
14,0.02285,,106,85,73.4
15,0.0248,,108,85,73.4
16,0.02703,,108,84,73.4
17,0.02947,,109,84,73.2
18,0.03171,,110,84,73.4
19,0.03431,,111,84,73.4
20,0.03716,,111,84,73.4
21,0.03979,,112,84,73.2
22,0.04235,,112,84,73.2
23,0.04484,,113,84,73.2
24,0.04679,,114,84,73.4
25,0.04892,,114,84,73.2
26,0.05123,,115,84,73.4
27,0.05344,,115,84,73.4
28,0.05558,,116,84,73.4
29,0.05787,,117,84,73.4
30,0.06026,,117,84,73.4
31,0.06255,,117,83,73.4
32,0.06463,,118,83,73.4
33,0.06657,,118,83,73.6
34,0.06856,,118,83,73.6
35,0.07083,,118,83,73.6
36,0.07351,,119,83,73.6
37,0.07596,,120,83,73.6
38,0.0781,,120,83,73.8
39,0.08113,,120,83,73.8
40,0.08436,,121,83,73.8
41,0.0879,,122,83,73.6
42,0.09032,,122,83,73.4
43,0.09284,,123,83,73.4
44,0.09595,,123,82,73.4
45,0.09863,,123,82,73.6
46,0.10203,,124,82,73.8
47,0.10504,,124,82,73.8
48,0.10748,,124,83,73.8
49,0.1099,,124,83,73.6
50,0.11221,,125,83,73.6
51,0.1152,,125,83,73.6
52,0.11737,,125,83,73.6
53,0.11946,,124,83,73.6
54,0.12195,,125,83,73.4
55,0.12447,,124,83,73.4
56,0.12727,,125,83,73.4
57,0.13016,,125,83,73.6
58,0.13288,,125,83,73.6
59,0.13523,,126,83,73.6
60,0.13784,,126,83,73.8
61,0.14013,,126,83,73.8
62,0.14244,,127,83,73.8
63,0.14424,,127,82,73.6
64,0.14616,,127,82,73.4
65,0.14802,,128,82,73.6
66,0.14996,,128,83,73.4
67,0.15222,,128,83,73.4
68,0.1545,,128,83,73.4
69,0.15649,,129,83,73.4
70,0.15841,,129,82,73.6
71,0.16052,,129,82,73.4
72,0.16282,,129,82,73.6
73,0.16541,,129,82,73.4
74,0.16784,,130,82,73.4
75,0.17117,,130,82,73.2
76,0.17423,,131,82,73
77,0.17713,,130,82,73.2
78,0.17966,,130,82,73.2
79,0.18187,,130,82,73.2
80,0.18458,,130,82,73.4
81,0.1874,,130,82,73.4
82,0.18932,,130,82,73.6
83,0.1914,,131,82,73.8
84,0.19366,,130,82,73.8
85,0.19538,,131,82,73.8
86,0.19745,,130,81,73.8
87,0.19975,,130,81,73.8
88,0.2024,,130,82,73.8
89,0.20509,,130,82,73.8
90,0.20825,,130,82,74
91,0.21051,,130,82,74
92,0.2132,,130,81,73.8
93,0.2159,,130,81,73.8
94,0.21823,,129,82,73.8
95,0.22183,,129,82,73.8
96,0.22434,,129,82,74
97,0.22722,,129,82,74
98,0.23017,,129,81,73.8
99,0.23306,,130,81,74
100,0.23546,,129,81,73.8
101,0.2374,,130,81,73.6
102,0.24036,,129,81,73.8
103,0.2435,,130,81,73.8
104,0.24661,,129,81,73.8
105,0.25003,,130,81,74
106,0.25317,,130,82,73.8
107,0.2563,,130,82,74
108,0.25977,,130,82,74
109,0.26305,,129,82,74
110,0.26565,,129,82,74
111,0.2692,,129,82,74
112,0.27265,,128,82,74.2
113,0.27618,,128,82,74
114,0.27924,,128,82,74
115,0.28193,,129,81,74
116,0.28474,,129,81,74
117,0.28671,,129,82,74
118,0.28855,,129,81,73.8
119,0.29046,,129,81,73.8
120,0.29265,,129,81,73.8
121,0.29492,,129,82,73.6
122,0.29736,,129,82,73.8
123,0.29963,,129,82,73.8
124,0.30209,,129,82,73.8
125,0.30432,,129,82,73.6
126,0.30662,,128,82,73.6
127,0.30859,,129,82,73.6
128,0.31067,,129,82,73.6
129,0.31291,,129,83,73.6
130,0.31499,,128,82,73.6
131,0.31689,,128,82,73.6
132,0.31907,,128,81,73.8
133,0.32126,,129,81,73.8
134,0.32329,,129,81,73.8
135,0.32526,,128,81,74
136,0.32729,,129,81,74
137,0.32917,,129,81,74
138,0.33099,,129,81,74
139,0.33278,,128,81,73.8
140,0.3347,,128,81,74
141,0.3367,,127,81,74
142,0.33878,,127,81,73.8
143,0.34088,,127,81,73.6
144,0.34297,,127,81,73.6
145,0.34475,,127,82,73.6
146,0.3464,,127,82,73.6
147,0.34853,,126,82,73.8
148,0.35033,,127,82,73.8
149,0.35231,,127,82,73.6
150,0.35465,,127,82,73.6
151,0.35704,,127,82,73.8
152,0.35985,,127,82,73.6
153,0.36253,,128,82,73.6
154,0.36499,,128,82,73.6
155,0.36753,,128,82,73.6
156,0.36977,,127,82,73.4
157,0.37232,,127,82,73.4
158,0.37483,,127,81,73.4
159,0.37723,,126,81,73.4
160,0.37991,,126,81,73.2
161,0.38247,,126,81,73.2
162,0.38457,,125,81,73.2
163,0.38676,,125,81,73.2
164,0.38865,,124,81,73.2
165,0.39057,,124,81,73.2
166,0.39301,,124,81,73.2
167,0.39521,,125,81,73.2
168,0.39707,,125,82,73.2
169,0.39932,,126,82,73.2
170,0.40172,,127,81,73.2
171,0.40408,,127,82,73.2
172,0.40669,,128,81,73.2
173,0.40903,,127,81,73.2
174,0.41155,,128,81,73.2
175,0.41389,,127,81,73
176,0.41647,,127,81,73
177,0.41935,,126,81,73.2
178,0.42165,,126,81,73.2
179,0.42375,,125,81,73.2
180,0.42581,,125,81,73.2
181,0.42758,,125,82,73.2
182,0.42941,,125,82,73.2
183,0.43142,,124,82,73.2
184,0.43334,,124,81,73.2
185,0.43553,,125,81,73.2
186,0.43749,,124,81,73.2
187,0.43922,,124,81,73
188,0.4414,,124,81,73.2
189,0.44359,,124,81,73
190,0.44574,,124,81,73
191,0.44801,,124,81,73
192,0.45004,,124,81,73
193,0.45213,,125,81,73
194,0.45425,,125,81,73
195,0.45664,,126,81,73
196,0.45866,,126,81,73
197,0.46101,,126,81,73
198,0.46339,,127,81,73
199,0.46569,,127,81,73
200,0.46827,,127,81,73
201,0.47062,,127,82,73
202,0.47295,,128,82,73
203,0.47502,,128,82,73
204,0.47711,,127,82,72.8
205,0.47943,,128,81,72.8
206,0.4815,,127,82,72.8
207,0.48381,,128,82,72.8
208,0.48592,,128,81,73
209,0.48857,,127,81,73
210,0.49082,,128,81,73
