secs,km,power,hr,cad,alt
0,0,,104,,1556.6
1,0.00099,,104,,1556.8
2,0.003172,,104.4,,1556.88
3,0.005354,,104.8,,1556.96
4,0.007536,,105.2,,1557.04
5,0.009718,,105.6,,1557.12
6,0.0119,,106,,1557.2
7,0.014615,,106,,1557.3
8,0.01733,,106,,1557.4
9,0.020045,,106,,1557.5
10,0.02276,,106,,1557.6
11,0.02534,,106.5,,1557.8
12,0.02792,,107,,1558
13,0.0309675,,107.75,,1558.2
14,0.034015,,108.5,,1558.4
15,0.0370625,,109.25,,1558.6
16,0.04011,,110,,1558.8
17,0.04292,,112,,1559
18,0.04573,,114,,1559.2
19,0.04803,,115,,1559.2
20,0.0509,,116,,1559.6
21,0.05377,,117,,1560
22,0.05668,,118.5,,1560.1
23,0.05959,,120,,1560.2
24,0.0623133,,120.333,,1560.47
25,0.0650367,,120.667,,1560.73
26,0.06776,,121,,1561
27,0.070366,,121.2,,1561.12
28,0.072972,,121.4,,1561.24
29,0.075578,,121.6,,1561.36
30,0.078184,,121.8,,1561.48
31,0.08079,,122,,1561.6
32,0.083485,,123,,1561.9
33,0.08618,,124,,1562.2
34,0.0884067,,125,,1562.4
35,0.0906333,,126,,1562.6
36,0.09286,,127,,1562.8
37,0.096015,,127,,1563
38,0.09917,,127,,1563.2
39,0.102543,,127.667,,1563.47
40,0.105917,,128.333,,1563.73
41,0.10929,,129,,1564
42,0.112825,,127.5,,1564
43,0.11636,,126,,1564
44,0.11941,,128,,1564.07
45,0.12246,,130,,1564.13
46,0.12551,,132,,1564.2
47,0.12849,,132,,1564
48,0.13168,,133,,1563.96
49,0.13487,,134,,1563.92
50,0.13806,,135,,1563.88
51,0.14125,,136,,1563.84
52,0.14444,,137,,1563.8
53,0.148065,,138.5,,1563.7
54,0.15169,,140,,1563.6
55,0.155005,,139.25,,1563.5
56,0.15832,,138.5,,1563.4
57,0.161635,,137.75,,1563.3
58,0.16495,,137,,1563.2
59,0.16836,,136.667,,1563.17
60,0.17177,,136.333,,1563.13
61,0.17518,,136,,1563.1
62,0.17859,,135.667,,1563.07
63,0.182,,135.333,,1563.03
