secs,km,power,hr,cad,alt
0,0,,88,,184.8
1,0.00213,,88,,185
2,0.00374,,89.5,,185
3,0.00535,,91,,185
4,0.007255,,92.5,,185.2
5,0.00916,,94,,185.4
6,0.011655,,96,,185.3
7,0.01415,,98,,185.2
8,0.01673,,99.5,,185.3
9,0.01931,,101,,185.4
10,0.02199,,102,,185.6
11,0.024298,,102.6,,185.52
12,0.026606,,103.2,,185.44
13,0.028914,,103.8,,185.36
14,0.031222,,104.4,,185.28
15,0.03353,,105,,185.2
16,0.035595,,105.5,,185.1
17,0.03766,,106,,185
18,0.0397183,,106.5,,185.067
19,0.0417767,,107,,185.133
20,0.043835,,107.5,,185.2
21,0.0458933,,108,,185.267
22,0.0479517,,108.5,,185.333
23,0.05001,,109,,185.4
24,0.052432,,109.2,,185.48
25,0.054854,,109.4,,185.56
26,0.057276,,109.6,,185.64
27,0.059698,,109.8,,185.72
28,0.06212,,110,,185.8
29,0.064505,,110,,185.9
30,0.06689,,110,,186
31,0.069365,,110.333,,185.967
32,0.07184,,110.667,,185.933
33,0.074315,,111,,185.9
34,0.07679,,111.333,,185.867
35,0.079265,,111.667,,185.833
36,0.08174,,112,,185.8
37,0.08424,,112,,185.8
38,0.0868667,,112.333,,185.867
39,0.0894933,,112.667,,185.933
40,0.09212,,113,,186
41,0.0947467,,113.333,,186.067
42,0.0973733,,113.667,,186.133
43,0.1,,114,,186.2
44,0.102667,,114.333,,186.267
45,0.105333,,114.667,,186.333
46,0.108,,115,,186.4
47,0.110743,,115.5,,186.367
48,0.113487,,116,,186.333
49,0.11623,,116.5,,186.3
50,0.118973,,117,,186.267
51,0.121717,,117.5,,186.233
52,0.12446,,118,,186.2
53,0.12728,,119,,186.2
54,0.130147,,119.5,,186.3
55,0.133013,,120,,186.4
56,0.13588,,120.5,,186.5
57,0.138747,,121,,186.6
58,0.141613,,121.5,,186.7
59,0.14448,,122,,186.8
60,0.14737,,123,,187
61,0.150315,,123.5,,187.1
62,0.15326,,124,,187.2
63,0.156002,,124.333,,187.233
64,0.158743,,124.667,,187.267
65,0.161485,,125,,187.3
66,0.164227,,125.333,,187.333
67,0.166968,,125.667,,187.367
68,0.16971,,126,,187.4
69,0.17242,,126,,187.4
70,0.175145,,126.167,,187.5
71,0.17787,,126.333,,187.6
72,0.180595,,126.5,,187.7
73,0.18332,,126.667,,187.8
74,0.186045,,126.833,,187.9
75,0.18877,,127,,188
76,0.19131,,127,,188
77,0.194018,,127.167,,188
78,0.196727,,127.333,,188
79,0.199435,,127.5,,188
80,0.202143,,127.667,,188
81,0.204852,,127.833,,188
82,0.20756,,128,,188
83,0.210233,,128.167,,188.067
84,0.212907,,128.333,,188.133
85,0.21558,,128.5,,188.2
86,0.218253,,128.667,,188.267
87,0.220927,,128.833,,188.333
88,0.2236,,129,,188.4
89,0.226132,,129.2,,188.44
90,0.228664,,129.4,,188.48
91,0.231196,,129.6,,188.52
92,0.233728,,129.8,,188.56
93,0.23626,,130,,188.6
94,0.238996,,130.2,,188.72
95,0.241732,,130.4,,188.84
96,0.244468,,130.6,,188.96
97,0.247204,,130.8,,189.08
98,0.24994,,131,,189.2
99,0.25253,,130,,189.2
100,0.255262,,130.167,,189.267
101,0.257993,,130.333,,189.333
102,0.260725,,130.5,,189.4
103,0.263457,,130.667,,189.467
104,0.266188,,130.833,,189.533
105,0.26892,,131,,189.6
106,0.271687,,131.167,,189.7
107,0.274453,,131.333,,189.8
108,0.27722,,131.5,,189.9
109,0.279987,,131.667,,190
110,0.282753,,131.833,,190.1
111,0.28552,,132,,190.2
112,0.28822,,132,,190.2
113,0.290952,,132,,190.233
114,0.293683,,132,,190.267
115,0.296415,,132,,190.3
116,0.299147,,132,,190.333
117,0.301878,,132,,190.367
118,0.30461,,132,,190.4
119,0.30741,,131,,190.4
120,0.310118,,131.167,,190.467
121,0.312827,,131.333,,190.533
122,0.315535,,131.5,,190.6
123,0.318243,,131.667,,190.667
124,0.320952,,131.833,,190.733
125,0.32366,,132,,190.8
126,0.326508,,132.167,,190.733
127,0.329357,,132.333,,190.667
128,0.332205,,132.5,,190.6
129,0.335053,,132.667,,190.533
130,0.337902,,132.833,,190.467
131,0.34075,,133,,190.4
132,0.343377,,132.833,,190.333
133,0.346003,,132.667,,190.267
134,0.34863,,132.5,,190.2
135,0.351257,,132.333,,190.133
136,0.353883,,132.167,,190.067
137,0.35651,,132,,190
138,0.35899,,132,,190
139,0.361633,,132,,190
140,0.364277,,132,,190
141,0.36692,,132,,190
142,0.369563,,132,,190
143,0.372207,,132,,190
144,0.37485,,132,,190
145,0.37763,,132,,190
146,0.38043,,132,,189.967
147,0.38323,,132,,189.933
148,0.38603,,132,,189.9
149,0.38883,,132,,189.867
150,0.39163,,132,,189.833
151,0.39443,,132,,189.8
152,0.397255,,132,,189.8
153,0.40008,,132,,189.8
154,0.402912,,131.25,,189.8
155,0.405745,,130.5,,189.8
156,0.408577,,129.75,,189.8
157,0.41141,,129,,189.8
158,0.414277,,129,,189.733
159,0.417143,,129,,189.667
160,0.42001,,129,,189.6
161,0.422936,,129,,189.52
162,0.425862,,129,,189.44
163,0.428788,,129,,189.36
164,0.431714,,129,,189.28
165,0.43464,,129,,189.2
166,0.43768,,129,,189.133
167,0.44072,,129,,189.067
168,0.44376,,129,,189
169,0.446772,,129,,189.033
170,0.449783,,129,,189.067
171,0.452795,,129,,189.1
172,0.455807,,129,,189.133
173,0.458818,,129,,189.167
174,0.46183,,129,,189.2
175,0.464675,,129.5,,189.2
176,0.46752,,130,,189.2
177,0.470335,,129.833,,189.067
178,0.47315,,129.667,,188.933
179,0.475965,,129.5,,188.8
180,0.47878,,129.333,,188.667
181,0.481595,,129.167,,188.533
182,0.48441,,129,,188.4
183,0.48707,,128.333,,188.333
184,0.48973,,127.667,,188.267
185,0.49239,,127,,188.2
186,0.49512,,127.333,,188.267
187,0.49785,,127.667,,188.333
188,0.50058,,128,,188.4
189,0.503062,,127.833,,188.333
190,0.505543,,127.667,,188.267
191,0.508025,,127.5,,188.2
192,0.510507,,127.333,,188.133
193,0.512988,,127.167,,188.067
194,0.51547,,127,,188
195,0.518265,,127.167,,187.967
196,0.52106,,127.333,,187.933
197,0.523855,,127.5,,187.9
198,0.52665,,127.667,,187.867
199,0.529445,,127.833,,187.833
200,0.53224,,128,,187.8
201,0.53503,,128,,187.8
202,0.53784,,128.333,,187.733
203,0.54065,,128.667,,187.667
204,0.54346,,129,,187.6
205,0.546353,,129,,187.6
206,0.549247,,129,,187.6
207,0.55214,,129,,187.6
208,0.555124,,129,,187.56
209,0.558108,,129,,187.52
210,0.561092,,129,,187.48
211,0.564076,,129,,187.44
212,0.56706,,129,,187.4
213,0.569848,,129.167,,187.4
214,0.572637,,129.333,,187.4
215,0.575425,,129.5,,187.4
216,0.578213,,129.667,,187.4
217,0.581002,,129.833,,187.4
218,0.58379,,130,,187.4
219,0.58684,,130,,187.4
220,0.58968,,130,,187.333
221,0.59252,,130,,187.267
222,0.59536,,130,,187.2
223,0.598212,,129.8,,187.2
224,0.601064,,129.6,,187.2
225,0.603916,,129.4,,187.2
226,0.606768,,129.2,,187.2
227,0.60962,,129,,187.2
228,0.612712,,129,,187.133
229,0.615803,,129,,187.067
230,0.618895,,129,,187
231,0.621987,,129,,186.933
232,0.625078,,129,,186.867
233,0.62817,,129,,186.8
234,0.63144,,129,,186.68
235,0.63471,,129,,186.56
236,0.63798,,129,,186.44
237,0.64125,,129,,186.32
238,0.64452,,129,,186.2
239,0.64788,,129,,186
240,0.650802,,128.8,,186
241,0.653724,,128.6,,186
242,0.656646,,128.4,,186
243,0.659568,,128.2,,186
244,0.66249,,128,,186
245,0.665457,,127.667,,185.9
246,0.668423,,127.333,,185.8
247,0.67139,,127,,185.7
248,0.674357,,126.667,,185.6
249,0.677323,,126.333,,185.5
250,0.68029,,126,,185.4
251,0.6835,,126.25,,185.3
252,0.68671,,126.5,,185.2
253,0.68992,,126.75,,185.1
254,0.69313,,127,,185
255,0.69604,,126.333,,184.8
256,0.69895,,125.667,,184.6
257,0.70186,,125,,184.4
258,0.704673,,125,,184.267
259,0.707487,,125,,184.133
260,0.7103,,125,,184
261,0.71312,,125.25,,183.9
262,0.71594,,125.5,,183.8
263,0.71876,,125.75,,183.7
264,0.72158,,126,,183.6
265,0.724383,,126,,183.6
266,0.727187,,126,,183.6
267,0.72999,,126,,183.6
268,0.732793,,126,,183.6
269,0.735597,,126,,183.6
270,0.7384,,126,,183.6
271,0.74121,,126,,183.4
272,0.744062,,126.167,,183.333
273,0.746913,,126.333,,183.267
274,0.749765,,126.5,,183.2
275,0.752617,,126.667,,183.133
276,0.755468,,126.833,,183.067
277,0.75832,,127,,183
278,0.76089,,128,,183
279,0.763673,,128.333,,183
280,0.766457,,128.667,,183
281,0.76924,,129,,183
282,0.772023,,129.333,,183
283,0.774807,,129.667,,183
284,0.77759,,130,,183
285,0.78024,,130.333,,182.967
286,0.78289,,130.667,,182.933
287,0.78554,,131,,182.9
288,0.78819,,131.333,,182.867
289,0.79084,,131.667,,182.833
290,0.79349,,132,,182.8
291,0.796233,,132,,182.767
292,0.798977,,132,,182.733
293,0.80172,,132,,182.7
294,0.804463,,132,,182.667
295,0.807207,,132,,182.633
296,0.80995,,132,,182.6
297,0.812805,,132,,182.6
298,0.81566,,132,,182.6
299,0.818473,,132,,182.8
300,0.821287,,132,,183
301,0.8241,,132,,183.2
302,0.826913,,132,,183.4
303,0.829727,,132,,183.6
304,0.83254,,132,,183.8
305,0.8354,,131,,183.667
306,0.83826,,130,,183.533
307,0.84112,,129,,183.4
308,0.84409,,129,,183.32
309,0.84706,,129,,183.24
310,0.85003,,129,,183.16
311,0.853,,129,,183.08
312,0.85597,,129,,183
313,0.858827,,128.667,,182.967
314,0.861683,,128.333,,182.933
315,0.86454,,128,,182.9
316,0.867397,,127.667,,182.867
317,0.870253,,127.333,,182.833
318,0.87311,,127,,182.8
319,0.875882,,127.6,,182.84
320,0.878654,,128.2,,182.88
321,0.881426,,128.8,,182.92
322,0.884198,,129.4,,182.96
323,0.88697,,130,,183
324,0.88985,,130,,183
325,0.892652,,130.6,,183.12
326,0.895454,,131.2,,183.24
327,0.898256,,131.8,,183.36
328,0.901058,,132.4,,183.48
329,0.90386,,133,,183.6
330,0.90677,,133,,183.6
331,0.909585,,133.167,,183.6
332,0.9124,,133.333,,183.6
333,0.915215,,133.5,,183.6
334,0.91803,,133.667,,183.6
335,0.920845,,133.833,,183.6
336,0.92366,,134,,183.6
337,0.92625,,134.333,,183.733
338,0.92884,,134.667,,183.867
339,0.93143,,135,,184
340,0.9339,,135,,184.3
341,0.93637,,135,,184.6
342,0.938843,,134.667,,184.8
343,0.941317,,134.333,,185
344,0.94379,,134,,185.2
345,0.94651,,134,,185.2
346,0.94923,,134,,185.2
347,0.95195,,134,,185.2
348,0.954668,,134.5,,185.3
349,0.957387,,135,,185.4
350,0.960105,,135.5,,185.5
351,0.962823,,136,,185.6
352,0.965542,,136.5,,185.7
353,0.96826,,137,,185.8
354,0.971077,,137.333,,185.767
355,0.973893,,137.667,,185.733
356,0.97671,,138,,185.7
357,0.979527,,138.333,,185.667
358,0.982343,,138.667,,185.633
359,0.98516,,139,,185.6
360,0.987942,,138.833,,185.7
361,0.990723,,138.667,,185.8
362,0.993505,,138.5,,185.9
363,0.996287,,138.333,,186
364,0.999068,,138.167,,186.1
365,1.00185,,138,,186.2
366,1.00487,,139,,186.2
367,1.00752,,138.75,,186.2
368,1.01017,,138.5,,186.2
369,1.01282,,138.25,,186.2
370,1.01547,,138,,186.2
371,1.01834,,138,,186.267
372,1.02122,,138,,186.333
373,1.02409,,138,,186.4
374,1.02697,,138,,186.467
375,1.02984,,138,,186.533
376,1.03272,,138,,186.6
377,1.03581,,138.167,,186.633
378,1.03891,,138.333,,186.667
379,1.042,,138.5,,186.7
380,1.04509,,138.667,,186.733
381,1.04819,,138.833,,186.767
382,1.05128,,139,,186.8
383,1.05426,,139,,186.767
384,1.05724,,139,,186.733
385,1.06022,,139,,186.7
386,1.0632,,139,,186.667
387,1.06618,,139,,186.633
388,1.06916,,139,,186.6
389,1.07226,,139.167,,186.6
390,1.07537,,139.333,,186.6
391,1.07847,,139.5,,186.6
392,1.08157,,139.667,,186.6
393,1.08468,,139.833,,186.6
394,1.08778,,140,,186.6
395,1.09072,,140,,186.55
396,1.09366,,140,,186.5
397,1.0966,,140,,186.45
398,1.09954,,140,,186.4
399,1.10253,,140.2,,186.36
400,1.10552,,140.4,,186.32
401,1.10852,,140.6,,186.28
402,1.11151,,140.8,,186.24
403,1.1145,,141,,186.2
404,1.1175,,141,,186.24
405,1.12051,,141,,186.28
406,1.12351,,141,,186.32
407,1.12652,,141,,186.36
408,1.12952,,141,,186.4
409,1.13246,,140.833,,186.367
410,1.13539,,140.667,,186.333
411,1.13833,,140.5,,186.3
412,1.14127,,140.333,,186.267
413,1.1442,,140.167,,186.233
414,1.14714,,140,,186.2
415,1.15028,,141,,186.2
416,1.15309,,140.75,,186.35
417,1.15591,,140.5,,186.5
418,1.15872,,140.25,,186.65
419,1.16153,,140,,186.8
420,1.16457,,139.5,,186.767
421,1.1676,,139,,186.733
422,1.17064,,138.5,,186.7
423,1.17367,,138,,186.667
424,1.1767,,137.5,,186.633
425,1.17974,,137,,186.6
426,1.18275,,137.167,,186.6
427,1.18576,,137.333,,186.6
428,1.18877,,137.5,,186.6
429,1.19177,,137.667,,186.6
430,1.19478,,137.833,,186.6
431,1.19779,,138,,186.6
432,1.20082,,138.167,,186.567
433,1.20384,,138.333,,186.533
434,1.20686,,138.5,,186.5
435,1.20989,,138.667,,186.467
436,1.21291,,138.833,,186.433
437,1.21594,,139,,186.4
438,1.21867,,139,,186.433
439,1.2214,,139,,186.467
440,1.22412,,139,,186.5
441,1.22685,,139,,186.533
442,1.22958,,139,,186.567
443,1.23231,,139,,186.6
444,1.23483,,138.833,,186.5
445,1.23735,,138.667,,186.4
446,1.23987,,138.5,,186.3
447,1.24238,,138.333,,186.2
448,1.2449,,138.167,,186.1
449,1.24742,,138,,186
450,1.25,,138,,185.8
451,1.25267,,137.833,,185.833
452,1.25533,,137.667,,185.867
453,1.258,,137.5,,185.9
454,1.26067,,137.333,,185.933
455,1.26333,,137.167,,185.967
456,1.266,,137,,186
457,1.26851,,136,,186
458,1.27146,,136.167,,186.067
459,1.27441,,136.333,,186.133
460,1.27736,,136.5,,186.2
461,1.28031,,136.667,,186.267
462,1.28326,,136.833,,186.333
463,1.28621,,137,,186.4
464,1.28919,,137,,186.6
465,1.29218,,137.4,,186.8
466,1.29518,,137.8,,187
467,1.29817,,138.2,,187.2
468,1.30117,,138.6,,187.4
469,1.30416,,139,,187.6
470,1.30693,,139,,188
471,1.30998,,139.167,,187.9
472,1.31302,,139.333,,187.8
473,1.31607,,139.5,,187.7
474,1.31911,,139.667,,187.6
475,1.32215,,139.833,,187.5
476,1.3252,,140,,187.4
477,1.32823,,140,,187.15
478,1.33127,,140,,186.9
479,1.3343,,140,,186.65
480,1.33734,,140,,186.4
481,1.34028,,140.5,,186.2
482,1.34323,,141,,186
483,1.34612,,141,,186
484,1.34901,,141,,186
485,1.3519,,141,,186
486,1.3548,,141,,186
487,1.35769,,141,,186
488,1.36058,,141,,186
489,1.36347,,141,,186.2
490,1.36629,,140.833,,186.2
491,1.36911,,140.667,,186.2
492,1.37193,,140.5,,186.2
493,1.37476,,140.333,,186.2
494,1.37758,,140.167,,186.2
495,1.3804,,140,,186.2
496,1.38326,,139.667,,186.2
497,1.38612,,139.333,,186.2
498,1.38898,,139,,186.2
499,1.39184,,138.667,,186.2
500,1.3947,,138.333,,186.2
501,1.39756,,138,,186.2
502,1.40045,,138,,186.2
503,1.40336,,138,,186.267
