secs,km,power,hr,cad,alt
0,0,,97,,199
1,0,,97,,199.6
2,0.00271,,97,,200.4
3,0.00529,,97,,200.4
4,0.00883,,97,,200.4
5,0.01234,,96,,200.8
6,0.01571,,96,,200.8
7,0.01928,,96,,200.6
8,0.0228,,96,,201.2
9,0.02587,,95,,201.2
10,0.02863,,95,,201
11,0.03137,,95,,201.6
12,0.03394,,94,,201.4
13,0.03652,,94,,201.4
14,0.03899,,94,,201.8
15,0.040445,,93.5,,201.8
16,0.0419,,93,,201.8
17,0.04497,,93,,201.6
18,0.04827,,93,,201.8
19,0.05157,,93,,201.8
20,0.05487,,89,,201.6
21,0.05824,,91,,201.6
22,0.06146,,95,,201.4
23,0.06482,,102,,201.6
24,0.06773,,106,,201.6
25,0.07071,,111,,201.8
26,0.0736,,115,,201.8
27,0.07663,,120,,201.8
28,0.07988,,127,,202
29,0.08311,,131,,202
30,0.08646,,133,,202.2
31,0.08969,,135,,202.2
32,0.09275,,137,,202.2
33,0.09573,,138,,202.4
34,0.09883,,139,,202.4
35,0.10192,,139,,202.6
36,0.10486,,140,,202.6
37,0.10785,,140,,202.8
38,0.11084,,140,,203
39,0.11371,,141,,203.2
40,0.11664,,141,,203.2
41,0.11944,,140,,203.4
42,0.12213,,140,,203.6
43,0.12502,,140,,203.6
44,0.12823,,141,,203.8
45,0.13132,,141,,203.8
46,0.13437,,143,,203.8
47,0.13727,,143,,203.8
48,0.14014,,143,,203.8
49,0.14302,,143,,204
50,0.14576,,143,,204
51,0.14869,,143,,204
52,0.15133,,142,,204
53,0.15402,,141,,204
54,0.15693,,142,,204
55,0.15998,,144,,204
56,0.16303,,143,,204
57,0.16616,,143,,204
58,0.16929,,144,,204
59,0.17233,,144,,204
60,0.17267,,145,,204
61,0.17403,,145,,204
62,0.17606,,146,,204
63,0.178,,147,,204
64,0.18053,,147,,204
65,0.18376,,147,,204
66,0.18666,,147,,204
67,0.18924,,148,,204
68,0.19217,,149,,204
69,0.19494,,150,,204
70,0.19759,,150,,204
71,0.20018,,150,,204
72,0.20287,,151,,204
73,0.20568,,151,,204
74,0.20828,,151,,204
75,0.21082,,151,,204
76,0.21352,,152,,204
77,0.21632,,151,,204
78,0.21948,,151,,204
79,0.22236,,151,,204
80,0.22531,,152,,204
81,0.22823,,151,,204
82,0.23131,,151,,204
83,0.23428,,153,,204
84,0.23729,,153,,204
85,0.24006,,153,,204
86,0.24277,,154,,204
87,0.24574,,154,,204
88,0.24866,,153,,204.2
89,0.25168,,153,,204.2
90,0.25469,,153,,204.2
91,0.25764,,153,,204.2
92,0.26069,,154,,204.2
93,0.26376,,154,,204.2
94,0.26694,,154,,204.2
95,0.26993,,153,,204.2
96,0.27316,,153,,204.2
97,0.27629,,153,,204.2
98,0.27945,,153,,204.2
99,0.28236,,153,,204.2
100,0.28545,,153,,204.2
101,0.28859,,154,,204.2
102,0.29168,,155,,204.2
103,0.29487,,153,,204.2
104,0.29775,,154,,204.2
105,0.30078,,155,,204.2
106,0.30386,,155,,204
107,0.30681,,155,,204
108,0.30984,,155,,204
109,0.31278,,155,,204
110,0.31566,,154,,204
111,0.31863,,155,,204
112,0.32164,,155,,204
113,0.32465,,154,,204
114,0.32767,,154,,204
115,0.33046,,156,,204
116,0.33351,,157,,204
117,0.33644,,156,,204
118,0.33946,,156,,204
119,0.34256,,156,,203.8
120,0.34554,,155,,203.8
121,0.34853,,155,,203.6
122,0.35151,,156,,203.6
123,0.3544,,157,,203.6
124,0.35755,,157,,203.6
125,0.3607,,157,,203.6
126,0.36409,,157,,203.6
127,0.36731,,157,,203.6
128,0.37017,,157,,203.6
129,0.37325,,157,,203.6
130,0.37623,,157,,203.6
131,0.37905,,157,,203.4
132,0.38198,,157,,203.4
133,0.38513,,156,,203.4
134,0.38831,,157,,203.4
135,0.39122,,157,,203.4
136,0.39408,,157,,203.4
137,0.39683,,157,,203.4
138,0.39989,,157,,203.4
139,0.40314,,158,,203.4
140,0.40672,,158,,203.6
141,0.41026,,158,,203.6
142,0.41366,,158,,203.6
143,0.41678,,157,,203.6
144,0.41995,,157,,203.6
145,0.42294,,158,,203.6
146,0.42608,,159,,203.6
147,0.42924,,160,,203.6
148,0.43248,,160,,203.6
149,0.43534,,160,,203.6
150,0.43829,,160,,203.6
151,0.44107,,159,,203.6
152,0.44386,,158,,203.6
153,0.44663,,158,,203.6
154,0.44946,,159,,203.6
155,0.45237,,159,,203.6
156,0.45504,,160,,203.6
157,0.4579,,160,,203.6
158,0.46094,,160,,203.6
159,0.46395,,160,,203.6
160,0.46714,,159,,203.6
161,0.47029,,159,,203.6
162,0.4733,,159,,203.6
163,0.47658,,159,,203.6
164,0.4796,,160,,203.6
165,0.4827,,161,,203.6
166,0.48586,,162,,203.6
167,0.48912,,162,,203.6
168,0.49264,,163,,203.6
169,0.49593,,162,,203.6
170,0.49921,,162,,203.6
171,0.50235,,162,,203.6
172,0.50529,,163,,203.6
173,0.50819,,163,,203.8
174,0.511,,165,,203.8
175,0.51386,,165,,203.8
176,0.51668,,166,,203.8
177,0.5196,,166,,203.8
178,0.52255,,166,,203.8
179,0.5255,,166,,203.8
180,0.52852,,166,,204
181,0.53178,,168,,204
182,0.53487,,168,,204
183,0.53784,,168,,204
184,0.54073,,167,,204
185,0.5437,,166,,204
186,0.54649,,166,,204
187,0.54921,,166,,204
188,0.55182,,166,,204
189,0.55456,,167,,204
190,0.55727,,168,,204.2
191,0.55989,,170,,204.2
192,0.56269,,170,,204.2
193,0.56539,,169,,204.2
194,0.56752,,167,,204
195,0.56991,,166,,204.2
196,0.57322,,166,,204.2
197,0.57678,,166,,204.2
198,0.58057,,166,,204
199,0.58336,,167,,204
200,0.58672,,168,,204
201,0.58949,,168,,204
202,0.59255,,168,,204
203,0.59558,,168,,204
204,0.59864,,167,,204
205,0.60128,,167,,204
206,0.60418,,167,,204
207,0.60743,,167,,204
208,0.61043,,167,,204
209,0.61339,,168,,204
210,0.61543,,168,,204
211,0.61876,,168,,204
212,0.62227,,167,,204
213,0.62566,,165,,204
214,0.629,,164,,203.8
215,0.63271,,163,,203.8
216,0.63599,,163,,203.8
217,0.63944,,161,,203.6
218,0.6426,,161,,203.6
219,0.64573,,160,,203.6
220,0.64899,,161,,203.6
221,0.65244,,161,,203.6
222,0.65577,,161,,203.4
223,0.65931,,161,,203.4
224,0.66304,,160,,203.4
225,0.66657,,160,,203.4
226,0.67,,160,,203.4
227,0.6736,,162,,203.4
228,0.67699,,162,,203.2
229,0.68042,,162,,203.2
230,0.68408,,161,,203.2
231,0.68767,,161,,203.2
232,0.6914,,161,,203.2
233,0.69512,,161,,203.2
234,0.69867,,162,,203
235,0.70223,,163,,203
236,0.70533,,163,,203
237,0.70854,,163,,203
238,0.71223,,162,,203
239,0.71587,,162,,203
240,0.71964,,162,,203
241,0.72341,,163,,203
242,0.72683,,164,,203
243,0.73036,,164,,203
244,0.73371,,164,,203
245,0.73717,,164,,203
246,0.74047,,163,,203
247,0.74364,,163,,203
248,0.74677,,163,,203
249,0.74951,,163,,203
250,0.75268,,163,,203
251,0.75564,,163,,203
252,0.75876,,164,,202.8
253,0.76168,,164,,202.8
254,0.76463,,165,,202.6
255,0.76784,,165,,202.6
256,0.77069,,165,,202.6
257,0.77381,,165,,202.6
258,0.77665,,164,,202.4
259,0.77965,,164,,202.4
260,0.78275,,164,,202.4
261,0.7858,,164,,202.4
262,0.78907,,165,,202.4
263,0.79237,,165,,202.4
264,0.79584,,166,,202.4
265,0.79907,,166,,202.2
266,0.80223,,166,,202.2
267,0.80549,,166,,202.2
268,0.80856,,166,,202.2
269,0.81167,,165,,202
270,0.8146,,163,,202
271,0.81746,,163,,202
