secs,km,power,hr,cad,alt
0,0,,93,,24.4
1,0.00017,,92,,24.6
2,0.00113,,90,,24.4
3,0.00304,,88,,24.2
4,0.0045,,88,,24.2
5,0.00613,,87,,24.2
6,0.00809,,88,,24.2
7,0.00984,,88,,23.8
8,0.01198,,88,,23.6
9,0.01404,,89,,23.6
10,0.01584,,95,,23.6
11,0.01761,,93,,23.6
12,0.01968,,88,,23.6
13,0.02213,,88,,23.2
14,0.02481,,89,,23.4
15,0.02731,,89,,23.2
16,0.02984,,90,,23.4
17,0.0322,,90,,23.6
18,0.03494,,91,,24
19,0.03746,,92,,24
20,0.04002,,94,,24
21,0.0428,,98,,24
22,0.04575,,100,,24
23,0.04842,,101,,24
24,0.05104,,101,,23.8
25,0.05338,,102,,23.6
26,0.05548,,102,,23.8
27,0.05745,,102,,23.8
28,0.05951,,102,,23.6
29,0.06162,,103,,23.6
30,0.0637,,103,,23.4
31,0.06597,,104,,23.2
32,0.06835,,104,,23.4
33,0.07062,,104,,23.4
34,0.07283,,105,,23.4
35,0.07473,,105,,23.4
36,0.07717,,106,,23.6
37,0.07974,,106,,23
38,0.0821,,106,,22.4
39,0.08449,,107,,22.4
40,0.08671,,107,,23
41,0.08902,,107,,23.2
42,0.09204,,108,,23.4
43,0.09508,,108,,23.6
44,0.09816,,108,,23.6
45,0.10116,,109,,23.4
46,0.10442,,109,,23.4
47,0.10769,,109,,23.2
48,0.11074,,109,,23.4
49,0.114,,110,,23.4
50,0.11709,,111,,23.2
51,0.1201,,111,,22.6
52,0.12336,,111,,22.2
53,0.12615,,112,,22.4
54,0.12868,,113,,22.8
55,0.13133,,114,,22.8
56,0.13428,,114,,22.6
57,0.13736,,114,,22.6
58,0.14047,,115,,22.4
59,0.14355,,115,,22.2
60,0.14661,,115,,21.8
61,0.14967,,116,,21.4
62,0.15213,,117,,21.6
63,0.15411,,117,,21.6
64,0.15606,,117,,21.8
65,0.158,,118,,22
66,0.15981,,118,,21.8
67,0.16174,,119,,21.6
68,0.16311,,120,,21.2
69,0.16497,,120,,21
70,0.16683,,121,,20.6
71,0.16822,,121,,20.4
72,0.16973,,121,,20
73,0.17196,,121,,19.8
74,0.17442,,122,,19.4
75,0.17684,,122,,19.6
76,0.17899,,122,,19.6
77,0.18111,,122,,19.4
78,0.18303,,122,,19
79,0.18455,,123,,19.2
80,0.18571,,123,,19
81,0.18696,,123,,19
82,0.18804,,123,,19
83,0.18914,,121,,19.2
84,0.1904,,119,,19.2
85,0.19207,,118,,19
86,0.194,,118,,18.8
87,0.19606,,119,,18.6
88,0.19821,,119,,18.8
89,0.20032,,118,,18.8
90,0.20238,,118,,18.8
91,0.20448,,117,,18.8
92,0.20663,,117,,18.6
93,0.20861,,117,,18.4
94,0.21069,,118,,18
95,0.2129,,118,,18
96,0.21539,,120,,17.8
97,0.21768,,118,,17.4
98,0.21986,,119,,17.4
99,0.22206,,119,,17.2
100,0.22444,,119,,17
101,0.22683,,120,,17.4
102,0.22874,,120,,16.8
103,0.23076,,120,,17.6
104,0.23304,,119,,16.4
105,0.23571,,119,,16.4
106,0.23873,,119,,16
107,0.24177,,119,,15.8
108,0.2449,,119,,16
109,0.24813,,119,,15.8
110,0.25141,,120,,15.4
111,0.25455,,121,,15.2
112,0.25755,,123,,15
113,0.26079,,123,,14.6
114,0.26406,,123,,14.6
