secs,km,power,hr,cad,alt
0,0,,0,,0
1,0,,128,,0
2,0,,128,,0
3,0,,128,,0
4,0,,128,,0
5,0,,128,,0
6,0,,128,,0
7,0,,128,,0
8,0.022,,128,,587.2
9,0.034,,128,,587.2
10,0.034,,128,,587.2
11,0.034,,128,,587.2
12,0.034,,128,,587.2
13,0.046,,128,,587.2
14,0.046,,128,,587
15,0.046,,128,,587
16,0.046,,128,,586.8
17,0.059,,128,,586.8
18,0.059,,128,,586.6
19,0.059,,128,,586.4
20,0.075,,128,,586.4
21,0.075,,128,,586.2
22,0.075,,128,,586.2
23,0.086,,119,,586
24,0.086,,134,,585.8
25,0.086,,134,,585.4
26,0.086,,134,,585.2
27,0.098,,135,,584.8
28,0.098,,136,,584.6
29,0.098,,136,,584.2
30,0.109,,134,,583.8
31,0.109,,136,,583.6
32,0.109,,135,,583.2
33,0.109,,137,,582.8
34,0.121,,136,,582.6
35,0.121,,137,,582.4
36,0.121,,139,,582
37,0.132,,139,,581.6
38,0.132,,137,,581.4
39,0.132,,140,,581
40,0.132,,139,,580.8
41,0.142,,140,,580.6
42,0.142,,140,,580.4
43,0.142,,141,,580.4
44,0.142,,140,,580.2
45,0.156,,141,,580.2
46,0.156,,141,,580
47,0.156,,143,,580
48,0.156,,142,,579.8
49,0.167,,143,,579.8
50,0.167,,142,,579.8
51,0.167,,142,,0
52,0.167,,143,,579.6
53,0.178,,144,,579.6
54,0.178,,146,,579.6
55,0.178,,144,,579.4
56,0.178,,144,,579.4
57,0.189,,145,,579.4
58,0.189,,145,,579.4
59,0.189,,145,,579.4
60,0.199,,147,,579.4
61,0.199,,147,,579.4
62,0.199,,146,,579.4
63,0.199,,147,,579.4
64,0.199,,146,,579.4
65,0.199,,146,,579.6
66,0.212,,149,,579.6
67,0.212,,147,,579.6
68,0.212,,145,,579.8
69,0.212,,148,,579.8
70,0.225,,148,,579.8
71,0.225,,150,,580
72,0.225,,148,,580
73,0.235,,149,,580
74,0.235,,150,,580.2
75,0.235,,150,,580.2
76,0.245,,150,,580.4
77,0.245,,150,,580.4
78,0.245,,150,,580.4
79,0.258,,151,,580.6
80,0.258,,151,,580.8
81,0.258,,151,,580.8
82,0.258,,150,,581
83,0.27,,151,,581
84,0.27,,151,,581
85,0.27,,151,,581.2
86,0.27,,151,,581.2
87,0.282,,152,,581.4
88,0.282,,152,,581.6
89,0.282,,151,,581.6
90,0.282,,149,,581.6
91,0.293,,151,,581.8
92,0.293,,150,,581.8
93,0.293,,151,,582
94,0.293,,153,,582.2
95,0.293,,150,,582.2
96,0.304,,151,,582.4
97,0.304,,150,,582.4
98,0.304,,149,,582.6
99,0.315,,150,,582.6
100,0.315,,150,,582.8
101,0.315,,150,,582.8
102,0.326,,149,,583
103,0.326,,150,,583
104,0.326,,150,,583
105,0.337,,150,,583.2
106,0.337,,149,,583.2
107,0.337,,151,,583.2
108,0.349,,148,,583.2
109,0.349,,150,,583.2
110,0.349,,149,,583.2
111,0.362,,150,,583.2
112,0.362,,148,,583.2
113,0.362,,148,,583.2
114,0.375,,150,,583.2
115,0.375,,150,,583.2
116,0.375,,151,,583.2
117,0.385,,150,,583.2
118,0.385,,150,,583.2
119,0.397,,151,,583.2
120,0.397,,150,,583
121,0.397,,150,,583
122,0.41,,151,,583
123,0.41,,150,,583
124,0.41,,151,,582.8
125,0.423,,151,,582.8
126,0.423,,150,,582.6
127,0.423,,152,,582.6
128,0.435,,150,,582.6
129,0.435,,151,,582.4
130,0.435,,151,,582.4
131,0.446,,151,,582.2
132,0.446,,152,,582.2
133,0.446,,151,,582
134,0.456,,153,,582
135,0.456,,151,,581.6
136,0.456,,152,,581.4
137,0.467,,153,,581.2
138,0.467,,153,,581
139,0.467,,151,,580.8
140,0.478,,152,,580.6
141,0.478,,151,,580.4
142,0.478,,150,,580.2
143,0.478,,151,,579.8
144,0.491,,151,,579.6
145,0.491,,149,,579.4
146,0.491,,151,,579.2
147,0.491,,151,,572.8
148,0.491,,151,,567.6
149,0.502,,151,,564
150,0.506,,149,,561.4
151,0.509,,151,,559.6
152,0.512,,150,,558
153,0.516,,151,,556.6
154,0.519,,150,,555.6
155,0.522,,147,,554.8
156,0.525,,151,,554
157,0.528,,149,,553.4
158,0.532,,151,,552.8
159,0.535,,151,,552.4
160,0.539,,148,,551.8
161,0.542,,148,,551.6
162,0.545,,149,,551.2
163,0.549,,147,,550.8
164,0.552,,145,,550.6
165,0.555,,147,,550.2
166,0.558,,146,,549.8
167,0.562,,146,,549.6
168,0.565,,145,,549.2
169,0.568,,144,,549
170,0.571,,145,,548.8
171,0.574,,143,,548.6
172,0.578,,144,,548.2
173,0.58,,143,,547.8
174,0.584,,143,,547.6
175,0.588,,143,,547.4
176,0.591,,143,,547.2
177,0.595,,142,,547
178,0.598,,142,,547
179,0.601,,144,,546.8
180,0.605,,143,,546.6
181,0.608,,143,,546.6
182,0.612,,142,,546.4
183,0.615,,143,,546.4
184,0.619,,144,,546.2
185,0.622,,142,,546
186,0.626,,144,,546
187,0.629,,143,,545.8
188,0.633,,143,,545.8
189,0.636,,144,,545.6
190,0.639,,144,,545.4
191,0.643,,145,,545.4
