secs,km,power,hr,cad,alt
0,0,,96,,39.8
1,0.00197,,96,,39.6
2,0.00391,,96,,39.4
3,0.0065175,,94.75,,39.2
4,0.009125,,93.5,,39
5,0.0117325,,92.25,,38.8
6,0.01434,,91,,38.6
7,0.016765,,93,,38.6
8,0.01919,,95,,38.6
9,0.02176,,100,,38.4
10,0.02413,,105,,38.4
11,0.02662,,110,,38.4
12,0.02896,,117,,38.4
13,0.03143,,120,,38.4
14,0.03365,,123,,38
15,0.0356457,,122.286,,37.8
16,0.0376414,,121.571,,37.6
17,0.0396371,,120.857,,37.4
18,0.0416329,,120.143,,37.2
19,0.0436286,,119.429,,37
20,0.0456243,,118.714,,36.8
21,0.04762,,118,,36.6
22,0.04898,,119.75,,36.5
23,0.05034,,121.5,,36.4
24,0.0517,,123.25,,36.3
25,0.05306,,125,,36.2
26,0.055025,,128,,36.3
27,0.05699,,131,,36.4
28,0.05916,,134,,36.3
29,0.06133,,137,,36.2
30,0.06337,,140,,36
31,0.065488,,139.2,,35.96
32,0.067606,,138.4,,35.92
33,0.069724,,137.6,,35.88
34,0.071842,,136.8,,35.84
35,0.07396,,136,,35.8
36,0.07624,,135.4,,35.64
37,0.07852,,134.8,,35.48
38,0.0808,,134.2,,35.32
39,0.08308,,133.6,,35.16
40,0.08536,,133,,35
41,0.08738,,133.75,,34.8
42,0.0894,,134.5,,34.6
43,0.09142,,135.25,,34.4
44,0.09344,,136,,34.2
45,0.09538,,137.333,,34.0667
46,0.09732,,138.667,,33.9333
47,0.09926,,140,,33.8
48,0.10137,,139.4,,33.64
49,0.10348,,138.8,,33.48
50,0.10559,,138.2,,33.32
51,0.1077,,137.6,,33.16
52,0.10981,,137,,33
53,0.11164,,135.5,,32.9
54,0.11347,,134,,32.8
55,0.115588,,133.4,,32.64
56,0.117706,,132.8,,32.48
57,0.119824,,132.2,,32.32
58,0.121942,,131.6,,32.16
59,0.12406,,131,,32
60,0.12653,,134,,31.8
61,0.12867,,138,,31.4
62,0.13069,,135,,31.2
63,0.133227,,136.667,,31.3333
64,0.135763,,138.333,,31.4667
65,0.1383,,140,,31.6
66,0.14152,,137,,31.6
67,0.1449,,134,,31.6
68,0.14778,,134,,31.6
69,0.15045,,132.5,,31.6
70,0.15312,,131,,31.6
71,0.15579,,129.5,,31.6
72,0.15846,,128,,31.6
73,0.161325,,127,,31.65
74,0.16419,,126,,31.7
75,0.167055,,125,,31.75
76,0.16992,,124,,31.8
77,0.172845,,123.5,,31.7
78,0.17577,,123,,31.6
79,0.178695,,122.5,,31.5
80,0.18162,,122,,31.4
81,0.184545,,121.5,,31.3
82,0.18747,,121,,31.2
83,0.19001,,121,,31.3
84,0.19255,,121,,31.4
85,0.19509,,121,,31.5
86,0.19763,,121,,31.6
87,0.20017,,121,,31.7
88,0.20271,,121,,31.8
89,0.20525,,121,,31.9
90,0.20779,,121,,32
91,0.210397,,121.429,,32.0571
92,0.213004,,121.857,,32.1143
93,0.215611,,122.286,,32.1714
94,0.218219,,122.714,,32.2286
95,0.220826,,123.143,,32.2857
96,0.223433,,123.571,,32.3429
97,0.22604,,124,,32.4
