secs,km,power,hr,cad,alt
0,0,,78,,244.227
1,0.00156414,,78,,244.3
2,0.00318023,,78,,244.336
3,0.00480519,,78,,244.36
4,0.00605974,,78,,244.376
5,0.00679243,,78,,244.389
6,0.00752512,,78,,244.403
7,0.00825781,,78,,244.417
8,0.00982332,,78,,244.474
9,0.0109934,,78,,244.546
10,0.0121892,,78,,244.604
11,0.0137714,,78,,244.641
12,0.0153715,,80,,244.654
13,0.0167407,,81,,244.659
14,0.0179256,,81,,244.662
15,0.0189748,,81,,244.666
16,0.0201338,,81,,244.665
17,0.0212514,,81,,244.653
18,0.0223602,,81,,244.633
19,0.0234061,,81,,244.61
20,0.0246296,,84,,244.589
21,0.0257471,,86.5,,244.583
22,0.0268646,,89,,244.577
23,0.0281537,,91,,244.578
24,0.0290905,,91,,244.584
25,0.0300273,,91,,244.589
26,0.0312042,,91,,244.588
27,0.0324722,,91,,244.569
28,0.0339626,,91,,244.531
29,0.0354805,,91,,244.481
30,0.0368993,,91,,244.427
31,0.0385167,,91,,244.373
32,0.0403321,,92,,244.317
33,0.0415682,,94,,244.261
34,0.0423113,,94,,244.226
35,0.0430544,,94,,244.19
36,0.0446149,,94,,244.104
37,0.0460599,,94,,244.011
38,0.0472405,,94,,243.911
39,0.0486522,,94,,243.804
40,0.0502044,,94,,243.684
41,0.0518395,,94,,243.552
42,0.0534955,,94,,243.407
43,0.0550618,,94,,243.257
44,0.0563766,,94,,243.179
45,0.0576915,,94,,243.1
46,0.0588862,,94,,242.946
47,0.0601485,,94,,242.791
48,0.0616285,,94,,242.632
49,0.0630392,,94,,242.468
50,0.0644508,,94,,242.299
51,0.0659687,,94,,242.129
52,0.0675088,,94,,241.953
53,0.0690648,,94,,241.774
54,0.0703904,,94,,241.589
55,0.0709256,,94,,241.543
56,0.0714607,,94,,241.497
57,0.0719959,,94,,241.451
58,0.0725311,,94,,241.405
59,0.0730662,,94,,241.359
60,0.0741155,,93,,241.12
61,0.0746174,,92.5,,241.075
62,0.0751193,,92,,241.03
63,0.0756212,,91.5,,240.986
64,0.0761231,,91,,240.941
65,0.076625,,90.5,,240.896
66,0.0771269,,90,,240.851
67,0.0783437,,88,,240.785
68,0.0795606,,86,,240.719
69,0.0807774,,84,,240.653
70,0.0819942,,82,,240.587
71,0.0833886,,82,,240.335
72,0.0848293,,82,,240.097
73,0.0861723,,82,,239.868
74,0.0874832,,82,,239.638
75,0.0888376,,82,,239.519
76,0.090192,,82,,239.399
77,0.0915872,,82,,239.159
78,0.0929177,,82,,238.92
79,0.0941731,,82,,238.685
80,0.0953152,,82,,238.449
81,0.0964324,,82,,238.211
82,0.0976464,,82,,237.975
83,0.0987748,,82,,237.744
84,0.0999434,,82,,237.516
85,0.10112,,82,,237.294
86,0.102363,,82,,237.067
87,0.103534,,82,,236.844
88,0.104479,,82,,236.738
89,0.105425,,82,,236.632
90,0.106515,,82,,236.427
91,0.107688,,82,,236.229
92,0.108844,,82,,236.036
93,0.109973,,82,,235.849
94,0.111112,,82,,235.663
95,0.112127,,82,,235.484
96,0.113197,,82,,235.314
97,0.114305,,82,,235.15
98,0.115494,,82,,234.99
99,0.116676,,83,,234.871
100,0.117897,,83,,234.76
101,0.119256,,84,,234.671
102,0.120559,,85,,234.581
103,0.121809,,85,,234.482
104,0.122988,,85,,234.378
105,0.124116,,85,,234.275
106,0.125318,,85,,234.178
107,0.126539,,86,,234.092
108,0.127831,,88,,234.012
109,0.129138,,89,,233.942
110,0.130471,,89,,233.882
111,0.131933,,89,,233.833
112,0.133254,,89,,233.791
113,0.134596,,90,,233.751
114,0.136021,,90,,233.708
115,0.137428,,90,,233.662
116,0.138827,,90,,233.612
117,0.140229,,90,,233.568
118,0.141189,,90,,233.554
119,0.142149,,90,,233.54
120,0.143108,,90,,233.525
121,0.143952,,90,,233.504
122,0.144795,,90,,233.483
147,0.150697,,91,,233.489
148,0.152102,,92,,233.499
149,0.153227,,92,,233.509
150,0.154306,,91,,233.52
204,0.154306,,95,,233.496
205,0.154832,,95,,233.492
206,0.155358,,95,,233.488
207,0.155884,,95,,233.484
208,0.15641,,95,,233.481
209,0.156937,,95,,233.477
210,0.157463,,95,,233.473
211,0.157989,,95,,233.469
212,0.158515,,95,,233.465
213,0.159045,,95,,233.452
214,0.159576,,95,,233.438
215,0.160356,,95,,233.428
216,0.161136,,95,,233.418
217,0.162086,,95,,233.409
218,0.163036,,95,,233.399
219,0.164038,,95,,233.391
220,0.165039,,95,,233.383
221,0.16604,,95,,233.374
222,0.167216,,95,,233.347
223,0.168325,,95,,233.32
224,0.169376,,95,,233.297
225,0.170465,,95,,233.283
226,0.171387,,95,,233.276
227,0.172309,,95,,233.268
228,0.172835,,95,,233.266
229,0.173361,,95,,233.264
230,0.174288,,95,,233.269
231,0.175214,,95,,233.273
232,0.176791,,95,,233.283
233,0.178428,,95,,233.289
234,0.17978,,95,,233.287
235,0.180985,,95,,233.283
236,0.182087,,95,,233.279
267,0.188373,,83,,233.291
268,0.189336,,83,,233.299
269,0.190298,,83,,233.308
270,0.191408,,83,,233.33
300,0.205627,,79,,233.355
301,0.206422,,79,,233.39
302,0.207217,,79,,233.426
303,0.20854,,79,,233.502
304,0.210059,,80,,233.579
305,0.211439,,82,,233.614
306,0.21282,,84,,233.65
307,0.214015,,84,,233.664
308,0.215085,,84,,233.671
309,0.216087,,84,,233.677
310,0.217088,,84,,233.683
311,0.217981,,88.5,,233.687
312,0.218874,,93,,233.69
313,0.219617,,93.75,,233.701
314,0.220361,,94.5,,233.712
315,0.221105,,95.25,,233.723
316,0.221848,,96,,233.734
317,0.222382,,96,,233.763
318,0.222916,,96,,233.793
319,0.223443,,96,,233.819
320,0.223971,,96,,233.844
321,0.224347,,96,,233.854
322,0.224724,,96,,233.864
323,0.2251,,96,,233.874
324,0.225306,,96.4,,233.876
325,0.225512,,96.8,,233.878
326,0.225718,,97.2,,233.88
327,0.225923,,97.6,,233.882
328,0.226129,,98,,233.884
362,0.226129,,88,,233.896
363,0.226945,,89,,233.899
364,0.227761,,90,,233.901
365,0.228074,,90.5,,233.899
366,0.228387,,91,,233.897
367,0.228699,,91.5,,233.895
368,0.229012,,92,,233.893
432,0.229012,,92,,233.935
433,0.231095,,92,,233.99
434,0.233051,,92,,234.062
435,0.234668,,92,,234.136
436,0.235835,,92,,234.202
437,0.235978,,92,,234.202
438,0.236121,,92,,234.203
439,0.236264,,92,,234.203
440,0.236407,,92,,234.203
441,0.23655,,92,,234.203
442,0.236693,,92,,234.203
443,0.236836,,92,,234.203
444,0.23698,,92,,234.204
445,0.237123,,92,,234.204
446,0.237266,,92,,234.204
447,0.237409,,92,,234.204
448,0.237726,,92.25,,234.215
449,0.238044,,92.5,,234.225
450,0.238362,,92.75,,234.235
451,0.238679,,93,,234.246
452,0.238921,,93,,234.244
453,0.239162,,93,,234.242
454,0.239403,,93,,234.24
455,0.239645,,93,,234.238
456,0.239886,,93,,234.236
457,0.241059,,93,,234.25
458,0.242231,,93,,234.264
459,0.24348,,93,,234.318
460,0.24486,,93,,234.365
461,0.246046,,93,,234.412
462,0.247239,,93,,234.437
463,0.248432,,93,,234.462
464,0.249721,,93,,234.505
465,0.25111,,93,,234.493
466,0.252467,,95,,234.479
467,0.253819,,95,,234.477
468,0.255171,,95,,234.476
469,0.256753,,95,,234.489
