secs,km,power,hr,cad,alt
0,0,,101,,333.4
1,0.00062,,99,,332.4
2,0.00241,,98,,332.133
3,0.0042,,97,,331.867
4,0.00599,,96,,331.6
5,0.00823,,93,,331.4
6,0.01098,,92.5,,331.5
7,0.01373,,92,,331.6
8,0.01734,,93.5,,331.6
9,0.02095,,95,,331.6
10,0.02424,,97.5,,331.6
11,0.02753,,100,,331.6
12,0.032285,,101.5,,331.6
13,0.03704,,103,,331.6
14,0.04344,,104,,331.6
15,0.04984,,105,,331.6
16,0.05624,,106,,331.6
17,0.06255,,107,,331.4
18,0.06886,,108,,331.2
19,0.075185,,109,,331.1
20,0.08151,,110,,331
21,0.08793,,111,,331
22,0.0943875,,111.25,,330.9
23,0.100845,,111.5,,330.8
24,0.107302,,111.75,,330.7
25,0.11376,,112,,330.6
26,0.12046,,112,,330.6
27,0.12733,,113,,330.533
28,0.1342,,114,,330.467
29,0.14107,,115,,330.4
30,0.14795,,115,,330.4
31,0.15483,,115,,330.4
32,0.16171,,115,,330.4
33,0.168785,,117,,330.7
34,0.17586,,119,,331
35,0.1835,,118,,322.6
36,0.19114,,117,,314.2
37,0.19811,,116,,314.2
38,0.20508,,116.333,,314.067
39,0.21205,,116.667,,313.933
40,0.21902,,117,,313.8
41,0.22631,,116.667,,313.733
42,0.2336,,116.333,,313.667
43,0.24089,,116,,313.6
44,0.24879,,116.333,,313.467
45,0.25669,,116.667,,313.333
46,0.26459,,117,,313.2
47,0.27268,,118,,313
48,0.281153,,118.667,,312.867
49,0.289627,,119.333,,312.733
50,0.2981,,120,,312.6
51,0.306997,,119.667,,312.467
52,0.315893,,119.333,,312.333
53,0.32479,,119,,312.2
54,0.33216,,119,,311.8
55,0.34253,,119,,311.4
56,0.3529,,119,,311
57,0.3621,,118,,310.4
58,0.370235,,118,,309.6
59,0.37837,,118,,308.8
60,0.387005,,118,,308.4
61,0.39564,,118,,308
62,0.40593,,118,,307.6
63,0.414263,,118,,307.467
64,0.422597,,118,,307.333
65,0.43093,,118,,307.2
66,0.43881,,118.5,,307.1
67,0.44669,,119,,307
68,0.453845,,119.5,,306.8
69,0.461,,120,,306.6
70,0.46745,,119.25,,306.45
71,0.4739,,118.5,,306.3
72,0.48035,,117.75,,306.15
73,0.4868,,117,,306
74,0.49285,,117,,306
75,0.49844,,116.667,,305.867
76,0.50403,,116.333,,305.733
77,0.50962,,116,,305.6
78,0.51459,,116,,305.4
79,0.51956,,116,,305.2
80,0.52509,,116,,305
81,0.53041,,115.5,,304.7
82,0.53573,,115,,304.4
83,0.54299,,114.667,,304.2
84,0.55025,,114.333,,304
85,0.55751,,114,,303.8
86,0.56476,,114,,303.8
87,0.572415,,113.5,,303.7
88,0.58007,,113,,303.6
89,0.586993,,112,,303.867
90,0.593917,,111,,304.133
91,0.60084,,110,,304.4
92,0.60956,,110,,304.6
93,0.616787,,110,,304.667
94,0.624013,,110,,304.733
95,0.63124,,110,,304.8
96,0.638497,,110.333,,304.8
97,0.645753,,110.667,,304.8
98,0.65301,,111,,304.8
99,0.660575,,111,,304.8
100,0.66814,,111,,304.8
101,0.675553,,111.333,,304.8
102,0.682967,,111.667,,304.8
103,0.69038,,112,,304.8
104,0.69789,,112,,304.8
105,0.7054,,112,,304.8
106,0.71291,,112,,304.8
107,0.72043,,112,,304.8
108,0.727987,,112.333,,304.733
109,0.735543,,112.667,,304.667
110,0.7431,,113,,304.6
111,0.75043,,114.333,,304.6
112,0.75776,,115.667,,304.6
113,0.76509,,117,,304.6
114,0.77224,,117,,304.667
115,0.77939,,117,,304.733
116,0.78654,,117,,304.8
117,0.793503,,117.667,,304.8
118,0.800467,,118.333,,304.8
119,0.80743,,119,,304.8
120,0.814017,,119,,304.8
121,0.820603,,119,,304.8
122,0.82719,,119,,304.8
123,0.833413,,119.667,,304.8
124,0.839637,,120.333,,304.8
125,0.84586,,121,,304.8
126,0.85079,,121,,304.8
127,0.85795,,121,,304.8
128,0.86412,,121.5,,304.9
129,0.87029,,122,,305
130,0.87643,,122,,305
131,0.88281,,121.75,,305.05
132,0.88919,,121.5,,305.1
133,0.89557,,121.25,,305.15
134,0.90195,,121,,305.2
135,0.90853,,120,,305.2
136,0.915267,,120.25,,305.25
137,0.922005,,120.5,,305.3
138,0.928743,,120.75,,305.35
139,0.93548,,121,,305.4
140,0.94232,,121,,305.4
141,0.94916,,121,,305.4
142,0.956,,121,,305.4
143,0.962625,,121,,305.4
144,0.96925,,121,,305.4
145,0.97585,,116,,305.4
146,0.98234,,112,,305.4
147,0.98875,,111,,305.6
148,0.99506,,108,,305.6
149,1.00169,,105,,305.8
150,1.00829,,105.75,,305.8
151,1.01489,,106.5,,305.8
152,1.02148,,107.25,,305.8
153,1.02808,,108,,305.8
154,1.03449,,110,,305.9
155,1.04089,,112,,306
156,1.04656,,110.75,,306.15
157,1.05223,,109.5,,306.3
158,1.0579,,108.25,,306.45
159,1.06357,,107,,306.6
160,1.06919,,106.5,,306.8
161,1.0748,,106,,307
162,1.08025,,106.333,,307.267
163,1.08571,,106.667,,307.533
164,1.09116,,107,,307.8
165,1.09639,,107,,308
166,1.10162,,107,,308.2
167,1.10686,,107,,308.4
168,1.11209,,107,,308.6
169,1.11729,,108,,308.8
170,1.12235,,107,,309.2
171,1.12743,,107,,309.4
172,1.13251,,107,,309.6
173,1.13758,,107,,309.8
174,1.14266,,107,,310
175,1.14773,,107,,310.25
176,1.1528,,107,,310.5
177,1.15787,,107,,310.75
178,1.16294,,107,,311
179,1.16813,,108,,311.2
180,1.17316,,109.333,,311.467
181,1.1782,,110.667,,311.733
182,1.18323,,112,,312
183,1.18832,,112,,312.1
184,1.19342,,112,,312.2
