secs,km,power,hr,cad,alt
0,0,,89,,191.6
1,0.00199,,89,,191.6
2,0.00494,,90.5,,191.7
3,0.00789,,92,,191.8
4,0.01096,,93.5,,191.8
5,0.01403,,95,,191.8
6,0.01672,,96,,191.8
7,0.01941,,97,,191.8
8,0.0221,,98,,191.8
9,0.02506,,99,,191.733
10,0.02802,,100,,191.667
11,0.03098,,101,,191.6
12,0.034085,,102,,191.5
13,0.03719,,103,,191.4
14,0.0402275,,103.75,,191.4
15,0.043265,,104.5,,191.4
16,0.0463025,,105.25,,191.4
17,0.04934,,106,,191.4
18,0.05257,,106.75,,191.45
19,0.0558,,107.5,,191.5
20,0.05903,,108.25,,191.55
21,0.06226,,109,,191.6
22,0.0653425,,109.75,,191.45
23,0.068425,,110.5,,191.3
24,0.0715075,,111.25,,191.15
25,0.07459,,112,,191
26,0.07771,,112.5,,191
27,0.08083,,113,,191
28,0.08395,,113.5,,191
29,0.08707,,114,,191
30,0.09019,,114.5,,191
31,0.09331,,115,,191
32,0.09629,,115.4,,190.8
33,0.09927,,115.8,,190.6
34,0.10225,,116.2,,190.4
35,0.10523,,116.6,,190.2
36,0.10821,,117,,190
37,0.110902,,117,,189.933
38,0.113593,,117,,189.867
39,0.116285,,117,,189.8
40,0.118977,,117,,189.733
41,0.121668,,117,,189.667
42,0.12436,,117,,189.6
43,0.12748,,117.75,,189.6
44,0.1306,,118.5,,189.6
45,0.13372,,119.25,,189.6
46,0.13684,,120,,189.6
47,0.139973,,121,,189.667
48,0.143107,,122,,189.733
49,0.14624,,123,,189.8
50,0.149398,,123.6,,189.8
51,0.152556,,124.2,,189.8
52,0.155714,,124.8,,189.8
53,0.158872,,125.4,,189.8
54,0.16203,,126,,189.8
55,0.16526,,126.6,,189.48
56,0.16849,,127.2,,189.16
57,0.17172,,127.8,,188.84
58,0.17495,,128.4,,188.52
59,0.17818,,129,,188.2
60,0.18103,,129.125,,188.175
61,0.18388,,129.25,,188.15
62,0.18673,,129.375,,188.125
63,0.18958,,129.5,,188.1
64,0.19243,,129.625,,188.075
65,0.19528,,129.75,,188.05
66,0.19813,,129.875,,188.025
67,0.20098,,130,,188
68,0.203607,,130.5,,187.967
69,0.206233,,131,,187.933
70,0.20886,,131.5,,187.9
71,0.211487,,132,,187.867
72,0.214113,,132.5,,187.833
73,0.21674,,133,,187.8
74,0.219385,,133.25,,187.65
75,0.22203,,133.5,,187.5
76,0.224675,,133.75,,187.35
77,0.22732,,134,,187.2
78,0.229965,,134.25,,187.05
79,0.23261,,134.5,,186.9
80,0.235255,,134.75,,186.75
81,0.2379,,135,,186.6
82,0.240695,,135,,186.525
83,0.24349,,135,,186.45
84,0.246285,,135,,186.375
85,0.24908,,135,,186.3
86,0.251875,,135,,186.225
87,0.25467,,135,,186.15
88,0.257465,,135,,186.075
89,0.26026,,135,,186
90,0.263096,,135.125,,186.025
91,0.265933,,135.25,,186.05
92,0.268769,,135.375,,186.075
93,0.271605,,135.5,,186.1
94,0.274441,,135.625,,186.125
95,0.277278,,135.75,,186.15
96,0.280114,,135.875,,186.175
97,0.28295,,136,,186.2
98,0.285708,,136.125,,186.125
99,0.288465,,136.25,,186.05
100,0.291222,,136.375,,185.975
101,0.29398,,136.5,,185.9
102,0.296738,,136.625,,185.825
103,0.299495,,136.75,,185.75
104,0.302252,,136.875,,185.675
105,0.30501,,137,,185.6
106,0.307708,,137,,185.5
107,0.310405,,137,,185.4
108,0.313103,,137,,185.3
109,0.3158,,137,,185.2
110,0.318497,,137,,185.1
111,0.321195,,137,,185
112,0.323892,,137,,184.9
113,0.32659,,137,,184.8
114,0.329325,,137.25,,184.65
115,0.33206,,137.5,,184.5
116,0.334795,,137.75,,184.35
117,0.33753,,138,,184.2
118,0.340265,,138.25,,184.05
119,0.343,,138.5,,183.9
120,0.345735,,138.75,,183.75
121,0.34847,,139,,183.6
122,0.3512,,139,,183.675
123,0.35393,,139,,183.75
124,0.35666,,139,,183.825
125,0.35939,,139,,183.9
126,0.36212,,139,,183.975
127,0.36485,,139,,184.05
128,0.36758,,139,,184.125
129,0.37031,,139,,184.2
130,0.373063,,139.125,,184.075
131,0.375815,,139.25,,183.95
132,0.378568,,139.375,,183.825
133,0.38132,,139.5,,183.7
134,0.384073,,139.625,,183.575
135,0.386825,,139.75,,183.45
136,0.389578,,139.875,,183.325
137,0.39233,,140,,183.2
138,0.395028,,140,,183.025
139,0.397725,,140,,182.85
140,0.400423,,140,,182.675
141,0.40312,,140,,182.5
142,0.405817,,140,,182.325
143,0.408515,,140,,182.15
144,0.411212,,140,,181.975
145,0.41391,,140,,181.8
146,0.416655,,140.125,,181.925
147,0.4194,,140.25,,182.05
148,0.422145,,140.375,,182.175
149,0.42489,,140.5,,182.3
150,0.427635,,140.625,,182.425
151,0.43038,,140.75,,182.55
152,0.433125,,140.875,,182.675
153,0.43587,,141,,182.8
154,0.438484,,141,,182.9
155,0.441098,,141,,183
156,0.443711,,141,,183.1
157,0.446325,,141,,183.2
158,0.448939,,141,,183.3
159,0.451553,,141,,183.4
160,0.454166,,141,,183.5
161,0.45678,,141,,183.6
162,0.459493,,141,,184.025
163,0.462205,,141,,184.45
164,0.464918,,141,,184.875
165,0.46763,,141,,185.3
166,0.470342,,141,,185.725
167,0.473055,,141,,186.15
168,0.475768,,141,,186.575
169,0.47848,,141,,187
170,0.481119,,141,,187.075
171,0.483758,,141,,187.15
172,0.486396,,141,,187.225
173,0.489035,,141,,187.3
174,0.491674,,141,,187.375
175,0.494313,,141,,187.45
176,0.496951,,141,,187.525
177,0.49959,,141,,187.6
178,0.502347,,141,,187.65
