secs,km,power,hr,cad,alt
0,0,,85,,59
1,0.00254,,86,,59
2,0.005265,,88.5,,59
3,0.00799,,91,,59
4,0.01069,,96,,59
5,0.01357,,101,,59
6,0.01656,,105,,59.2
7,0.01993,,109,,59.6
8,0.02313,,114,,60
9,0.02643,,118,,60.2
10,0.02956,,121,,60.4
11,0.03165,,121,,60
12,0.03429,,121.8,,59.56
13,0.03693,,122.6,,59.12
14,0.03957,,123.4,,58.68
15,0.04221,,124.2,,58.24
16,0.04485,,125,,57.8
17,0.04766,,128,,57.8
18,0.05039,,129.5,,57.7
19,0.05312,,131,,57.6
20,0.0561067,,132,,57.7333
21,0.0590933,,133,,57.8667
22,0.06208,,134,,58
23,0.0650729,,134.143,,57.7143
24,0.0680657,,134.286,,57.4286
25,0.0710586,,134.429,,57.1429
26,0.0740514,,134.571,,56.8571
27,0.0770443,,134.714,,56.5714
28,0.0800371,,134.857,,56.2857
29,0.08303,,135,,56
30,0.0861425,,135.75,,55.7
31,0.089255,,136.5,,55.4
32,0.0923675,,137.25,,55.1
33,0.09548,,138,,54.8
34,0.0984043,,137.714,,54.9143
35,0.101329,,137.429,,55.0286
36,0.104253,,137.143,,55.1429
37,0.107177,,136.857,,55.2571
38,0.110101,,136.571,,55.3714
39,0.113026,,136.286,,55.4857
40,0.11595,,136,,55.6
41,0.11869,,136.125,,55.65
42,0.12143,,136.25,,55.7
43,0.12417,,136.375,,55.75
44,0.12691,,136.5,,55.8
45,0.12965,,136.625,,55.85
46,0.13239,,136.75,,55.9
47,0.13513,,136.875,,55.95
48,0.13787,,137,,56
49,0.140787,,136.714,,56.0857
50,0.143704,,136.429,,56.1714
51,0.146621,,136.143,,56.2571
52,0.149539,,135.857,,56.3429
53,0.152456,,135.571,,56.4286
54,0.155373,,135.286,,56.5143
55,0.15829,,135,,56.6
56,0.16108,,134.25,,56.5
57,0.16387,,133.5,,56.4
58,0.16666,,132.75,,56.3
59,0.16945,,132,,56.2
60,0.172119,,132.429,,55.8857
61,0.174787,,132.857,,55.5714
62,0.177456,,133.286,,55.2571
63,0.180124,,133.714,,54.9429
64,0.182793,,134.143,,54.6286
65,0.185461,,134.571,,54.3143
66,0.18813,,135,,54
67,0.190913,,135.5,,53.7667
68,0.193697,,136,,53.5333
69,0.19648,,136.5,,53.3
70,0.199263,,137,,53.0667
71,0.202047,,137.5,,52.8333
72,0.20483,,138,,52.6
73,0.2078,,141,,52.4
74,0.21077,,144,,52.2
75,0.213617,,145,,52
76,0.216463,,146,,51.8
77,0.21931,,147,,51.6
78,0.22253,,145,,51.8
79,0.22575,,143,,52
80,0.22897,,141,,52.2
