secs,km,power,hr,cad,alt
0,0,,140,,689
1,0,,140,,689
2,0.00388,,140,,688.8
3,0.00778,,139.667,,688.8
4,0.01168,,139.333,,688.8
5,0.01558,,139,,688.8
6,0.01948,,138.667,,688.8
7,0.02338,,138.333,,688.8
8,0.02728,,138,,688.8
9,0.0312483,,137.5,,688.733
10,0.0352167,,137,,688.667
11,0.039185,,136.5,,688.6
12,0.0431533,,136,,688.533
13,0.0471217,,135.5,,688.467
14,0.05109,,135,,688.4
15,0.05522,,132,,688.2
16,0.05967,,133,,688.2
17,0.06412,,134,,688.2
18,0.06857,,135,,688.2
19,0.07302,,136,,688.2
20,0.07706,,135.2,,688.16
21,0.0811,,134.4,,688.12
22,0.08514,,133.6,,688.08
23,0.08918,,132.8,,688.04
24,0.09322,,132,,688
25,0.0971883,,132,,687.867
26,0.101157,,132,,687.733
27,0.105125,,132,,687.6
28,0.109093,,132,,687.467
29,0.113062,,132,,687.333
30,0.11703,,132,,687.2
31,0.121114,,132.4,,687.08
32,0.125198,,132.8,,686.96
33,0.129282,,133.2,,686.84
34,0.133366,,133.6,,686.72
35,0.13745,,134,,686.6
36,0.141322,,133.667,,686.5
37,0.145193,,133.333,,686.4
38,0.149065,,133,,686.3
39,0.152937,,132.667,,686.2
40,0.156808,,132.333,,686.1
41,0.16068,,132,,686
42,0.16441,,130.5,,686
43,0.16814,,129,,686
44,0.17161,,129,,686
45,0.17508,,129,,686
46,0.17855,,129,,686
47,0.18202,,129,,686
48,0.185407,,129.167,,686
49,0.188793,,129.333,,686
50,0.19218,,129.5,,686
51,0.195567,,129.667,,686
52,0.198953,,129.833,,686
53,0.20234,,130,,686
54,0.20599,,134,,686
55,0.20965,,133.833,,686
56,0.21331,,133.667,,686
57,0.21697,,133.5,,686
58,0.22063,,133.333,,686
59,0.22429,,133.167,,686
60,0.22795,,133,,686
61,0.23149,,132.5,,686.033
62,0.23503,,132,,686.067
63,0.23857,,131.5,,686.1
64,0.24211,,131,,686.133
65,0.24565,,130.5,,686.167
66,0.24919,,130,,686.2
67,0.252703,,130.167,,686.2
68,0.256217,,130.333,,686.2
69,0.25973,,130.5,,686.2
70,0.263243,,130.667,,686.2
71,0.266757,,130.833,,686.2
72,0.27027,,131,,686.2
73,0.27412,,132.5,,686.2
74,0.27797,,134,,686.2
75,0.28182,,135.5,,686.2
76,0.28567,,137,,686.2
77,0.289566,,137.8,,686.16
78,0.293462,,138.6,,686.12
79,0.297358,,139.4,,686.08
80,0.301254,,140.2,,686.04
81,0.30515,,141,,686
82,0.309023,,140.5,,686
83,0.312897,,140,,686
84,0.31677,,139.5,,686
85,0.320643,,139,,686
86,0.324517,,138.5,,686
87,0.32839,,138,,686
88,0.332132,,138,,686
89,0.335873,,138,,686
90,0.339615,,138,,686
91,0.343357,,138,,686
92,0.347098,,138,,686
93,0.35084,,138,,686
94,0.35444,,138,,686
95,0.35804,,138,,686
96,0.36164,,138,,686
97,0.36524,,138,,686
98,0.36884,,138,,686
99,0.37244,,138,,686
100,0.376132,,138.167,,686.033
101,0.379823,,138.333,,686.067
102,0.383515,,138.5,,686.1
103,0.387207,,138.667,,686.133
104,0.390898,,138.833,,686.167
105,0.39459,,139,,686.2
106,0.398233,,139,,686.333
107,0.401877,,139,,686.467
108,0.40552,,139,,686.6
109,0.409163,,139,,686.733
110,0.412807,,139,,686.867
111,0.41645,,139,,687
112,0.420112,,139.6,,687
113,0.423774,,140.2,,687
114,0.427436,,140.8,,687
115,0.431098,,141.4,,687
116,0.43476,,142,,687
117,0.438572,,142.167,,687
118,0.442383,,142.333,,687
119,0.446195,,142.5,,687
120,0.450007,,142.667,,687
121,0.453818,,142.833,,687
122,0.45763,,143,,687
123,0.461358,,142.667,,687
124,0.465087,,142.333,,687
125,0.468815,,142,,687
126,0.472543,,141.667,,687
127,0.476272,,141.333,,687
128,0.48,,141,,687
129,0.483726,,141.6,,686.92
130,0.487452,,142.2,,686.84
131,0.491178,,142.8,,686.76
132,0.494904,,143.4,,686.68
133,0.49863,,144,,686.6
134,0.502344,,144.6,,686.52
135,0.506058,,145.2,,686.44
136,0.509772,,145.8,,686.36
137,0.513486,,146.4,,686.28
138,0.5172,,147,,686.2
139,0.52082,,147,,686.2
140,0.524437,,146.833,,686.2
141,0.528053,,146.667,,686.2
142,0.53167,,146.5,,686.2
143,0.535287,,146.333,,686.2
144,0.538903,,146.167,,686.2
145,0.54252,,146,,686.2
146,0.546158,,145.833,,686.333
147,0.549797,,145.667,,686.467
148,0.553435,,145.5,,686.6
149,0.557073,,145.333,,686.733
150,0.560712,,145.167,,686.867
151,0.56435,,145,,687
152,0.567878,,143.75,,686.85
153,0.571405,,142.5,,686.7
154,0.574933,,141.25,,686.55
155,0.57846,,140,,686.4
156,0.581905,,142.5,,686.3
157,0.58535,,145,,686.2
158,0.588953,,144.833,,686.3
159,0.592557,,144.667,,686.4
160,0.59616,,144.5,,686.5
161,0.599763,,144.333,,686.6
162,0.603367,,144.167,,686.7
163,0.60697,,144,,686.8
164,0.610657,,144,,686.833
165,0.614343,,144,,686.867
166,0.61803,,144,,686.9
167,0.621717,,144,,686.933
168,0.625403,,144,,686.967
169,0.62909,,144,,687
170,0.632802,,144,,687.033
171,0.636513,,144,,687.067
172,0.640225,,144,,687.1
173,0.643937,,144,,687.133
174,0.647648,,144,,687.167
175,0.65136,,144,,687.2
176,0.65511,,143.667,,687.2
177,0.65886,,143.333,,687.2
178,0.66261,,143,,687.2
179,0.66621,,140,,687.2
180,0.66968,,144,,687.2
181,0.67316,,144.167,,687.2
182,0.67664,,144.333,,687.2
183,0.68012,,144.5,,687.2
184,0.6836,,144.667,,687.2
185,0.68708,,144.833,,687.2
