secs,km,power,hr,cad,alt
0,0,,98,,59.8
1,0.00193,,99,,59.8
2,0.0026,,100,,59.8
3,0.00369,,100,,59.8
4,0.00462,,101,,59.8
5,0.00639,,101,,59.8
6,0.00845,,102,,59.8
7,0.01027,,103,,59.8
8,0.01217,,106,,59.8
9,0.01408,,110,,59.8
10,0.01582,,112,,59.8
11,0.01773,,114,,59.6
12,0.01995,,116,,59.2
13,0.02239,,117,,59
14,0.02477,,120,,58.8
15,0.02695,,120,,58.6
16,0.02928,,122,,58.6
17,0.03152,,126,,58.4
18,0.03424,,128,,58.2
19,0.03659,,128,,58.2
20,0.03865,,130,,58
21,0.04083,,130,,58
22,0.04327,,133,,58
23,0.04551,,134,,58
24,0.04816,,135,,57.8
25,0.05179,,138,,57.8
26,0.05446,,138,,57.8
27,0.05703,,137,,57.8
28,0.05955,,139,,57.6
29,0.06396,,140,,57.6
30,0.06819,,141,,57.4
31,0.07134,,141,,57.2
32,0.07433,,142,,57.2
33,0.07781,,142,,57
34,0.08124,,143,,57
35,0.08449,,143,,57
36,0.08731,,143,,56.8
37,0.09025,,143,,56.8
38,0.09347,,142,,56.8
39,0.09694,,142,,56.6
40,0.1003,,145,,56.6
41,0.1035,,145,,56.4
42,0.10646,,143,,56.4
43,0.10906,,144,,56.4
44,0.11182,,144,,56.2
45,0.11456,,144,,56
46,0.1169,,143,,55.8
47,0.11911,,139,,55.6
48,0.12159,,140,,55.6
49,0.12419,,139,,55.6
50,0.12586,,138,,55.4
51,0.1272,,138,,55.4
52,0.12811,,140,,55.2
53,0.12884,,140,,55.2
54,0.12884,,141,,55.2
55,0.12934,,141,,55
56,0.12978,,142,,55
57,0.13006,,142,,54.8
58,0.1304,,144,,54.8
59,0.1304,,144,,54.6
60,0.13058,,142,,54.6
61,0.1306,,142,,54.6
62,0.1306,,140,,54.6
63,0.1306,,140,,54.6
64,0.1306,,140,,54.6
65,0.1306,,140,,54.6
66,0.13102,,140,,54.6
67,0.13232,,140,,54.6
68,0.13364,,140,,54.6
69,0.13537,,140,,54.6
70,0.13812,,140,,54.6
71,0.13987,,140,,54.6
72,0.14184,,139,,54.6
73,0.14395,,139,,54.4
74,0.14585,,139,,54.4
75,0.14789,,138,,54.4
76,0.1496,,136,,54.4
77,0.15112,,138,,54.4
78,0.15289,,134,,54.4
79,0.15447,,134,,54.4
80,0.15623,,135,,54.2
81,0.15818,,135,,54
82,0.16066,,136,,53.8
83,0.16328,,136,,53.8
84,0.16604,,135,,53.6
85,0.16897,,135,,53.6
86,0.17134,,133,,53.4
87,0.17463,,133,,53.2
88,0.17802,,133,,53.2
89,0.18108,,133,,53
90,0.18345,,133,,52.8
91,0.18584,,132,,52.6
92,0.18803,,132,,52.6
93,0.19018,,132,,52.6
94,0.19237,,133,,52.6
95,0.19455,,134,,52.6
96,0.19739,,133,,52.6
97,0.19979,,132,,52.4
98,0.20203,,134,,52.4
99,0.20491,,134,,52.2
100,0.20733,,133,,52
101,0.20996,,131,,51.8
102,0.21264,,134,,51.8
103,0.21537,,135,,51.8
104,0.21817,,136,,51.8
105,0.22115,,136,,51.6
106,0.22457,,136,,51.6
107,0.22755,,135,,51.4
108,0.23054,,136,,51.2
109,0.23368,,135,,51.2
110,0.23638,,133,,51
111,0.23862,,135,,50.8
112,0.24065,,135,,50.6
113,0.24235,,135,,50.6
114,0.2443,,135,,50.4
115,0.24547,,135,,50.4
116,0.24686,,135,,50.4
117,0.24813,,135,,50.4
118,0.24922,,137,,50.2
119,0.25126,,135,,50.2
120,0.25304,,135,,50.2
121,0.25483,,135,,50.2
122,0.25658,,136,,50.2
123,0.25852,,135,,50.2
124,0.26054,,135,,50.2
125,0.26244,,135,,50.2
126,0.26427,,136,,50.2
127,0.26606,,137,,50.2
128,0.26801,,136,,50.2
129,0.27013,,135,,50.2
130,0.27208,,135,,50.2
131,0.27373,,135,,50.2
132,0.27545,,137,,50
133,0.27722,,136,,50
134,0.27871,,136,,50
135,0.27996,,136,,50
136,0.28152,,137,,50
137,0.28311,,135,,50
138,0.28485,,137,,50
139,0.28746,,137,,49.8
140,0.2893,,136,,49.8
141,0.29082,,136,,49.8
142,0.29227,,135,,49.8
143,0.29645,,136,,49.6
144,0.29892,,135,,49.6
145,0.30141,,135,,49.6
146,0.30301,,136,,49.6
147,0.30496,,137,,49.6
148,0.3066,,136,,49.6
149,0.30837,,137,,49.6
150,0.3101,,136,,49.6
151,0.31191,,136,,49.6
152,0.31437,,135,,49.6
153,0.3167,,135,,49.6
154,0.3191,,136,,49.4
155,0.3213,,135,,49.4
156,0.32337,,134,,49.4
157,0.32542,,135,,49.4
158,0.32903,,135,,49.2
159,0.33291,,135,,49.2
160,0.33656,,136,,49.2
161,0.33955,,136,,49.2
162,0.34256,,135,,49.2
163,0.34756,,136,,49.2
164,0.35065,,136,,49.2
165,0.35512,,140,,49.2
166,0.35946,,141,,49.2
167,0.36246,,141,,49.2
168,0.36558,,141,,49.2
169,0.36928,,141,,49.2
170,0.37204,,141,,49.2
171,0.37466,,141,,49.2
172,0.37677,,142,,49.2
173,0.37883,,141,,49.2
174,0.38117,,142,,49.2
175,0.38315,,140,,49.2
176,0.38508,,142,,49.2
177,0.38852,,142,,49.2
178,0.39207,,142,,49.2
179,0.39465,,143,,49.2
180,0.39688,,143,,49.2
181,0.40003,,144,,49.2
182,0.40261,,143,,49.2
183,0.40632,,142,,49.2
184,0.40966,,142,,49.2
185,0.41268,,143,,49.2
186,0.41625,,142,,49.2
187,0.41904,,142,,49.2
188,0.42165,,142,,49.2
189,0.42427,,143,,49.2
190,0.4265,,144,,49.2
191,0.429,,143,,49.2
192,0.43135,,142,,49.2
193,0.43393,,142,,49.2
194,0.4367,,142,,49
195,0.43925,,144,,49
196,0.44138,,144,,49
197,0.44396,,141,,49
198,0.44697,,143,,49
199,0.44954,,144,,49
200,0.45213,,143,,49
201,0.4548,,144,,49
202,0.45759,,144,,49
203,0.46046,,143,,49
204,0.46322,,144,,48.8
205,0.46569,,143,,48.8
206,0.46748,,145,,48.8
207,0.46972,,145,,48.8
208,0.47236,,145,,48.8
209,0.47594,,146,,48.8
210,0.47874,,145,,48.8
211,0.48136,,145,,48.6
212,0.484,,145,,48.6
213,0.48647,,145,,48.6
214,0.48878,,144,,48.6
215,0.49125,,144,,48.6
216,0.49412,,142,,48.6
217,0.49713,,144,,48.4
218,0.49998,,144,,48.4
219,0.50282,,143,,48.4
220,0.50544,,144,,48.4
221,0.50798,,146,,48.4
222,0.5105,,145,,48.4
223,0.51302,,145,,48.4
224,0.51557,,146,,48.4
225,0.51845,,145,,48.4
226,0.52106,,143,,48.4
227,0.52452,,144,,48.4
228,0.52761,,144,,48.4
229,0.53026,,143,,48.4
230,0.53325,,143,,48.4
231,0.53603,,146,,48.4
232,0.53868,,146,,48.4
233,0.54129,,147,,48.4
234,0.54403,,146,,48.4
235,0.54662,,146,,48.4
236,0.54996,,145,,48.4
237,0.55308,,144,,48.4
238,0.55588,,146,,48.4
239,0.55852,,146,,48.4
240,0.56125,,147,,48.4
241,0.56422,,147,,48.2
242,0.56729,,148,,48.2
243,0.5707,,148,,48.2
244,0.57393,,148,,48.2
245,0.57668,,147,,48
246,0.57912,,147,,48
247,0.582,,147,,48
248,0.58444,,148,,48.2
249,0.58713,,147,,48
250,0.59043,,149,,48
251,0.59322,,148,,48
252,0.59598,,148,,48
253,0.59967,,147,,48
254,0.60261,,146,,48
255,0.60516,,145,,47.8
256,0.60714,,145,,47.8
257,0.60817,,146,,47.8
258,0.60958,,146,,47.6
259,0.61134,,146,,47.6
260,0.61289,,147,,47.6
261,0.61436,,148,,47.8
262,0.61546,,147,,47.8
263,0.61686,,148,,47.8
264,0.61885,,149,,47.8
265,0.62055,,150,,47.8
266,0.62233,,149,,47.8
267,0.62442,,150,,47.8
268,0.62625,,149,,47.8
269,0.628,,150,,48
270,0.62989,,150,,48.2
271,0.63161,,150,,48.4
272,0.63343,,148,,48.6
273,0.63514,,148,,48.8
274,0.63694,,148,,48.8
275,0.63888,,146,,49
276,0.64117,,146,,49
277,0.64316,,146,,49
278,0.6454,,145,,49.2
279,0.64734,,145,,49.2
280,0.64937,,145,,49.2
281,0.65151,,146,,49.2
282,0.65345,,145,,49.4
283,0.65536,,146,,49.4
284,0.65744,,145,,49.6
285,0.65928,,146,,49.8
286,0.6612,,145,,50.2
287,0.66335,,144,,50.4
288,0.66604,,143,,50.6
289,0.66812,,144,,50.6
290,0.66997,,145,,50.8
291,0.67198,,146,,51
292,0.6748,,146,,51.2
293,0.6775,,145,,51.4
294,0.67995,,147,,51.6
295,0.68213,,145,,51.8
296,0.68458,,143,,51.8
297,0.68732,,144,,52
298,0.68931,,145,,52.2
299,0.69156,,144,,52.4
300,0.6939,,143,,52.6
301,0.69629,,144,,52.6
302,0.69855,,144,,52.8
303,0.70071,,144,,52.8
304,0.70291,,146,,53
305,0.70518,,146,,53
306,0.70741,,143,,53.2
307,0.70972,,144,,53.4
308,0.71183,,144,,53.6
309,0.71408,,144,,53.6
310,0.71631,,145,,53.8
311,0.71855,,145,,54
312,0.72083,,144,,54.2
313,0.7228,,145,,54.4
314,0.72471,,146,,54.6
315,0.72665,,145,,54.8
316,0.72877,,145,,55.2
317,0.73085,,144,,55.4
318,0.73297,,144,,55.6
319,0.73508,,142,,55.8
320,0.73733,,142,,56
321,0.73971,,142,,56.2
322,0.74201,,143,,56.4
323,0.74432,,143,,56.6
324,0.74676,,142,,56.6
325,0.74915,,143,,56.8
326,0.75161,,142,,57
327,0.75403,,143,,57
328,0.75646,,142,,57.2
329,0.75875,,143,,57.6
330,0.7609,,143,,57.8
331,0.76315,,143,,57.8
332,0.76535,,144,,58.2
333,0.76756,,144,,58.2
334,0.76964,,144,,58.4
335,0.77197,,144,,58.6
336,0.77528,,144,,58.8
337,0.77757,,144,,58.8
338,0.78019,,144,,59
339,0.78277,,144,,59
340,0.78537,,144,,59
341,0.78786,,144,,59
342,0.79063,,145,,59
343,0.79314,,145,,59.2
344,0.79552,,145,,59.2
345,0.79899,,144,,59.4
346,0.80149,,145,,59.4
347,0.80356,,145,,59.4
348,0.80582,,144,,59.4
349,0.8081,,144,,59.4
350,0.81014,,146,,59.4
351,0.81252,,147,,59.6
352,0.81486,,146,,59.6
353,0.8174,,145,,59.8
354,0.82011,,145,,59.8
355,0.82303,,145,,60
356,0.82604,,145,,60.2
357,0.82911,,147,,60.2
358,0.83217,,148,,60.2
359,0.83469,,148,,60.4
360,0.83726,,148,,60.4
361,0.83978,,147,,60.6
362,0.84228,,148,,60.6
363,0.84469,,148,,60.8
364,0.847,,149,,61
365,0.84939,,150,,61
366,0.85185,,149,,61
367,0.85447,,150,,61
368,0.85656,,149,,61
369,0.85861,,149,,61
370,0.86083,,148,,61
371,0.86332,,149,,61
372,0.8667,,149,,61
373,0.86959,,149,,61
374,0.87256,,149,,61
375,0.87521,,150,,60.8
376,0.87817,,150,,60.6
377,0.88071,,150,,60.6
378,0.88351,,150,,60.4
379,0.88652,,149,,60.4
380,0.88931,,149,,60.4
381,0.89232,,150,,60.4
382,0.89535,,150,,60.4
383,0.89821,,150,,60.4
384,0.90112,,148,,60.4
385,0.90398,,148,,60.4
386,0.90661,,148,,60.2
387,0.90921,,147,,60.2
388,0.9121,,147,,60.2
389,0.91471,,146,,60.2
390,0.91737,,146,,60.2
391,0.92005,,145,,60.2
392,0.92335,,145,,60.2
393,0.92773,,144,,60.2
394,0.93042,,143,,60
395,0.93302,,141,,60
396,0.93565,,143,,60
397,0.93827,,144,,60
398,0.9408,,144,,60
399,0.94334,,142,,60
400,0.94627,,143,,60
401,0.94899,,144,,60
402,0.95174,,145,,60
403,0.95457,,144,,60
404,0.95737,,143,,60
405,0.96021,,145,,60
406,0.96307,,145,,60
407,0.96604,,145,,60
408,0.96908,,146,,60
409,0.97171,,147,,59.8
410,0.97453,,147,,59.8
411,0.97734,,147,,59.8
412,0.98024,,148,,59.6
413,0.98297,,148,,59.6
414,0.98604,,148,,59.6
415,0.98892,,148,,59.6
416,0.99186,,150,,59.6
417,0.99491,,150,,59.4
418,0.99803,,150,,59.4
419,1.00105,,150,,59.4
420,1.0041,,150,,59.4
421,1.00711,,150,,59.2
422,1.00998,,150,,59.2
423,1.01285,,149,,59.2
424,1.01567,,151,,59
425,1.01866,,151,,59
426,1.02123,,151,,59
427,1.02408,,150,,58.8
428,1.02756,,151,,58.6
