secs,km,power,hr,cad,alt
0,0,,164,,74
1,0,,161,,73.6
2,0.001975,,162.5,,73.4
3,0.00395,,164,,73.2
4,0.004595,,166.5,,73.2
5,0.00524,,169,,73.2
6,0.00524,,174,,73
7,0.00524,,178,,72.4
8,0.00589333,,179,,72.2667
9,0.00654667,,180,,72.1333
10,0.0072,,181,,72
11,0.0088025,,181,,72.4
12,0.010405,,181,,72.8
13,0.0120075,,181,,73.2
14,0.01361,,181,,73.6
15,0.01501,,181.5,,73.75
16,0.01641,,182,,73.9
17,0.01781,,182.5,,74.05
18,0.01921,,183,,74.2
19,0.02021,,183,,74.8
20,0.020992,,182.4,,74.96
21,0.021774,,181.8,,75.12
22,0.022556,,181.2,,75.28
23,0.023338,,180.6,,75.44
24,0.02412,,180,,75.6
25,0.02698,,178,,73
26,0.02852,,174,,73.2
27,0.02987,,171,,73.4
28,0.03108,,164,,72.6
29,0.03108,,160,,72.2
30,0.032265,,162.5,,72.6
31,0.03345,,165,,73
32,0.03592,,165,,73.4
33,0.038745,,165.5,,72.5
34,0.04157,,166,,71.6
35,0.0443,,167.5,,71.7
36,0.04703,,169,,71.8
37,0.0487,,173,,71.8
38,0.05156,,178,,72.4
39,0.05291,,181,,71.6
40,0.05525,,185,,72.6
41,0.05787,,184,,72.8
42,0.06111,,179,,73.2
43,0.064625,,180,,72.5
44,0.06814,,181,,71.8
45,0.070945,,180,,72.4
46,0.07375,,179,,73
47,0.07678,,176.5,,73
48,0.07981,,174,,73
49,0.08244,,172.5,,72.9
50,0.08507,,171,,72.8
51,0.0876267,,172,,72.8
52,0.0901833,,173,,72.8
53,0.09274,,174,,72.8
54,0.0951525,,174.75,,72.8
55,0.097565,,175.5,,72.8
56,0.0999775,,176.25,,72.8
57,0.10239,,177,,72.8
58,0.104627,,179,,72.8
59,0.106863,,181,,72.8
60,0.1091,,183,,72.8
61,0.11123,,181.5,,72.8
62,0.11336,,180,,72.8
63,0.11549,,176,,72.8
64,0.117575,,173.5,,72.7
65,0.11966,,171,,72.6
66,0.12201,,171,,72.6
67,0.12388,,174,,72.5
68,0.12575,,177,,72.4
69,0.12673,,177.333,,72.4667
70,0.12771,,177.667,,72.5333
71,0.12869,,178,,72.6
72,0.130424,,177.818,,72.6545
73,0.132157,,177.636,,72.7091
74,0.133891,,177.455,,72.7636
75,0.135625,,177.273,,72.8182
76,0.137358,,177.091,,72.8727
77,0.139092,,176.909,,72.9273
78,0.140825,,176.727,,72.9818
79,0.142559,,176.545,,73.0364
80,0.144293,,176.364,,73.0909
81,0.146026,,176.182,,73.1455
82,0.14776,,176,,73.2
