secs,km,power,hr,cad,alt
0,0,,162,,81.2
1,0.0038675,,161.75,,80.75
2,0.007735,,161.5,,80.3
3,0.0116025,,161.25,,79.85
4,0.01547,,161,,79.4
5,0.0191483,,161,,79.1333
6,0.0228267,,161,,78.8667
7,0.026505,,161,,78.6
8,0.0301833,,161,,78.3333
9,0.0338617,,161,,78.0667
10,0.03754,,161,,77.8
11,0.042988,,160.8,,77.4
12,0.048436,,160.6,,77
13,0.053884,,160.4,,76.6
14,0.059332,,160.2,,76.2
15,0.06478,,160,,75.8
16,0.0681225,,159.75,,75.65
17,0.071465,,159.5,,75.5
18,0.0748075,,159.25,,75.35
19,0.07815,,159,,75.2
20,0.08175,,159,,75.2
21,0.08535,,159,,75.2
22,0.090122,,158.8,,74.64
23,0.094894,,158.6,,74.08
24,0.099666,,158.4,,73.52
25,0.104438,,158.2,,72.96
26,0.10921,,158,,72.4
27,0.113674,,158.4,,72
28,0.118138,,158.8,,71.6
29,0.122602,,159.2,,71.2
30,0.127066,,159.6,,70.8
31,0.13153,,160,,70.4
32,0.135668,,159.8,,70.12
33,0.139806,,159.6,,69.84
34,0.143944,,159.4,,69.56
35,0.148082,,159.2,,69.28
36,0.15222,,159,,69
37,0.156296,,159,,68.68
38,0.160372,,159,,68.36
39,0.164448,,159,,68.04
40,0.168524,,159,,67.72
41,0.1726,,159,,67.4
42,0.17647,,159,,67.2333
43,0.18034,,159,,67.0667
44,0.18421,,159,,66.9
45,0.18808,,159,,66.7333
46,0.19195,,159,,66.5667
47,0.19582,,159,,66.4
48,0.199637,,159,,66.1667
49,0.203453,,159,,65.9333
50,0.20727,,159,,65.7
51,0.211087,,159,,65.4667
52,0.214903,,159,,65.2333
53,0.21872,,159,,65
54,0.223038,,159,,64.92
55,0.227356,,159,,64.84
56,0.231674,,159,,64.76
57,0.235992,,159,,64.68
58,0.24031,,159,,64.6
59,0.24562,,159.2,,64.68
60,0.25093,,159.4,,64.76
61,0.25624,,159.6,,64.84
62,0.26155,,159.8,,64.92
63,0.26686,,160,,65
64,0.269924,,160,,65.1714
65,0.272989,,160,,65.3429
66,0.276053,,160,,65.5143
67,0.279117,,160,,65.6857
68,0.282181,,160,,65.8571
69,0.285246,,160,,66.0286
70,0.28831,,160,,66.2
71,0.291473,,160.333,,66.4
72,0.294637,,160.667,,66.6
73,0.2978,,161,,66.8
74,0.302132,,161,,66.88
75,0.306464,,161,,66.96
76,0.310796,,161,,67.04
77,0.315128,,161,,67.12
78,0.31946,,161,,67.2
79,0.32388,,160.8,,67.24
80,0.3283,,160.6,,67.28
81,0.33272,,160.4,,67.32
82,0.33714,,160.2,,67.36
83,0.34156,,160,,67.4
84,0.345322,,160,,67.5
85,0.349083,,160,,67.6
86,0.352845,,160,,67.7
87,0.356607,,160,,67.8
88,0.360368,,160,,67.9
89,0.36413,,160,,68
90,0.368,,159.833,,68
91,0.37187,,159.667,,68
92,0.37574,,159.5,,68
93,0.37961,,159.333,,68
94,0.38348,,159.167,,68
95,0.38735,,159,,68
96,0.391175,,158.833,,67.9667
97,0.395,,158.667,,67.9333
98,0.398825,,158.5,,67.9
99,0.40265,,158.333,,67.8667
100,0.406475,,158.167,,67.8333
101,0.4103,,158,,67.8
102,0.414664,,158,,67.88
103,0.419028,,158,,67.96
104,0.423392,,158,,68.04
105,0.427756,,158,,68.12
106,0.43212,,158,,68.2
107,0.436418,,158,,68.28
108,0.440716,,158,,68.36
109,0.445014,,158,,68.44
110,0.449312,,158,,68.52
111,0.45361,,158,,68.6
112,0.45774,,157.8,,68.6
113,0.46187,,157.6,,68.6
114,0.466,,157.4,,68.6
115,0.47013,,157.2,,68.6
116,0.47426,,157,,68.6
117,0.478058,,156.833,,68.5333
118,0.481857,,156.667,,68.4667
119,0.485655,,156.5,,68.4
120,0.489453,,156.333,,68.3333
121,0.493252,,156.167,,68.2667
122,0.49705,,156,,68.2
123,0.501082,,155.667,,67.8667
124,0.505113,,155.333,,67.5333
125,0.509145,,155,,67.2
126,0.513177,,154.667,,66.8667
127,0.517208,,154.333,,66.5333
128,0.52124,,154,,66.2
129,0.52502,,154,,65.9
130,0.5288,,154,,65.6
131,0.531295,,153.5,,65.5
132,0.53379,,153,,65.4
133,0.537573,,153.167,,65.3667
134,0.541357,,153.333,,65.3333
135,0.54514,,153.5,,65.3
136,0.548923,,153.667,,65.2667
137,0.552707,,153.833,,65.2333
138,0.55649,,154,,65.2
139,0.560502,,154.2,,65.32
140,0.564514,,154.4,,65.44
141,0.568526,,154.6,,65.56
142,0.572538,,154.8,,65.68
143,0.57655,,155,,65.8
144,0.58004,,155.167,,65.8667
145,0.58353,,155.333,,65.9333
146,0.58702,,155.5,,66
147,0.59051,,155.667,,66.0667
