secs,km,power,hr,cad,alt
0,0,,115,,4
1,0.01,,115,,4
2,0.015,,115,,4
3,0.019,,115,,4
4,0.024,,115,,4
5,0.028,,115,,4
6,0.033,,115,,5
7,0.038,,115,,5
8,0.044,,115,,5
9,0.049,,115,,5
10,0.054,,115,,5
11,0.059,,115,,5
12,0.063,,115,,5
13,0.068,,115,,5
14,0.073,,115,,5
15,0.077,,118,,5
16,0.082,,119,,5
17,0.087,,120,,5
18,0.091,,120,,5
19,0.096,,120,,5
20,0.1,,120,,5
21,0.105,,120,,5
22,0.11,,120,,5
23,0.114,,120,,5
24,0.118,,120,,5
25,0.123,,123,,5
26,0.128,,133,,6
27,0.133,,137,,6
28,0.138,,145,,6
29,0.143,,151,,6
30,0.147,,153,,6
31,0.151,,154,,6
32,0.155,,156,,6
33,0.16,,157,,6
34,0.165,,157,,6
35,0.17,,155,,6
36,0.174,,155,,6
37,0.179,,156,,6
38,0.183,,155,,6
39,0.188,,154,,6
40,0.193,,155,,6
41,0.197,,154,,6
42,0.202,,152,,6
43,0.207,,151,,6
44,0.211,,152,,6
45,0.216,,159,,6
46,0.22,,161,,6
47,0.224,,161,,6
48,0.228,,163,,6
49,0.232,,164,,6
50,0.237,,164,,6
51,0.241,,165,,6
52,0.246,,164,,6
53,0.25,,164,,6
54,0.254,,165,,6
55,0.258,,165,,6
56,0.262,,165,,6
57,0.267,,165,,6
58,0.271,,166,,6
59,0.276,,166,,6
60,0.28,,167,,6
61,0.284,,167,,6
62,0.289,,167,,6
63,0.293,,167,,6
64,0.297,,168,,6
65,0.301,,168,,6
66,0.306,,167,,6
67,0.31,,167,,6
68,0.315,,167,,6
69,0.319,,167,,6
70,0.323,,168,,6
71,0.327,,167,,6
72,0.332,,167,,6
73,0.336,,168,,6
74,0.341,,168,,6
75,0.345,,169,,6
76,0.35,,169,,6
77,0.354,,169,,6
78,0.358,,168,,6
79,0.362,,169,,6
80,0.366,,169,,6
81,0.37,,169,,6
82,0.374,,170,,6
83,0.378,,170,,6
84,0.382,,171,,6
85,0.386,,169,,6
86,0.39,,169,,6
87,0.395,,170,,6
88,0.399,,170,,6
89,0.403,,170,,6
90,0.407,,171,,5
91,0.412,,171,,5
92,0.416,,170,,5
93,0.42,,170,,5
94,0.424,,170,,5
95,0.428,,170,,5
96,0.432,,170,,5
97,0.437,,171,,5
98,0.441,,171,,5
99,0.446,,170,,5
100,0.45,,170,,5
101,0.454,,170,,5
102,0.459,,171,,5
103,0.463,,170,,5
104,0.467,,172,,5
105,0.471,,171,,5
106,0.476,,171,,5
107,0.48,,171,,5
108,0.485,,171,,5
109,0.489,,171,,5
110,0.493,,171,,6
111,0.498,,171,,6
112,0.502,,171,,6
113,0.507,,170,,6
114,0.511,,171,,6
115,0.516,,171,,6
116,0.52,,172,,6
117,0.525,,171,,6
118,0.529,,171,,6
119,0.534,,171,,6
120,0.538,,172,,6
121,0.543,,172,,6
122,0.547,,172,,6
123,0.551,,172,,6
124,0.556,,172,,6
125,0.561,,171,,6
126,0.566,,171,,6
127,0.57,,171,,6
128,0.575,,172,,6
129,0.58,,172,,6
130,0.584,,172,,6
131,0.589,,172,,6
132,0.593,,172,,6
133,0.598,,171,,6
134,0.602,,172,,6
135,0.606,,172,,6
136,0.611,,172,,6
137,0.615,,173,,6
138,0.619,,173,,6
139,0.623,,172,,6
140,0.627,,171,,6
141,0.631,,172,,6
142,0.635,,172,,6
143,0.639,,172,,6
144,0.644,,172,,6
145,0.648,,173,,6
146,0.652,,173,,6
147,0.657,,172,,6
148,0.661,,172,,6
149,0.666,,172,,6
150,0.671,,172,,6
151,0.675,,173,,6
152,0.68,,172,,6
153,0.684,,173,,6
154,0.688,,173,,6
155,0.692,,173,,6
156,0.697,,173,,6
157,0.701,,173,,6
158,0.705,,173,,6
159,0.71,,173,,6
160,0.714,,173,,6
161,0.718,,174,,6
162,0.722,,173,,6
163,0.726,,173,,6
164,0.73,,173,,6
165,0.735,,173,,6
166,0.739,,173,,6
167,0.744,,173,,6
168,0.749,,173,,6
169,0.753,,173,,6
170,0.757,,174,,6
171,0.762,,174,,6
172,0.767,,173,,6
173,0.771,,173,,6
174,0.775,,172,,6
175,0.779,,173,,6
176,0.783,,173,,6
177,0.788,,172,,6
178,0.793,,172,,6
179,0.797,,173,,6
180,0.801,,173,,5
181,0.805,,173,,6
182,0.809,,173,,6
183,0.813,,173,,5
184,0.818,,173,,5
185,0.822,,173,,5
186,0.826,,172,,5
187,0.83,,173,,5
188,0.834,,173,,5
189,0.838,,174,,5
190,0.843,,174,,5
191,0.847,,174,,5
192,0.851,,173,,5
193,0.855,,172,,5
194,0.859,,172,,5
