secs,km,power,hr,cad,alt
0,0,,98,,100
1,0.0024,,98,,99.8
2,0.00542571,,98.1429,,99.7429
3,0.00845143,,98.2857,,99.6857
4,0.0114771,,98.4286,,99.6286
5,0.0145029,,98.5714,,99.5714
6,0.0175286,,98.7143,,99.5143
7,0.0205543,,98.8571,,99.4571
8,0.02358,,99,,99.4
9,0.026108,,100,,98.88
10,0.028636,,101,,98.36
11,0.031164,,102,,97.84
12,0.033692,,103,,97.32
13,0.03622,,104,,96.8
14,0.038755,,107,,96.6
15,0.04129,,110,,96.4
16,0.043486,,110,,96.5
17,0.045682,,110,,96.6
18,0.047878,,110,,96.7
19,0.050074,,110,,96.8
20,0.05227,,110,,96.9
21,0.054466,,110,,97
22,0.056662,,110,,97.1
23,0.058858,,110,,97.2
24,0.061054,,110,,97.3
25,0.06325,,110,,97.4
26,0.06586,,115,,98.2
27,0.06819,,115,,98.4
28,0.07041,,115.75,,98.75
29,0.07263,,116.5,,99.1
30,0.07485,,117.25,,99.45
31,0.07707,,118,,99.8
32,0.079395,,116.5,,100.1
33,0.08172,,115,,100.4
34,0.0834625,,115.75,,101.1
35,0.085205,,116.5,,101.8
36,0.0869475,,117.25,,102.5
37,0.08869,,118,,103.2
38,0.090925,,120.5,,104.3
39,0.09316,,123,,105.4
40,0.09494,,123,,106.2
41,0.09664,,126,,107
42,0.09893,,127,,107.933
43,0.10122,,128,,108.867
44,0.10351,,129,,109.8
45,0.106245,,130.5,,110.9
46,0.10898,,132,,112
47,0.111883,,133,,112.933
48,0.114787,,134,,113.867
49,0.11769,,135,,114.8
50,0.120585,,133.5,,115.5
51,0.12348,,132,,116.2
52,0.12649,,130.5,,117
53,0.1295,,129,,117.8
54,0.13299,,134,,118.4
55,0.13594,,135.5,,119.1
56,0.13889,,137,,119.8
57,0.14158,,140,,120.4
58,0.14419,,143,,121
59,0.14681,,143,,121.4
60,0.14954,,140,,122
61,0.152279,,140.375,,122.6
62,0.155017,,140.75,,123.2
63,0.157756,,141.125,,123.8
64,0.160495,,141.5,,124.4
65,0.163234,,141.875,,125
66,0.165972,,142.25,,125.6
67,0.168711,,142.625,,126.2
68,0.17145,,143,,126.8
69,0.174325,,142.875,,126.625
70,0.1772,,142.75,,126.45
71,0.180075,,142.625,,126.275
72,0.18295,,142.5,,126.1
73,0.185825,,142.375,,125.925
74,0.1887,,142.25,,125.75
75,0.191575,,142.125,,125.575
76,0.19445,,142,,125.4
77,0.197836,,141.4,,124.92
78,0.201222,,140.8,,124.44
79,0.204608,,140.2,,123.96
80,0.207994,,139.6,,123.48
81,0.21138,,139,,123
82,0.213235,,137.5,,122.7
83,0.21509,,136,,122.4
84,0.216702,,137,,122.3
85,0.218315,,138,,122.2
86,0.219927,,139,,122.1
87,0.22154,,140,,122
88,0.22302,,141.5,,121.9
89,0.2245,,143,,121.8
90,0.22636,,143,,121.8
91,0.228463,,143,,121.8
92,0.230567,,143,,121.8
93,0.23267,,143,,121.8
94,0.235199,,142.875,,121.6
95,0.237727,,142.75,,121.4
96,0.240256,,142.625,,121.2
97,0.242785,,142.5,,121
98,0.245314,,142.375,,120.8
99,0.247843,,142.25,,120.6
100,0.250371,,142.125,,120.4
101,0.2529,,142,,120.2
102,0.255586,,141.875,,120.025
103,0.258273,,141.75,,119.85
104,0.260959,,141.625,,119.675
105,0.263645,,141.5,,119.5
106,0.266331,,141.375,,119.325
107,0.269017,,141.25,,119.15
108,0.271704,,141.125,,118.975
109,0.27439,,141,,118.8
110,0.277046,,140.875,,118.825
111,0.279702,,140.75,,118.85
112,0.282359,,140.625,,118.875
113,0.285015,,140.5,,118.9
114,0.287671,,140.375,,118.925
115,0.290328,,140.25,,118.95
116,0.292984,,140.125,,118.975
117,0.29564,,140,,119
118,0.298544,,139.714,,118.886
119,0.301449,,139.429,,118.771
120,0.304353,,139.143,,118.657
121,0.307257,,138.857,,118.543
122,0.310161,,138.571,,118.429
123,0.313066,,138.286,,118.314
124,0.31597,,138,,118.2
125,0.319036,,137.857,,118.086
126,0.322101,,137.714,,117.971
127,0.325167,,137.571,,117.857
128,0.328233,,137.429,,117.743
129,0.331299,,137.286,,117.629
130,0.334364,,137.143,,117.514
131,0.33743,,137,,117.4
132,0.340259,,137.125,,117.325
133,0.343087,,137.25,,117.25
134,0.345916,,137.375,,117.175
135,0.348745,,137.5,,117.1
136,0.351574,,137.625,,117.025
137,0.354403,,137.75,,116.95
138,0.357231,,137.875,,116.875
139,0.36006,,138,,116.8
140,0.362685,,138.25,,116.7
141,0.36531,,138.5,,116.6
142,0.367935,,138.75,,116.5
