secs,km,power,hr,cad,alt
0,0,,76,,93.9954
1,0.00153992,,76,,93.9954
2,0.00391981,,80,,93.9954
3,0.00690966,,82,,93.9954
4,0.00971953,,87,,93.9954
5,0.0124494,,90,,93.9954
6,0.0158992,,91,,93.9954
7,0.0190091,,94,,93.9954
8,0.0223089,,95,,93.9954
9,0.0253488,,98,,93.9954
10,0.0279986,,98,,93.9954
11,0.0313385,,100,,93.9954
12,0.0341183,,101,,93.9954
13,0.0373682,,102,,93.9954
14,0.040528,,104,,93.9954
15,0.0439879,,105,,93.9954
16,0.0472177,,106,,93.9954
17,0.0506575,,107,,93.9954
18,0.0540574,,108,,93.9954
19,0.0574772,,110,,93.9954
20,0.060967,,111,,93.9954
21,0.0646168,,112,,93.9954
22,0.0676167,,114,,93.9954
23,0.0710265,,114,,93.9954
24,0.0741364,,115,,93.9954
25,0.0772362,,116,,93.9954
26,0.0804261,,117,,93.9954
27,0.0832259,,118,,93.9954
28,0.0863258,,118,,93.9954
29,0.0898356,,118,,93.9954
30,0.0929455,,118,,93.9954
31,0.0959653,,118,,93.9954
32,0.0990952,,118,,93.9954
33,0.102485,,118,,93.9954
34,0.105165,,118,,93.9954
35,0.108215,,119,,93.9954
36,0.111125,,119,,93.9954
37,0.113944,,120,,93.9954
38,0.117214,,121,,93.9954
39,0.120024,,122,,93.9954
40,0.122864,,122,,93.9954
41,0.125924,,122,,93.9954
42,0.128874,,121,,93.9954
43,0.131984,,120,,93.9954
44,0.135293,,120,,93.9954
45,0.138593,,121,,93.9954
46,0.141763,,121,,93.9954
47,0.144903,,121,,93.9954
48,0.148163,,122,,93.9954
49,0.151263,,122,,93.9954
50,0.154562,,123,,93.9954
51,0.157822,,122,,93.9954
52,0.160862,,122,,93.9954
53,0.164432,,121,,93.9954
54,0.167482,,121,,93.9954
55,0.170342,,121,,93.9954
56,0.173132,,121,,93.9954
57,0.175801,,121,,93.9954
58,0.178661,,121,,93.9954
59,0.181571,,121,,93.9954
60,0.184451,,120,,93.9954
61,0.187341,,121,,93.9954
62,0.190231,,122,,93.9954
63,0.193491,,122,,93.9954
64,0.1965,,123,,93.9954
65,0.19993,,124,,93.9954
66,0.20318,,125,,93.9954
67,0.2062,,125,,93.9954
68,0.20938,,126,,93.9954
69,0.21234,,126,,93.9954
70,0.215279,,127,,93.9954
71,0.218389,,127,,93.9954
72,0.221099,,128,,93.9954
73,0.224199,,128,,93.9954
74,0.227259,,128,,93.9954
75,0.230249,,128,,93.9954
76,0.233089,,128,,93.9954
77,0.236098,,128,,93.9954
78,0.239288,,128,,93.9954
79,0.242208,,128,,93.9954
80,0.245038,,128,,93.9954
81,0.248118,,127,,93.9954
82,0.250838,,128,,93.9954
83,0.254218,,127,,93.9954
84,0.257227,,127,,93.9954
85,0.260457,,126,,93.9954
86,0.263527,,126,,93.9954
87,0.266427,,126,,93.9954
88,0.269337,,126,,93.9954
89,0.272497,,125,,93.9954
90,0.275017,,125,,93.9954
91,0.277676,,124,,93.9954
92,0.280226,,124,,93.9954
93,0.283196,,124,,93.9954
94,0.285676,,124,,93.9954
95,0.289146,,123,,93.9954
96,0.291966,,124,,93.9954
97,0.294596,,124,,93.9954
98,0.297455,,124,,93.9954
99,0.300405,,125,,93.9954
100,0.303415,,126,,93.9954
101,0.306865,,127,,93.9954
102,0.310005,,127,,93.9954
103,0.313245,,128,,93.9954
104,0.316305,,129,,93.9954
105,0.319434,,130,,93.9954
106,0.322674,,132,,93.9954
107,0.325864,,132,,93.9954
108,0.329074,,133,,93.9954
109,0.331784,,134,,93.9954
110,0.334564,,134,,93.9954
111,0.337614,,133,,93.9954
112,0.340653,,133,,93.9954
113,0.344313,,133,,93.9954
114,0.347693,,134,,93.9954
115,0.351003,,133,,93.9954
116,0.354373,,132,,93.9954
117,0.357293,,132,,93.9954
118,0.360132,,132,,93.9954
119,0.363472,,132,,93.9954
120,0.366632,,133,,93.9954
121,0.369742,,133,,93.9954
122,0.372632,,133,,93.9954
123,0.375862,,133,,93.9954
124,0.378812,,133,,93.9954
125,0.381831,,132,,93.9954
126,0.384791,,132,,93.9954
127,0.387721,,132,,93.9954
128,0.390521,,132,,93.9954
129,0.393001,,131,,93.9954
130,0.395391,,130,,93.9954
131,0.398161,,130,,93.9954
132,0.40089,,131,,93.9954
133,0.40378,,131,,93.9954
134,0.40639,,132,,93.9954
135,0.40937,,133,,93.9954
136,0.41197,,134,,93.9954
137,0.41479,,134,,93.9954
138,0.41763,,134,,93.9954
139,0.420789,,134,,93.9954
140,0.423819,,133,,93.9954
141,0.427229,,133,,93.9954
142,0.429909,,133,,93.9954
143,0.433329,,132,,93.9954
144,0.436289,,133,,93.9954
145,0.439489,,132,,93.9954
146,0.442498,,133,,93.9954
147,0.445378,,133,,93.9954
148,0.448168,,132,,93.9954
149,0.451198,,133,,93.9954
150,0.453918,,133,,93.9954
151,0.456838,,133,,93.9954
152,0.459628,,133,,93.9954
153,0.462917,,133,,93.9954
154,0.465547,,134,,93.9954
155,0.468577,,134,,93.9954
156,0.471437,,134,,93.9954
157,0.474227,,134,,93.9954
158,0.477117,,133,,93.9954
159,0.479997,,133,,93.9954
160,0.482866,,133,,93.9954
161,0.485536,,133,,94.1954
162,0.488116,,133,,94.1954
163,0.491106,,133,,94.3954
164,0.494056,,132,,94.5954
165,0.497016,,132,,94.7954
166,0.499716,,132,,94.7954
167,0.502795,,132,,94.9954
168,0.506115,,133,,94.9954
169,0.509185,,134,,94.9954
170,0.512415,,134,,94.9954
171,0.515415,,134,,94.9954
172,0.518075,,134,,94.9954
173,0.521315,,135,,94.9954
174,0.524254,,134,,94.9954
175,0.527184,,133,,94.9954
176,0.530254,,132,,94.9954
177,0.533084,,132,,94.9954
178,0.535784,,132,,94.9954
179,0.538704,,132,,94.9954
180,0.541544,,133,,94.9954
181,0.544453,,133,,94.9954
182,0.547333,,133,,94.9954
183,0.550363,,133,,94.9954
184,0.553023,,133,,94.9954
185,0.555993,,133,,94.9954
186,0.558893,,133,,94.9954
187,0.561643,,133,,94.9954
188,0.564432,,133,,94.9954
189,0.567172,,134,,94.9954
190,0.569852,,134,,94.9954
191,0.572542,,134,,94.9954
192,0.575252,,134,,94.9954
193,0.578112,,133,,94.9954
194,0.580902,,133,,94.9954
195,0.583662,,133,,94.9954
196,0.586241,,134,,94.9954
197,0.589081,,133,,94.9954
198,0.592041,,133,,94.9954
199,0.594861,,133,,94.9954
200,0.597651,,133,,94.9954
201,0.600521,,133,,94.9954
202,0.603281,,133,,94.9954
203,0.60647,,133,,94.9954
204,0.60935,,133,,94.9954
205,0.61185,,133,,94.9954
206,0.61485,,133,,94.9954
207,0.61755,,133,,94.9954
208,0.62048,,133,,94.9954
209,0.62351,,133,,94.9954
210,0.626589,,134,,94.9954
211,0.629509,,134,,94.9954
212,0.632539,,134,,94.9954
213,0.635649,,134,,94.9954
214,0.638439,,133,,94.9954
215,0.641439,,133,,94.9954
216,0.644389,,133,,94.9954
217,0.647138,,133,,94.9954
218,0.650148,,133,,94.9954
219,0.652898,,132,,94.9954
220,0.655408,,132,,94.9954
221,0.658018,,133,,94.9954
222,0.660448,,133,,94.9954
223,0.663198,,133,,94.9954
224,0.666168,,134,,94.9954
225,0.669117,,134,,94.9954
226,0.671847,,134,,94.9954
227,0.674627,,135,,94.9954
228,0.677617,,135,,94.9954
229,0.680437,,136,,94.9954
230,0.683067,,136,,94.9954
231,0.686046,,137,,94.9954
232,0.688706,,138,,94.9954
233,0.692136,,138,,94.9954
234,0.695006,,138,,94.9954
