secs,km,power,hr,cad,alt
0,0,,79,,37.6
1,0.00062,,79,,37.6
2,0.00162944,,79,,37.6
3,0.00263889,,79,,37.6
4,0.00364833,,79,,37.6
5,0.00465778,,79,,37.6
6,0.00566722,,79,,37.6
7,0.00667667,,79,,37.6
8,0.00768611,,79,,37.6
9,0.00869556,,79,,37.6
10,0.009705,,79,,37.6
11,0.0107144,,79,,37.6
12,0.0117239,,79,,37.6
13,0.0127333,,79,,37.6
14,0.0137428,,79,,37.6
15,0.0147522,,79,,37.6
16,0.0157617,,79,,37.6
17,0.0167711,,79,,37.6
18,0.0177806,,79,,37.6
19,0.01879,,79,,37.6
20,0.019702,,78.6,,37.68
21,0.020614,,78.2,,37.76
22,0.021526,,77.8,,37.84
23,0.022438,,77.4,,37.92
24,0.02335,,77,,38
25,0.0246114,,76.7143,,37.9714
26,0.0258729,,76.4286,,37.9429
27,0.0271343,,76.1429,,37.9143
28,0.0283957,,75.8571,,37.8857
29,0.0296571,,75.5714,,37.8571
30,0.0309186,,75.2857,,37.8286
31,0.03218,,75,,37.8
32,0.0333063,,75,,37.825
33,0.0344325,,75,,37.85
34,0.0355588,,75,,37.875
35,0.036685,,75,,37.9
36,0.0378112,,75,,37.925
37,0.0389375,,75,,37.95
38,0.0400637,,75,,37.975
39,0.04119,,75,,38
40,0.042255,,75.5,,37.95
41,0.04332,,76,,37.9
42,0.044385,,76.5,,37.85
43,0.04545,,77,,37.8
44,0.04626,,76.4,,37.84
45,0.04707,,75.8,,37.88
46,0.04788,,75.2,,37.92
47,0.04869,,74.6,,37.96
48,0.0495,,74,,38
49,0.049945,,73.5,,37.9667
50,0.05039,,73,,37.9333
51,0.050835,,72.5,,37.9
52,0.05128,,72,,37.8667
53,0.051725,,71.5,,37.8333
54,0.05217,,71,,37.8
55,0.0526345,,70.7273,,37.8182
56,0.0530991,,70.4545,,37.8364
57,0.0535636,,70.1818,,37.8545
58,0.0540282,,69.9091,,37.8727
59,0.0544927,,69.6364,,37.8909
60,0.0549573,,69.3636,,37.9091
61,0.0554218,,69.0909,,37.9273
62,0.0558864,,68.8182,,37.9455
63,0.0563509,,68.5455,,37.9636
64,0.0568155,,68.2727,,37.9818
65,0.05728,,68,,38
66,0.0577,,67,,38
67,0.05812,,66,,38
68,0.05854,,65,,38
69,0.05896,,64,,38
70,0.0598717,,64.6667,,38
71,0.0607833,,65.3333,,38
72,0.061695,,66,,38
73,0.0626067,,66.6667,,38
74,0.0635183,,67.3333,,38
75,0.06443,,68,,38
76,0.06589,,69.5,,38
77,0.06735,,71,,38
78,0.068305,,71.5,,38.1
79,0.06926,,72,,38.2
80,0.070215,,72.5,,38.3
81,0.07117,,73,,38.4
82,0.0716433,,72,,38.4
83,0.0721167,,71,,38.4
84,0.07259,,70,,38.4
85,0.073115,,68.5,,38.3
86,0.07364,,67,,38.2
87,0.0740867,,65.6667,,38.2
88,0.0745333,,64.3333,,38.2
89,0.07498,,63,,38.2
90,0.0756867,,62,,38.2
91,0.0763933,,61,,38.2
92,0.0771,,60,,38.2
93,0.0771325,,59.25,,38.15
94,0.077165,,58.5,,38.1
95,0.0771975,,57.75,,38.05
96,0.07723,,57,,38
97,0.0776067,,57.8333,,38.0333
98,0.0779833,,58.6667,,38.0667
99,0.07836,,59.5,,38.1
100,0.0787367,,60.3333,,38.1333
101,0.0791133,,61.1667,,38.1667
102,0.07949,,62,,38.2
103,0.08041,,63.6667,,38.2
104,0.08133,,65.3333,,38.2
105,0.08225,,67,,38.2
106,0.083055,,69,,38.3
107,0.08386,,71,,38.4
108,0.0847227,,71,,38.4
109,0.0855855,,71,,38.4
110,0.0864482,,71,,38.4
111,0.0873109,,71,,38.4
112,0.0881736,,71,,38.4
113,0.0890364,,71,,38.4
114,0.0898991,,71,,38.4
115,0.0907618,,71,,38.4
116,0.0916245,,71,,38.4
117,0.0924873,,71,,38.4
118,0.09335,,71,,38.4
119,0.09451,,70.5,,38.5
120,0.09567,,70,,38.6
121,0.096455,,70,,38.6
122,0.09724,,70,,38.6
123,0.097594,,69.8,,38.68
124,0.097948,,69.6,,38.76
125,0.098302,,69.4,,38.84
126,0.098656,,69.2,,38.92
127,0.09901,,69,,39
128,0.0999812,,69.125,,38.95
129,0.100953,,69.25,,38.9
130,0.101924,,69.375,,38.85
131,0.102895,,69.5,,38.8
132,0.103866,,69.625,,38.75
133,0.104838,,69.75,,38.7
134,0.105809,,69.875,,38.65
135,0.10678,,70,,38.6
136,0.10792,,70.4,,38.72
137,0.10906,,70.8,,38.84
138,0.1102,,71.2,,38.96
139,0.11134,,71.6,,39.08
140,0.11248,,72,,39.2
141,0.113119,,71.625,,39.175
142,0.113757,,71.25,,39.15
143,0.114396,,70.875,,39.125
144,0.115035,,70.5,,39.1
145,0.115674,,70.125,,39.075
146,0.116312,,69.75,,39.05
147,0.116951,,69.375,,39.025
148,0.11759,,69,,39
149,0.117602,,68.25,,38.95
150,0.117615,,67.5,,38.9
151,0.117627,,66.75,,38.85
152,0.11764,,66,,38.8
153,0.11764,,65,,38.8667
154,0.11764,,64,,38.9333
155,0.11764,,63,,39
156,0.117827,,63.4167,,39
157,0.118013,,63.8333,,39
158,0.1182,,64.25,,39
159,0.118387,,64.6667,,39
160,0.118573,,65.0833,,39
161,0.11876,,65.5,,39
162,0.118947,,65.9167,,39
163,0.119133,,66.3333,,39
164,0.11932,,66.75,,39
165,0.119507,,67.1667,,39
166,0.119693,,67.5833,,39
167,0.11988,,68,,39
168,0.12077,,68,,39
169,0.12182,,72,,39
170,0.122757,,73,,39.0667
171,0.123693,,74,,39.1333
172,0.12463,,75,,39.2
173,0.12574,,74.6667,,39.1333
174,0.12685,,74.3333,,39.0667
175,0.12796,,74,,39
176,0.129318,,73.25,,39
177,0.130675,,72.5,,39
178,0.132032,,71.75,,39
179,0.13339,,71,,39
180,0.134833,,70.75,,39.15
181,0.136275,,70.5,,39.3
182,0.137717,,70.25,,39.45
183,0.13916,,70,,39.6
184,0.140665,,71,,39.6
185,0.14217,,72,,39.6
186,0.143183,,73,,39.6
187,0.144197,,74,,39.6
188,0.14521,,75,,39.6
189,0.1463,,75.6,,39.56
190,0.14739,,76.2,,39.52
191,0.14848,,76.8,,39.48
192,0.14957,,77.4,,39.44
193,0.15066,,78,,39.4
194,0.152097,,79,,39.4
195,0.153533,,80,,39.4
196,0.15497,,81,,39.4
197,0.15711,,82,,39.2
198,0.158277,,82.3333,,39.1333
199,0.159443,,82.6667,,39.0667
200,0.16061,,83,,39
201,0.161455,,82.6667,,39
202,0.1623,,82.3333,,39
203,0.163145,,82,,39
204,0.16399,,81.6667,,39
205,0.164835,,81.3333,,39
206,0.16568,,81,,39
207,0.16584,,79.6667,,38.9333
208,0.166,,78.3333,,38.8667
209,0.16616,,77,,38.8
210,0.16623,,76,,38.85
211,0.1663,,75,,38.9
212,0.16637,,74,,38.95
213,0.16644,,73,,39
214,0.16649,,72.25,,38.95
215,0.16654,,71.5,,38.9
216,0.16659,,70.75,,38.85
217,0.16664,,70,,38.8
218,0.167798,,70.3529,,38.8
219,0.168955,,70.7059,,38.8
220,0.170113,,71.0588,,38.8
221,0.171271,,71.4118,,38.8
222,0.172428,,71.7647,,38.8
223,0.173586,,72.1176,,38.8
224,0.174744,,72.4706,,38.8
225,0.175901,,72.8235,,38.8
