secs,km,power,hr,cad,alt
0,0,,141,,0
1,0,,139,,473.2
2,0.000896667,,139,,469.4
3,0.00179333,,139,,465.6
4,0.00269,,139,,461.8
5,0.00358667,,139,,458
6,0.00448333,,139,,454.2
7,0.00538,,139,,450.4
8,0.00729333,,138.667,,451.233
9,0.00920667,,138.333,,452.067
10,0.01112,,138,,452.9
11,0.0130333,,137.667,,453.733
12,0.0149467,,137.333,,454.567
13,0.01686,,137,,455.4
14,0.0193817,,137.333,,455.167
15,0.0219033,,137.667,,454.933
16,0.024425,,138,,454.7
17,0.0269467,,138.333,,454.467
18,0.0294683,,138.667,,454.233
19,0.03199,,139,,454
20,0.0340167,,139.167,,453.967
21,0.0360433,,139.333,,453.933
22,0.03807,,139.5,,453.9
23,0.0400967,,139.667,,453.867
24,0.0421233,,139.833,,453.833
25,0.04415,,140,,453.8
26,0.0442225,,139.7,,453.98
27,0.044295,,139.4,,454.16
28,0.0443675,,139.1,,454.34
29,0.04444,,138.8,,454.52
30,0.0445125,,138.5,,454.7
31,0.044585,,138.2,,454.88
32,0.0446575,,137.9,,455.06
33,0.04473,,137.6,,455.24
34,0.0448025,,137.3,,455.42
35,0.044875,,137,,455.6
36,0.0449475,,136.7,,455.78
37,0.04502,,136.4,,455.96
38,0.0450925,,136.1,,456.14
39,0.045165,,135.8,,456.32
40,0.0452375,,135.5,,456.5
41,0.04531,,135.2,,456.68
42,0.0453825,,134.9,,456.86
43,0.045455,,134.6,,457.04
44,0.0455275,,134.3,,457.22
45,0.0456,,134,,457.4
46,0.04768,,134,,457.4
47,0.0502833,,134.333,,457.067
48,0.0528867,,134.667,,456.733
49,0.05549,,135,,456.4
50,0.0580933,,135.333,,456.067
51,0.0606967,,135.667,,455.733
52,0.0633,,136,,455.4
53,0.0664717,,135.667,,455.267
54,0.0696433,,135.333,,455.133
55,0.072815,,135,,455
56,0.0759867,,134.667,,454.867
57,0.0791583,,134.333,,454.733
58,0.08233,,134,,454.6
59,0.0854683,,133.667,,454.5
60,0.0886067,,133.333,,454.4
61,0.091745,,133,,454.3
62,0.0948833,,132.667,,454.2
63,0.0980217,,132.333,,454.1
64,0.10116,,132,,454
65,0.10432,,134,,454
66,0.10748,,136,,454
67,0.11064,,138,,454
68,0.1138,,140,,454
69,0.11656,,140,,454.12
70,0.11932,,140,,454.24
71,0.12208,,140,,454.36
72,0.12484,,140,,454.48
73,0.1276,,140,,454.6
74,0.1304,,137,,454.6
