secs,km,power,hr,cad,alt
0,0,,93,,125
1,0.00269,,93,,125
2,0.00486,,93.6,,125
3,0.00703,,94.2,,125
4,0.0092,,94.8,,125
5,0.01137,,95.4,,125
6,0.01354,,96,,125
7,0.0156625,,97,,124.95
8,0.017785,,98,,124.9
9,0.0199075,,99,,124.85
10,0.02203,,100,,124.8
11,0.02423,,101,,124.8
12,0.02643,,102,,124.8
13,0.02863,,103,,124.8
14,0.031205,,104.5,,124.7
15,0.03378,,106,,124.6
16,0.0362333,,107,,124.533
17,0.0386867,,108,,124.467
18,0.04114,,109,,124.4
19,0.0436817,,109.5,,124.233
20,0.0462233,,110,,124.067
21,0.048765,,110.5,,123.9
22,0.0513067,,111,,123.733
23,0.0538483,,111.5,,123.567
24,0.05639,,112,,123.4
25,0.058935,,112,,123.2
26,0.06148,,112,,123
27,0.064025,,112,,122.8
28,0.06657,,112,,122.6
29,0.069115,,112,,122.4
30,0.07166,,112,,122.2
31,0.07421,,112,,122.067
32,0.07676,,112,,121.933
33,0.07931,,112,,121.8
34,0.08186,,112,,121.667
35,0.08441,,112,,121.533
36,0.08696,,112,,121.4
37,0.0895283,,111.833,,121.233
38,0.0920967,,111.667,,121.067
39,0.094665,,111.5,,120.9
40,0.0972333,,111.333,,120.733
41,0.0998017,,111.167,,120.567
42,0.10237,,111,,120.4
43,0.104743,,111.167,,120.267
44,0.107117,,111.333,,120.133
45,0.10949,,111.5,,120
46,0.111863,,111.667,,119.867
47,0.114237,,111.833,,119.733
48,0.11661,,112,,119.6
49,0.118902,,112.6,,119.44
50,0.121194,,113.2,,119.28
51,0.123486,,113.8,,119.12
52,0.125778,,114.4,,118.96
53,0.12807,,115,,118.8
54,0.13055,,115.333,,118.667
55,0.13303,,115.667,,118.533
56,0.13551,,116,,118.4
57,0.13799,,116.333,,118.267
58,0.14047,,116.667,,118.133
59,0.14295,,117,,118
60,0.145365,,117.333,,117.933
61,0.14778,,117.667,,117.867
62,0.150195,,118,,117.8
63,0.15261,,118.333,,117.733
64,0.155025,,118.667,,117.667
65,0.15744,,119,,117.6
66,0.159995,,119.333,,117.533
67,0.16255,,119.667,,117.467
68,0.165105,,120,,117.4
69,0.16766,,120.333,,117.333
70,0.170215,,120.667,,117.267
71,0.17277,,121,,117.2
72,0.17532,,121.333,,117.233
73,0.17787,,121.667,,117.267
74,0.18042,,122,,117.3
75,0.18297,,122.333,,117.333
76,0.18552,,122.667,,117.367
77,0.18807,,123,,117.4
78,0.190442,,123,,117.4
79,0.192813,,123,,117.4
80,0.195185,,123,,117.4
81,0.197557,,123,,117.4
82,0.199928,,123,,117.4
83,0.2023,,123,,117.4
84,0.204648,,122.833,,117.4
85,0.206997,,122.667,,117.4
86,0.209345,,122.5,,117.4
87,0.211693,,122.333,,117.4
88,0.214042,,122.167,,117.4
89,0.21639,,122,,117.4
90,0.218897,,121.833,,117.367
91,0.221403,,121.667,,117.333
92,0.22391,,121.5,,117.3
93,0.226417,,121.333,,117.267
94,0.228923,,121.167,,117.233
95,0.23143,,121,,117.2
96,0.233927,,120.667,,117.167
97,0.236423,,120.333,,117.133
98,0.23892,,120,,117.1
99,0.241417,,119.667,,117.067
100,0.243913,,119.333,,117.033
101,0.24641,,119,,117
102,0.248946,,118.4,,117.04
103,0.251482,,117.8,,117.08
104,0.254018,,117.2,,117.12
105,0.256554,,116.6,,117.16
106,0.25909,,116,,117.2
107,0.261532,,115.4,,117.16
108,0.263974,,114.8,,117.12
109,0.266416,,114.2,,117.08
110,0.268858,,113.6,,117.04
111,0.2713,,113,,117
112,0.273653,,112.833,,116.967
113,0.276007,,112.667,,116.933
114,0.27836,,112.5,,116.9
115,0.280713,,112.333,,116.867
116,0.283067,,112.167,,116.833
117,0.28542,,112,,116.8
118,0.287795,,112,,116.8
119,0.29017,,112,,116.8
120,0.292545,,112,,116.8
121,0.29492,,112,,116.8
122,0.297295,,112,,116.8
123,0.29967,,112,,116.8
124,0.302107,,112,,116.767
125,0.304543,,112,,116.733
126,0.30698,,112,,116.7
127,0.309417,,112,,116.667
128,0.311853,,112,,116.633
129,0.31429,,112,,116.6
130,0.31673,,112.167,,116.567
131,0.31917,,112.333,,116.533
132,0.32161,,112.5,,116.5
133,0.32405,,112.667,,116.467
134,0.32649,,112.833,,116.433
135,0.32893,,113,,116.4
136,0.331423,,113.167,,116.333
137,0.333917,,113.333,,116.267
138,0.33641,,113.5,,116.2
139,0.338903,,113.667,,116.133
140,0.341397,,113.833,,116.067
141,0.34389,,114,,116
142,0.346416,,114.6,,115.96
143,0.348942,,115.2,,115.92
144,0.351468,,115.8,,115.88
145,0.353994,,116.4,,115.84
146,0.35652,,117,,115.8
147,0.358922,,117.6,,115.76
148,0.361324,,118.2,,115.72
149,0.363726,,118.8,,115.68
150,0.366128,,119.4,,115.64
151,0.36853,,120,,115.6
152,0.37098,,121.5,,115.5
153,0.37343,,123,,115.4
154,0.37572,,126,,115.4
155,0.37791,,127.5,,115.4
156,0.3801,,129,,115.4
157,0.38224,,130.5,,115.2
158,0.38438,,132,,115
159,0.386327,,132.75,,114.9
160,0.388275,,133.5,,114.8
161,0.390223,,134.25,,114.7
162,0.39217,,135,,114.6
163,0.39445,,135,,114.467
164,0.39673,,135,,114.333
165,0.39901,,135,,114.2
166,0.40129,,135,,114.067
167,0.40357,,135,,113.933
168,0.40585,,135,,113.8
169,0.407895,,134.833,,113.733
170,0.40994,,134.667,,113.667
171,0.411985,,134.5,,113.6
172,0.41403,,134.333,,113.533
173,0.416075,,134.167,,113.467
174,0.41812,,134,,113.4
175,0.420237,,133,,113.267
176,0.422353,,132,,113.133
177,0.42447,,131,,113
178,0.42673,,130.25,,112.9
179,0.42899,,129.5,,112.8
180,0.43125,,128.75,,112.7
181,0.43351,,128,,112.6
182,0.43593,,127.667,,112.6
183,0.43835,,127.333,,112.6
184,0.44077,,127,,112.6
185,0.44319,,126.667,,112.6
186,0.44561,,126.333,,112.6
187,0.44803,,126,,112.6
188,0.450417,,125.667,,112.533
189,0.452803,,125.333,,112.467
190,0.45519,,125,,112.4
191,0.457577,,124.667,,112.333
192,0.459963,,124.333,,112.267
193,0.46235,,124,,112.2
194,0.46477,,123.667,,112.133
195,0.46719,,123.333,,112.067
196,0.46961,,123,,112
197,0.47203,,122.667,,111.933
198,0.47445,,122.333,,111.867
199,0.47687,,122,,111.8
200,0.479438,,122,,111.7
201,0.482007,,122,,111.6
202,0.484575,,122,,111.5
203,0.487143,,122,,111.4
204,0.489712,,122,,111.3
205,0.49228,,122,,111.2
206,0.49514,,122.167,,111.2
207,0.498,,122.333,,111.2
208,0.50086,,122.5,,111.2
209,0.50372,,122.667,,111.2
210,0.50658,,122.833,,111.2
211,0.50944,,123,,111.2
212,0.51175,,123,,111.2
213,0.51406,,123,,111.2
214,0.51637,,123,,111.2
215,0.51868,,123,,111.2
216,0.52099,,123,,111.2
217,0.5233,,123,,111.2
218,0.525793,,123.333,,111.3
219,0.528287,,123.667,,111.4
220,0.53078,,124,,111.5
221,0.533273,,124.333,,111.6
222,0.535767,,124.667,,111.7
223,0.53826,,125,,111.8
224,0.540805,,125.167,,111.8
225,0.54335,,125.333,,111.8
226,0.545895,,125.5,,111.8
227,0.54844,,125.667,,111.8
228,0.550985,,125.833,,111.8
229,0.55353,,126,,111.8
230,0.555837,,125.5,,111.833
231,0.558143,,125,,111.867
232,0.56045,,124.5,,111.9
233,0.562757,,124,,111.933
234,0.565063,,123.5,,111.967
235,0.56737,,123,,112
236,0.569675,,122.667,,111.9
237,0.57198,,122.333,,111.8
238,0.574285,,122,,111.7
239,0.57659,,121.667,,111.6
240,0.578895,,121.333,,111.5
241,0.5812,,121,,111.4
242,0.583322,,121.333,,111.333
243,0.585443,,121.667,,111.267
244,0.587565,,122,,111.2
245,0.589687,,122.333,,111.133
246,0.591808,,122.667,,111.067
247,0.59393,,123,,111
248,0.596143,,124,,110.867
249,0.598357,,125,,110.733
250,0.60057,,126,,110.6
251,0.602863,,126.5,,110.567
252,0.605157,,127,,110.533
253,0.60745,,127.5,,110.5
254,0.609743,,128,,110.467
255,0.612037,,128.5,,110.433
256,0.61433,,129,,110.4
257,0.616883,,129.167,,110.367
258,0.619437,,129.333,,110.333
259,0.62199,,129.5,,110.3
260,0.624543,,129.667,,110.267
261,0.627097,,129.833,,110.233
262,0.62965,,130,,110.2
263,0.63214,,130.333,,110.2
264,0.63463,,130.667,,110.2
265,0.63712,,131,,110.2
266,0.63961,,131.333,,110.2
267,0.6421,,131.667,,110.2
268,0.64459,,132,,110.2
269,0.647057,,132.333,,110.2
270,0.649523,,132.667,,110.2
271,0.65199,,133,,110.2
272,0.654457,,133.333,,110.2
273,0.656923,,133.667,,110.2
274,0.65939,,134,,110.2
275,0.661703,,134.167,,110.167
276,0.664017,,134.333,,110.133
277,0.66633,,134.5,,110.1
278,0.668643,,134.667,,110.067
279,0.670957,,134.833,,110.033
280,0.67327,,135,,110
281,0.675733,,134.833,,110.067
282,0.678197,,134.667,,110.133
283,0.68066,,134.5,,110.2
284,0.683123,,134.333,,110.267
285,0.685587,,134.167,,110.333
286,0.68805,,134,,110.4
287,0.690427,,133.667,,110.467
288,0.692803,,133.333,,110.533
289,0.69518,,133,,110.6
290,0.697557,,132.667,,110.667
291,0.699933,,132.333,,110.733
292,0.70231,,132,,110.8
293,0.704887,,131.667,,110.867
294,0.707463,,131.333,,110.933
295,0.71004,,131,,111
296,0.712617,,130.667,,111.067
297,0.715193,,130.333,,111.133
298,0.71777,,130,,111.2
299,0.720187,,129.667,,111.267
300,0.722603,,129.333,,111.333
301,0.72502,,129,,111.4
302,0.727437,,128.667,,111.467
303,0.729853,,128.333,,111.533
304,0.73227,,128,,111.6
305,0.734713,,127.667,,111.667
306,0.737157,,127.333,,111.733
307,0.7396,,127,,111.8
308,0.742043,,126.667,,111.867
309,0.744487,,126.333,,111.933
310,0.74693,,126,,112
311,0.749328,,125.4,,111.96
312,0.751726,,124.8,,111.92
313,0.754124,,124.2,,111.88
314,0.756522,,123.6,,111.84
315,0.75892,,123,,111.8
316,0.761303,,122.833,,111.767
317,0.763687,,122.667,,111.733
318,0.76607,,122.5,,111.7
319,0.768453,,122.333,,111.667
320,0.770837,,122.167,,111.633
321,0.77322,,122,,111.6
322,0.775392,,122.167,,111.567
323,0.777563,,122.333,,111.533
324,0.779735,,122.5,,111.5
325,0.781907,,122.667,,111.467
326,0.784078,,122.833,,111.433
327,0.78625,,123,,111.4
328,0.788753,,123,,111.3
329,0.791257,,123,,111.2
330,0.79376,,123,,111.1
331,0.796263,,123,,111
332,0.798767,,123,,110.9
333,0.80127,,123,,110.8
334,0.803888,,123,,110.767
335,0.806507,,123,,110.733
336,0.809125,,123,,110.7
337,0.811743,,123,,110.667
338,0.814362,,123,,110.633
339,0.81698,,123,,110.6
340,0.819387,,123.167,,110.6
341,0.821793,,123.333,,110.6
342,0.8242,,123.5,,110.6
343,0.826607,,123.667,,110.6
344,0.829013,,123.833,,110.6
345,0.83142,,124,,110.6
346,0.833962,,124,,110.7
347,0.836503,,124,,110.8
348,0.839045,,124,,110.9
349,0.841587,,124,,111
350,0.844128,,124,,111.1
351,0.84667,,124,,111.2
352,0.849207,,123.833,,111.333
353,0.851743,,123.667,,111.467
354,0.85428,,123.5,,111.6
355,0.856817,,123.333,,111.733
356,0.859353,,123.167,,111.867
357,0.86189,,123,,112
358,0.864305,,122.667,,111.967
359,0.86672,,122.333,,111.933
