secs,km,power,hr,cad,alt
0,0,,128,,226.2
1,0.00217,,0,,225.6
2,0.00426,,0,,225.6
3,0.00624,,0,,225.4
4,0.00801,,0,,225.4
5,0.00965,,0,,225.4
6,0.01142,,0,,225.4
7,0.01329,,0,,225.2
8,0.01495,,138,,225.2
9,0.01662,,140,,225.2
10,0.01843,,142,,225.4
11,0.02002,,143,,225.2
12,0.02165,,145,,225.2
13,0.02309,,147,,225
14,0.02437,,147,,224.8
15,0.02572,,147,,224.8
16,0.02711,,147,,224.8
17,0.02849,,149,,225
18,0.02994,,149,,225
19,0.03125,,149,,225
20,0.03269,,149,,225
21,0.03406,,149,,225
22,0.03538,,149,,225
23,0.03676,,149,,225
24,0.03816,,149,,225
25,0.03953,,149,,225
26,0.041,,148,,225
27,0.04245,,148,,225
28,0.0439,,148,,225
29,0.04545,,148,,225
30,0.04693,,148,,225
31,0.04844,,148,,225.2
32,0.05004,,148,,225.2
33,0.05157,,148,,225.2
34,0.05323,,148,,225.4
35,0.05465,,148,,225.4
36,0.0562,,148,,225.6
37,0.05774,,148,,225.6
38,0.0588,,149,,225.8
39,0.06006,,148,,225.8
40,0.06143,,148,,226
41,0.06277,,148,,226
42,0.06444,,148,,226
43,0.06581,,148,,226
44,0.06728,,147,,226.2
45,0.0688,,147,,226.2
46,0.07026,,147,,226.2
47,0.07174,,147,,226.4
48,0.07333,,147,,226.4
49,0.07493,,147,,226.4
50,0.07686,,147,,226.4
51,0.07865,,148,,226.4
52,0.08032,,148,,226.6
53,0.08166,,148,,226.6
54,0.08311,,149,,226.6
55,0.08465,,149,,226.8
56,0.08631,,149,,226.8
57,0.08803,,149,,226.8
58,0.08968,,149,,226.8
59,0.09117,,149,,227
60,0.09257,,149,,227
61,0.09409,,149,,227
62,0.09583,,149,,227
63,0.09752,,149,,227.2
64,0.09909,,148,,227.2
65,0.10087,,148,,227.2
66,0.1027,,148,,227.4
67,0.10429,,148,,227.4
68,0.10592,,148,,227.6
69,0.10781,,148,,227.6
70,0.11012,,148,,227.8
71,0.11263,,151,,227.8
72,0.11521,,153,,227.8
73,0.11777,,154,,227.8
74,0.12011,,154,,228
75,0.12256,,154,,228
76,0.12498,,154,,228
77,0.12733,,155,,228.2
78,0.12978,,155,,228.2
79,0.13222,,158,,228.2
80,0.13468,,158,,228.2
81,0.13719,,158,,228.2
82,0.13963,,158,,228.2
83,0.14203,,158,,228.4
84,0.14436,,159,,228.4
85,0.14659,,159,,228.4
86,0.14879,,159,,228.4
87,0.15108,,159,,228.6
88,0.15331,,161,,228.6
89,0.15555,,161,,228.6
90,0.15788,,161,,228.6
91,0.16004,,161,,228.6
92,0.16226,,161,,228.8
93,0.16457,,161,,228.8
94,0.16685,,160,,228.8
95,0.16905,,162,,228.8
96,0.17109,,162,,228.8
97,0.17317,,162,,228.8
98,0.1752,,162,,229
99,0.17729,,162,,229
100,0.17933,,162,,229
101,0.18151,,162,,229
102,0.18374,,162,,229
103,0.18585,,162,,229.2
104,0.18788,,162,,229.2
105,0.18976,,164,,229.2
106,0.19149,,165,,229.2
107,0.19312,,165,,229.4
108,0.19447,,165,,229.4
109,0.19569,,165,,229.4
110,0.19708,,165,,229.4
111,0.19849,,165,,229.4
112,0.20005,,165,,229.6
113,0.20176,,165,,229.6
114,0.20351,,165,,229.6
115,0.20517,,165,,229.6
116,0.20669,,165,,229.6
117,0.20808,,164,,229.6
118,0.20956,,164,,229.6
119,0.21118,,162,,229.6
120,0.21283,,162,,229.6
121,0.21431,,162,,229.6
122,0.21598,,162,,229.6
123,0.21756,,162,,229.6
124,0.21899,,162,,229.6
125,0.22036,,162,,229.6
126,0.22166,,162,,229.6
127,0.22289,,162,,229.8
128,0.2242,,162,,229.8
129,0.2256,,161,,229.8
130,0.22722,,161,,229.8
131,0.22889,,161,,229.8
132,0.2308,,161,,230
133,0.2326,,161,,230
134,0.23452,,161,,230
135,0.23604,,161,,230
136,0.23757,,162,,230
137,0.23911,,162,,230
138,0.2406,,162,,230
139,0.24205,,162,,230
140,0.24335,,162,,230
141,0.24459,,162,,230.2
142,0.24606,,162,,230.2
143,0.24769,,162,,230.2
144,0.24944,,162,,230.2
145,0.25134,,162,,230.4
146,0.25339,,162,,230.4
147,0.25543,,162,,230.4
148,0.25737,,162,,230.4
149,0.25959,,163,,230.4
150,0.26184,,163,,230.6
151,0.26434,,163,,230.6
152,0.26647,,163,,230.8
153,0.26851,,163,,230.8
154,0.27051,,163,,230.8
155,0.27247,,163,,231
156,0.27482,,163,,231
157,0.27699,,163,,231.2
158,0.27928,,163,,231.2
159,0.28158,,163,,231.4
160,0.28369,,163,,231.4
161,0.28579,,163,,231.4
162,0.28792,,163,,231.4
163,0.29008,,163,,231.4
164,0.29217,,163,,231.6
165,0.29427,,165,,231.8
166,0.29641,,166,,231.8
167,0.29852,,166,,231.8
168,0.301,,166,,232
169,0.30316,,166,,232
170,0.30524,,167,,232.2
171,0.30733,,167,,232.2
172,0.30931,,167,,232.2
173,0.31097,,167,,232.2
174,0.31275,,167,,232.4
175,0.31442,,167,,232.4
176,0.31572,,167,,232.4
177,0.31708,,166,,232.4
178,0.31838,,166,,232.6
179,0.31986,,166,,232.6
180,0.32133,,166,,232.6
181,0.32299,,166,,232.6
182,0.32473,,166,,232.6
183,0.32634,,166,,232.6
184,0.32802,,166,,232.6
185,0.32972,,166,,232.8
186,0.33156,,165,,232.8
187,0.33359,,165,,233
188,0.33564,,165,,233
189,0.33765,,165,,233
190,0.3397,,165,,233
191,0.34146,,165,,233
192,0.34354,,166,,233
193,0.34559,,166,,233.2
194,0.34721,,166,,233.2
195,0.34899,,167,,233.2
196,0.35052,,167,,233.2
197,0.3522,,167,,233.2
198,0.35416,,167,,233.2
199,0.35603,,167,,233.2
200,0.35809,,167,,233.4
201,0.36033,,167,,233.4
202,0.3626,,167,,233.6
203,0.36476,,167,,233.6
204,0.36681,,167,,233.8
205,0.36886,,167,,233.8
206,0.37092,,165,,233.8
207,0.37304,,165,,233.8
208,0.37512,,166,,234
209,0.37728,,166,,234
210,0.37951,,166,,234
211,0.38167,,166,,234
212,0.38374,,166,,234
213,0.38607,,166,,234
214,0.38843,,166,,234
215,0.39063,,165,,234
216,0.39285,,165,,234.2
217,0.39514,,165,,234.2
218,0.39778,,165,,234.2
219,0.40017,,165,,234.4
220,0.40199,,165,,234.4
221,0.40337,,165,,234.4
222,0.40497,,166,,234.4
223,0.40679,,166,,234.6
224,0.40848,,166,,234.6
225,0.41016,,166,,234.8
226,0.4118,,166,,234.8
227,0.41353,,166,,234.8
228,0.41503,,166,,234.8
229,0.4164,,166,,234.8
230,0.41789,,166,,234.8
231,0.41941,,166,,234.8
232,0.42111,,166,,234.8
233,0.42287,,166,,234.8
234,0.42439,,165,,234.8
235,0.42587,,165,,234.8
236,0.42745,,165,,234.8
237,0.42905,,165,,234.8
238,0.43071,,165,,234.8
239,0.43234,,165,,234.8
240,0.43392,,165,,234.8
241,0.43566,,165,,234.8
242,0.43797,,165,,234.8
243,0.4403,,165,,234.8
244,0.4428,,165,,234.8
245,0.44528,,165,,235
246,0.44744,,165,,235
247,0.44972,,165,,235
248,0.45198,,165,,235
249,0.45425,,165,,235
250,0.45658,,165,,235.2
251,0.45892,,165,,235.2
252,0.46121,,165,,235.2
253,0.46349,,165,,235.4
254,0.46586,,164,,235.6
255,0.46822,,164,,235.6
256,0.47068,,164,,235.6
257,0.4732,,164,,235.6
258,0.4757,,164,,235.8
259,0.47804,,164,,235.8
260,0.48018,,164,,235.8
261,0.48228,,164,,235.8
262,0.48446,,164,,236
263,0.48662,,164,,236
264,0.48887,,164,,236
265,0.49104,,164,,236.2
266,0.49307,,164,,236.2
267,0.49519,,164,,236.2
268,0.49746,,164,,236.2
269,0.4997,,164,,236.2
270,0.50172,,164,,236.2
271,0.50361,,164,,236.2
272,0.50548,,163,,236.4
273,0.5073,,163,,236.6
