secs,km,power,hr,cad,alt
0,0,,142,,-97.6
1,0.00334,,142,,-97.2
2,0.00676,,142.333,,-96.5333
3,0.01018,,142.667,,-95.8667
4,0.0136,,143,,-95.2
5,0.01702,,143.333,,-94.5333
6,0.02044,,143.667,,-93.8667
7,0.02386,,144,,-93.2
8,0.0273733,,144,,-92.8
9,0.0308867,,144,,-92.4
10,0.0344,,144,,-92
11,0.0379133,,144,,-91.6
12,0.0414267,,144,,-91.2
13,0.04494,,144,,-90.8
14,0.04854,,144.5,,-90.2667
15,0.05214,,145,,-89.7333
16,0.05574,,145.5,,-89.2
17,0.05934,,146,,-88.6667
18,0.06294,,146.5,,-88.1333
19,0.06654,,147,,-87.6
20,0.0694412,,146.875,,-85.15
21,0.0723425,,146.75,,-82.7
22,0.0752437,,146.625,,-80.25
23,0.078145,,146.5,,-77.8
24,0.0810462,,146.375,,-75.35
25,0.0839475,,146.25,,-72.9
26,0.0868488,,146.125,,-70.45
27,0.08975,,146,,-68
28,0.09438,,146,,-65.68
29,0.09901,,146,,-63.36
30,0.10364,,146,,-61.04
31,0.10827,,146,,-58.72
32,0.1129,,146,,-56.4
33,0.116753,,146.333,,-55.8667
34,0.120607,,146.667,,-55.3333
35,0.12446,,147,,-54.8
36,0.128313,,147.333,,-54.2667
37,0.132167,,147.667,,-53.7333
38,0.13602,,148,,-53.2
39,0.139231,,148.286,,-51.5143
40,0.142443,,148.571,,-49.8286
41,0.145654,,148.857,,-48.1429
42,0.148866,,149.143,,-46.4571
43,0.152077,,149.429,,-44.7714
44,0.155289,,149.714,,-43.0857
45,0.1585,,150,,-41.4
46,0.16204,,153,,-40
47,0.16564,,153.333,,-39.1667
48,0.16924,,153.667,,-38.3333
49,0.17284,,154,,-37.5
50,0.17644,,154.333,,-36.6667
51,0.18004,,154.667,,-35.8333
52,0.18364,,155,,-35
53,0.187303,,155.167,,-34
54,0.190967,,155.333,,-33
55,0.19463,,155.5,,-32
56,0.198293,,155.667,,-31
57,0.201957,,155.833,,-30
58,0.20562,,156,,-29
59,0.209562,,155.4,,-28
60,0.213504,,154.8,,-27
61,0.217446,,154.2,,-26
62,0.221388,,153.6,,-25
63,0.22533,,153,,-24
64,0.232357,,153,,-20.8667
65,0.239383,,153,,-17.7333
66,0.24641,,153,,-14.6
67,0.251188,,153,,-13.08
68,0.255966,,153,,-11.56
