secs,km,power,hr,cad,alt
0,0,,65,,0.23
1,0.00228,,68,,0.23
2,0.00456,,70,,0.1725
3,0.00763,,70,,0.115
4,0.01324,,77,,0.0575
5,0.01324,,77,,0
6,0.01603,,83,,-0.0575
7,0.01922,,85,,-0.115
8,0.02214,,89,,-0.1725
9,0.02513,,90,,-0.23
10,0.02797,,94,,-0.261429
11,0.03092,,96,,-0.292857
12,0.03428,,99,,-0.324286
13,0.03744,,100,,-0.355714
14,0.04055,,103,,-0.387143
15,0.04342,,104,,-0.418571
16,0.04627,,105,,-0.45
17,0.04929,,107,,-0.44875
18,0.0526,,108,,-0.4475
19,0.05558,,108,,-0.44625
20,0.05864,,109,,-0.445
21,0.06145,,110,,-0.44375
22,0.06689,,111,,-0.4425
23,0.06689,,112,,-0.44125
24,0.06956,,113,,-0.44
25,0.07224,,113,,-0.4425
26,0.07752,,114,,-0.445
27,0.07752,,114,,-0.4475
28,0.08008,,115,,-0.45
29,0.08268,,116,,-0.4525
30,0.08826,,116,,-0.455
31,0.08826,,117,,-0.4575
32,0.09095,,118,,-0.46
33,0.094,,118,,-0.46
34,0.09718,,119,,-0.46
35,0.10012,,119,,-0.46
36,0.10638,,120,,-0.46
37,0.10638,,120,,-0.46
38,0.10912,,120,,-0.46
39,0.11196,,121,,-0.46
40,0.11511,,121,,-0.45
41,0.1183,,122,,-0.44
42,0.12167,,123,,-0.43
43,0.12516,,124,,-0.42
44,0.12895,,125,,-0.41
45,0.1325,,126,,-0.4
46,0.13592,,127,,-0.38
47,0.13927,,128,,-0.36
48,0.14244,,129,,-0.34
49,0.14552,,130,,-0.32
50,0.14851,,130,,-0.3
51,0.15147,,131,,-0.28
52,0.15709,,131,,-0.26
53,0.15709,,131,,-0.284444
54,0.16241,,131,,-0.308889
55,0.16241,,130,,-0.333333
56,0.16514,,130,,-0.357778
57,0.16784,,130,,-0.382222
58,0.17077,,130,,-0.406667
59,0.17374,,130,,-0.431111
60,0.17659,,130,,-0.455556
61,0.17948,,130,,-0.48
62,0.18238,,130,,-0.5175
63,0.18518,,130,,-0.555
64,0.18793,,130,,-0.5925
65,0.19068,,130,,-0.63
66,0.1937,,130,,-0.6675
67,0.19671,,130,,-0.705
68,0.19985,,130,,-0.7425
69,0.20278,,130,,-0.78
70,0.20579,,131,,-0.7405
71,0.20881,,131,,-0.701
72,0.21131,,131,,-0.6615
73,0.21423,,130,,-0.622
74,0.21704,,131,,-0.5825
75,0.21972,,131,,-0.543
76,0.2227,,131,,-0.5035
77,0.22898,,131,,-0.464
78,0.22898,,130,,-0.466625
79,0.23208,,131,,-0.46925
80,0.23497,,131,,-0.471875
81,0.24099,,130,,-0.4745
82,0.24099,,131,,-0.477125
83,0.24708,,131,,-0.47975
84,0.24708,,131,,-0.482375
85,0.25292,,131,,-0.485
86,0.25292,,130,,-0.479556
87,0.25584,,131,,-0.474111
88,0.25861,,131,,-0.468667
89,0.26142,,131,,-0.463222
90,0.26408,,130,,-0.457778
91,0.26691,,130,,-0.452333
92,0.26976,,130,,-0.446889
93,0.27266,,130,,-0.441444
94,0.27556,,130,,-0.436
95,0.27854,,130,,-0.427
96,0.28139,,129,,-0.418
97,0.28416,,129,,-0.409
98,0.28718,,129,,-0.4
99,0.29008,,130,,-0.391
100,0.2928,,129,,-0.382
101,0.29529,,130,,-0.373
102,0.29817,,130,,-0.364
103,0.30112,,129,,-0.35175
104,0.30389,,129,,-0.3395
105,0.30636,,129,,-0.32725
106,0.30936,,129,,-0.315
107,0.31236,,129,,-0.30275
