secs,km,power,hr,cad,alt
0,0,,86,,-3.2
1,0.00135,,87,,-3.2
2,0.00295,,86,,-3
3,0.00439,,85,,-2.2
4,0.00588,,84,,-2.2
5,0.00805,,85,,-2.6
6,0.01017,,85,,-2.6
7,0.01246,,86,,-3
8,0.01411,,86,,-2.6
9,0.01641,,85,,-2.8
10,0.01855,,86,,-2.8
11,0.02084,,86,,-3
12,0.0235,,88,,-2.4
13,0.02612,,88,,-2.2
14,0.02908,,92,,-2
15,0.03262,,95,,-1.8
16,0.03619,,97,,-2
17,0.03955,,98,,-2.6
18,0.04233,,100,,-3
19,0.04478,,101,,-2.8
20,0.04748,,103,,-2.8
21,0.05011,,103,,-2.6
22,0.05284,,106,,-2.6
23,0.05529,,108,,-2.6
24,0.05782,,109,,-2.4
25,0.06049,,107,,-2.4
26,0.06286,,109,,-2.4
27,0.06512,,111,,-2.4
28,0.06747,,113,,-2.4
29,0.07074,,114,,-2.4
30,0.07372,,115,,-2.4
31,0.07694,,116,,-2.4
32,0.08065,,117,,-2.4
33,0.08333,,118,,-2.6
34,0.08501,,119,,-2.6
35,0.0867,,119,,-2.6
36,0.08766,,119,,-2.6
37,0.08906,,120,,-2.6
38,0.09124,,120,,-2.6
39,0.09366,,120,,-2.6
40,0.09705,,120,,-2.6
41,0.10004,,120,,-2.6
42,0.10284,,120,,-2.6
43,0.10542,,121,,-2.6
44,0.10837,,121,,-2.6
45,0.11028,,121,,-2.6
46,0.11502,,122,,-2.6
47,0.11776,,122,,-2.6
48,0.12019,,123,,-2.6
49,0.12278,,123,,-2.8
50,0.1253,,124,,-2.8
51,0.12812,,125,,-2.8
52,0.13095,,125,,-2.8
53,0.1336,,125,,-2.8
54,0.13618,,126,,-2.6
55,0.13837,,126,,-2.6
56,0.14102,,126,,-2.6
57,0.14376,,126,,-2.6
58,0.14615,,126,,-2.4
59,0.14834,,126,,-2.4
60,0.15057,,126,,-2.4
61,0.15347,,126,,-2.4
62,0.15658,,126,,-2.4
63,0.16023,,127,,-2.4
64,0.16351,,127,,-2.4
65,0.1666,,127,,-2.4
66,0.1697,,128,,-2.4
67,0.17246,,128,,-2.4
68,0.17557,,128,,-2.4
69,0.17894,,128,,-2.4
70,0.18241,,128,,-2.4
71,0.18607,,128,,-2.2
72,0.19003,,128,,-2.2
73,0.19298,,129,,-2.4
74,0.19579,,129,,-2.4
75,0.1984,,129,,-2.4
76,0.2008,,129,,-2.2
77,0.20318,,130,,-2.2
78,0.20519,,130,,-2.4
79,0.20765,,130,,-2.4
80,0.20972,,130,,-2.4
81,0.21229,,131,,-2.2
82,0.21471,,131,,-2.2
83,0.21716,,131,,-2.2
84,0.21936,,131,,-2.2
85,0.22173,,131,,-2.2
86,0.22418,,132,,-2.2
87,0.22642,,132,,-2.2
88,0.22901,,132,,-2.2
89,0.23136,,132,,-2.4
90,0.23369,,133,,-2.4
91,0.23584,,133,,-2.4
92,0.23861,,133,,-2.4
93,0.24168,,133,,-2.4
94,0.24457,,133,,-2.4
95,0.24764,,133,,-2.4
96,0.25045,,133,,-2.4
97,0.25327,,133,,-2.4
98,0.25647,,133,,-2.2
99,0.25948,,133,,-2.2
100,0.26231,,133,,-2.2
101,0.26536,,133,,-2.2
102,0.26811,,133,,-2.2
103,0.27103,,133,,-2.2
104,0.27439,,133,,-2.2
105,0.27748,,133,,-2.2
106,0.28051,,134,,-2.2
107,0.28358,,134,,-2.2
108,0.28688,,134,,-2.2
109,0.28983,,134,,-2.2
110,0.29282,,135,,-2.2
111,0.29607,,135,,-2.2
112,0.29923,,135,,-2.2
