secs,km,power,hr,cad,alt
0,0,,66,,76
1,0.001955,,67.5,,76.1
2,0.00391,,69,,76.2
3,0.00617,,72,,76.2
4,0.00867,,76,,76.4
5,0.011025,,77.5,,76.5
6,0.01338,,79,,76.6
7,0.0159,,80,,76.6
8,0.0183,,81,,76.6
9,0.02094,,82,,76.8
10,0.02347,,83,,76.8
11,0.02616,,85,,77
12,0.02906,,87,,77
13,0.0318,,88,,77.2
14,0.03451,,89,,77.2
15,0.03715,,91,,77.4
16,0.03985,,92,,77.4
17,0.04256,,94,,77.6
18,0.04523,,95,,77.6
19,0.04792,,96,,77.8
20,0.05061,,97,,77.8
21,0.05355,,97,,78
22,0.05653,,98,,78.2
23,0.05939,,99,,78.2
24,0.06237,,100,,78.4
25,0.06544,,100,,78.4
26,0.06848,,100,,78.6
27,0.07139,,101,,78.6
28,0.07429,,102,,78.8
29,0.07665,,102,,78.8
30,0.07918,,103,,79
31,0.08177,,104,,79
32,0.08431,,105,,79.2
33,0.0869,,105,,79.2
34,0.08974,,105,,79.4
35,0.09217,,106,,79.4
36,0.09464,,107,,79.6
37,0.09715,,108,,79.8
38,0.09948,,109,,79.8
39,0.10202,,110,,80
40,0.10442,,110,,80
41,0.10725,,111,,80.2
42,0.11012,,112,,80.2
43,0.11279,,114,,80.4
44,0.11573,,114,,80.4
45,0.11821,,115,,80.6
46,0.12087,,116,,80.6
47,0.12352,,116,,80.8
48,0.12619,,118,,80.8
49,0.12887,,118,,81
50,0.13107,,119,,81
51,0.1331,,119,,81.2
52,0.13539,,119,,81.2
53,0.13785,,119,,81.4
54,0.14022,,120,,81.4
55,0.14282,,120,,81.6
56,0.14537,,120,,81.8
57,0.14791,,120,,81.8
58,0.15062,,120,,82
59,0.15307,,121,,82
60,0.15593,,121,,82.2
61,0.15864,,121,,82.2
62,0.1609,,121,,82.4
63,0.16305,,122,,82.6
64,0.16511,,122,,82.8
65,0.16701,,121,,83
66,0.16913,,121,,83.4
67,0.17118,,121,,83.6
68,0.17364,,121,,84
69,0.17594,,122,,84.2
70,0.1782,,122,,84.4
71,0.18049,,122,,84.8
72,0.182925,,122,,85.1
73,0.18536,,122,,85.4
74,0.18789,,122,,85.8
75,0.19041,,122,,86
76,0.19557,,122,,86.8
77,0.19557,,122,,86.8
78,0.2013,,122,,87.6
79,0.2013,,122,,87.6
80,0.20434,,122,,88
81,0.20734,,123,,88.4
82,0.21034,,122,,88.8
83,0.21324,,122,,89.2
84,0.21616,,123,,89.6
85,0.21885,,122,,90
86,0.22132,,122,,90.2
87,0.223975,,122.5,,90.6
88,0.22663,,123,,91
89,0.22935,,122,,91.4
90,0.23195,,123,,91.8
91,0.23481,,123,,92.2
92,0.23735,,122,,92.4
93,0.2398,,122,,92.8
94,0.24232,,123,,93.2
95,0.24504,,123,,93.6
96,0.24768,,122,,93.8
97,0.2502,,123,,94.2
98,0.25278,,122,,94.6
99,0.25556,,122,,95
100,0.25824,,122,,95.2
101,0.26071,,122,,95.6
102,0.26323,,122,,96
103,0.26576,,122,,96.2
104,0.26809,,122,,96.6
105,0.27067,,122,,97
106,0.27583,,122,,97.6
107,0.27862,,122,,98
108,0.27862,,122,,98
109,0.28114,,122,,98.2
110,0.28362,,122,,98.6
111,0.28612,,122,,99
112,0.28849,,122,,99.2
113,0.29099,,122,,99.6
114,0.29353,,123,,100
115,0.29604,,123,,100.2
116,0.29859,,123,,100.6
117,0.30116,,122,,101
118,0.3036,,123,,101.2
119,0.30611,,123,,101.6
120,0.30867,,123,,102
121,0.31139,,123,,102.2
122,0.31395,,123,,102.6
123,0.31654,,123,,103
124,0.31927,,123,,103.2
125,0.32188,,123,,103.6
126,0.32448,,123,,104
127,0.32945,,123,,104.6
128,0.32945,,123,,104.6
129,0.33183,,123,,104.8
130,0.33435,,123,,105.2
131,0.33686,,123,,105.4
132,0.33925,,123,,105.8
133,0.34191,,124,,106.2
134,0.34432,,123,,106.4
135,0.34658,,123,,106.8
136,0.34882,,122,,107
137,0.35114,,122,,107.2
138,0.35345,,121,,107.4
139,0.35589,,121,,107.8
140,0.35833,,122,,108
141,0.36084,,122,,108.4
142,0.36331,,122,,108.6
143,0.36591,,122,,109
144,0.36845,,122,,109.2
145,0.371,,122,,109.4
146,0.37361,,122,,109.6
147,0.37614,,122,,109.6
148,0.37851,,122,,109.6
149,0.38077,,122,,109.4
150,0.38286,,122,,109.4
151,0.38513,,122,,109.4
152,0.38741,,122,,109.2
153,0.3895,,122,,109.2
154,0.39162,,122,,109.2
155,0.39383,,122,,109
156,0.39619,,123,,109
157,0.3984,,123,,109
158,0.40067,,123,,108.8
159,0.40303,,123,,108.8
160,0.4053,,123,,108.8
161,0.40742,,123,,108.6
162,0.40958,,124,,108.6
163,0.41189,,124,,108.4
164,0.41425,,124,,108.4
165,0.41679,,124,,108.2
166,0.41942,,124,,108.2
167,0.42237,,124,,108
168,0.42493,,125,,108
169,0.42777,,125,,107.8
170,0.43066,,125,,107.8
171,0.43344,,125,,107.6
172,0.43633,,125,,107.6
173,0.43888,,125,,107.4
174,0.44176,,125,,107.4
175,0.44458,,124,,107.2
176,0.44743,,124,,107
177,0.45028,,124,,107
178,0.45309,,124,,107
179,0.45613,,124,,106.8
180,0.45888,,124,,106.6
181,0.46162,,124,,106.6
182,0.46439,,124,,106.4
183,0.46721,,124,,106.4
184,0.46992,,124,,106.2
185,0.47262,,123,,106.2
186,0.47541,,123,,106
187,0.47815,,124,,105.8
188,0.48093,,124,,105.8
189,0.48376,,123,,105.6
190,0.4865,,124,,105.6
191,0.48921,,124,,105.4
192,0.49175,,124,,105.4
193,0.49417,,124,,105.4
194,0.49654,,124,,105.2
195,0.49918,,124,,105.2
196,0.50191,,124,,105
197,0.50467,,125,,104.8
198,0.50743,,125,,104.8
199,0.51014,,125,,104.6
200,0.51282,,124,,104.6
201,0.51547,,125,,104.4
202,0.51805,,125,,104.4
203,0.52067,,125,,104.2
204,0.52334,,125,,104
205,0.52596,,125,,104
206,0.5285,,126,,103.8
207,0.53109,,126,,103.8
208,0.53362,,126,,103.6
209,0.53634,,126,,103.6
210,0.53904,,126,,103.4
211,0.54156,,125,,103.2
212,0.54431,,126,,103.2
213,0.54706,,126,,103
214,0.54982,,126,,102.8
215,0.55261,,126,,102.8
216,0.55531,,126,,102.6
217,0.55809,,126,,102.4
218,0.56084,,126,,102.2
219,0.56337,,126,,102.2
220,0.56591,,126,,102
221,0.56843,,125,,101.8
222,0.57111,,125,,101.6
223,0.57371,,125,,101.6
224,0.57656,,125,,101.4
225,0.57932,,125,,101.2
226,0.5821,,125,,101
227,0.58484,,125,,100.8
228,0.58743,,125,,100.8
229,0.59009,,125,,100.6
230,0.59285,,125,,100.4
231,0.59564,,125,,100.2
232,0.59874,,125,,100
233,0.60168,,126,,99.8
234,0.60458,,125,,99.6
235,0.60717,,125,,99.4
236,0.60984,,126,,99.4
237,0.61258,,126,,99.2
238,0.61546,,126,,99
239,0.61849,,126,,98.8
240,0.62137,,126,,98.6
241,0.62393,,125,,98.4
242,0.62655,,125,,98.2
243,0.62941,,124,,98
244,0.63233,,124,,97.8
245,0.63514,,125,,97.8
246,0.63781,,125,,97.6
247,0.64059,,124,,97.4
248,0.64309,,124,,97.2
249,0.64563,,124,,97
250,0.6483,,124,,96.8
251,0.65087,,124,,96.8
252,0.65348,,124,,96.6
253,0.65614,,125,,96.4
254,0.65876,,124,,96.2
255,0.66146,,124,,96
256,0.66426,,125,,96
257,0.66686,,125,,95.8
258,0.66962,,124,,95.6
259,0.67258,,124,,95.4
260,0.67546,,124,,95.2
261,0.67821,,124,,95
262,0.68082,,124,,94.8
263,0.68349,,123,,94.8
264,0.68612,,123,,94.6
265,0.68887,,123,,94.4
266,0.69174,,123,,94.2
267,0.69458,,123,,94
268,0.69726,,122,,93.8
269,0.70001,,122,,93.6
270,0.70268,,122,,93.4
271,0.70508,,122,,93.4
272,0.70738,,122,,93.2
273,0.70979,,122,,93
274,0.71246,,122,,92.8
275,0.71512,,122,,92.8
276,0.71772,,122,,92.6
277,0.72041,,122,,92.4
278,0.72307,,123,,92.2
279,0.72555,,123,,92
280,0.72818,,123,,91.8
281,0.73058,,123,,91.8
282,0.73295,,123,,91.6
283,0.73485,,123,,91.4
284,0.73671,,124,,91.4
285,0.73914,,124,,91.2
286,0.74144,,124,,91
287,0.74355,,123,,91
288,0.7462,,124,,90.8
289,0.74892,,123,,90.6
290,0.75172,,123,,90.4
291,0.75433,,123,,90.2
292,0.75693,,124,,90
293,0.75985,,123,,89.8
294,0.7626,,124,,89.6
295,0.76551,,124,,89.4
