secs,km,power,hr,cad,alt
0,0,,81,,93.4
1,0.00307,,84,,93.6
2,0.00614,,87,,93.8
3,0.00903,,90,,93.8
4,0.01193,,94,,93.8
5,0.01457,,97,,94
6,0.01737,,101,,93.6
7,0.01963,,103.5,,93.8
8,0.02189,,106,,94
9,0.02463,,108,,94
10,0.02737,,110,,94
11,0.0304,,111.5,,94
12,0.03343,,113,,94
13,0.03621,,114.5,,94
14,0.03899,,116,,94
15,0.0420367,,117,,94
16,0.0450833,,118,,94
17,0.04813,,119,,94
18,0.0515167,,119.333,,94
19,0.0549033,,119.667,,94
20,0.05829,,120,,94
21,0.0616767,,120.333,,94
22,0.0650633,,120.667,,94
23,0.06845,,121,,94
24,0.0712814,,121.429,,94.0286
25,0.0741129,,121.857,,94.0571
26,0.0769443,,122.286,,94.0857
27,0.0797757,,122.714,,94.1143
28,0.0826071,,123.143,,94.1429
29,0.0854386,,123.571,,94.1714
30,0.08827,,124,,94.2
31,0.0909713,,123.875,,94.2
32,0.0936725,,123.75,,94.2
33,0.0963738,,123.625,,94.2
34,0.099075,,123.5,,94.2
35,0.101776,,123.375,,94.2
36,0.104478,,123.25,,94.2
37,0.107179,,123.125,,94.2
38,0.10988,,123,,94.2
39,0.112452,,122.8,,94.08
40,0.115024,,122.6,,93.96
41,0.117596,,122.4,,93.84
42,0.120168,,122.2,,93.72
43,0.12274,,122,,93.6
44,0.125993,,121,,93.5333
45,0.129247,,120,,93.4667
46,0.1325,,119,,93.4
47,0.135746,,119.286,,93.3143
48,0.138991,,119.571,,93.2286
49,0.142237,,119.857,,93.1429
50,0.145483,,120.143,,93.0571
51,0.148729,,120.429,,92.9714
52,0.151974,,120.714,,92.8857
53,0.15522,,121,,92.8
54,0.158315,,122.5,,92.7
55,0.16141,,124,,92.6
56,0.164603,,124.333,,92.5333
57,0.167797,,124.667,,92.4667
58,0.17099,,125,,92.4
59,0.174274,,125.143,,92.4
60,0.177559,,125.286,,92.4
61,0.180843,,125.429,,92.4
62,0.184127,,125.571,,92.4
63,0.187411,,125.714,,92.4
64,0.190696,,125.857,,92.4
65,0.19398,,126,,92.4
66,0.197315,,126.333,,92.4
67,0.20065,,126.667,,92.4
68,0.203985,,127,,92.4
69,0.20732,,127.333,,92.4
70,0.210655,,127.667,,92.4
71,0.21399,,128,,92.4
72,0.216913,,128,,92.3143
73,0.219836,,128,,92.2286
74,0.222759,,128,,92.1429
75,0.225681,,128,,92.0571
76,0.228604,,128,,91.9714
77,0.231527,,128,,91.8857
78,0.23445,,128,,91.8
79,0.237519,,128.143,,91.8
80,0.240587,,128.286,,91.8
81,0.243656,,128.429,,91.8
82,0.246724,,128.571,,91.8
83,0.249793,,128.714,,91.8
84,0.252861,,128.857,,91.8
85,0.25593,,129,,91.8
86,0.258823,,129.143,,91.8571
87,0.261716,,129.286,,91.9143
88,0.264609,,129.429,,91.9714
89,0.267501,,129.571,,92.0286
90,0.270394,,129.714,,92.0857
91,0.273287,,129.857,,92.1429
92,0.27618,,130,,92.2
93,0.27915,,130.5,,92.3333
94,0.28212,,131,,92.4667
95,0.28509,,131.5,,92.6
96,0.28806,,132,,92.7333
97,0.29103,,132.5,,92.8667
98,0.294,,133,,93
99,0.29716,,133.167,,93.0667
100,0.30032,,133.333,,93.1333
101,0.30348,,133.5,,93.2
102,0.30664,,133.667,,93.2667
103,0.3098,,133.833,,93.3333
104,0.31296,,134,,93.4
105,0.316087,,134.143,,93.5143
106,0.319214,,134.286,,93.6286
107,0.322341,,134.429,,93.7429
108,0.325469,,134.571,,93.8571
109,0.328596,,134.714,,93.9714
110,0.331723,,134.857,,94.0857
111,0.33485,,135,,94.2
112,0.337963,,135.333,,94.3333
113,0.341077,,135.667,,94.4667
114,0.34419,,136,,94.6
115,0.347167,,136.286,,94.6571
116,0.350144,,136.571,,94.7143
117,0.353121,,136.857,,94.7714
118,0.356099,,137.143,,94.8286
119,0.359076,,137.429,,94.8857
120,0.362053,,137.714,,94.9429
121,0.36503,,138,,95
122,0.368016,,138.143,,95.0857
123,0.371001,,138.286,,95.1714
124,0.373987,,138.429,,95.2571
125,0.376973,,138.571,,95.3429
126,0.379959,,138.714,,95.4286
127,0.382944,,138.857,,95.5143
128,0.38593,,139,,95.6
129,0.389042,,139,,95.6
130,0.392154,,139,,95.6
131,0.395266,,139,,95.6
132,0.398378,,139,,95.6
133,0.40149,,139,,95.6
134,0.404706,,139,,95.5714
135,0.407921,,139,,95.5429
136,0.411137,,139,,95.5143
137,0.414353,,139,,95.4857
138,0.417569,,139,,95.4571
139,0.420784,,139,,95.4286
140,0.424,,139,,95.4
141,0.427162,,138.4,,95.44
142,0.430324,,137.8,,95.48
143,0.433486,,137.2,,95.52
144,0.436648,,136.6,,95.56
145,0.43981,,136,,95.6
146,0.442859,,135.857,,95.6
147,0.445907,,135.714,,95.6
148,0.448956,,135.571,,95.6
149,0.452004,,135.429,,95.6
150,0.455053,,135.286,,95.6
151,0.458101,,135.143,,95.6
152,0.46115,,135,,95.6
153,0.464143,,135.143,,95.6
154,0.467136,,135.286,,95.6
155,0.470129,,135.429,,95.6
156,0.473121,,135.571,,95.6
157,0.476114,,135.714,,95.6
158,0.479107,,135.857,,95.6
159,0.4821,,136,,95.6
160,0.485223,,135.714,,95.4857
161,0.488346,,135.429,,95.3714
162,0.491469,,135.143,,95.2571
163,0.494591,,134.857,,95.1429
164,0.497714,,134.571,,95.0286
165,0.500837,,134.286,,94.9143
166,0.50396,,134,,94.8
167,0.50722,,134,,94.8
168,0.51048,,134,,94.8
169,0.51374,,134,,94.8
170,0.517,,134,,94.8
171,0.52026,,134,,94.8
172,0.52352,,134,,94.8
173,0.52678,,134,,94.8
174,0.52982,,134.5,,94.7
175,0.53286,,135,,94.6
176,0.536263,,134.667,,94.5667
177,0.539667,,134.333,,94.5333
178,0.54307,,134,,94.5
179,0.546473,,133.667,,94.4667
180,0.549877,,133.333,,94.4333
181,0.55328,,133,,94.4
182,0.557168,,133.167,,94.3333
183,0.561057,,133.333,,94.2667
184,0.564945,,133.5,,94.2
185,0.568833,,133.667,,94.1333
186,0.572722,,133.833,,94.0667
187,0.57661,,134,,94
188,0.579877,,133.667,,93.8667
189,0.583143,,133.333,,93.7333
190,0.58641,,133,,93.6
191,0.589788,,133,,93.5
192,0.593167,,133,,93.4
193,0.596545,,133,,93.3
194,0.599923,,133,,93.2
195,0.603302,,133,,93.1
196,0.60668,,133,,93
197,0.609428,,132.833,,92.9333
198,0.612177,,132.667,,92.8667
199,0.614925,,132.5,,92.8
200,0.617673,,132.333,,92.7333
201,0.620422,,132.167,,92.6667
202,0.62317,,132,,92.6
203,0.626101,,132,,92.5143
204,0.629033,,132,,92.4286
205,0.631964,,132,,92.3429
206,0.634896,,132,,92.2571
207,0.637827,,132,,92.1714
208,0.640759,,132,,92.0857
209,0.64369,,132,,92
210,0.647257,,132.167,,91.9333
211,0.650823,,132.333,,91.8667
212,0.65439,,132.5,,91.8
213,0.657957,,132.667,,91.7333
214,0.661523,,132.833,,91.6667
215,0.66509,,133,,91.6
216,0.668345,,133.25,,91.55
217,0.6716,,133.5,,91.5
218,0.674855,,133.75,,91.45
219,0.67811,,134,,91.4
220,0.681369,,133.857,,91.3714
221,0.684627,,133.714,,91.3429
222,0.687886,,133.571,,91.3143
223,0.691144,,133.429,,91.2857
224,0.694403,,133.286,,91.2571
225,0.697661,,133.143,,91.2286
226,0.70092,,133,,91.2
227,0.704219,,133.286,,91.1714
228,0.707517,,133.571,,91.1429
229,0.710816,,133.857,,91.1143
230,0.714114,,134.143,,91.0857
231,0.717413,,134.429,,91.0571
232,0.720711,,134.714,,91.0286
233,0.72401,,135,,91
