secs,km,power,hr,cad,alt
0,0,,72,,686
1,0,,72,,686
2,0,,72,,686
3,0,,72,,685
4,0.013,,72,,685
5,0.013,,72,,685
6,0.013,,72,,684
7,0.013,,72,,684
8,0.013,,72,,684
9,0.026,,72,,684
10,0.026,,74,,684
11,0.026,,78,,685
12,0.026,,81,,685
13,0.026,,84,,685
14,0.037,,89,,686
15,0.037,,92,,686
16,0.037,,94,,686
17,0.037,,96,,686
18,0.049,,97,,686
19,0.049,,98,,686
20,0.049,,99,,686
21,0.049,,99,,687
22,0.061,,99,,687
23,0.061,,100,,688
24,0.061,,100,,689
25,0.061,,101,,690
26,0.061,,101,,690
27,0.073,,100,,691
28,0.073,,100,,691
29,0.073,,100,,692
30,0.073,,100,,692
31,0.073,,100,,692
32,0.086,,101,,693
33,0.086,,101,,693
34,0.086,,101,,694
35,0.086,,103,,694
36,0.086,,104,,693
37,0.097,,104,,693
38,0.097,,105,,693
39,0.097,,106,,694
40,0.097,,108,,694
41,0.097,,109,,694
42,0.111,,109,,694
43,0.111,,110,,694
44,0.111,,111,,694
45,0.111,,111,,694
46,0.125,,111,,694
47,0.125,,111,,694
48,0.125,,110,,694
49,0.125,,110,,694
50,0.138,,110,,694
51,0.138,,111,,694
52,0.138,,111,,694
53,0.138,,112,,693
54,0.15,,113,,693
55,0.15,,113,,693
56,0.15,,114,,693
57,0.15,,115,,692
58,0.15,,116,,691
59,0.15,,117,,691
60,0.162,,117,,690
61,0.162,,119,,690
62,0.162,,120,,689
63,0.162,,121,,689
64,0.162,,122,,688
65,0.175,,123,,688
66,0.175,,125,,688
67,0.175,,126,,688
68,0.175,,127,,688
69,0.188,,128,,688
70,0.188,,128,,688
71,0.188,,129,,688
72,0.188,,129,,688
73,0.188,,130,,688
74,0.201,,131,,689
75,0.201,,133,,689
76,0.201,,133,,689
77,0.201,,134,,690
78,0.213,,136,,690
79,0.213,,137,,691
80,0.213,,138,,691
81,0.213,,139,,691
82,0.224,,140,,692
83,0.224,,140,,692
84,0.224,,141,,692
85,0.224,,142,,693
86,0.236,,143,,693
87,0.236,,144,,693
88,0.236,,145,,694
89,0.236,,146,,694
90,0.249,,147,,695
91,0.249,,148,,695
92,0.249,,149,,696
93,0.249,,150,,697
94,0.263,,152,,698
95,0.263,,153,,698
96,0.263,,153,,698
97,0.263,,154,,699
98,0.263,,154,,699
99,0.275,,155,,699
100,0.275,,155,,700
101,0.275,,156,,700
102,0.275,,157,,700
103,0.275,,158,,700
104,0.287,,158,,700
105,0.287,,159,,700
106,0.287,,159,,700
107,0.287,,160,,700
108,0.287,,161,,700
109,0.299,,161,,700
110,0.299,,161,,700
111,0.299,,163,,700
112,0.299,,164,,700
113,0.299,,165,,700
114,0.311,,165,,700
115,0.311,,167,,700
116,0.311,,168,,700
117,0.311,,168,,701
118,0.324,,168,,701
119,0.324,,169,,702
120,0.324,,169,,702
121,0.335,,169,,703
122,0.335,,169,,704
123,0.335,,170,,704
124,0.335,,170,,704
125,0.335,,171,,704
126,0.335,,172,,705
127,0.335,,172,,705
128,0.335,,173,,705
129,0.335,,173,,705
130,0.347,,174,,705
131,0.347,,174,,705
132,0.347,,174,,705
133,0.347,,174,,704
134,0.347,,174,,704
135,0.361,,173,,704
136,0.361,,173,,704
137,0.361,,173,,704
138,0.361,,173,,704
139,0.361,,173,,704
140,0.361,,173,,704
141,0.374,,173,,704
142,0.374,,173,,704
143,0.374,,173,,704
144,0.374,,173,,704
145,0.374,,173,,704
146,0.386,,173,,704
147,0.386,,173,,704
148,0.386,,173,,704
149,0.386,,174,,704
150,0.386,,174,,704
151,0.398,,174,,704
152,0.398,,174,,704
153,0.398,,174,,705
154,0.398,,174,,705
155,0.412,,174,,705
156,0.412,,174,,705
157,0.412,,174,,706
158,0.412,,174,,706
159,0.425,,174,,706
160,0.425,,174,,706
161,0.425,,174,,706
162,0.425,,174,,707
163,0.436,,174,,707
164,0.436,,174,,707
165,0.436,,174,,707
166,0.436,,174,,707
167,0.436,,174,,707
168,0.448,,175,,707
169,0.448,,175,,707
170,0.448,,175,,707
171,0.448,,175,,707
172,0.46,,175,,707
173,0.46,,175,,707
174,0.46,,175,,707
175,0.46,,175,,707
176,0.46,,174,,707
177,0.46,,174,,707
178,0.473,,174,,707
179,0.473,,174,,707
180,0.473,,174,,707
181,0.473,,174,,707
182,0.473,,175,,707
183,0.486,,175,,707
184,0.486,,175,,707
185,0.486,,176,,707
186,0.486,,176,,707
187,0.486,,176,,707
188,0.498,,176,,707
189,0.498,,176,,707
190,0.498,,176,,708
191,0.498,,176,,708
192,0.511,,176,,708
193,0.511,,176,,708
194,0.511,,176,,708
195,0.511,,176,,708
196,0.526,,176,,707
197,0.526,,176,,707
198,0.526,,176,,707
199,0.526,,176,,707
200,0.539,,176,,707
201,0.539,,176,,707
202,0.539,,176,,707
203,0.539,,176,,707
204,0.553,,176,,707
205,0.553,,176,,707
206,0.553,,175,,708
207,0.553,,175,,708
208,0.553,,175,,708
209,0.566,,175,,709
210,0.566,,175,,709
211,0.566,,175,,709
212,0.566,,175,,709
213,0.566,,175,,710
214,0.566,,175,,709
215,0.566,,175,,709
216,0.578,,175,,710
217,0.578,,175,,710
218,0.578,,175,,710
219,0.578,,175,,710
220,0.578,,175,,710
221,0.591,,175,,710
222,0.591,,176,,710
223,0.591,,176,,710
224,0.591,,176,,710
225,0.591,,176,,710
226,0.603,,176,,709
227,0.603,,176,,709
228,0.603,,175,,709
229,0.603,,175,,709
230,0.603,,175,,709
231,0.603,,175,,709
232,0.603,,175,,709
233,0.603,,175,,709
234,0.603,,175,,709
235,0.614,,175,,709
236,0.614,,175,,709
237,0.614,,175,,708
238,0.614,,175,,709
239,0.614,,175,,709
240,0.614,,175,,709
241,0.626,,175,,709
242,0.626,,175,,710
243,0.626,,175,,710
244,0.626,,175,,710
245,0.626,,175,,710
246,0.626,,175,,710
247,0.626,,175,,710
248,0.626,,175,,709
249,0.638,,175,,709
250,0.638,,175,,709
251,0.638,,174,,709
252,0.638,,174,,709
253,0.652,,174,,709
254,0.652,,174,,709
255,0.652,,173,,709
256,0.652,,173,,709
257,0.663,,173,,710
258,0.663,,172,,710
259,0.663,,172,,710
260,0.663,,172,,710
261,0.678,,172,,710
262,0.678,,172,,711
263,0.678,,172,,711
264,0.678,,172,,711
265,0.692,,172,,711
266,0.692,,172,,711
267,0.692,,172,,711
268,0.692,,173,,711
269,0.705,,173,,711
270,0.705,,173,,711
271,0.705,,173,,712
272,0.705,,173,,712
273,0.719,,173,,712
274,0.719,,173,,712
275,0.719,,173,,712
276,0.719,,173,,712
277,0.719,,173,,712
278,0.731,,173,,712
279,0.731,,173,,712
280,0.731,,173,,713
281,0.731,,173,,713
282,0.745,,173,,713
283,0.745,,173,,713
284,0.745,,173,,713
285,0.745,,173,,713
286,0.758,,173,,713
287,0.758,,173,,713
288,0.758,,173,,712
289,0.77,,173,,712
290,0.77,,173,,712
291,0.77,,173,,712
292,0.77,,172,,712
293,0.77,,172,,712
294,0.784,,172,,712
295,0.784,,172,,712
296,0.784,,172,,713
297,0.784,,172,,714
298,0.784,,172,,714
299,0.784,,172,,714
300,0.796,,172,,715
301,0.796,,173,,715
302,0.796,,173,,715
303,0.796,,174,,715
304,0.796,,174,,715
305,0.796,,174,,715
306,0.809,,174,,715
307,0.809,,174,,715
308,0.809,,174,,715
309,0.82,,174,,715
310,0.82,,174,,715
311,0.832,,174,,714
312,0.832,,174,,715
313,0.832,,174,,715
314,0.846,,174,,715
315,0.846,,174,,716
316,0.846,,174,,716
317,0.858,,174,,716
318,0.858,,174,,716
319,0.858,,174,,716
320,0.869,,174,,717
321,0.869,,175,,717
322,0.869,,175,,717
323,0.869,,175,,717
324,0.883,,175,,717
325,0.883,,175,,717
326,0.883,,175,,717
327,0.899,,175,,715
328,0.899,,176,,714
329,0.899,,176,,714
330,0.899,,176,,715
331,0.912,,176,,716
332,0.912,,176,,717
333,0.912,,176,,718
334,0.912,,176,,719
335,0.912,,176,,720
336,0.925,,175,,720
337,0.925,,175,,722
338,0.925,,175,,722
339,0.925,,174,,722
340,0.936,,174,,722
341,0.936,,174,,722
342,0.936,,174,,723
343,0.936,,173,,723
344,0.936,,173,,724
345,0.936,,173,,724
346,0.936,,172,,724
347,0.949,,172,,725
348,0.949,,172,,725
349,0.949,,172,,726
350,0.949,,171,,727
351,0.949,,171,,727
352,0.949,,171,,728
353,0.961,,171,,728
354,0.961,,171,,729
355,0.961,,171,,729
356,0.961,,171,,730
357,0.961,,171,,731
358,0.972,,171,,731
359,0.972,,171,,732
360,0.972,,171,,732
361,0.972,,172,,732
362,0.984,,173,,733
363,0.984,,173,,733
364,0.984,,174,,733
365,0.984,,174,,734
366,0.997,,174,,734
367,0.997,,175,,734
368,0.997,,175,,734
369,0.997,,175,,734
370,1.01,,175,,734
371,1.01,,175,,735
372,1.01,,175,,735
373,1.01,,175,,736
374,1.022,,175,,736
375,1.022,,175,,737
376,1.022,,174,,737
377,1.022,,174,,737
378,1.022,,174,,737
379,1.035,,173,,738
380,1.035,,173,,738
381,1.035,,173,,738
382,1.047,,172,,738
383,1.047,,172,,738
384,1.047,,172,,738
385,1.059,,172,,737
386,1.059,,172,,736
387,1.059,,172,,735
388,1.072,,172,,736
389,1.072,,172,,735
390,1.072,,172,,734
391,1.084,,172,,733
392,1.084,,172,,732
393,1.084,,173,,731
394,1.097,,174,,730
395,1.097,,175,,729
396,1.097,,175,,729
397,1.109,,176,,728
398,1.109,,176,,728
399,1.109,,176,,728
400,1.109,,176,,728
401,1.123,,175,,728
402,1.123,,175,,729
403,1.123,,175,,728
404,1.133,,174,,728
405,1.133,,174,,727
406,1.133,,174,,727
407,1.142,,173,,726
408,1.142,,171,,726
409,1.142,,171,,726
410,1.153,,170,,725
411,1.153,,169,,725
412,1.153,,168,,725
413,1.163,,167,,725
414,1.163,,167,,725
415,1.163,,166,,724
416,1.163,,165,,724
417,1.175,,165,,723
418,1.175,,164,,723
419,1.175,,164,,723
420,1.175,,163,,722
421,1.186,,162,,722
422,1.186,,161,,721
423,1.186,,161,,721
424,1.186,,160,,721
425,1.186,,159,,721
426,1.199,,159,,721
427,1.199,,158,,721
428,1.199,,157,,720
429,1.199,,156,,720
430,1.213,,156,,720
431,1.213,,156,,720
432,1.213,,156,,719
433,1.213,,156,,719
434,1.224,,157,,719
435,1.224,,157,,718
436,1.224,,157,,718
437,1.224,,158,,718
