secs,km,power,hr,cad,alt
0,0,,104,,57
1,0.00218,,105,,1641.8
2,0.00476,,106,,2693
3,0.00853,,106,,2692.8
4,0.01159,,107,,2692.8
5,0.01454,,109,,2692.8
6,0.01815,,110,,2692.8
7,0.02166,,111,,2692.8
8,0.02519,,112,,2693
9,0.02916,,113,,2692.8
10,0.03276,,115,,2692.8
11,0.03655,,116,,2692.8
12,0.04009,,117,,2692.8
13,0.0433,,118,,2692.8
14,0.04655,,119,,2693
15,0.05018,,120,,2693
16,0.05377,,121,,2693
17,0.05756,,122,,2693
18,0.06151,,123,,2693
19,0.06526,,123,,2693
20,0.0691,,124,,2693
21,0.07288,,125,,2693
22,0.07646,,125,,2693
23,0.07993,,126,,2693
24,0.08376,,126,,2693
25,0.0878,,127,,2693
26,0.09185,,127,,2693
27,0.09599,,127,,2693
28,0.10005,,127,,2692.8
29,0.10397,,126,,2692.8
30,0.10791,,126,,2692.8
31,0.11171,,126,,2692.8
32,0.11543,,126,,2692.8
33,0.11894,,125,,2692.8
34,0.12219,,124,,2692.8
35,0.12541,,123,,2692.8
36,0.12861,,122,,2692.8
37,0.13188,,122,,2692.8
38,0.13512,,121,,2692.8
39,0.13868,,122,,2692.8
40,0.14228,,124,,2692.8
41,0.14571,,125,,2692.8
42,0.14963,,125,,2692.8
43,0.15325,,126,,2692.8
44,0.15682,,127,,2692.8
45,0.16055,,128,,2692.8
46,0.16456,,129,,2692.8
47,0.16859,,130,,2692.8
48,0.1728,,131,,2692.8
49,0.17706,,131,,2692.8
50,0.18115,,131,,2692.8
51,0.1853,,131,,2692.8
52,0.1893,,132,,2692.8
53,0.19342,,133,,2692.8
54,0.19739,,133,,2692.8
55,0.20109,,134,,2692.8
56,0.20495,,135,,2692.8
57,0.20862,,135,,2692.8
58,0.21208,,135,,2692.8
59,0.21566,,135,,2692.8
60,0.21934,,135,,2692.8
61,0.22295,,135,,2692.8
62,0.22657,,136,,2692.8
63,0.23012,,136,,2692.8
64,0.23367,,136,,2692.8
65,0.23727,,136,,2692.8
66,0.2409,,136,,2692.8
67,0.2445,,136,,2692.8
68,0.24821,,136,,2692.8
69,0.25206,,136,,2692.8
70,0.25601,,136,,2692.8
71,0.25977,,136,,2692.8
72,0.26348,,136,,2692.8
73,0.26716,,137,,2692.8
74,0.27114,,136,,2692.8
75,0.27475,,137,,2692.8
76,0.27809,,137,,2692.8
77,0.28169,,137,,2692.8
78,0.28502,,137,,2692.8
79,0.28847,,137,,2692.8
80,0.29223,,137,,2692.8
81,0.29587,,138,,2692.8
82,0.29942,,138,,2692.8
83,0.3027,,138,,2692.8
84,0.3062,,138,,2692.8
85,0.3099,,138,,2692.8
86,0.31367,,138,,2692.8
87,0.31761,,138,,2692.8
88,0.32131,,138,,2692.8
89,0.32512,,139,,2692.8
90,0.32914,,139,,2692.8
91,0.33322,,139,,2692.8
92,0.33734,,139,,2692.8
93,0.34103,,138,,2692.8
94,0.34484,,139,,2692.8
95,0.34851,,139,,2692.8
96,0.35232,,139,,2692.8
97,0.35616,,139,,2692.8
98,0.35998,,139,,2692.8
99,0.36398,,139,,2692.8
100,0.36763,,139,,2692.8
101,0.37142,,138,,2692.8
102,0.37527,,138,,2692.8
103,0.37919,,138,,2692.8
104,0.38312,,138,,2692.8
105,0.38685,,137,,2692.8
106,0.39077,,137,,2692.8
107,0.39449,,137,,2692.8
108,0.39837,,137,,2692.8
109,0.4023,,137,,2692.8
110,0.40598,,137,,2692.8
111,0.40966,,137,,2692.8
112,0.41346,,137,,2692.8
113,0.41724,,137,,2692.8
114,0.42096,,137,,2692.8
115,0.42465,,137,,2692.8
116,0.42841,,137,,2692.8
117,0.43211,,137,,2692.8
118,0.43584,,137,,2692.8
119,0.43944,,138,,2692.8
120,0.4431,,138,,2692.8
121,0.44671,,138,,2692.8
122,0.45049,,139,,2692.8
123,0.45433,,139,,2692.8
124,0.45784,,139,,2692.8
125,0.4614,,139,,2692.8
126,0.46476,,140,,2692.8
127,0.46829,,140,,2692.8
128,0.47181,,140,,2692.8
129,0.47539,,141,,2692.8
130,0.47903,,140,,2692.8
131,0.48251,,141,,2692.8
132,0.48617,,141,,2692.8
133,0.48963,,141,,2692.8
134,0.49327,,141,,2692.8
135,0.49688,,142,,2692.8
136,0.50039,,142,,2692.8
137,0.50407,,142,,2692.8
138,0.50763,,142,,2692.8
139,0.51134,,142,,2692.8
140,0.515,,142,,2692.8
141,0.51861,,142,,2692.8
142,0.52206,,143,,2692.8
143,0.52543,,142,,2692.8
144,0.52928,,142,,2692.8
145,0.53299,,142,,2692.8
146,0.53692,,142,,2692.8
147,0.54076,,142,,2692.8
148,0.54443,,142,,2692.8
149,0.54814,,142,,2692.8
150,0.55152,,142,,2692.8
151,0.55504,,142,,2692.8
152,0.55841,,142,,2692.8
153,0.56193,,143,,2692.8
154,0.56535,,142,,2692.8
155,0.56874,,143,,2692.8
156,0.57236,,142,,2692.8
157,0.57587,,142,,2692.8
158,0.5793,,142,,2692.8
159,0.58269,,142,,2692.8
160,0.58614,,142,,2692.8
161,0.58969,,143,,2692.8
162,0.59308,,142,,2692.8
163,0.59662,,143,,2692.8
164,0.60002,,142,,2692.8
165,0.60348,,143,,2692.8
166,0.60719,,142,,2692.8
167,0.61075,,142,,2692.8
168,0.61447,,143,,2692.8
169,0.61791,,142,,2692.8
170,0.62152,,142,,2692.8
171,0.62515,,142,,2692.8
172,0.62884,,143,,2692.8
173,0.63271,,143,,2692.8
174,0.63633,,143,,2692.8
175,0.63998,,143,,2692.8
176,0.64369,,143,,2692.8
177,0.6475,,142,,2692.8
178,0.65114,,143,,2692.8
179,0.65454,,143,,2692.8
180,0.65802,,142,,2692.8
181,0.66143,,143,,2692.8
182,0.66504,,142,,2692.8
183,0.66864,,142,,2692.8
184,0.67237,,142,,2692.8
185,0.67602,,142,,2692.8
186,0.67965,,142,,2692.8
187,0.6834,,142,,2692.8
188,0.68687,,142,,2692.8
189,0.69049,,142,,2692.8
190,0.69413,,142,,2692.8
191,0.69791,,142,,2692.8
192,0.7017,,142,,2692.8
193,0.70532,,142,,2692.8
194,0.70874,,142,,2692.8
195,0.71202,,141,,2692.8
196,0.71559,,142,,2692.8
197,0.71895,,141,,2692.8
198,0.72237,,141,,2692.8
199,0.72618,,141,,2692.8
200,0.72956,,141,,2692.8
201,0.733,,141,,2692.8
202,0.7367,,142,,2692.8
203,0.74062,,141,,2692.8
204,0.7445,,141,,2692.8
205,0.74791,,141,,2692.8
206,0.75135,,142,,2692.8
207,0.75471,,142,,2692.8
208,0.75818,,142,,2692.8
209,0.76152,,142,,2692.8
210,0.76512,,142,,2692.8
211,0.76883,,142,,2692.8
212,0.77252,,142,,2692.8
213,0.7762,,143,,2692.8
214,0.77982,,143,,2692.8
215,0.78346,,143,,2692.8
216,0.78694,,143,,2692.8
217,0.79058,,143,,2692.8
218,0.79392,,144,,2692.8
219,0.79735,,143,,2692.8
220,0.80102,,144,,2692.8
221,0.80465,,144,,2692.8
222,0.80834,,144,,2692.8
223,0.81205,,144,,2692.8
224,0.81578,,143,,2692.8
225,0.81942,,144,,2692.8
226,0.82292,,144,,2692.8
227,0.82645,,144,,2692.8
228,0.82988,,143,,2692.8
229,0.83318,,143,,2692.8
230,0.83655,,143,,2692.8
231,0.8402,,143,,2692.8
232,0.84391,,144,,2692.8
233,0.84761,,144,,2692.8
234,0.85123,,143,,2692.8
235,0.85462,,144,,2692.8
236,0.85784,,143,,2692.8
237,0.86093,,143,,2692.8
238,0.86392,,144,,2692.8
239,0.86709,,144,,2692.8
240,0.87028,,143,,2692.8
241,0.87357,,144,,2692.8
242,0.87673,,144,,2692.8
243,0.87996,,144,,2692.8
244,0.88312,,144,,2692.8
245,0.88637,,145,,2692.8
246,0.88949,,145,,2692.8
247,0.89246,,145,,2692.8
248,0.89564,,145,,2692.8
249,0.89876,,145,,2692.8
250,0.90197,,145,,2692.8
251,0.90516,,145,,2692.8
252,0.90876,,145,,2692.8
253,0.9121,,145,,2692.8
254,0.91542,,146,,2692.8
255,0.91836,,145,,2692.8
256,0.9206,,146,,2692.8
257,0.92316,,146,,2692.8
258,0.92629,,146,,2692.8
259,0.92963,,146,,2692.8
260,0.93298,,146,,2692.8
261,0.93666,,146,,2692.8
262,0.94017,,146,,2692.8
263,0.94363,,146,,2692.8
264,0.94709,,146,,2692.8
265,0.95059,,146,,2692.8
266,0.95434,,147,,2692.8
267,0.95821,,146,,2692.8
268,0.96218,,146,,2692.8
269,0.96592,,146,,2692.8
270,0.96948,,146,,2692.8
271,0.97304,,146,,2692.8
272,0.97651,,145,,2692.8
273,0.98023,,145,,2692.8
274,0.98392,,144,,2692.8
275,0.9874,,144,,2692.8
276,0.99079,,144,,2692.8
277,0.9942,,144,,2692.8
278,0.99762,,143,,2692.8
279,1.0011,,143,,2692.8
280,1.00468,,143,,2692.8
281,1.00849,,143,,2692.8
282,1.01194,,142,,2692.8
283,1.01543,,142,,2692.8
