secs,km,power,hr,cad,alt
0,0,,131,,294
1,0.0034,,128,,293.4
2,0.00711,,128.167,,293.5
3,0.01082,,128.333,,293.6
4,0.01453,,128.5,,293.7
5,0.01824,,128.667,,293.8
6,0.02195,,128.833,,293.9
7,0.02566,,129,,294
8,0.02925,,126,,294
9,0.0328333,,127,,294.133
10,0.0364167,,128,,294.267
11,0.04,,129,,294.4
12,0.04345,,128.25,,294.35
13,0.0469,,127.5,,294.3
14,0.05035,,126.75,,294.25
15,0.0538,,126,,294.2
16,0.0570567,,127,,293.867
17,0.0603133,,128,,293.533
18,0.06357,,129,,293.2
19,0.06697,,130.5,,293.2
20,0.07037,,132,,293.2
21,0.07367,,131.4,,293
22,0.07697,,130.8,,292.8
23,0.08027,,130.2,,292.6
24,0.08357,,129.6,,292.4
25,0.08687,,129,,292.2
26,0.08999,,126,,291.8
27,0.0944167,,127.333,,291.667
28,0.0988433,,128.667,,291.533
29,0.10327,,130,,291.4
30,0.10724,,131,,290.8
31,0.11121,,132,,290.2
32,0.11518,,133,,289.6
33,0.1192,,131.5,,289.3
34,0.12322,,130,,289
35,0.1269,,130.167,,288.8
36,0.13058,,130.333,,288.6
37,0.13426,,130.5,,288.4
38,0.13794,,130.667,,288.2
39,0.14162,,130.833,,288
40,0.1453,,131,,287.8
41,0.148276,,131.6,,287.76
42,0.151252,,132.2,,287.72
43,0.154228,,132.8,,287.68
44,0.157204,,133.4,,287.64
45,0.16018,,134,,287.6
46,0.163046,,133.857,,287.457
47,0.165911,,133.714,,287.314
48,0.168777,,133.571,,287.171
49,0.171643,,133.429,,287.029
50,0.174509,,133.286,,286.886
51,0.177374,,133.143,,286.743
52,0.18024,,133,,286.6
53,0.183413,,132.857,,286.714
54,0.186586,,132.714,,286.829
55,0.189759,,132.571,,286.943
56,0.192931,,132.429,,287.057
57,0.196104,,132.286,,287.171
58,0.199277,,132.143,,287.286
59,0.20245,,132,,287.4
60,0.206168,,132,,287.767
61,0.209887,,132,,288.133
62,0.213605,,132,,288.5
63,0.217323,,132,,288.867
64,0.221042,,132,,289.233
65,0.22476,,132,,289.6
66,0.228118,,132,,289.933
67,0.231477,,132,,290.267
68,0.234835,,132,,290.6
69,0.238193,,132,,290.933
70,0.241552,,132,,291.267
71,0.24491,,132,,291.6
72,0.248278,,131.667,,291.633
73,0.251647,,131.333,,291.667
74,0.255015,,131,,291.7
75,0.258383,,130.667,,291.733
76,0.261752,,130.333,,291.767
77,0.26512,,130,,291.8
78,0.268898,,129.833,,291.767
79,0.272677,,129.667,,291.733
80,0.276455,,129.5,,291.7
81,0.280233,,129.333,,291.667
82,0.284012,,129.167,,291.633
83,0.28779,,129,,291.6
84,0.291114,,129.143,,291.343
85,0.294439,,129.286,,291.086
86,0.297763,,129.429,,290.829
87,0.301087,,129.571,,290.571
88,0.304411,,129.714,,290.314
89,0.307736,,129.857,,290.057
90,0.31106,,130,,289.8
91,0.314772,,130,,290
92,0.318483,,130,,290.2
93,0.322195,,130,,290.4
94,0.325907,,130,,290.6
95,0.329618,,130,,290.8
96,0.33333,,130,,291
97,0.336777,,129.833,,291.067
98,0.340223,,129.667,,291.133
99,0.34367,,129.5,,291.2
100,0.347117,,129.333,,291.267
101,0.350563,,129.167,,291.333
102,0.35401,,129,,291.4
103,0.358038,,129.2,,291.12
104,0.362066,,129.4,,290.84
105,0.366094,,129.6,,290.56
106,0.370122,,129.8,,290.28
107,0.37415,,130,,290
108,0.378494,,130.4,,289.88
109,0.382838,,130.8,,289.76
110,0.387182,,131.2,,289.64
111,0.391526,,131.6,,289.52
112,0.39587,,132,,289.4
113,0.400564,,132,,289.48
114,0.405258,,132,,289.56
115,0.409952,,132,,289.64
116,0.414646,,132,,289.72
117,0.41934,,132,,289.8
118,0.423846,,132.2,,289.56
119,0.428352,,132.4,,289.32
120,0.432858,,132.6,,289.08
121,0.437364,,132.8,,288.84
122,0.44187,,133,,288.6
123,0.44618,,133.4,,288.48
124,0.45049,,133.8,,288.36
125,0.4548,,134.2,,288.24
126,0.45911,,134.6,,288.12
127,0.46342,,135,,288
128,0.466232,,134.875,,288.075
129,0.469045,,134.75,,288.15
130,0.471857,,134.625,,288.225
131,0.47467,,134.5,,288.3
132,0.477482,,134.375,,288.375
133,0.480295,,134.25,,288.45
134,0.483107,,134.125,,288.525
135,0.48592,,134,,288.6
136,0.488651,,134.125,,288.275
137,0.491382,,134.25,,287.95
138,0.494114,,134.375,,287.625
139,0.496845,,134.5,,287.3
140,0.499576,,134.625,,286.975
141,0.502308,,134.75,,286.65
142,0.505039,,134.875,,286.325
143,0.50777,,135,,286
144,0.511031,,135.714,,285.771
145,0.514293,,136.429,,285.543
146,0.517554,,137.143,,285.314
147,0.520816,,137.857,,285.086
148,0.524077,,138.571,,284.857
149,0.527339,,139.286,,284.629
150,0.5306,,140,,284.4
151,0.533723,,139.25,,284.35
152,0.536845,,138.5,,284.3
153,0.539968,,137.75,,284.25
154,0.54309,,137,,284.2
155,0.54599,,135.75,,284.25
156,0.54889,,134.5,,284.3
157,0.55179,,133.25,,284.35
158,0.55469,,132,,284.4
159,0.55856,,131.833,,284.433
160,0.56243,,131.667,,284.467
161,0.5663,,131.5,,284.5
162,0.57017,,131.333,,284.533
163,0.57404,,131.167,,284.567
164,0.57791,,131,,284.6
165,0.582732,,130.8,,284.92
166,0.587554,,130.6,,285.24
167,0.592376,,130.4,,285.56
168,0.597198,,130.2,,285.88
169,0.60202,,130,,286.2
170,0.607047,,131.333,,286.333
171,0.612073,,132.667,,286.467
172,0.6171,,134,,286.6
