secs,km,power,hr,cad,alt
0,0,,99,,157.2
1,0.00193,,100,,157.2
2,0.00372,,103,,157.4
3,0.00582,,106,,157.6
4,0.0084,,108,,157.6
5,0.01104,,110,,157.8
6,0.01322,,113,,157.6
7,0.01599,,115,,157.6
8,0.01857,,116,,157.6
9,0.02122,,117,,157.8
10,0.02409,,118,,157.8
11,0.02693,,119,,157.8
12,0.02994,,120,,157.8
13,0.03322,,120,,157.6
14,0.03689,,121,,157.4
15,0.03992,,122,,157.2
16,0.04247,,123,,157.4
17,0.04507,,124,,157.6
18,0.04772,,126,,157.6
19,0.05037,,127,,157.6
20,0.0529,,128,,157.6
21,0.05548,,129,,157.6
22,0.05842,,130,,157.6
23,0.06164,,130,,157.4
24,0.06483,,130,,157.2
25,0.06796,,131,,157.4
26,0.07085,,130,,157.2
27,0.07349,,130,,157
28,0.07619,,130,,157.4
29,0.07883,,130,,157.6
30,0.08175,,130,,157.8
31,0.08532,,130,,157.8
32,0.08867,,131,,158
33,0.09178,,131,,158
34,0.09465,,132,,158
35,0.0973,,132,,158
36,0.09984,,133,,158
37,0.10246,,133,,157.8
38,0.10498,,134,,157.6
39,0.10773,,134,,157.4
40,0.11068,,135,,157.4
41,0.11393,,135,,157.4
42,0.11702,,136,,157.6
43,0.12021,,136,,157.6
44,0.1233,,137,,157.4
45,0.12621,,137,,157.4
46,0.12927,,138,,157.6
47,0.1325,,138,,157.4
48,0.13569,,139,,157.4
49,0.13895,,139,,157.4
50,0.14213,,140,,157.6
51,0.14517,,140,,157.6
52,0.14814,,140,,157.4
53,0.1512,,140,,157.4
54,0.15422,,140,,157.4
55,0.15725,,141,,157.4
56,0.16034,,141,,157.6
57,0.16344,,141,,157.6
58,0.16642,,142,,157.6
59,0.16945,,142,,157.4
60,0.17233,,142,,157.4
61,0.17531,,142,,157.4
62,0.17848,,142,,157.4
63,0.18182,,143,,157.4
64,0.18507,,142,,157.2
65,0.18809,,143,,157.4
66,0.1914,,143,,157.4
67,0.19465,,143,,157.4
68,0.19771,,143,,157.2
69,0.20088,,143,,156.8
70,0.2041,,143,,156.6
71,0.20724,,144,,156.6
72,0.21033,,145,,156.6
73,0.2135,,145,,156.6
74,0.21664,,145,,156.4
75,0.21982,,145,,156.4
76,0.22306,,145,,156.4
77,0.22624,,145,,156.6
78,0.22938,,145,,156.8
79,0.23263,,146,,156.8
80,0.23577,,146,,157
81,0.23866,,146,,156.8
82,0.2415,,146,,156.8
83,0.24445,,147,,156.8
84,0.24743,,146,,156.8
85,0.25054,,146,,156.4
86,0.25373,,146,,156.4
87,0.2569,,146,,156.2
88,0.25989,,146,,156.2
89,0.26299,,145,,156.2
90,0.26614,,145,,156
91,0.26914,,145,,156
92,0.27221,,145,,156
93,0.27533,,145,,155.8
94,0.27849,,145,,155.6
95,0.28174,,145,,155.4
96,0.28495,,144,,155.4
97,0.28806,,144,,155.4
98,0.29128,,144,,155.4
99,0.29451,,145,,155.6
100,0.29771,,145,,155.6
101,0.30077,,145,,155.6
102,0.30407,,145,,155.4
103,0.30724,,146,,155.4
104,0.31027,,146,,155.2
105,0.31318,,146,,155
106,0.31608,,146,,154.8
107,0.31878,,146,,154.8
108,0.32143,,147,,154.8
109,0.32427,,147,,154.6
110,0.32712,,147,,154.6
111,0.33024,,147,,154.6
112,0.33303,,147,,154.4
113,0.33582,,147,,154.4
114,0.33871,,147,,154.4
115,0.34181,,148,,154.4
116,0.34521,,148,,154.4
117,0.34855,,148,,154.6
118,0.35184,,147,,154.4
119,0.35519,,147,,154.4
120,0.35889,,147,,154.4
121,0.36236,,147,,154.2
122,0.36616,,147,,154.2
123,0.36991,,147,,154.2
124,0.37363,,147,,154.2
125,0.37698,,147,,154.2
126,0.38049,,147,,154
127,0.3838,,147,,154
128,0.38703,,146,,154
129,0.39074,,146,,154
130,0.39413,,146,,154
131,0.39721,,146,,153.8
132,0.40038,,146,,153.8
133,0.40366,,146,,153.8
134,0.40684,,146,,153.8
135,0.41041,,146,,153.8
136,0.41386,,146,,153.8
137,0.41725,,146,,153.8
138,0.4205,,146,,153.8
139,0.42368,,146,,153.8
140,0.42689,,146,,153.8
141,0.43009,,146,,153.8
142,0.43322,,146,,153.8
143,0.43617,,146,,153.8
144,0.43908,,146,,153.6
145,0.44209,,146,,153.6
146,0.44535,,145,,153.4
147,0.44863,,145,,153.4
148,0.45146,,145,,153.4
149,0.45447,,145,,153.2
150,0.45767,,145,,153.2
151,0.46064,,146,,153.2
152,0.46373,,145,,153.2
153,0.46681,,146,,153.2
154,0.46995,,146,,153.4
155,0.47295,,146,,153.4
156,0.47589,,146,,153.6
157,0.47877,,147,,153.6
158,0.4815,,147,,153.6
159,0.48428,,147,,153.4
160,0.48729,,147,,153.4
161,0.49051,,147,,153.4
162,0.49367,,147,,153.4
163,0.49689,,147,,153.4
164,0.49988,,148,,153.4
165,0.50277,,147,,153.4
166,0.50583,,148,,153.2
167,0.50871,,148,,153.2
168,0.51148,,147,,153
169,0.51442,,148,,153
170,0.51745,,147,,153
171,0.52033,,147,,153.2
172,0.52304,,147,,153.2
173,0.52599,,147,,153.2
174,0.52897,,148,,153
175,0.53182,,147,,152.8
176,0.53496,,148,,152.6
177,0.53792,,148,,152.8
178,0.54091,,148,,152.8
179,0.54379,,148,,152.8
180,0.54648,,148,,152.8
181,0.5493,,148,,152.8
182,0.55216,,148,,152.8
183,0.555,,148,,152.6
184,0.55784,,147,,152.6
185,0.56085,,148,,152.6
186,0.56371,,148,,152.6
187,0.56638,,148,,152.4
188,0.56909,,149,,152.4
189,0.57217,,149,,152.4
190,0.57522,,149,,152.4
191,0.57808,,149,,152.6
192,0.58094,,149,,152.8
193,0.58387,,149,,153
194,0.58681,,149,,153.2
195,0.5899,,148,,153
196,0.59303,,148,,153
197,0.59634,,147,,152.8
198,0.59958,,146,,152.8
199,0.60247,,145,,152.8
200,0.60543,,145,,152.8
201,0.60829,,144,,152.8
202,0.61127,,143,,152.8
203,0.61415,,142,,152.6
204,0.61733,,142,,152.6
205,0.62036,,141,,152.6
206,0.62362,,140,,152.6
