secs,km,power,hr,cad,alt
0,0,,128,,211.8
1,0.00286,,129,,211.8
2,0.00595,,129,,211.8
3,0.00905,,130,,211.8
4,0.0113533,,130.667,,211.867
5,0.0136567,,131.333,,211.933
6,0.01596,,132,,212
7,0.01846,,132,,211.8
8,0.02129,,132,,211.8
9,0.02405,,133,,211.6
10,0.02695,,133,,211.2
11,0.02988,,134,,210.8
12,0.03291,,134,,210.6
13,0.03613,,135,,210.4
14,0.03912,,135,,210.4
15,0.04215,,136,,210.2
16,0.04517,,135,,210.2
17,0.04831,,136,,210
18,0.05127,,135,,210
19,0.05399,,136,,210
20,0.05642,,136,,209.8
21,0.05896,,136,,209.8
22,0.06139,,136,,209.8
23,0.06381,,136,,209.8
24,0.06628,,136,,209.8
25,0.0685,,137,,209.6
26,0.07068,,137,,209.4
27,0.07314,,137,,209.4
28,0.07558,,137,,209.4
29,0.07818,,137,,209.4
30,0.08074,,137,,209.6
31,0.08365,,137,,209.8
32,0.08651,,137,,210.2
33,0.0892,,137,,210.4
34,0.09167,,137,,210.6
35,0.09427,,137,,210.6
36,0.09727,,138,,210.6
37,0.10026,,138,,210.4
38,0.10319,,138,,210.4
39,0.10612,,138,,210.4
40,0.11205,,138,,210.2
41,0.11205,,138,,210.2
42,0.11519,,139,,210
43,0.11816,,138,,209.8
44,0.12095,,139,,210
45,0.12365,,138,,210
46,0.12625,,139,,210.2
47,0.13165,,138,,210.2
48,0.13165,,138,,210.2
49,0.13487,,139,,210.2
50,0.13824,,138,,210
51,0.14166,,139,,209.8
52,0.14476,,139,,209.6
53,0.14761,,139,,209.6
54,0.15035,,139,,209.4
55,0.15315,,139,,209.2
56,0.15555,,140,,209.2
57,0.15824,,140,,209
58,0.16096,,140.5,,208.9
59,0.16368,,141,,208.8
60,0.16652,,141,,208.6
61,0.1729,,142,,208
62,0.1729,,142,,208
63,0.17596,,143,,207.8
64,0.179,,143,,207.4
65,0.18461,,144,,207
66,0.18461,,144,,207
67,0.18727,,144,,206.8
68,0.19015,,144,,206.8
69,0.19314,,144,,206.4
70,0.19612,,144,,206
71,0.19922,,144,,205.8
