secs,km,power,hr,cad,alt
0,0,,78,,56.6
1,0.00339,,79,,56.4
2,0.00712,,79.75,,56.45
3,0.01085,,80.5,,56.5
4,0.01458,,81.25,,56.55
5,0.01831,,82,,56.6
6,0.022145,,83.5,,56.7
7,0.02598,,85,,56.8
8,0.0293917,,85.5,,56.7667
9,0.0328033,,86,,56.7333
10,0.036215,,86.5,,56.7
11,0.0396267,,87,,56.6667
12,0.0430383,,87.5,,56.6333
13,0.04645,,88,,56.6
14,0.049696,,88.6,,56.48
15,0.052942,,89.2,,56.36
16,0.056188,,89.8,,56.24
17,0.059434,,90.4,,56.12
18,0.06268,,91,,56
19,0.065776,,91.6,,55.8
20,0.068872,,92.2,,55.6
21,0.071968,,92.8,,55.4
22,0.075064,,93.4,,55.2
23,0.07816,,94,,55
24,0.0813686,,94.2857,,54.8857
25,0.0845771,,94.5714,,54.7714
26,0.0877857,,94.8571,,54.6571
27,0.0909943,,95.1429,,54.5429
28,0.0942029,,95.4286,,54.4286
29,0.0974114,,95.7143,,54.3143
30,0.10062,,96,,54.2
31,0.104148,,96.75,,54.05
32,0.107675,,97.5,,53.9
33,0.111202,,98.25,,53.75
34,0.11473,,99,,53.6
35,0.11812,,99.3333,,53.3333
36,0.12151,,99.6667,,53.0667
37,0.1249,,100,,52.8
38,0.12829,,100.333,,52.5333
39,0.13168,,100.667,,52.2667
40,0.13507,,101,,52
41,0.13844,,101.333,,51.8
42,0.14181,,101.667,,51.6
43,0.14518,,102,,51.4
44,0.14855,,102.333,,51.2
45,0.15192,,102.667,,51
46,0.15529,,103,,50.8
47,0.158569,,102.857,,50.5714
48,0.161847,,102.714,,50.3429
49,0.165126,,102.571,,50.1143
50,0.168404,,102.429,,49.8857
51,0.171683,,102.286,,49.6571
52,0.174961,,102.143,,49.4286
53,0.17824,,102,,49.2
54,0.181387,,102.5,,49.2
55,0.184533,,103,,49.2
56,0.18768,,103.5,,49.2
57,0.190827,,104,,49.2
58,0.193973,,104.5,,49.2
59,0.19712,,105,,49.2
60,0.200576,,105.6,,49.44
61,0.204032,,106.2,,49.68
62,0.207488,,106.8,,49.92
63,0.210944,,107.4,,50.16
64,0.2144,,108,,50.4
65,0.217925,,109.5,,50.8
66,0.22145,,111,,51.2
67,0.224957,,112,,51.2
68,0.228463,,113,,51.2
69,0.23197,,114,,51.2
70,0.23519,,114.6,,51.24
71,0.23841,,115.2,,51.28
72,0.24163,,115.8,,51.32
73,0.24485,,116.4,,51.36
74,0.24807,,117,,51.4
75,0.251502,,117.167,,51.6667
76,0.254933,,117.333,,51.9333
77,0.258365,,117.5,,52.2
78,0.261797,,117.667,,52.4667
79,0.265228,,117.833,,52.7333
80,0.26866,,118,,53
81,0.271911,,118.143,,53.2
82,0.275163,,118.286,,53.4
83,0.278414,,118.429,,53.6
84,0.281666,,118.571,,53.8
85,0.284917,,118.714,,54
86,0.288169,,118.857,,54.2
87,0.29142,,119,,54.4
88,0.294574,,119.286,,54.1429
89,0.297729,,119.571,,53.8857
90,0.300883,,119.857,,53.6286
91,0.304037,,120.143,,53.3714
92,0.307191,,120.429,,53.1143
93,0.310346,,120.714,,52.8571
94,0.3135,,121,,52.6
95,0.316833,,120.857,,52.5429
96,0.320166,,120.714,,52.4857
97,0.323499,,120.571,,52.4286
98,0.326831,,120.429,,52.3714
99,0.330164,,120.286,,52.3143
100,0.333497,,120.143,,52.2571
101,0.33683,,120,,52.2
102,0.340248,,119.833,,52.3333
103,0.343667,,119.667,,52.4667
104,0.347085,,119.5,,52.6
105,0.350503,,119.333,,52.7333
106,0.353922,,119.167,,52.8667
107,0.35734,,119,,53
108,0.360703,,118.5,,53
109,0.364067,,118,,53
110,0.36743,,117.5,,53
111,0.370793,,117,,53
112,0.374157,,116.5,,53
113,0.37752,,116,,53
114,0.380855,,116,,52.8
115,0.38419,,116,,52.6
116,0.387525,,116,,52.4
117,0.39086,,116,,52.2
118,0.394195,,116,,52
119,0.39753,,116,,51.8
120,0.40106,,115.833,,51.7333
121,0.40459,,115.667,,51.6667
122,0.40812,,115.5,,51.6
123,0.41165,,115.333,,51.5333
124,0.41518,,115.167,,51.4667
125,0.41871,,115,,51.4
126,0.422167,,115,,51.5
127,0.425623,,115,,51.6
128,0.42908,,115,,51.7
129,0.432537,,115,,51.8
130,0.435993,,115,,51.9
131,0.43945,,115,,52
132,0.442539,,114.857,,51.9429
133,0.445627,,114.714,,51.8857
134,0.448716,,114.571,,51.8286
135,0.451804,,114.429,,51.7714
136,0.454893,,114.286,,51.7143
137,0.457981,,114.143,,51.6571
138,0.46107,,114,,51.6
139,0.464113,,114.286,,51.4286
140,0.467156,,114.571,,51.2571
141,0.470199,,114.857,,51.0857
142,0.473241,,115.143,,50.9143
143,0.476284,,115.429,,50.7429
144,0.479327,,115.714,,50.5714
145,0.48237,,116,,50.4
146,0.48571,,115.6,,50.6
147,0.48905,,115.2,,50.8
148,0.49239,,114.8,,51
149,0.49573,,114.4,,51.2
150,0.49907,,114,,51.4
151,0.502468,,114,,51.4667
152,0.505867,,114,,51.5333
153,0.509265,,114,,51.6
154,0.512663,,114,,51.6667
155,0.516062,,114,,51.7333
156,0.51946,,114,,51.8
157,0.52279,,114.143,,51.8
158,0.52612,,114.286,,51.8
159,0.52945,,114.429,,51.8
160,0.53278,,114.571,,51.8
161,0.53611,,114.714,,51.8
162,0.53944,,114.857,,51.8
163,0.54277,,115,,51.8
164,0.54626,,114.833,,51.8
165,0.54975,,114.667,,51.8
166,0.55324,,114.5,,51.8
167,0.55673,,114.333,,51.8
168,0.56022,,114.167,,51.8
169,0.56371,,114,,51.8
170,0.56697,,113.857,,51.9143
171,0.57023,,113.714,,52.0286
172,0.57349,,113.571,,52.1429
173,0.57675,,113.429,,52.2571
174,0.58001,,113.286,,52.3714
175,0.58327,,113.143,,52.4857
176,0.58653,,113,,52.6
177,0.589704,,113.286,,52.8
178,0.592879,,113.571,,53
179,0.596053,,113.857,,53.2
180,0.599227,,114.143,,53.4
181,0.602401,,114.429,,53.6
182,0.605576,,114.714,,53.8
183,0.60875,,115,,54
184,0.612139,,115.143,,54.2286
185,0.615527,,115.286,,54.4571
186,0.618916,,115.429,,54.6857
187,0.622304,,115.571,,54.9143
188,0.625693,,115.714,,55.1429
189,0.629081,,115.857,,55.3714
190,0.63247,,116,,55.6
191,0.635997,,116.167,,55.7333
192,0.639523,,116.333,,55.8667
193,0.64305,,116.5,,56
194,0.646577,,116.667,,56.1333
195,0.650103,,116.833,,56.2667
196,0.65363,,117,,56.4
197,0.656799,,117.286,,56.3714
198,0.659967,,117.571,,56.3429
199,0.663136,,117.857,,56.3143
200,0.666304,,118.143,,56.2857
201,0.669473,,118.429,,56.2571
202,0.672641,,118.714,,56.2286
203,0.67581,,119,,56.2
204,0.678986,,119,,56.0286
205,0.682161,,119,,55.8571
206,0.685337,,119,,55.6857
207,0.688513,,119,,55.5143
208,0.691689,,119,,55.3429
209,0.694864,,119,,55.1714
210,0.69804,,119,,55
211,0.701455,,118.833,,55
212,0.70487,,118.667,,55
213,0.708285,,118.5,,55
214,0.7117,,118.333,,55
215,0.715115,,118.167,,55
216,0.71853,,118,,55
217,0.721884,,118,,54.6857
218,0.725239,,118,,54.3714
219,0.728593,,118,,54.0571
220,0.731947,,118,,53.7429
221,0.735301,,118,,53.4286
222,0.738656,,118,,53.1143
223,0.74201,,118,,52.8
224,0.745388,,118,,52.2333
225,0.748767,,118,,51.6667
226,0.752145,,118,,51.1
227,0.755523,,118,,50.5333
228,0.758902,,118,,49.9667
229,0.76228,,118,,49.4
230,0.765193,,118.143,,49.2286
231,0.768106,,118.286,,49.0571
232,0.771019,,118.429,,48.8857
233,0.773931,,118.571,,48.7143
234,0.776844,,118.714,,48.5429
235,0.779757,,118.857,,48.3714
236,0.78267,,119,,48.2
237,0.786435,,119,,48.2333
238,0.7902,,119,,48.2667
239,0.793965,,119,,48.3
240,0.79773,,119,,48.3333
241,0.801495,,119,,48.3667
242,0.80526,,119,,48.4
243,0.809038,,119,,48.6333
244,0.812817,,119,,48.8667
245,0.816595,,119,,49.1
246,0.820373,,119,,49.3333
247,0.824152,,119,,49.5667
248,0.82793,,119,,49.8
249,0.831313,,119.167,,50.0333
250,0.834697,,119.333,,50.2667
251,0.83808,,119.5,,50.5
252,0.841463,,119.667,,50.7333
253,0.844847,,119.833,,50.9667
254,0.84823,,120,,51.2
255,0.851707,,120.167,,51.5
256,0.855183,,120.333,,51.8
257,0.85866,,120.5,,52.1
258,0.862137,,120.667,,52.4
259,0.865613,,120.833,,52.7
260,0.86909,,121,,53
261,0.872577,,121,,53.1667
262,0.876063,,121,,53.3333
263,0.87955,,121,,53.5
264,0.883037,,121,,53.6667
265,0.886523,,121,,53.8333
266,0.89001,,121,,54
267,0.893623,,120.833,,54.0333
268,0.897237,,120.667,,54.0667
269,0.90085,,120.5,,54.1
270,0.904463,,120.333,,54.1333
271,0.908077,,120.167,,54.1667
272,0.91169,,120,,54.2
273,0.914574,,120,,54.0857
274,0.917459,,120,,53.9714
275,0.920343,,120,,53.8571
276,0.923227,,120,,53.7429
277,0.926111,,120,,53.6286
278,0.928996,,120,,53.5143
279,0.93188,,120,,53.4
280,0.935034,,119.857,,53
281,0.938189,,119.714,,52.6
282,0.941343,,119.571,,52.2
283,0.944497,,119.429,,51.8
284,0.947651,,119.286,,51.4
285,0.950806,,119.143,,51
286,0.95396,,119,,50.6
287,0.956476,,118.875,,50.25
288,0.958993,,118.75,,49.9
