secs,km,power,hr,cad,alt
0,0,,0,,0
1,0,,0,,0
2,0,,69,,0
3,0,,69,,-3
4,0,,70,,-13
5,0,,70,,-15
6,0,,71.3333,,-15.0667
7,0,,72.6667,,-15.1333
8,0,,74,,-15.2
9,0,,75,,-15.2
10,0.00384,,75,,-14.4
11,0.0072,,75,,-14.2
12,0.01101,,80,,-13.8
13,0.01464,,85,,-14.6
14,0.01815,,88,,-14.2
15,0.02212,,93,,-14.2
16,0.02576,,96,,-14
17,0.02916,,100,,-13.2
18,0.03292,,104,,-13
19,0.03684,,108,,-12.6
20,0.04078,,112,,-12.6
21,0.04491,,114,,-12.4
22,0.04912,,116,,-12.4
23,0.05333,,117,,-12.4
24,0.05721,,118,,-12
25,0.06063,,116,,-11.6
26,0.06411,,115,,-11.4
27,0.06784,,116,,-11.2
28,0.0717,,121,,-11.2
29,0.07559,,125,,-11
30,0.07938,,129,,-10.8
31,0.08304,,133,,-10.4
32,0.08679,,136,,-10
33,0.09047,,135,,-9.4
34,0.09416,,135,,-9.2
35,0.09791,,135,,-9
36,0.1017,,138,,-8.8
37,0.10558,,139,,-8.6
38,0.10917,,138,,-8.2
39,0.11288,,138,,-8.2
40,0.11667,,137,,-8
41,0.12049,,134,,-7.4
42,0.12417,,133,,-7
43,0.12783,,131,,-6.6
44,0.13162,,128,,-6.6
45,0.13553,,128,,-6.4
46,0.13923,,131,,-6.2
47,0.14308,,131,,-6
48,0.14673,,129,,-6
49,0.15045,,132,,-5.8
50,0.15414,,136,,-5.6
51,0.15774,,140,,-5.2
52,0.16167,,142,,-5.8
53,0.16546,,147,,-5.8
54,0.16942,,147,,-6.6
55,0.17318,,142,,-5.6
56,0.17682,,144,,-5.4
57,0.18026,,144,,-4.6
58,0.18367,,142,,-4.4
59,0.18707,,139,,-3.8
60,0.19058,,139,,-3.6
61,0.19389,,141,,-3
62,0.19749,,140,,-3.2
63,0.20103,,142,,-3
64,0.20467,,143,,-3.2
65,0.20826,,143,,-2.8
66,0.21178,,142,,-2.8
67,0.21531,,143,,-3
68,0.21894,,145,,-3.2
69,0.22282,,145,,-3.4
70,0.2266,,143,,-3.6
71,0.23034,,143,,-3.8
72,0.23408,,143,,-3.6
73,0.23771,,141,,-3.4
74,0.2412,,140,,-2.6
75,0.24475,,139,,-2.6
76,0.24819,,140,,-2.2
77,0.25182,,140,,-2
78,0.25536,,138,,-1.6
79,0.2591,,135,,-1.8
80,0.2628,,134,,-1.4
81,0.26651,,133,,-1.4
82,0.27026,,132,,-1.2
83,0.27394,,131,,-1
84,0.27758,,131,,-1.2
85,0.28114,,131,,-0.8
86,0.28472,,131,,-0.8
87,0.28856,,131,,-0.6
88,0.29252,,132,,-0.8
89,0.29642,,132,,-0.4
90,0.30013,,132,,-0.8
91,0.30397,,132,,-0.6
92,0.30772,,133,,-0.8
93,0.31127,,134,,-0.6
94,0.31478,,134,,-0.4
95,0.31805,,135,,0.2
96,0.32127,,136,,0.2
97,0.32464,,136,,0.6
98,0.32843,,136,,0.6
99,0.33227,,136,,1
100,0.3361,,137,,1.2
101,0.33981,,137,,1.2
102,0.34748,,137,,1
103,0.34748,,137,,1
104,0.35153,,137,,0.8
105,0.35576,,138,,0.4
106,0.35988,,138,,0.4
107,0.36361,,139,,0
108,0.36726,,139,,0.2
109,0.37071,,140,,0.2
110,0.374,,140,,0.6
111,0.37711,,141,,0.6
112,0.38019,,141,,0.8
113,0.38323,,141,,0.6
114,0.38628,,141,,0.6
115,0.38928,,141,,0.6
116,0.39236,,141,,0.8
117,0.39512,,140,,1.2
118,0.39512,,140.211,,1.12632
119,0.39512,,140.421,,1.05263
120,0.39512,,140.632,,0.978947
121,0.39512,,140.842,,0.905263
