secs,km,power,hr,cad,alt
0,0,,91,,199.2
1,0.0015,,92,,199.2
2,0.00373,,95,,199
3,0.005925,,98,,198.9
4,0.00812,,101,,198.8
5,0.0102,,104,,198.6
6,0.01279,,104,,198.4
7,0.01583,,104,,197.8
8,0.0187671,,104.143,,197.486
9,0.0217043,,104.286,,197.171
10,0.0246414,,104.429,,196.857
11,0.0275786,,104.571,,196.543
12,0.0305157,,104.714,,196.229
13,0.0334529,,104.857,,195.914
14,0.03639,,105,,195.6
15,0.039435,,106.5,,195.3
16,0.04248,,108,,195
17,0.045675,,110,,195
18,0.04887,,112,,195
19,0.051555,,115,,194.9
20,0.05424,,118,,194.8
21,0.05677,,124,,194.8
22,0.0595,,127,,194.8
23,0.06204,,130,,194.8
24,0.06429,,133,,194.8
25,0.0671071,,133.286,,195.029
26,0.0699243,,133.571,,195.257
27,0.0727414,,133.857,,195.486
28,0.0755586,,134.143,,195.714
29,0.0783757,,134.429,,195.943
30,0.0811929,,134.714,,196.171
31,0.08401,,135,,196.4
32,0.0871371,,135.143,,196.8
33,0.0902643,,135.286,,197.2
34,0.0933914,,135.429,,197.6
35,0.0965186,,135.571,,198
36,0.0996457,,135.714,,198.4
37,0.102773,,135.857,,198.8
38,0.1059,,136,,199.2
39,0.108828,,136.5,,199.533
40,0.111757,,137,,199.867
41,0.114685,,137.5,,200.2
42,0.117613,,138,,200.533
43,0.120542,,138.5,,200.867
44,0.12347,,139,,201.2
45,0.126453,,140,,201.467
46,0.129437,,141,,201.733
47,0.13242,,142,,202
48,0.135187,,142.5,,201.9
49,0.137953,,143,,201.8
50,0.14072,,143.5,,201.7
51,0.143487,,144,,201.6
52,0.146253,,144.5,,201.5
53,0.14902,,145,,201.4
54,0.15173,,145.125,,201.625
55,0.15444,,145.25,,201.85
56,0.15715,,145.375,,202.075
57,0.15986,,145.5,,202.3
58,0.16257,,145.625,,202.525
59,0.16528,,145.75,,202.75
60,0.16799,,145.875,,202.975
61,0.1707,,146,,203.2
62,0.17353,,146.25,,203.35
63,0.17636,,146.5,,203.5
64,0.17919,,146.75,,203.65
65,0.18202,,147,,203.8
66,0.18485,,147.25,,203.95
67,0.18768,,147.5,,204.1
68,0.19051,,147.75,,204.25
69,0.19334,,148,,204.4
70,0.196013,,148.75,,204.55
71,0.198685,,149.5,,204.7
72,0.201357,,150.25,,204.85
73,0.20403,,151,,205
74,0.206449,,151,,205.044
75,0.208868,,151,,205.089
76,0.211287,,151,,205.133
77,0.213706,,151,,205.178
78,0.216124,,151,,205.222
79,0.218543,,151,,205.267
80,0.220962,,151,,205.311
81,0.223381,,151,,205.356
82,0.2258,,151,,205.4
83,0.228212,,151,,205.644
84,0.230624,,151,,205.889
85,0.233037,,151,,206.133
86,0.235449,,151,,206.378
87,0.237861,,151,,206.622
88,0.240273,,151,,206.867
89,0.242686,,151,,207.111
90,0.245098,,151,,207.356
91,0.24751,,151,,207.6
92,0.250109,,151,,208.225
93,0.252707,,151,,208.85
94,0.255306,,151,,209.475
95,0.257905,,151,,210.1
96,0.260504,,151,,210.725
97,0.263103,,151,,211.35
98,0.265701,,151,,211.975
99,0.2683,,151,,212.6
100,0.271306,,151.6,,213.16
101,0.274312,,152.2,,213.72
102,0.277318,,152.8,,214.28
103,0.280324,,153.4,,214.84
104,0.28333,,154,,215.4
105,0.286258,,154,,216.8
106,0.289187,,154,,218.2
107,0.292115,,154,,219.6
108,0.295043,,154,,221
109,0.297972,,154,,222.4
110,0.3009,,154,,223.8
111,0.30401,,154,,224.7
112,0.30712,,154,,225.6
113,0.31023,,154,,226.5
114,0.31334,,154,,227.4
