secs,km,power,hr,cad,alt
0,0,,84,63,441.4
1,0.00177,,84,66,441.6
2,0.003555,,85.5,77.5,441.6
3,0.00534,,87,89,441.6
4,0.00746333,,88.3333,88,441.467
5,0.00958667,,89.6667,87,441.333
6,0.01171,,91,86,441.2
7,0.013795,,92.5,86,441.2
8,0.01588,,94,86,441.2
9,0.017855,,95.5,85.5,441
10,0.01983,,97,85,440.8
11,0.02154,,98,85,440.8
12,0.02325,,99,84,440.4
13,0.0251871,,99.2857,84,440.229
14,0.0271243,,99.5714,84,440.057
15,0.0290614,,99.8571,84,439.886
16,0.0309986,,100.143,84,439.714
17,0.0329357,,100.429,84,439.543
18,0.0348729,,100.714,84,439.371
19,0.03681,,101,84,439.2
20,0.038748,,101.4,84,439
21,0.040686,,101.8,84,438.8
22,0.042624,,102.2,84,438.6
23,0.044562,,102.6,84,438.4
24,0.0465,,103,84,438.2
25,0.048206,,103.2,84.2,438
26,0.049912,,103.4,84.4,437.8
27,0.051618,,103.6,84.6,437.6
28,0.053324,,103.8,84.8,437.4
29,0.05503,,104,85,437.2
30,0.0570867,,104.5,84.8333,437.2
31,0.0591433,,105,84.6667,437.2
32,0.0612,,105.5,84.5,437.2
33,0.0632567,,106,84.3333,437.2
34,0.0653133,,106.5,84.1667,437.2
35,0.06737,,107,84,437.2
36,0.0692933,,107.167,84,437
37,0.0712167,,107.333,84,436.8
38,0.07314,,107.5,84,436.6
39,0.0750633,,107.667,84,436.4
40,0.0769867,,107.833,84,436.2
41,0.07891,,108,84,436
42,0.081042,,108,83.8,435.72
43,0.083174,,108,83.6,435.44
44,0.085306,,108,83.4,435.16
45,0.087438,,108,83.2,434.88
46,0.08957,,108,83,434.6
47,0.0918675,,108,83.25,434.4
48,0.094165,,108,83.5,434.2
49,0.0964625,,108,83.75,434
50,0.09876,,108,84,433.8
51,0.100992,,108,83.5,433.5
52,0.103225,,108,83,433.2
53,0.105457,,108,82.5,432.9
54,0.10769,,108,82,432.6
55,0.10994,,108.333,82,432.433
56,0.11219,,108.667,82,432.267
57,0.11444,,109,82,432.1
58,0.11669,,109.333,82,431.933
59,0.11894,,109.667,82,431.767
60,0.12119,,110,82,431.6
61,0.123497,,110.111,82,431.467
62,0.125803,,110.222,82,431.333
63,0.12811,,110.333,82,431.2
64,0.130417,,110.444,82,431.067
65,0.132723,,110.556,82,430.933
66,0.13503,,110.667,82,430.8
67,0.137337,,110.778,82,430.667
68,0.139643,,110.889,82,430.533
69,0.14195,,111,82,430.4
70,0.14425,,111,81.8,430.16
71,0.14655,,111,81.6,429.92
72,0.14885,,111,81.4,429.68
73,0.15115,,111,81.2,429.44
74,0.15345,,111,81,429.2
75,0.155728,,111.2,81,428.96
76,0.158006,,111.4,81,428.72
77,0.160284,,111.6,81,428.48
78,0.162562,,111.8,81,428.24
79,0.16484,,112,81,428
80,0.16728,,112,81.3333,427.533
81,0.16972,,112,81.6667,427.067
82,0.17216,,112,82,426.6
83,0.174695,,111.75,82,426.35
84,0.17723,,111.5,82,426.1
85,0.179765,,111.25,82,425.85
86,0.1823,,111,82,425.6
87,0.184257,,110.5,82,425.3
88,0.186215,,110,82,425
89,0.188172,,109.5,82,424.7
90,0.19013,,109,82,424.4
91,0.19224,,109.4,82,424.2
92,0.19435,,109.8,82,424
93,0.19646,,110.2,82,423.8
94,0.19857,,110.6,82,423.6
95,0.20068,,111,82,423.4
96,0.202927,,111.25,82.25,423.15
97,0.205175,,111.5,82.5,422.9
98,0.207423,,111.75,82.75,422.65
99,0.20967,,112,83,422.4
100,0.212068,,112.2,83.2,422.16
101,0.214466,,112.4,83.4,421.92
102,0.216864,,112.6,83.6,421.68
103,0.219262,,112.8,83.8,421.44
104,0.22166,,113,84,421.2
105,0.224202,,113.167,83.8333,421.033
106,0.226743,,113.333,83.6667,420.867
107,0.229285,,113.5,83.5,420.7
108,0.231827,,113.667,83.3333,420.533
109,0.234368,,113.833,83.1667,420.367
110,0.23691,,114,83,420.2
111,0.23943,,114.2,83,420.16
112,0.24195,,114.4,83,420.12
113,0.24447,,114.6,83,420.08
114,0.24699,,114.8,83,420.04
115,0.24951,,115,83,420
116,0.25218,,114.833,83,419.833
117,0.25485,,114.667,83,419.667
118,0.25752,,114.5,83,419.5
119,0.26019,,114.333,83,419.333
120,0.26286,,114.167,83,419.167
121,0.26553,,114,83,419
122,0.2682,,114,83.1429,418.857
123,0.27087,,114,83.2857,418.714
124,0.27354,,114,83.4286,418.571
125,0.27621,,114,83.5714,418.429
126,0.27888,,114,83.7143,418.286
127,0.28155,,114,83.8571,418.143
128,0.28422,,114,84,418
129,0.286887,,114.25,84.125,417.85
130,0.289555,,114.5,84.25,417.7
131,0.292222,,114.75,84.375,417.55
132,0.29489,,115,84.5,417.4
133,0.297557,,115.25,84.625,417.25
134,0.300225,,115.5,84.75,417.1
135,0.302893,,115.75,84.875,416.95
136,0.30556,,116,85,416.8
137,0.3082,,116.167,85,416.633
138,0.31084,,116.333,85,416.467
139,0.31348,,116.5,85,416.3
140,0.31612,,116.667,85,416.133
141,0.31876,,116.833,85,415.967
142,0.3214,,117,85,415.8
