secs,km,power,hr,cad,alt
0,0,,86,,-55.4
1,0.00326,,89,,-55.4
2,0.007325,,90.25,,-55.4
3,0.01139,,91.5,,-55.4
4,0.015455,,92.75,,-55.4
5,0.01952,,94,,-55.4
6,0.02377,,97.5,,-55.4
7,0.02802,,101,,-55.4
8,0.03254,,101,,-55.4
9,0.03706,,103.5,,-55.4
10,0.04158,,106,,-55.4
11,0.046095,,108.5,,-55.4
12,0.05061,,111,,-55.4
13,0.058655,,114,,-55.3
14,0.0667,,117,,-55.2
15,0.0740633,,118.333,,-54.6
16,0.0814267,,119.667,,-54
17,0.08879,,121,,-53.4
18,0.0942125,,122,,-52.3
19,0.099635,,123,,-51.2
20,0.105057,,124,,-50.1
21,0.11048,,125,,-49
22,0.115793,,126.667,,-47.5333
23,0.121107,,128.333,,-46.0667
24,0.12642,,130,,-44.6
25,0.131258,,131,,-42.88
26,0.136096,,132,,-41.16
27,0.140934,,133,,-39.44
28,0.145772,,134,,-37.72
29,0.15061,,135,,-36
30,0.15489,,135.6,,-34.24
31,0.15917,,136.2,,-32.48
32,0.16345,,136.8,,-30.72
33,0.16773,,137.4,,-28.96
34,0.17201,,138,,-27.2
35,0.175893,,138.5,,-25.5
36,0.179777,,139,,-23.8
37,0.18366,,139.5,,-22.1
38,0.187543,,140,,-20.4
39,0.191427,,140.5,,-18.7
40,0.19531,,141,,-17
41,0.197952,,141.333,,-15.7333
42,0.200593,,141.667,,-14.4667
43,0.203235,,142,,-13.2
44,0.205877,,142.333,,-11.9333
45,0.208518,,142.667,,-10.6667
46,0.21116,,143,,-9.4
47,0.21928,,144,,-8
48,0.223383,,144.333,,-6.73333
49,0.227487,,144.667,,-5.46667
50,0.23159,,145,,-4.2
51,0.235784,,145.4,,-3.2
52,0.239978,,145.8,,-2.2
53,0.244172,,146.2,,-1.2
54,0.248366,,146.6,,-0.2
55,0.25256,,147,,0.8
56,0.256482,,147.333,,1.53333
57,0.260403,,147.667,,2.26667
58,0.264325,,148,,3
59,0.268247,,148.333,,3.73333
60,0.272168,,148.667,,4.46667
61,0.27609,,149,,5.2
62,0.279915,,149.333,,5.8
63,0.28374,,149.667,,6.4
64,0.287565,,150,,7
65,0.29139,,150.333,,7.6
