secs,km,power,hr,cad,alt
0,0,,84,,147.2
1,0,,84,,148.8
2,0,,84,,148.8
3,0.00212,,85,,154.8
5,0.00228,,86,,153
6,0.00391,,87,,152.8
7,0.00497,,86,,151.4
8,0.00623,,85,,151
9,0.00798,,84,,149.8
10,0.00983,,85,,149.8
11,0.01169,,87,,149.4
12,0.01353,,92,,149.6
13,0.01581,,93,,149.4
14,0.01795,,94,,149
15,0.02008,,93,,148.8
16,0.02218,,93,,148.8
17,0.02424,,95,,148.6
18,0.02633,,98,,148.4
19,0.0284,,98,,148.2
20,0.03033,,98,,147.8
21,0.03235,,98,,147.6
22,0.03483,,99,,147.2
23,0.03723,,102,,147
24,0.03929,,102,,146.8
25,0.04129,,103,,146.6
26,0.04331,,103,,146.4
27,0.04534,,106,,146.2
28,0.04742,,108,,146
29,0.04943,,111,,146
30,0.05154,,111,,146
31,0.05362,,113,,145.8
32,0.05576,,115,,146
33,0.05809,,116,,146
34,0.06031,,119,,145.6
35,0.06246,,119,,145.6
36,0.06454,,119,,145.4
37,0.06672,,119,,145.2
38,0.06906,,120,,145.2
39,0.07141,,125,,145.4
40,0.07381,,127,,145.6
41,0.07605,,127,,145.6
42,0.07827,,129,,145.2
43,0.0805,,129,,145.4
44,0.08287,,128,,145.4
45,0.08529,,126,,145.6
46,0.08729,,125,,146
47,0.08943,,126,,146.2
48,0.09171,,125,,146.4
49,0.09381,,123,,146.6
50,0.09592,,124,,146.8
51,0.09791,,125,,147.2
52,0.09979,,129,,147.2
53,0.10183,,134,,147.4
54,0.10411,,135,,147.6
55,0.10603,,137,,147.6
56,0.10815,,139,,148
57,0.11078,,138,,148.8
58,0.11317,,135,,149.2
59,0.11532,,132,,150.4
60,0.11767,,130,,150.8
61,0.11986,,132,,151.2
62,0.122,,134,,151.8
63,0.12443,,132,,152.4
64,0.12669,,134,,152.8
65,0.12863,,134,,153
66,0.13096,,136,,153.4
67,0.13354,,138,,154
68,0.1359,,139,,154.6
69,0.13779,,139,,155.2
70,0.13985,,141,,155.6
71,0.14197,,141,,156
72,0.14382,,142,,156.4
73,0.14577,,141,,156.8
74,0.14811,,141,,157
75,0.15038,,141,,157.4
76,0.15254,,140,,157.6
77,0.15481,,141,,157.6
78,0.15693,,139,,157.8
79,0.15882,,138,,158
80,0.16101,,136,,158
81,0.16317,,136,,158.2
82,0.16507,,136,,158.2
83,0.16727,,135,,158.2
84,0.16941,,136,,158.2
85,0.17125,,133,,158.6
86,0.17309,,132,,158.6
87,0.17515,,133,,158.8
88,0.17709,,134,,159.2
89,0.17851,,134,,159.4
90,0.17957,,135,,159.6
91,0.1799,,137,,159.8
92,0.18045,,139,,159.6
93,0.18108,,139,,159.6
94,0.18247,,141,,159.6
95,0.18396,,140,,159.6
96,0.18598,,137,,159.8
97,0.18818,,140,,160
98,0.1903,,139,,160
99,0.19254,,139,,160.2
100,0.19474,,140,,160.2
101,0.19697,,143,,160.2
102,0.19931,,144,,160.4
103,0.20179,,145,,160.6
104,0.20404,,146,,160.8
105,0.20646,,146,,161
106,0.20906,,147,,161.2
107,0.21144,,147,,161.6
108,0.21405,,147,,162
109,0.21653,,147,,162.2
110,0.2189,,147,,162.6
111,0.22147,,146,,162.8
112,0.22387,,146,,163
113,0.22609,,146,,163.6
114,0.22844,,145,,163.8
115,0.23071,,145,,163.8
116,0.23271,,145,,164.6
117,0.2349,,144,,164.8
118,0.23705,,144,,165.2
119,0.23926,,144,,165.6
120,0.24155,,144,,165.8
121,0.24374,,144,,166.2
122,0.2458,,143,,166.8
123,0.24819,,143,,166.8
124,0.25071,,143,,166.8
125,0.253,,142,,167.2
126,0.25527,,142,,167.4
127,0.25751,,141,,167.4
128,0.25955,,141,,168
129,0.26159,,141,,168.2
130,0.26349,,141,,168.4
131,0.26527,,141,,168.8
132,0.26703,,141,,169
133,0.26933,,140,,168.6
134,0.27148,,140,,169
135,0.27369,,140,,168.8
136,0.2759,,140,,168.8
137,0.27815,,140,,168.8
138,0.28048,,140,,168.6
139,0.28288,,140,,168.4
140,0.28537,,140,,168.2
141,0.28784,,140,,168
142,0.29018,,140,,168
143,0.29256,,140,,168
144,0.29514,,140,,168
145,0.29741,,140,,167.8
146,0.29962,,141,,168
147,0.30204,,141,,167.6
148,0.30438,,141,,167.4
149,0.3067,,142,,167.4
150,0.30936,,142,,167.2
151,0.31195,,142,,167.2
152,0.31452,,142,,167.4
153,0.31755,,141,,167.2
154,0.3205,,141,,167.4
155,0.32317,,141,,168
156,0.32615,,141,,168
157,0.32885,,142,,168.2
158,0.33143,,142,,168
159,0.33411,,142,,167.8
160,0.33643,,143,,167.8
161,0.33883,,142,,167.8
162,0.34146,,142,,167.6
163,0.34391,,143,,167.8
164,0.34658,,142,,167.2
165,0.34911,,142,,167.4
166,0.35156,,142,,167.4
167,0.35427,,142,,167.4
168,0.35674,,142,,167.6
169,0.35906,,142,,167.8
170,0.36168,,142,,168.2
171,0.36439,,142,,168.2
172,0.36711,,142,,168.2
173,0.36974,,143,,168.2
174,0.37226,,143,,168.2
175,0.37485,,143,,168.2
176,0.37737,,144,,168.4
177,0.37966,,144,,168.8
178,0.38195,,145,,168.8
179,0.38438,,145,,168.8
180,0.38677,,145,,168.6
181,0.38926,,145,,168.2
182,0.39167,,145,,168
183,0.39405,,145,,168
184,0.39625,,146,,167.8
185,0.39853,,145,,167.4
186,0.40074,,145,,167
187,0.40297,,145,,166.8
188,0.40505,,145,,167
189,0.40685,,144,,166.8
190,0.40892,,144,,166.4
191,0.41094,,144,,166.4
192,0.41339,,144,,166.4
193,0.41539,,143,,166.2
194,0.41734,,143,,166.2
195,0.41928,,143,,166.4
196,0.42142,,143,,166.4
197,0.42392,,143,,166.2
198,0.42648,,143,,166
199,0.42911,,143,,166
200,0.43164,,142,,166
201,0.43428,,142,,165.8
202,0.43688,,141,,165.8
203,0.43939,,141,,165.8
204,0.44206,,141,,165.8
205,0.44461,,141,,165.8
206,0.447,,141,,165.8
207,0.44943,,141,,166
208,0.45185,,141,,166.2
209,0.45457,,141,,166.2
210,0.45723,,141,,166.4
211,0.45985,,142,,166.2
212,0.46247,,142,,166
213,0.46498,,142,,166
214,0.46739,,142,,166
215,0.46984,,142,,166
216,0.4722,,142,,165.8
217,0.47461,,141,,165.2
218,0.477,,141,,164.4
219,0.47921,,140,,164.2
220,0.48132,,140,,164.4
221,0.48366,,140,,163.8
222,0.48622,,139,,163.8
223,0.48886,,139,,163.4
224,0.49148,,139,,163.4
225,0.49408,,139,,163.4
226,0.49676,,139,,163.6
227,0.4993,,140,,163.6
228,0.50151,,140,,163.6
229,0.5039,,140,,163.6
230,0.50635,,141,,163.8
231,0.5089,,141,,163.8
232,0.51159,,141,,163.4
233,0.51424,,141,,163.4
234,0.51669,,141,,163.4
235,0.51954,,142,,163.4
236,0.52222,,142,,163.4
237,0.5247,,142,,163.4
238,0.52741,,141,,163.2
239,0.52997,,141,,163.2
240,0.53234,,140,,163.4
241,0.53478,,140,,163.6
242,0.53702,,139,,163
243,0.53883,,139,,162.6
244,0.54015,,139,,162.6
245,0.54099,,140,,162.6
246,0.5416,,140,,162.6
247,0.54191,,140,,162.4
248,0.54247,,140,,162.2
249,0.54329,,140,,162.2
250,0.54501,,139,,162
251,0.54684,,139,,162.2
252,0.54914,,138,,162.2
253,0.55164,,136,,162.2
254,0.55431,,136,,162.2
255,0.55707,,136,,162.2
256,0.55985,,135,,162
257,0.56251,,135,,162.2
258,0.56501,,135,,162
259,0.56773,,135,,161.8
260,0.57062,,135,,161.6
261,0.57336,,136,,161.4
262,0.57609,,137,,161
263,0.57903,,137,,160.6
264,0.58161,,138,,161
265,0.58443,,138,,160.4
266,0.58739,,138,,160.4
267,0.59007,,138,,160.4
268,0.59288,,138,,160
269,0.59551,,137,,160.2
270,0.59818,,137,,160.4
271,0.6012,,137,,160.4
272,0.60399,,137,,160.6
273,0.60649,,138,,160.6
274,0.60915,,139,,160.8
275,0.6117,,139,,161
276,0.61396,,140,,161.6
277,0.61649,,141,,161.8
278,0.61903,,142,,162
279,0.62133,,143,,162.4
280,0.62387,,144,,162.8
281,0.62635,,144,,163
282,0.6286,,145,,163.2
283,0.631,,145,,163.2
284,0.63352,,145,,163.6
285,0.63598,,145,,163.8
286,0.63837,,145,,164
287,0.64082,,145,,164.4
288,0.64301,,145,,165.4
289,0.64555,,145,,165.2
290,0.64809,,145,,165.4
291,0.65063,,146,,165.6
292,0.65327,,146,,165.4
293,0.65608,,146,,165.6
294,0.65889,,146,,165.6
295,0.66168,,146,,165.6
296,0.66457,,146,,166.2
297,0.66753,,145,,166
298,0.67043,,144,,166
299,0.67323,,144,,166.2
300,0.67591,,143,,166.2
301,0.67842,,142,,166.2
302,0.68107,,142,,166
303,0.68384,,141,,166.2
304,0.68655,,140,,166.2
305,0.68947,,139,,165.8
306,0.69226,,139,,165.8
307,0.69506,,139,,165.6
308,0.69779,,139,,165.4
309,0.7005,,140,,165.4
310,0.70338,,140,,165.2
311,0.70592,,141,,165.2
312,0.70842,,142,,165
313,0.71078,,142,,165.4
314,0.71305,,143,,165.6
315,0.71503,,144,,165.8
316,0.71753,,144,,167.2
317,0.71972,,145,,167.4
318,0.72181,,145,,167.8
319,0.72407,,145,,168.8
320,0.72632,,145,,169.6
321,0.72835,,145,,170
322,0.7304,,145,,171
323,0.73228,,145,,171.6
324,0.73403,,144,,172.2
325,0.73562,,144,,173
326,0.73751,,144,,173.4
327,0.73945,,144,,174
328,0.74135,,144,,174.2
329,0.74333,,143,,174.6
330,0.74518,,143,,174.8
331,0.74718,,143,,174.8
332,0.74923,,142,,175.4
333,0.75112,,142,,175.8
334,0.75298,,142,,176.4
335,0.75501,,141,,176.2
336,0.75708,,141,,176
337,0.75916,,141,,176
338,0.76111,,141,,176.2
339,0.76281,,142,,176.4
340,0.76465,,142,,176.2
341,0.76656,,142,,176.4
342,0.76823,,142,,176.6
343,0.77023,,142,,176.6
344,0.77222,,142,,176.8
345,0.77401,,142,,176.6
346,0.77595,,142,,176.4
347,0.77807,,142,,176.4
348,0.78025,,142,,176.2
349,0.78243,,142,,176.4
350,0.7845,,141,,176.4
351,0.78658,,141,,176.6
352,0.7887,,141,,177
353,0.79066,,140,,177.2
354,0.79279,,140,,177.4
355,0.79488,,140,,177.4
356,0.79718,,140,,177.6
357,0.7994,,140,,177.8
358,0.80132,,140,,178
359,0.80334,,140,,178
360,0.80543,,140,,178.2
361,0.80745,,140,,178.8
362,0.80962,,140,,179.2
363,0.81177,,140,,179.4
364,0.81374,,140,,179.8
365,0.81597,,140,,180.2
366,0.81807,,141,,180.8
367,0.82006,,141,,181.6
368,0.82206,,141,,181.8
369,0.82384,,141,,182
370,0.82583,,142,,181.2
371,0.82763,,142,,181.2
372,0.82962,,142,,181
373,0.83157,,142,,180.4
374,0.83341,,142,,180.2
375,0.83512,,142,,179.8
376,0.83694,,142,,179.8
377,0.83892,,143,,179.8
378,0.84098,,144,,179.6
379,0.84293,,145,,179.6
380,0.84474,,145,,180
381,0.84665,,146,,180
382,0.84852,,146,,180.4
383,0.85047,,146,,180.4
384,0.85213,,145,,180.6
385,0.85402,,145,,180.8
386,0.85632,,145,,180.8
387,0.85858,,145,,181
388,0.86093,,145,,181.2
389,0.86331,,145,,181
390,0.86568,,145,,181
391,0.86817,,145,,180.8
392,0.87059,,145,,180.8
393,0.87308,,145,,180.8
394,0.87549,,145,,181.4
395,0.87771,,145,,181.8
396,0.87985,,145,,182
397,0.88192,,145,,182.4
398,0.88394,,145,,182.8
399,0.88604,,145,,182.8
400,0.88805,,144,,183
401,0.88997,,144,,183.4
402,0.89225,,144,,183.6
403,0.89457,,143,,184
404,0.89663,,143,,184.2
405,0.89858,,142,,184.6
406,0.90051,,142,,185.2
407,0.90286,,142,,184.4
408,0.90524,,143,,184.6
409,0.90738,,143,,184.6
410,0.90964,,144,,185.2
411,0.9121,,144,,185.2
412,0.91471,,144,,185.2
413,0.91724,,145,,185.2
414,0.91947,,144,,185.2
415,0.92169,,144,,185.2
416,0.92382,,144,,185.4
417,0.92607,,144,,185.2
418,0.92826,,144,,185.4
419,0.93023,,144,,185.2
420,0.93231,,144,,185
421,0.93458,,144,,184.8
422,0.93672,,144,,184.6
423,0.93879,,145,,184.6
424,0.94072,,146,,184.2
425,0.94281,,147,,183.6
426,0.9447,,147,,183.8
427,0.94683,,148,,184
428,0.94935,,147,,184.4
429,0.9517,,147,,184.6
430,0.9538,,147,,185
431,0.95596,,147,,185
432,0.95803,,146,,184.8
433,0.96029,,146,,185.2
434,0.96256,,145,,185
435,0.9647,,145,,185
436,0.96687,,145,,185
437,0.9691,,144,,185.2
438,0.97136,,144,,185.4
439,0.97352,,143,,185.4
440,0.97592,,142,,185.4
441,0.97816,,142,,185.6
442,0.98027,,142,,186.4
443,0.98227,,142,,187
444,0.98417,,142,,187.2
445,0.98621,,142,,187
446,0.98837,,141,,187.2
447,0.99049,,141,,187.2
448,0.99256,,141,,187.2
449,0.99461,,141,,187.2
450,0.99672,,141,,187.2
451,0.99895,,141,,187.2
452,1.00115,,141,,187
453,1.00324,,141,,186.8
454,1.00509,,141,,186.6
455,1.00699,,142,,185.6
456,1.0091,,142,,185.6
457,1.01144,,143,,185.4
458,1.01378,,143,,185.4
459,1.01645,,143,,185
460,1.01871,,144,,184.8
461,1.0209,,144,,184.4
462,1.0233,,144,,184.2
463,1.02571,,144,,184
464,1.02808,,144,,183.8
465,1.03023,,144,,183.4
466,1.03242,,144,,183.4
467,1.03467,,143,,183.2
468,1.0367,,143,,183.2
469,1.03869,,142,,183.2
470,1.04066,,142,,183
471,1.04277,,141,,183.2
472,1.04529,,141,,183.4
473,1.04777,,142,,183.4
474,1.05039,,142,,183.6
475,1.05303,,143,,183.8
476,1.05556,,143,,183.8
477,1.05834,,143,,183.8
478,1.06091,,143,,183.6
479,1.06339,,143,,183.6
480,1.06613,,143,,183.6
481,1.0686,,143,,183.4
482,1.07097,,143,,183.4
483,1.07316,,143,,183.2
484,1.07552,,143,,182.6
485,1.07818,,143,,182.2
486,1.08148,,143,,182.2
487,1.085,,143,,182.4
488,1.08841,,143,,182.6
489,1.09144,,143,,183
490,1.09415,,142,,183.2
491,1.0967,,142,,183.4
492,1.09939,,142,,183.8
493,1.102,,142,,183.8
494,1.10437,,142,,184
495,1.10689,,143,,184.2
496,1.10943,,143,,184.4
497,1.1119,,143,,184.8
498,1.1141,,144,,184.8
499,1.11615,,144,,185
500,1.1184,,144,,184.8
501,1.12083,,144,,184.8
502,1.12302,,144,,185.2
503,1.12518,,144,,184.8
504,1.12738,,144,,185
505,1.1291,,144,,185.2
506,1.13124,,144,,185.6
507,1.13355,,144,,185.4
508,1.13579,,144,,185.8
509,1.13784,,144,,185.8
510,1.1398,,145,,185.8
511,1.1417,,145,,186
512,1.14371,,145,,185.8
513,1.14587,,145,,185.4
514,1.14778,,144,,184.8
515,1.14925,,144,,184.8
516,1.15015,,144,,184.4
517,1.15051,,143,,183.8
518,1.15066,,143,,184
519,1.15083,,142,,184
520,1.15111,,142,,183.4
521,1.15114,,142,,183.2
522,1.15114,,141,,182.8
523,1.1513,,141,,182.8
524,1.1513,,141,,182.6
525,1.15173,,141,,182.6
526,1.15306,,141,,183.2
527,1.15469,,142,,183.2
528,1.15701,,142,,183.4
529,1.15964,,143,,183.8
530,1.16225,,143,,184.4
531,1.16484,,143,,184
532,1.16756,,143,,183.6
533,1.17016,,143,,183.4
534,1.17267,,143,,183.4
535,1.17524,,143,,183.4
536,1.17778,,143,,183
537,1.18055,,143,,183
538,1.18328,,143,,182.6
539,1.18588,,143,,182.2
540,1.18845,,143,,182.4
541,1.19136,,144,,182.4
542,1.19405,,144,,182.6
543,1.19656,,144,,182.4
544,1.19899,,144,,182.2
545,1.20136,,144,,182.2
546,1.20365,,144,,182.2
547,1.20623,,144,,182.4
548,1.20885,,143,,182.6
549,1.21144,,143,,182.8
550,1.21397,,143,,183
551,1.21638,,142,,182.8
552,1.21906,,142,,182.4
553,1.22173,,142,,182.4
554,1.22426,,142,,182.2
555,1.22696,,143,,182.2
556,1.22965,,143,,182.2
557,1.23235,,143,,182.2
558,1.23523,,143,,182.2
559,1.23809,,143,,182.2
560,1.24082,,143,,181.8
561,1.24371,,143,,181.6
562,1.2464,,144,,181.2
563,1.24926,,145,,181
564,1.25207,,146,,180.8
565,1.25478,,147,,180.8
566,1.25771,,148,,180.8
567,1.26061,,148,,180.8
568,1.26351,,148,,180.6
569,1.26635,,148,,180.8
570,1.26907,,148,,181
571,1.27187,,148,,181.2
572,1.27462,,147,,181.2
573,1.27744,,147,,181.2
574,1.28028,,147,,181.4
575,1.28294,,147,,181.8
576,1.2857,,147,,182.2
577,1.28841,,147,,182.2
578,1.29105,,147,,182.2
579,1.29399,,147,,182
580,1.2969,,146,,182
581,1.29973,,146,,182
582,1.30259,,145,,181.8
583,1.3055,,145,,182
584,1.30854,,144,,181.8
585,1.31139,,144,,181.8
586,1.31432,,143,,181.6
587,1.31732,,143,,181.6
588,1.32031,,142,,181.4
589,1.3232,,142,,181
590,1.32613,,143,,180.2
591,1.32903,,143,,179.8
592,1.33191,,144,,179.6
593,1.33462,,144,,179.6
594,1.33748,,144,,179.4
595,1.34031,,145,,179.4
596,1.34314,,145,,179.2
597,1.34616,,145,,179
598,1.34901,,145,,179
599,1.3518,,145,,178.6
600,1.35468,,145,,178.6
601,1.35727,,145,,178.4
602,1.35998,,145,,178.2
603,1.36267,,145,,178.2
604,1.3654,,145,,178
605,1.36841,,145,,177.2
606,1.37145,,145,,176.8
607,1.37419,,145,,176.2
608,1.37697,,145,,176
609,1.37974,,145,,175.6
610,1.3825,,145,,175
611,1.38505,,145,,174.8
612,1.38748,,146,,174.4
613,1.38997,,146,,174.2
614,1.39266,,147,,173.8
615,1.3951,,147,,173.6
616,1.39735,,148,,173.2
617,1.39979,,148,,173
618,1.40232,,149,,172.8
619,1.40506,,149,,172.4
620,1.40796,,149,,172
621,1.4109,,150,,171.8
622,1.41409,,150,,171.6
623,1.41733,,151,,171.4
624,1.42012,,151,,171.6
625,1.42286,,152,,171.4
626,1.42553,,152,,171.2
627,1.42803,,153,,171.2
628,1.43084,,154,,171
629,1.43376,,154,,171
630,1.43665,,154,,171
631,1.43947,,155,,170.8
632,1.44223,,155,,170.6
633,1.44491,,155,,170.6
634,1.44757,,155,,170.8
635,1.45015,,156,,171.2
636,1.45276,,156,,171.4
637,1.45527,,156,,171.8
638,1.45773,,156,,172.2
639,1.46005,,157,,172.6
640,1.46228,,156,,172.8
641,1.46454,,156,,172.8
642,1.46679,,156,,172.8
643,1.46896,,156,,172.8
644,1.47105,,155,,173.2
645,1.4729,,155,,173.4
646,1.4749,,155,,173.4
647,1.47697,,154,,173.4
648,1.47885,,154,,173.8
649,1.48095,,154,,173.8
650,1.48362,,154,,174.2
651,1.48623,,154,,174.8
652,1.48897,,153,,175
653,1.49118,,153,,175.6
654,1.49316,,153,,175.8
655,1.49499,,152,,176.2
656,1.49716,,152,,176.2
657,1.49914,,151,,176.8
658,1.50164,,151,,177
659,1.50381,,151,,177.2
660,1.50618,,151,,177.4
661,1.50883,,152,,177
662,1.51169,,152,,177.4
663,1.51462,,152,,178
664,1.51754,,152,,178.2
665,1.51998,,152,,178.4
666,1.52237,,152,,178.2
667,1.52466,,152,,178.4
668,1.52768,,152,,178.8
669,1.5309,,152,,178.6
670,1.53408,,152,,178.8
671,1.53691,,152,,178.8
672,1.5399,,152,,178.4
673,1.54258,,151,,178.4
674,1.5454,,151,,178
675,1.54846,,150,,178
676,1.55126,,150,,177.8
677,1.55436,,150,,178.2
678,1.55731,,150,,178.4
679,1.56045,,151,,178.2
680,1.5636,,151,,178.2
681,1.56653,,151,,178.8
682,1.56925,,151,,179.2
683,1.57206,,151,,179.2
684,1.57473,,151,,179.4
685,1.57758,,151,,180
686,1.58043,,151,,179.8
687,1.58312,,151,,180.2
688,1.58582,,152,,180.6
689,1.58847,,152,,181.2
690,1.59087,,152,,181
691,1.59317,,153,,181
692,1.59602,,153,,180.6
693,1.59917,,153,,180.8
694,1.6028,,154,,181.2
695,1.60618,,154,,181.4
696,1.60949,,154,,181.2
697,1.61253,,154,,181.2
698,1.61516,,155,,181.4
699,1.61809,,155,,180.8
700,1.621,,155,,181.4
701,1.62431,,155,,181.6
702,1.62735,,155,,182
703,1.63014,,156,,182.4
704,1.63297,,156,,182.6
705,1.63594,,156,,182.8
706,1.63878,,156,,183
707,1.64137,,156,,183
708,1.6436,,156,,183
709,1.64555,,156,,183.4
710,1.64774,,156,,183.2
711,1.65013,,156,,182.8
712,1.65291,,155,,183
713,1.65573,,154,,183.2
714,1.65795,,153,,183.4
715,1.66043,,153,,183.8
716,1.66273,,152,,183.8
717,1.66539,,152,,183.8
718,1.66757,,151,,184
719,1.66962,,151,,184
720,1.67184,,151,,184.4
721,1.6742,,152,,184.6
722,1.67669,,152,,184.4
723,1.6793,,153,,184.6
724,1.68191,,153,,184.8
725,1.68432,,153,,185
726,1.68698,,153,,184.8
727,1.68987,,153,,185.2
728,1.69263,,153,,185.4
729,1.69521,,154,,185.2
730,1.69805,,154,,185
731,1.70061,,154,,184.4
732,1.70311,,155,,184.4
733,1.70567,,155,,184
734,1.70856,,156,,183.6
735,1.71128,,157,,183.8
736,1.71413,,158,,183.4
737,1.71676,,158,,183
738,1.71925,,158,,182
739,1.72178,,159,,181.6
740,1.72429,,158,,181.4
741,1.72662,,158,,180.8
742,1.72857,,157,,180
743,1.73029,,157,,179.4
744,1.7321,,156,,178.6
745,1.7337,,156,,178
746,1.73573,,156,,175.8
747,1.73787,,156,,174.8
748,1.73972,,155,,175
749,1.74163,,154,,175
750,1.7439,,154,,175
751,1.74636,,153,,174.8
752,1.7486,,153,,174.4
753,1.75075,,153,,174.4
754,1.75325,,152,,174.8
755,1.75568,,152,,174.6
756,1.75799,,152,,173.8
757,1.76086,,152,,173.4
758,1.76341,,152,,173
759,1.76556,,152,,172.2
760,1.76777,,152,,172
761,1.77034,,151,,172.2
762,1.77293,,151,,172.8
763,1.77585,,149,,173.2
764,1.77844,,147,,172.8
765,1.78125,,145,,172.8
766,1.78419,,141,,172.6
767,1.78739,,140,,172.6
768,1.79077,,137,,172.4
769,1.7948,,136,,172.6
770,1.79869,,134,,172.8
771,1.80225,,132,,173.4
772,1.80562,,131,,174
773,1.80877,,130,,174.4
774,1.81182,,129,,174.2
775,1.8148,,127,,174.8
776,1.81793,,126,,175
777,1.82085,,125,,175.2
778,1.82365,,124,,175.2
779,1.82656,,123,,175
780,1.82945,,122,,174.8
781,1.83227,,122,,174.8
782,1.83488,,121,,174.6
783,1.83726,,121,,174
784,1.83946,,121,,174.2
785,1.8416,,121,,174.2
786,1.84339,,121,,174
