secs,km,power,hr,cad,alt
0,0,,87,,108.2
1,0.00162,,87,,108.2
2,0.004204,,86.8,,108.44
3,0.006788,,86.6,,108.68
4,0.009372,,86.4,,108.92
5,0.011956,,86.2,,109.16
6,0.01454,,86,,109.4
7,0.01708,,86,,109.7
8,0.01962,,86,,110
9,0.02216,,86,,110.3
10,0.0247,,86,,110.6
11,0.0264533,,87.3333,,110.533
12,0.0282067,,88.6667,,110.467
13,0.02996,,90,,110.4
14,0.0325,,92,,110.4
15,0.03551,,94,,110.5
16,0.03852,,96,,110.6
17,0.04173,,96,,110.8
18,0.0454125,,96.75,,110.95
19,0.049095,,97.5,,111.1
20,0.0527775,,98.25,,111.25
21,0.05646,,99,,111.4
22,0.05997,,101,,111.5
23,0.06348,,103,,111.6
24,0.066795,,105,,111.8
25,0.07011,,107,,112
26,0.07323,,108.5,,112.1
27,0.07635,,110,,112.2
28,0.079495,,112,,112.4
29,0.08264,,114,,112.6
30,0.08617,,117,,112.8
31,0.08935,,118.5,,112.7
32,0.09253,,120,,112.6
33,0.095605,,121.5,,112.6
34,0.09868,,123,,112.6
35,0.10224,,124.5,,112.6
36,0.1058,,126,,112.6
37,0.109205,,127,,112.9
38,0.11261,,128,,113.2
39,0.11661,,131,,113.4
40,0.120225,,133,,113.5
41,0.12384,,135,,113.6
42,0.126845,,135.75,,113.75
43,0.12985,,136.5,,113.9
44,0.132855,,137.25,,114.05
45,0.13586,,138,,114.2
46,0.138195,,139.5,,114.3
47,0.14053,,141,,114.4
48,0.14425,,142,,114.6
49,0.148214,,142.6,,114.56
50,0.152178,,143.2,,114.52
51,0.156142,,143.8,,114.48
52,0.160106,,144.4,,114.44
53,0.16407,,145,,114.4
54,0.167878,,145.167,,114.4
55,0.171687,,145.333,,114.4
56,0.175495,,145.5,,114.4
57,0.179303,,145.667,,114.4
58,0.183112,,145.833,,114.4
59,0.18692,,146,,114.4
60,0.190788,,146.167,,114.233
61,0.194657,,146.333,,114.067
62,0.198525,,146.5,,113.9
63,0.202393,,146.667,,113.733
64,0.206262,,146.833,,113.567
65,0.21013,,147,,113.4
66,0.214263,,148,,113.333
67,0.218397,,149,,113.267
68,0.22253,,150,,113.2
69,0.226092,,150.167,,113.067
70,0.229653,,150.333,,112.933
71,0.233215,,150.5,,112.8
72,0.236777,,150.667,,112.667
73,0.240338,,150.833,,112.533
74,0.2439,,151,,112.4
75,0.24807,,152,,112.2
76,0.251908,,152.5,,112.133
77,0.255747,,153,,112.067
78,0.259585,,153.5,,112
79,0.263423,,154,,111.933
80,0.267262,,154.5,,111.867
81,0.2711,,155,,111.8
82,0.274985,,155.333,,111.7
83,0.27887,,155.667,,111.6
84,0.282755,,156,,111.5
85,0.28664,,156.333,,111.4
86,0.290525,,156.667,,111.3
87,0.29441,,157,,111.2
88,0.297657,,158,,111.067
89,0.300903,,159,,110.933
90,0.30415,,160,,110.8
91,0.307473,,159.714,,110.686
92,0.310796,,159.429,,110.571
93,0.314119,,159.143,,110.457
94,0.317441,,158.857,,110.343
95,0.320764,,158.571,,110.229
96,0.324087,,158.286,,110.114
97,0.32741,,158,,110
98,0.330585,,159.5,,110.1
99,0.33376,,161,,110.2
100,0.337567,,161.167,,110.167
101,0.341373,,161.333,,110.133
102,0.34518,,161.5,,110.1
103,0.348987,,161.667,,110.067
104,0.352793,,161.833,,110.033
105,0.3566,,162,,110
106,0.360325,,162.333,,110
107,0.36405,,162.667,,110
108,0.367775,,163,,110
109,0.3715,,163.333,,110
110,0.375225,,163.667,,110
111,0.37895,,164,,110
112,0.381945,,163.667,,110
113,0.38494,,163.333,,110
114,0.387935,,163,,110
115,0.39093,,162.667,,110
116,0.393925,,162.333,,110
117,0.39692,,162,,110
118,0.400672,,161.667,,110
119,0.404423,,161.333,,110
120,0.408175,,161,,110
121,0.411927,,160.667,,110
122,0.415678,,160.333,,110
123,0.41943,,160,,110
124,0.423098,,160.333,,109.967
125,0.426767,,160.667,,109.933
126,0.430435,,161,,109.9
127,0.434103,,161.333,,109.867
128,0.437772,,161.667,,109.833
129,0.44144,,162,,109.8
130,0.445122,,162,,109.767
131,0.448803,,162,,109.733
132,0.452485,,162,,109.7
133,0.456167,,162,,109.667
134,0.459848,,162,,109.633
135,0.46353,,162,,109.6
136,0.467278,,161.833,,109.5
137,0.471027,,161.667,,109.4
138,0.474775,,161.5,,109.3
139,0.478523,,161.333,,109.2
140,0.482272,,161.167,,109.1
141,0.48602,,161,,109
142,0.48957,,162,,109.2
143,0.493258,,161.833,,109.033
144,0.496947,,161.667,,108.867
145,0.500635,,161.5,,108.7
146,0.504323,,161.333,,108.533
147,0.508012,,161.167,,108.367
148,0.5117,,161,,108.2
149,0.515442,,161,,108.15
150,0.519185,,161,,108.1
151,0.522927,,161,,108.05
152,0.52667,,161,,108
153,0.53045,,160.667,,107.9
154,0.53423,,160.333,,107.8
155,0.53801,,160,,107.7
156,0.54179,,159.667,,107.6
157,0.54557,,159.333,,107.5
158,0.54935,,159,,107.4
159,0.55335,,159.5,,107.3
160,0.55735,,160,,107.2
161,0.56135,,160.5,,107.1
162,0.56535,,161,,107
163,0.569612,,161,,106.92
