secs,km,power,hr,cad,alt
0,0,,107,,71.2
1,0.00064,,108,,71.2
2,0.00064,,110.25,,71.4
3,0.00064,,112.5,,71.6
4,0.00064,,114.75,,71.8
5,0.00064,,117,,72
6,0.003585,,118.5,,73.7
7,0.00653,,120,,75.4
8,0.01003,,123,,76.2
9,0.01357,,125,,76.8
10,0.017125,,127,,77.1
11,0.02068,,129,,77.4
12,0.024275,,131,,77.6
13,0.02787,,133,,77.8
14,0.03136,,134.5,,77.9
15,0.03485,,136,,78
16,0.03879,,137.5,,79
17,0.04273,,139,,80
18,0.0461167,,140,,80.3333
19,0.0495033,,141,,80.6667
20,0.05289,,142,,81
21,0.056388,,142.6,,81.48
22,0.059886,,143.2,,81.96
23,0.063384,,143.8,,82.44
24,0.066882,,144.4,,82.92
25,0.07038,,145,,83.4
26,0.0737817,,145.333,,83.5667
27,0.0771833,,145.667,,83.7333
28,0.080585,,146,,83.9
29,0.0839867,,146.333,,84.0667
30,0.0873883,,146.667,,84.2333
31,0.09079,,147,,84.4
32,0.0941633,,147.167,,84.5333
33,0.0975367,,147.333,,84.6667
34,0.10091,,147.5,,84.8
35,0.104283,,147.667,,84.9333
36,0.107657,,147.833,,85.0667
37,0.11103,,148,,85.2
38,0.114428,,148.167,,85.2667
39,0.117827,,148.333,,85.3333
40,0.121225,,148.5,,85.4
41,0.124623,,148.667,,85.4667
42,0.128022,,148.833,,85.5333
43,0.13142,,149,,85.6
44,0.13447,,149,,85.7714
45,0.13752,,149,,85.9429
46,0.14057,,149,,86.1143
47,0.14362,,149,,86.2857
48,0.14667,,149,,86.4571
49,0.14972,,149,,86.6286
50,0.15277,,149,,86.8
51,0.15497,,148.5,,86.6
52,0.15717,,148,,86.4
53,0.160406,,148,,86.2571
54,0.163641,,148,,86.1143
55,0.166877,,148,,85.9714
56,0.170113,,148,,85.8286
57,0.173349,,148,,85.6857
58,0.176584,,148,,85.5429
59,0.17982,,148,,85.4
60,0.183328,,148,,85.4667
61,0.186837,,148,,85.5333
62,0.190345,,148,,85.6
63,0.193853,,148,,85.6667
64,0.197362,,148,,85.7333
65,0.20087,,148,,85.8
66,0.204325,,148,,85.9
67,0.20778,,148,,86
68,0.211235,,148,,86.1
69,0.21469,,148,,86.2
70,0.218145,,148,,86.3
71,0.2216,,148,,86.4
72,0.225012,,148,,86.8
73,0.228423,,148,,87.2
74,0.231835,,148,,87.6
75,0.235247,,148,,88
76,0.238658,,148,,88.4
77,0.24207,,148,,88.8
78,0.245552,,148.167,,88.8667
79,0.249033,,148.333,,88.9333
80,0.252515,,148.5,,89
81,0.255997,,148.667,,89.0667
82,0.259478,,148.833,,89.1333
83,0.26296,,149,,89.2
84,0.266765,,149.25,,89
85,0.27057,,149.5,,88.8
86,0.274375,,149.75,,88.6
87,0.27818,,150,,88.4
88,0.281697,,150.167,,88.3
89,0.285213,,150.333,,88.2
90,0.28873,,150.5,,88.1
91,0.292247,,150.667,,88
92,0.295763,,150.833,,87.9
93,0.29928,,151,,87.8
94,0.302688,,151.167,,87.8
95,0.306097,,151.333,,87.8
96,0.309505,,151.5,,87.8
97,0.312913,,151.667,,87.8
98,0.316322,,151.833,,87.8
99,0.31973,,152,,87.8
100,0.323064,,152,,87.8
101,0.326399,,152,,87.8
102,0.329733,,152,,87.8
103,0.333067,,152,,87.8
104,0.336401,,152,,87.8
105,0.339736,,152,,87.8
106,0.34307,,152,,87.8
107,0.346412,,152.167,,87.8333
108,0.349753,,152.333,,87.8667
109,0.353095,,152.5,,87.9
110,0.356437,,152.667,,87.9333
111,0.359778,,152.833,,87.9667
112,0.36312,,153,,88
113,0.366413,,153,,87.9714
114,0.369706,,153,,87.9429
115,0.372999,,153,,87.9143
116,0.376291,,153,,87.8857
117,0.379584,,153,,87.8571
118,0.382877,,153,,87.8286
119,0.38617,,153,,87.8
120,0.389497,,153.286,,87.7714
121,0.392824,,153.571,,87.7429
122,0.396151,,153.857,,87.7143
123,0.399479,,154.143,,87.6857
124,0.402806,,154.429,,87.6571
125,0.406133,,154.714,,87.6286
126,0.40946,,155,,87.6
127,0.412566,,155,,87.8571
128,0.415671,,155,,88.1143
129,0.418777,,155,,88.3714
130,0.421883,,155,,88.6286
131,0.424989,,155,,88.8857
132,0.428094,,155,,89.1429
133,0.4312,,155,,89.4
134,0.434249,,155.143,,89.6
135,0.437297,,155.286,,89.8
136,0.440346,,155.429,,90
137,0.443394,,155.571,,90.2
138,0.446443,,155.714,,90.4
139,0.449491,,155.857,,90.6
140,0.45254,,156,,90.8
141,0.455757,,155.714,,90.9143
142,0.458974,,155.429,,91.0286
143,0.462191,,155.143,,91.1429
144,0.465409,,154.857,,91.2571
145,0.468626,,154.571,,91.3714
146,0.471843,,154.286,,91.4857
147,0.47506,,154,,91.6
148,0.478287,,154.143,,91.7429
149,0.481514,,154.286,,91.8857
150,0.484741,,154.429,,92.0286
151,0.487969,,154.571,,92.1714
152,0.491196,,154.714,,92.3143
153,0.494423,,154.857,,92.4571
154,0.49765,,155,,92.6
155,0.500687,,154.857,,92.6571
156,0.503724,,154.714,,92.7143
157,0.506761,,154.571,,92.7714
158,0.509799,,154.429,,92.8286
159,0.512836,,154.286,,92.8857
160,0.515873,,154.143,,92.9429
161,0.51891,,154,,93
162,0.522083,,154,,93.3429
163,0.525256,,154,,93.6857
164,0.528429,,154,,94.0286
165,0.531601,,154,,94.3714
166,0.534774,,154,,94.7143
167,0.537947,,154,,95.0571
168,0.54112,,154,,95.4
169,0.54426,,154.143,,95.5714
170,0.5474,,154.286,,95.7429
171,0.55054,,154.429,,95.9143
172,0.55368,,154.571,,96.0857
173,0.55682,,154.714,,96.2571
174,0.55996,,154.857,,96.4286
175,0.5631,,155,,96.6
176,0.566037,,155.143,,96.8
177,0.568974,,155.286,,97
178,0.571911,,155.429,,97.2
179,0.574849,,155.571,,97.4
180,0.577786,,155.714,,97.6
181,0.580723,,155.857,,97.8
182,0.58366,,156,,98
183,0.586816,,155.857,,98
184,0.589971,,155.714,,98
185,0.593127,,155.571,,98
186,0.596283,,155.429,,98
187,0.599439,,155.286,,98
188,0.602594,,155.143,,98
189,0.60575,,155,,98
190,0.608794,,155,,97.8857
191,0.611839,,155,,97.7714
192,0.614883,,155,,97.6571
193,0.617927,,155,,97.5429
194,0.620971,,155,,97.4286
195,0.624016,,155,,97.3143
196,0.62706,,155,,97.2
197,0.630296,,155,,97.1429
198,0.633531,,155,,97.0857
199,0.636767,,155,,97.0286
200,0.640003,,155,,96.9714
201,0.643239,,155,,96.9143
202,0.646474,,155,,96.8571
203,0.64971,,155,,96.8
204,0.653048,,154.833,,96.7667
205,0.656387,,154.667,,96.7333
206,0.659725,,154.5,,96.7
207,0.663063,,154.333,,96.6667
208,0.666402,,154.167,,96.6333
209,0.66974,,154,,96.6
210,0.673076,,154,,96.6
211,0.676411,,154,,96.6
212,0.679747,,154,,96.6
213,0.683083,,154,,96.6
214,0.686419,,154,,96.6
215,0.689754,,154,,96.6
216,0.69309,,154,,96.6
217,0.696443,,154,,96.6333
218,0.699797,,154,,96.6667
219,0.70315,,154,,96.7
220,0.706503,,154,,96.7333
221,0.709857,,154,,96.7667
222,0.71321,,154,,96.8
223,0.716373,,154,,96.8286
224,0.719536,,154,,96.8571
225,0.722699,,154,,96.8857
226,0.725861,,154,,96.9143
227,0.729024,,154,,96.9429
228,0.732187,,154,,96.9714
229,0.73535,,154,,97
230,0.738469,,154,,97.1429
231,0.741587,,154,,97.2857
232,0.744706,,154,,97.4286
233,0.747824,,154,,97.5714
234,0.750943,,154,,97.7143
235,0.754061,,154,,97.8571
236,0.75718,,154,,98
237,0.76047,,154,,98.0857
238,0.76376,,154,,98.1714
239,0.76705,,154,,98.2571
240,0.77034,,154,,98.3429
241,0.77363,,154,,98.4286
242,0.77692,,154,,98.5143
243,0.78021,,154,,98.6
244,0.7833,,154,,98.6
245,0.78639,,154,,98.6
246,0.78968,,154.25,,98.75
247,0.79297,,154.5,,98.9
248,0.79626,,154.75,,99.05
249,0.79955,,155,,99.2
250,0.802783,,155.286,,99.4
251,0.806016,,155.571,,99.6
252,0.809249,,155.857,,99.8
253,0.812481,,156.143,,100
254,0.815714,,156.429,,100.2
255,0.818947,,156.714,,100.4
256,0.82218,,157,,100.6
257,0.825159,,157,,101.029
258,0.828137,,157,,101.457
259,0.831116,,157,,101.886
260,0.834094,,157,,102.314
261,0.837073,,157,,102.743
262,0.840051,,157,,103.171
263,0.84303,,157,,103.6
264,0.846069,,156.857,,103.971
265,0.849107,,156.714,,104.343
266,0.852146,,156.571,,104.714
267,0.855184,,156.429,,105.086
268,0.858223,,156.286,,105.457
269,0.861261,,156.143,,105.829
270,0.8643,,156,,106.2
271,0.867193,,156.286,,106.8
272,0.870086,,156.571,,107.4
273,0.872979,,156.857,,108
274,0.875871,,157.143,,108.6
275,0.878764,,157.429,,109.2
276,0.881657,,157.714,,109.8
277,0.88455,,158,,110.4
278,0.887549,,158.286,,110.857
279,0.890547,,158.571,,111.314
280,0.893546,,158.857,,111.771
281,0.896544,,159.143,,112.229
282,0.899543,,159.429,,112.686
283,0.902541,,159.714,,113.143
284,0.90554,,160,,113.6
285,0.908388,,160,,113.8
286,0.911235,,160,,114
287,0.914083,,160,,114.2
288,0.91693,,160,,114.4
289,0.919778,,160,,114.6
290,0.922625,,160,,114.8
291,0.925473,,160,,115
292,0.92832,,160,,115.2
293,0.931414,,160.143,,115.143
294,0.934509,,160.286,,115.086
295,0.937603,,160.429,,115.029
296,0.940697,,160.571,,114.971
297,0.943791,,160.714,,114.914
298,0.946886,,160.857,,114.857
299,0.94998,,161,,114.8
300,0.953136,,160.857,,114.743
301,0.956291,,160.714,,114.686
302,0.959447,,160.571,,114.629
303,0.962603,,160.429,,114.571
304,0.965759,,160.286,,114.514
305,0.968914,,160.143,,114.457
306,0.97207,,160,,114.4
307,0.975054,,160,,114.571
308,0.978039,,160,,114.743
309,0.981023,,160,,114.914
310,0.984007,,160,,115.086
311,0.986991,,160,,115.257
312,0.989976,,160,,115.429
313,0.99296,,160,,115.6
314,0.99585,,160,,115.867
315,0.99874,,160,,116.133
316,1.00163,,160,,116.4
317,1.00486,,159.857,,116.457
318,1.00809,,159.714,,116.514
319,1.01132,,159.571,,116.571
320,1.01454,,159.429,,116.629
321,1.01777,,159.286,,116.686
322,1.021,,159.143,,116.743
323,1.02423,,159,,116.8
324,1.02757,,159.143,,116.829
325,1.0309,,159.286,,116.857
326,1.03424,,159.429,,116.886
327,1.03757,,159.571,,116.914
328,1.04091,,159.714,,116.943
329,1.04424,,159.857,,116.971
330,1.04758,,160,,117
331,1.05087,,160,,116.714
332,1.05417,,160,,116.429
333,1.05746,,160,,116.143
334,1.06075,,160,,115.857
335,1.06404,,160,,115.571
336,1.06734,,160,,115.286
337,1.07063,,160,,115
338,1.07385,,160.286,,115.029
339,1.07708,,160.571,,115.057
340,1.0803,,160.857,,115.086
341,1.08353,,161.143,,115.114
342,1.08675,,161.429,,115.143
343,1.08998,,161.714,,115.171
344,1.0932,,162,,115.2
345,1.09669,,162,,114.8
346,1.10019,,162,,114.4
347,1.10368,,162,,114
348,1.10717,,162,,113.6
349,1.11067,,162,,113.2
350,1.11416,,162,,112.8
351,1.11741,,162,,112.629
352,1.12066,,162,,112.457
353,1.12391,,162,,112.286
354,1.12715,,162,,112.114
355,1.1304,,162,,111.943
356,1.13365,,162,,111.771
357,1.1369,,162,,111.6
358,1.14008,,162,,111.571
359,1.14327,,162,,111.543
360,1.14645,,162,,111.514
361,1.14963,,162,,111.486
