secs,km,power,hr,cad,alt
0,0,,77,,604
1,0,,78,,604
2,0,,81,,603
3,0.012,,87,,603
4,0.012,,89,,602
5,0.012,,92,,602
6,0.023,,96,,602
7,0.023,,97,,602
8,0.023,,99,,602
9,0.036,,101,,602
10,0.036,,104,,602
11,0.036,,105,,602
12,0.046,,106,,602
13,0.046,,107,,602
14,0.046,,108,,602
15,0.056,,110,,602
16,0.056,,110,,601
17,0.056,,110,,601
18,0.056,,110,,601
19,0.067,,111,,601
20,0.067,,113,,601
21,0.067,,113,,601
22,0.078,,113,,601
23,0.078,,114,,602
24,0.078,,115,,602
25,0.089,,117,,602
26,0.089,,118,,603
27,0.089,,119,,603
28,0.1,,120,,603
29,0.1,,121,,603
30,0.1,,123,,603
31,0.1,,124,,602
32,0.1,,124,,602
33,0.113,,126,,602
34,0.113,,126,,601
35,0.113,,126,,601
36,0.126,,127,,601
37,0.126,,127,,600
38,0.126,,127,,600
39,0.126,,128,,600
40,0.139,,128,,600
41,0.139,,129,,600
42,0.139,,129,,600
43,0.149,,129,,601
44,0.149,,130,,601
45,0.149,,130,,601
46,0.149,,130,,601
47,0.16,,130,,602
48,0.16,,130,,601
49,0.16,,130,,601
50,0.16,,130,,601
51,0.16,,130,,602
52,0.171,,130,,602
53,0.171,,130,,601
54,0.171,,130,,601
55,0.171,,131,,601
56,0.184,,131,,601
57,0.184,,131,,600
58,0.184,,131,,600
59,0.195,,131,,600
60,0.195,,131,,600
61,0.195,,131,,600
62,0.206,,131,,600
63,0.206,,132,,600
64,0.206,,132,,600
65,0.217,,132,,601
66,0.217,,133,,601
67,0.217,,133,,601
68,0.217,,133,,601
69,0.23,,134,,601
70,0.23,,134,,601
71,0.23,,134,,601
72,0.23,,134,,601
73,0.242,,135,,601
74,0.242,,135,,601
75,0.242,,135,,601
76,0.242,,136,,601
77,0.254,,136,,601
78,0.254,,136,,601
79,0.254,,136,,601
80,0.254,,137,,601
81,0.266,,137,,600
82,0.266,,137,,600
83,0.266,,137,,600
84,0.276,,138,,600
85,0.276,,138,,600
86,0.276,,138,,600
87,0.286,,138,,600
88,0.286,,138,,600
89,0.286,,138,,600
90,0.286,,138,,600
91,0.3,,139,,600
92,0.3,,139,,600
93,0.3,,139,,600
94,0.31,,139,,600
95,0.31,,139,,600
96,0.31,,139,,600
97,0.31,,139,,600
98,0.323,,140,,600
99,0.323,,140,,600
100,0.323,,139,,599
101,0.323,,139,,599
102,0.335,,140,,599
103,0.335,,140,,599
104,0.335,,140,,599
105,0.335,,140,,599
106,0.348,,140,,599
107,0.348,,140,,599
108,0.348,,140,,599
109,0.348,,140,,599
110,0.36,,140,,599
111,0.36,,140,,599
112,0.36,,140,,599
113,0.36,,140,,599
114,0.374,,140,,599
115,0.374,,140,,599
116,0.374,,140,,599
117,0.374,,140,,599
118,0.386,,140,,599
119,0.386,,139,,599
120,0.386,,139,,599
121,0.386,,139,,599
122,0.399,,139,,599
123,0.399,,139,,599
124,0.399,,139,,599
125,0.399,,139,,599
126,0.412,,139,,599
127,0.412,,139,,599
128,0.412,,139,,599
129,0.412,,139,,599
130,0.425,,139,,599
131,0.425,,139,,599
132,0.425,,139,,599
133,0.425,,139,,599
134,0.425,,139,,599
135,0.438,,139,,599
136,0.438,,139,,599
137,0.438,,139,,600
138,0.451,,140,,600
139,0.451,,140,,600
140,0.451,,140,,600
141,0.451,,140,,600
142,0.464,,140,,600
143,0.464,,140,,600
144,0.464,,140,,600
145,0.464,,141,,600
146,0.477,,140,,600
147,0.477,,140,,600
148,0.477,,140,,600
149,0.477,,140,,600
150,0.49,,140,,600
151,0.49,,140,,600
152,0.49,,140,,600
153,0.49,,140,,600
154,0.502,,140,,600
155,0.502,,140,,600
156,0.502,,140,,600
157,0.502,,141,,600
158,0.515,,141,,600
159,0.515,,141,,600
160,0.515,,141,,600
161,0.515,,141,,600
162,0.528,,141,,600
163,0.528,,141,,600
164,0.528,,141,,600
165,0.528,,141,,600
166,0.541,,141,,601
167,0.541,,141,,601
168,0.541,,141,,601
169,0.541,,141,,601
170,0.541,,141,,601
171,0.554,,141,,601
172,0.554,,141,,601
173,0.554,,141,,601
174,0.554,,142,,601
175,0.567,,142,,601
176,0.567,,142,,601
177,0.567,,142,,601
178,0.567,,142,,601
179,0.579,,141,,601
180,0.579,,141,,601
181,0.579,,142,,601
182,0.579,,141,,601
183,0.591,,141,,601
184,0.591,,141,,601
185,0.591,,141,,601
186,0.591,,141,,601
187,0.603,,141,,601
188,0.603,,141,,601
189,0.603,,141,,601
190,0.603,,141,,601
191,0.616,,141,,601
192,0.616,,141,,601
193,0.616,,141,,601
194,0.616,,141,,601
195,0.629,,141,,601
196,0.629,,141,,601
197,0.629,,140,,602
198,0.64,,140,,602
199,0.64,,140,,602
200,0.64,,141,,602
201,0.64,,141,,602
202,0.652,,141,,602
203,0.652,,141,,602
204,0.652,,141,,602
205,0.662,,142,,602
206,0.662,,142,,602
207,0.662,,142,,602
208,0.662,,142,,602
209,0.675,,142,,602
210,0.675,,142,,602
211,0.675,,142,,602
212,0.675,,142,,602
213,0.687,,142,,602
214,0.687,,142,,602
215,0.687,,142,,602
216,0.687,,142,,603
217,0.7,,142,,603
218,0.7,,142,,603
219,0.7,,142,,603
220,0.7,,142,,603
221,0.712,,141,,603
222,0.712,,141,,603
223,0.712,,142,,603
224,0.712,,142,,603
225,0.718,,142,,603
226,0.725,,142,,603
227,0.725,,142,,603
228,0.725,,142,,604
229,0.738,,142,,604
230,0.738,,143,,604
231,0.738,,144,,604
232,0.738,,144,,604
233,0.751,,144,,604
234,0.751,,144,,605
235,0.751,,145,,605
236,0.751,,145,,605
237,0.763,,145,,605
238,0.763,,145,,605
239,0.763,,145,,605
240,0.763,,145,,605
241,0.775,,145,,605
242,0.775,,145,,606
243,0.775,,145,,606
244,0.78,,145,,606
245,0.785,,145,,606
246,0.791,,145,,606
247,0.794,,145,,606
248,0.798,,146,,606
249,0.801,,145,,606
250,0.803,,145,,607
251,0.803,,146,,607
252,0.803,,146,,607
253,0.803,,146,,607
254,0.815,,146,,607
255,0.815,,146,,607
256,0.826,,147,,607
257,0.826,,147,,607
258,0.826,,147,,607
259,0.826,,147,,607
260,0.826,,147,,608
261,0.837,,147,,608
262,0.837,,147,,608
263,0.837,,146,,608
264,0.837,,146,,607
265,0.848,,146,,607
266,0.848,,146,,607
267,0.848,,145,,607
268,0.858,,145,,607
269,0.862,,144,,607
270,0.862,,144,,607
271,0.862,,144,,607
272,0.871,,144,,607
273,0.873,,144,,607
274,0.876,,144,,607
275,0.88,,144,,607
276,0.883,,144,,607
277,0.886,,143,,607
278,0.89,,143,,607
279,0.893,,143,,607
280,0.893,,142,,607
281,0.9,,142,,607
