secs,km,power,hr,cad,alt
0,0,,83,,249.4
1,0.0041,,86,,249.5
2,0.0081,,90,,249.6
3,0.0119,,93,,249.7
4,0.0154,,96,,249.7
5,0.017575,,96.75,,249.8
6,0.01975,,97.5,,249.9
7,0.021925,,98.25,,250
8,0.0241,,99,,250.1
9,0.0254,,104,,250
10,0.0276,,105,,249.9
11,0.03115,,107,,249.75
12,0.0347,,109,,249.6
13,0.03876,,109.4,,249.44
14,0.04282,,109.8,,249.28
15,0.04688,,110.2,,249.12
16,0.05094,,110.6,,248.96
17,0.055,,111,,248.8
18,0.058125,,111.75,,248.7
19,0.06125,,112.5,,248.6
20,0.064375,,113.25,,248.5
21,0.0675,,114,,248.4
22,0.0706,,114.5,,248.3
23,0.0737,,115,,248.2
24,0.0768,,115.5,,248.1
25,0.0799,,116,,248
26,0.083,,116.5,,247.9
27,0.0861,,117,,247.8
28,0.0898833,,117.333,,247.467
29,0.0936667,,117.667,,247.133
30,0.09745,,118,,246.8
31,0.101233,,118.333,,246.467
32,0.105017,,118.667,,246.133
33,0.1088,,119,,245.8
34,0.1124,,119.75,,245.575
35,0.116,,120.5,,245.35
36,0.1196,,121.25,,245.125
37,0.1232,,122,,244.9
38,0.12685,,122.5,,244.7
39,0.1305,,123,,244.5
40,0.134367,,123,,244.3
41,0.138233,,123,,244.1
42,0.1421,,123,,243.9
43,0.145967,,123,,243.7
44,0.149833,,123,,243.5
45,0.1537,,123,,243.3
46,0.15758,,123.6,,243.12
47,0.16146,,124.2,,242.94
48,0.16534,,124.8,,242.76
49,0.16922,,125.4,,242.58
50,0.1731,,126,,242.4
51,0.176683,,126,,242.1
52,0.180267,,126,,241.8
53,0.18385,,126,,241.5
54,0.187433,,126,,241.2
55,0.191017,,126,,240.9
56,0.1946,,126,,240.6
57,0.19854,,126.4,,240.56
58,0.20248,,126.8,,240.52
59,0.20642,,127.2,,240.48
60,0.21036,,127.6,,240.44
61,0.2143,,128,,240.4
62,0.21865,,128,,240.35
63,0.223,,128,,240.3
64,0.22738,,128,,239.82
65,0.23176,,128,,239.34
66,0.23614,,128,,238.86
