secs,km,power,hr,cad,alt
0,0,,0,,0
1,0,,0,,145.9
2,0,,0,,291.8
3,0,,106,,299.6
4,0.00673,,105,,306.2
5,0.00673,,105,,306.2
6,0.01034,,102,,308
7,0.01234,,102,,306.2
8,0.01424,,102,,304.4
9,0.01673,,102,,304.6
10,0.01945,,102,,304
11,0.02176,,103,,303.2
12,0.02461,,108,,302.4
13,0.02759,,111,,301.6
14,0.029,,113,,299
15,0.03246,,116,,299
16,0.03536,,117,,299
17,0.03822,,121,,299
18,0.04335,,125,,298.8
19,0.04335,,130,,298.8
20,0.04584,,135,,298.8
21,0.04832,,135,,298.4
22,0.05097,,142,,298.4
23,0.05368,,146,,298.4
24,0.05656,,150,,297.8
25,0.05945,,154,,297.8
26,0.06204,,157,,297.4
27,0.06462,,157,,297
28,0.06735,,157,,297
29,0.07,,156,,297
30,0.07275,,156,,296.8
31,0.07536,,159,,296.8
32,0.07771,,160,,296.6
33,0.08013,,160,,296.4
34,0.08242,,162,,296.2
35,0.08509,,162,,295.8
36,0.08808,,164,,295.4
37,0.09421,,164,,295.2
38,0.09421,,163,,295.2
39,0.09723,,161,,295.2
40,0.10032,,159,,295.4
41,0.10346,,159,,295.8
42,0.1066,,159,,296
43,0.10965,,156,,296
44,0.11271,,159,,296
45,0.11564,,165,,296
46,0.1186,,167,,296
47,0.12163,,170,,296.2
48,0.12459,,172,,296.2
49,0.12761,,172,,296.2
50,0.13051,,168,,296.4
51,0.13333,,167,,296
52,0.13637,,162,,295.8
53,0.1393,,158,,295.6
54,0.14212,,161,,295.4
55,0.14498,,163,,295.2
56,0.14781,,163,,295
57,0.15055,,164,,294.8
58,0.15322,,160,,294.4
59,0.15601,,160,,294
60,0.15892,,165,,293.6
61,0.16189,,167,,293.2
62,0.1647,,168,,293.2
63,0.16753,,167,,292.8
64,0.17029,,166,,292.8
65,0.17312,,168,,292.6
66,0.17606,,168,,292.4
67,0.17868,,168,,292.4
68,0.18141,,169,,291.8
69,0.18413,,171,,291.6
70,0.18693,,170,,291.4
71,0.18974,,169,,291.2
72,0.19255,,167,,291.2
