secs,km,power,hr,cad,alt
0,0,,80,,0
1,0,,81.5,,0
2,0,,83,,0
3,0.001352,,83.8,,0
4,0.002704,,84.6,,0
5,0.004056,,85.4,,0
6,0.005408,,86.2,,0
7,0.00676,,87,,0
8,0.01018,,90,,0
9,0.0135833,,91.3333,,0
10,0.0169867,,92.6667,,0
11,0.02039,,94,,0
12,0.0237233,,95.3333,,0
13,0.0270567,,96.6667,,0
14,0.03039,,98,,0
15,0.03367,,102,,0
16,0.03695,,105,,0
17,0.04022,,105,,0
18,0.0434767,,106.667,,0
19,0.0467333,,108.333,,0
20,0.04999,,110,,0
21,0.0532433,,111,,0
22,0.0564967,,112,,0
23,0.05975,,113,,0
24,0.0629875,,113.75,,0
25,0.066225,,114.5,,0
26,0.0694625,,115.25,,0
27,0.0727,,116,,0
28,0.07592,,113,,0
29,0.079125,,113.5,,0
30,0.08233,,114,,0
31,0.085535,,114.5,,0
32,0.08874,,115,,0
33,0.091945,,115.5,,0
34,0.09515,,116,,0
35,0.0960227,,116.273,,626.618
36,0.0968955,,116.545,,1253.24
37,0.0977682,,116.818,,1879.85
38,0.0986409,,117.091,,2506.47
39,0.0995136,,117.364,,3133.09
40,0.100386,,117.636,,3759.71
41,0.101259,,117.909,,4386.33
42,0.102132,,118.182,,5012.95
43,0.103005,,118.455,,5639.56
44,0.103877,,118.727,,6266.18
45,0.10475,,119,,6892.8
46,0.108466,,119.6,,6892.8
47,0.112182,,120.2,,6892.8
48,0.115898,,120.8,,6892.8
49,0.119614,,121.4,,6892.8
50,0.12333,,122,,6892.8
51,0.12743,,122,,6892.8
52,0.13075,,124,,6892.8
53,0.13407,,126,,6892.8
54,0.137735,,126.5,,6892.8
55,0.1414,,127,,6892.8
56,0.145065,,127.5,,6892.8
57,0.14873,,128,,6892.8
58,0.152143,,127,,6892.8
59,0.155557,,126,,6892.8
60,0.15897,,125,,6892.8
61,0.16221,,125,,6892.8
62,0.16545,,125,,6892.8
63,0.168474,,125.6,,6892.8
64,0.171498,,126.2,,6892.8
65,0.174522,,126.8,,6892.8
66,0.177546,,127.4,,6892.8
67,0.18057,,128,,6892.8
68,0.1834,,128.5,,6892.8
69,0.18623,,129,,6892.8
70,0.188886,,129,,6892.8
71,0.191542,,129,,6892.8
72,0.194198,,129,,6892.8
73,0.196854,,129,,6892.8
74,0.19951,,129,,6892.8
75,0.201905,,128.75,,6892.8
76,0.2043,,128.5,,6892.8
77,0.206695,,128.25,,6892.8
78,0.20909,,128,,6892.8
79,0.212258,,127.667,,6892.8
80,0.215427,,127.333,,6892.8
81,0.218595,,127,,6892.8
82,0.221763,,126.667,,6892.8
83,0.224932,,126.333,,6892.8
84,0.2281,,126,,6892.8
85,0.231543,,126.167,,6892.8
86,0.234987,,126.333,,6892.8
87,0.23843,,126.5,,6892.8
88,0.241873,,126.667,,6892.8
89,0.245317,,126.833,,6892.8
90,0.24876,,127,,6892.8
91,0.25233,,128,,6892.8
92,0.25579,,129,,6892.8
93,0.25925,,130,,6892.8
94,0.26271,,131,,6892.8
95,0.266125,,133,,6892.8
96,0.26954,,135,,6892.8
97,0.27296,,137,,6892.8
98,0.27601,,138.5,,6892.8
99,0.27906,,140,,6892.8
100,0.28205,,141,,6892.8
101,0.2851,,142,,6892.8
102,0.288498,,142.2,,6892.8
103,0.291896,,142.4,,6892.8
104,0.295294,,142.6,,6892.8
105,0.298692,,142.8,,6892.8
106,0.30209,,143,,6892.8
107,0.30573,,142.8,,6892.8
108,0.30937,,142.6,,6892.8
109,0.31301,,142.4,,6892.8
110,0.31665,,142.2,,6892.8
111,0.32029,,142,,6892.8
112,0.32384,,142.4,,6892.8
113,0.32739,,142.8,,6892.8
114,0.33094,,143.2,,6892.8
115,0.33449,,143.6,,6892.8
116,0.33804,,144,,6892.8
117,0.341426,,144,,6892.8
118,0.344812,,144,,6892.8
119,0.348198,,144,,6892.8
120,0.351584,,144,,6892.8
121,0.35497,,144,,6892.8
122,0.358157,,142.667,,6892.8
123,0.361343,,141.333,,6892.8
124,0.36453,,140,,6892.8
125,0.36755,,139,,6892.8
126,0.37057,,138,,6892.8
127,0.37392,,138,,6892.8
128,0.37735,,138,,6892.8
129,0.38078,,138,,6892.8
130,0.38421,,138,,6892.8
131,0.38754,,137.8,,6892.8
132,0.39087,,137.6,,6892.8
133,0.3942,,137.4,,6892.8
134,0.39753,,137.2,,6892.8
135,0.40086,,137,,6892.8
136,0.40398,,137,,6892.8
137,0.4071,,137,,6892.8
138,0.41022,,137,,6892.8
139,0.41334,,137,,6892.8
140,0.41646,,137,,6892.8
141,0.419162,,136.25,,6892.8
142,0.421865,,135.5,,6892.8
143,0.424567,,134.75,,6892.8
144,0.42727,,134,,6892.8
145,0.42941,,133.5,,6892.8
146,0.43155,,133,,6892.8
147,0.434089,,133.571,,6892.8
148,0.436627,,134.143,,6892.8
149,0.439166,,134.714,,6892.8
150,0.441704,,135.286,,6892.8
151,0.444243,,135.857,,6892.8
152,0.446781,,136.429,,6892.8
153,0.44932,,137,,6892.8
154,0.4525,,136.5,,6892.8
155,0.45568,,136,,6892.8
156,0.459165,,136.167,,6892.8
157,0.46265,,136.333,,6892.8
158,0.466135,,136.5,,6892.8
159,0.46962,,136.667,,6892.8
160,0.473105,,136.833,,6892.8
161,0.47659,,137,,6892.8
162,0.480732,,136.8,,6892.8
163,0.484874,,136.6,,6892.8
164,0.489016,,136.4,,6892.8
165,0.493158,,136.2,,6892.8
166,0.4973,,136,,6892.8
167,0.500392,,135.667,,6892.8
168,0.503483,,135.333,,6892.8
169,0.506575,,135,,6892.8
170,0.509667,,134.667,,6892.8
171,0.512758,,134.333,,6892.8
172,0.51585,,134,,6892.8
173,0.519307,,134,,6892.8
174,0.522763,,134,,6892.8
175,0.52622,,134,,6892.8
176,0.529677,,134,,6892.8
177,0.533133,,134,,6892.8
178,0.53659,,134,,6892.8
179,0.53984,,134,,6892.8
180,0.54309,,134,,6892.8
181,0.546202,,134.167,,6892.8
182,0.549313,,134.333,,6892.8
183,0.552425,,134.5,,6892.8
184,0.555537,,134.667,,6892.8
185,0.558648,,134.833,,6892.8
186,0.56176,,135,,6892.8
187,0.56478,,138,,6892.8
188,0.56793,,138.75,,6892.8
189,0.57108,,139.5,,6892.8
190,0.57423,,140.25,,6892.8
191,0.57738,,141,,6892.8
192,0.580615,,140.5,,6892.8
193,0.58385,,140,,6892.8
194,0.58701,,141,,6892.8
195,0.59017,,142,,6892.8
196,0.59333,,143,,6892.8
197,0.59649,,144,,6892.8
198,0.59965,,143,,6892.8
199,0.60281,,142,,6892.8
200,0.605992,,142.6,,6892.8
201,0.609174,,143.2,,6892.8
202,0.612356,,143.8,,6892.8
203,0.615538,,144.4,,6892.8
204,0.61872,,145,,6892.8
205,0.622105,,144,,6892.8
206,0.62549,,143,,6892.8
207,0.628483,,142.429,,6892.8
208,0.631476,,141.857,,6892.8
209,0.634469,,141.286,,6892.8
210,0.637461,,140.714,,6892.8
211,0.640454,,140.143,,6892.8
212,0.643447,,139.571,,6892.8
213,0.64644,,139,,6892.8
214,0.64934,,140,,6892.8
215,0.652446,,140.6,,6892.8
216,0.655552,,141.2,,6892.8
217,0.658658,,141.8,,6892.8
218,0.661764,,142.4,,6892.8
219,0.66487,,143,,6892.8
220,0.667775,,143.5,,6892.8
221,0.67068,,144,,6892.8
222,0.67409,,143.5,,6892.8
223,0.6775,,143,,6892.8
224,0.68091,,142.5,,6892.8
225,0.68432,,142,,6892.8
226,0.68773,,141.5,,6892.8
