secs,km,power,hr,cad,alt
0,0,,128,,-21.4
1,0.00233,,128,,-22
2,0.00591,,127,,-22.6
3,0.00953,,125.5,,-22.7
4,0.01315,,124,,-22.8
5,0.01665,,129,,-22.6
6,0.02002,,130,,-22.7333
7,0.02339,,131,,-22.8667
8,0.02676,,132,,-23
9,0.030285,,134,,-23
10,0.03381,,136,,-23
11,0.0375175,,137.25,,-23.1
12,0.041225,,138.5,,-23.2
13,0.0449325,,139.75,,-23.3
14,0.04864,,141,,-23.4
15,0.05216,,145,,-23.4
16,0.05568,,146.5,,-23.1
17,0.0592,,148,,-22.8
18,0.0621743,,147.571,,-22.8286
19,0.0651486,,147.143,,-22.8571
20,0.0681229,,146.714,,-22.8857
21,0.0710971,,146.286,,-22.9143
22,0.0740714,,145.857,,-22.9429
23,0.0770457,,145.429,,-22.9714
24,0.08002,,145,,-23
25,0.083286,,146,,-23
26,0.086552,,147,,-23
27,0.089818,,148,,-23
28,0.093084,,149,,-23
29,0.09635,,150,,-23
30,0.09992,,155,,-23
31,0.1028,,155,,-23
32,0.105395,,153.5,,-23
33,0.10799,,152,,-23
34,0.11057,,149,,-23
35,0.11346,,149.25,,-22.95
36,0.11635,,149.5,,-22.9
37,0.11924,,149.75,,-22.85
38,0.12213,,150,,-22.8
39,0.122375,,151,,-22.84
40,0.122619,,152,,-22.88
41,0.122864,,153,,-22.92
42,0.123109,,154,,-22.96
43,0.123353,,155,,-23
44,0.123598,,156,,-23.04
45,0.123843,,157,,-23.08
46,0.124087,,158,,-23.12
47,0.124332,,159,,-23.16
48,0.124577,,160,,-23.2
49,0.124821,,161,,-23.24
50,0.125066,,162,,-23.28
51,0.125311,,163,,-23.32
52,0.125555,,164,,-23.36
53,0.1258,,165,,-23.4
54,0.12926,,165,,-23.4
55,0.132531,,165,,-23.3429
56,0.135803,,165,,-23.2857
57,0.139074,,165,,-23.2286
58,0.142346,,165,,-23.1714
59,0.145617,,165,,-23.1143
60,0.148889,,165,,-23.0571
61,0.15216,,165,,-23
62,0.154864,,164.75,,-22.95
63,0.157567,,164.5,,-22.9
64,0.160271,,164.25,,-22.85
65,0.162975,,164,,-22.8
66,0.165679,,163.75,,-22.75
67,0.168382,,163.5,,-22.7
68,0.171086,,163.25,,-22.65
69,0.17379,,163,,-22.6
70,0.176587,,162,,-22.5333
71,0.179383,,161,,-22.4667
72,0.18218,,160,,-22.4
73,0.18703,,159,,-22.4
74,0.19188,,158,,-22.4
75,0.19673,,157,,-22.4
76,0.20114,,156,,-22.4
77,0.20555,,155,,-22.4
78,0.20996,,154,,-22.4
79,0.21472,,151,,-22.4
80,0.219085,,149.5,,-22.4
81,0.22345,,148,,-22.4
82,0.226873,,148,,-22.4333
83,0.230297,,148,,-22.4667
84,0.23372,,148,,-22.5
85,0.237143,,148,,-22.5333
86,0.240567,,148,,-22.5667
87,0.24399,,148,,-22.6
88,0.24709,,146,,-22.5
89,0.25019,,144,,-22.4
90,0.253255,,142,,-22.3
91,0.25632,,140,,-22.2
92,0.259665,,139.833,,-22.1333
93,0.26301,,139.667,,-22.0667
94,0.266355,,139.5,,-22
95,0.2697,,139.333,,-21.9333
96,0.273045,,139.167,,-21.8667
97,0.27639,,139,,-21.8
98,0.279515,,139.75,,-21.75
99,0.28264,,140.5,,-21.7
100,0.285765,,141.25,,-21.65
101,0.28889,,142,,-21.6
102,0.29205,,143,,-21.6
103,0.29478,,143.4,,-21.56
104,0.29751,,143.8,,-21.52
105,0.30024,,144.2,,-21.48
106,0.30297,,144.6,,-21.44
107,0.3057,,145,,-21.4
108,0.309395,,145,,-21.4
109,0.31309,,145,,-21.4
110,0.32324,,145,,-21.4
111,0.33339,,145,,-21.4
112,0.339725,,145,,-21.45
113,0.34606,,145,,-21.5
114,0.352395,,145,,-21.55
115,0.35873,,145,,-21.6
116,0.364088,,145,,-21.55
117,0.369445,,145,,-21.5
118,0.374802,,145,,-21.45
119,0.38016,,145,,-21.4
120,0.384252,,145,,-21.4
121,0.388344,,145,,-21.4
122,0.392436,,145,,-21.4
123,0.396528,,145,,-21.4
124,0.40062,,145,,-21.4
125,0.404012,,144.833,,-21.2667
126,0.407403,,144.667,,-21.1333
127,0.410795,,144.5,,-21
128,0.414187,,144.333,,-20.8667
129,0.417578,,144.167,,-20.7333
130,0.42097,,144,,-20.6
131,0.424285,,144,,-20.5
132,0.4276,,144,,-20.4
133,0.430067,,144.5,,-20.3
134,0.432533,,145,,-20.2
135,0.435,,145.5,,-20.1
136,0.437467,,146,,-20
137,0.439933,,146.5,,-19.9
138,0.4424,,147,,-19.8
139,0.444003,,147.167,,-19.7333
140,0.445607,,147.333,,-19.6667
141,0.44721,,147.5,,-19.6
142,0.448813,,147.667,,-19.5333
143,0.450417,,147.833,,-19.4667
144,0.45202,,148,,-19.4
145,0.454704,,147.4,,-19.24
146,0.457388,,146.8,,-19.08
147,0.460072,,146.2,,-18.92
148,0.462756,,145.6,,-18.76
149,0.46544,,145,,-18.6
150,0.468465,,145,,-18.4
151,0.47149,,145,,-18.2
152,0.474627,,144,,-18.0667
153,0.477763,,143,,-17.9333
154,0.4809,,142,,-17.8
155,0.483363,,140.667,,-17.7333
156,0.485827,,139.333,,-17.6667
157,0.48829,,138,,-17.6
158,0.49029,,141,,-17.4
185,0.49097,,134,,-16.8
186,0.49502,,134,,-16.8
187,0.49502,,134,,-16.8
188,0.49502,,134,,-16.8
189,0.49502,,134,,-16.8
190,0.49502,,134,,-16.8
191,0.49502,,134,,-16.8
192,0.49502,,134,,-16.8
193,0.49502,,134,,-16.8
194,0.49502,,134,,-16.8
195,0.49502,,134,,-16.8
196,0.49502,,134,,-16.8
197,0.49502,,134,,-16.8
198,0.49502,,134,,-16.8
199,0.497709,,134.625,,-16.825
200,0.500398,,135.25,,-16.85
201,0.503086,,135.875,,-16.875
202,0.505775,,136.5,,-16.9
203,0.508464,,137.125,,-16.925
204,0.511153,,137.75,,-16.95
205,0.513841,,138.375,,-16.975
206,0.51653,,139,,-17
207,0.519593,,140.333,,-17.0667
208,0.522657,,141.667,,-17.1333
209,0.52572,,143,,-17.2
210,0.52903,,144.5,,-17.3
211,0.53234,,146,,-17.4
212,0.535604,,145.857,,-17.4286
213,0.538869,,145.714,,-17.4571
214,0.542133,,145.571,,-17.4857
215,0.545397,,145.429,,-17.5143
216,0.548661,,145.286,,-17.5429
217,0.551926,,145.143,,-17.5714
218,0.55519,,145,,-17.6
219,0.558665,,143.5,,-17.5
220,0.56214,,142,,-17.4
221,0.565545,,140,,-17.4
222,0.56895,,138,,-17.4
