secs,km,power,hr,cad,alt
0,0,,73,,68
1,0,,73,,67.1
2,0,,73,,67.1
3,0,,73,,67.1
4,0.0013,,73,,67.1
5,0.0017,,77,,67.1
6,0.0025,,81,,67.1
7,0.0052,,82,,67.1
8,0.0083,,86,,67.1
9,0.0104,,89,,67.1
10,0.0124,,90,,67.1
11,0.015,,92,,67.1
12,0.0187,,94,,67.1
13,0.0223,,95,,67.1
14,0.026,,97,,67.1
15,0.0297,,99,,67.1
16,0.0333,,101,,67.1
17,0.037,,101,,67.1
18,0.0407,,103,,67.1
19,0.0443,,104,,67.1
20,0.048,,105,,67.1
21,0.0517,,107,,67.1
22,0.0553,,108,,67.1
23,0.059,,108,,67.1
24,0.0627,,110,,67.1
25,0.0663,,111,,67.1
26,0.0698,,112,,67.1
27,0.073,,113,,67.1
28,0.0759,,114,,67.1
29,0.0789,,115,,67.1
30,0.0821,,116,,67.1
31,0.0854,,117,,68
32,0.0882,,117,,68
33,0.0911,,118,,68
34,0.0938,,119,,68
35,0.0966,,120,,68
36,0.0998,,120,,68
37,0.1032,,121,,68
38,0.1064,,121,,68
39,0.1094,,121,,68
40,0.1124,,122,,68
41,0.1155,,122,,68
42,0.1185,,122,,68
43,0.1218,,123,,68
44,0.1251,,123,,68
45,0.1288,,123,,68
46,0.1324,,123,,68
47,0.1361,,124,,69
48,0.1397,,124,,69
49,0.1434,,124,,69
50,0.1471,,124,,69
51,0.1507,,125,,69
52,0.1542,,125,,69
53,0.1573,,125,,69
54,0.16,,125,,69
55,0.1626,,126,,70
56,0.1652,,127,,70
57,0.1678,,127,,70
58,0.1705,,128,,70
59,0.1733,,128,,70
60,0.1762,,129,,70
61,0.179,,129,,70
62,0.1824,,130,,70
63,0.186,,130,,71
64,0.1897,,130,,71
65,0.1933,,130,,71
66,0.197,,130,,71
67,0.2007,,130,,71
68,0.2043,,131,,71
69,0.208,,131,,71
70,0.2117,,131,,71
71,0.2153,,131,,71
72,0.219,,132,,71
73,0.2227,,132,,71
74,0.2263,,132,,71
75,0.23,,133,,71
76,0.2337,,133,,71
77,0.2373,,133,,71
78,0.241,,133,,71
79,0.2447,,134,,71
80,0.2483,,133,,71
81,0.252,,134,,71
82,0.2554,,133,,71
83,0.2587,,134,,71
84,0.2619,,134,,71
85,0.2654,,134,,71
86,0.269,,134,,70
87,0.2727,,133,,70
88,0.2763,,134,,70
89,0.28,,134,,70
90,0.2837,,134,,70
91,0.2873,,134,,70
92,0.291,,134,,70
93,0.2947,,134,,70
94,0.2983,,133,,70
95,0.302,,133,,70
96,0.3057,,132,,70
97,0.3086,,132,,71
98,0.3115,,131,,71
99,0.315,,131,,71
100,0.318,,131,,71
101,0.3209,,131,,70
102,0.3239,,131,,70
103,0.3269,,131,,70
104,0.3301,,131,,70
105,0.3332,,131,,70
106,0.3363,,131,,70
107,0.3393,,132,,70
108,0.3423,,132,,70
109,0.3455,,132,,70
110,0.3486,,133,,70
111,0.3518,,133,,70
112,0.355,,133,,70
113,0.3582,,133,,70
114,0.3614,,133,,70
115,0.3646,,133,,70
116,0.368,,133,,70
117,0.3716,,133,,70
118,0.3751,,133,,70
119,0.3787,,133,,70
120,0.3821,,133,,70
121,0.3853,,134,,70
122,0.3886,,134,,70
123,0.3913,,134,,71
124,0.394,,134,,71
125,0.3965,,134,,71
126,0.3985,,134,,71
127,0.4009,,134,,71
128,0.4035,,134,,71
129,0.4063,,133,,71
130,0.4091,,134,,71
131,0.4122,,133,,71
132,0.4155,,134,,71
133,0.419,,134,,71
134,0.4223,,134,,71
135,0.4258,,134,,71
136,0.4287,,135,,71
137,0.4317,,135,,71
138,0.4345,,135,,71
139,0.4374,,136,,71
140,0.4401,,136,,71
141,0.443,,136,,71
142,0.4455,,136,,71
143,0.4484,,136,,71
144,0.4511,,135,,71
145,0.4539,,135,,71
146,0.4568,,135,,71
147,0.4596,,135,,71
148,0.4624,,135,,71
149,0.4654,,135,,71
150,0.4684,,134,,71
151,0.4716,,134,,71
152,0.4746,,134,,71
153,0.4776,,135,,72.1
154,0.4804,,135,,72.1
155,0.4832,,134,,72.1
156,0.4861,,134,,72.1
157,0.489,,134,,72.1
158,0.492,,134,,72.1
159,0.4948,,134,,72.1
160,0.4975,,134,,72.1
161,0.5002,,134,,73
162,0.5027,,134,,73
163,0.5052,,134,,73
164,0.508,,134,,73
165,0.5106,,134,,73
166,0.5129,,134,,73
167,0.515,,134,,73
168,0.5176,,134,,73
169,0.5202,,135,,73
170,0.5232,,135,,73
171,0.5264,,135,,73
172,0.5298,,136,,73
173,0.5332,,135,,73
174,0.5365,,136,,73
175,0.54,,136,,74.1
176,0.5434,,136,,74.1
177,0.5465,,136,,74.1
178,0.5496,,136,,74.1
179,0.5523,,136,,74.1
180,0.5551,,136,,74.1
181,0.5579,,136,,75
182,0.5605,,137,,75
183,0.5631,,136,,75
184,0.5655,,137,,75
185,0.5683,,137,,75
186,0.5712,,137,,75
187,0.5741,,137,,75
188,0.577,,137,,75
189,0.5799,,137,,75
190,0.5825,,137,,75
191,0.5855,,136,,75
192,0.5884,,136,,75
193,0.5912,,136,,75
194,0.5939,,136,,75
195,0.5966,,135,,74.1
196,0.5996,,135,,74.1
197,0.6028,,135,,74.1
198,0.6058,,135,,74.1
199,0.6091,,135,,74.1
200,0.6123,,135,,74.1
201,0.6151,,135,,74.1
202,0.618,,135,,74.1
203,0.621,,136,,74.1
204,0.6239,,136,,74.1
205,0.6264,,136,,74.1
206,0.6284,,136,,74.1
207,0.6303,,137,,75
208,0.6323,,137,,75
209,0.6348,,137,,76
210,0.6373,,138,,76
211,0.6397,,138,,76
212,0.6427,,138,,76
213,0.6462,,137,,76
214,0.6499,,137,,76
215,0.6535,,137,,76
216,0.6572,,137,,76
217,0.6609,,138,,76
218,0.6645,,138,,76
219,0.6682,,138,,76
220,0.6719,,139,,76
221,0.6755,,139,,76
222,0.6792,,140,,76
223,0.6829,,140,,76
224,0.6865,,140,,76
225,0.6902,,140,,76
226,0.6939,,140,,76
227,0.6975,,141,,76
228,0.7009,,141,,76
229,0.7039,,141,,76
230,0.7072,,141,,76
231,0.7103,,141,,76
