secs,km,power,hr,cad,alt
0,0,,86,,29.4
1,0.00057,,87,,29.4
2,0.00363,,88,,28.8
3,0.00753,,90,,28.2
4,0.01043,,92,,27.8
5,0.01356,,93,,27.6
6,0.01664,,95,,27.4
7,0.01991,,96,,27
8,0.02352,,98,,26.6
9,0.02682,,100,,26.4
10,0.02995,,100,,26.2
11,0.03275,,101,,25.8
12,0.0352,,102,,25.4
13,0.03803,,103,,25
14,0.04082,,104,,24.6
15,0.04397,,105,,24.6
16,0.04717,,106,,24.8
17,0.05026,,107,,25.4
18,0.05311,,109,,25.6
19,0.05593,,110,,25.8
20,0.05867,,110,,25.8
21,0.06138,,111,,25.8
22,0.06402,,112,,25.8
23,0.06652,,113,,26
24,0.06869,,114,,26.2
25,0.07088,,114,,26
26,0.07324,,115,,26
27,0.07658,,115,,25.8
28,0.07981,,115,,25.6
29,0.08256,,116,,25.4
30,0.08519,,116,,25.4
31,0.08827,,116,,25.6
32,0.09133,,116,,25.4
33,0.09453,,116,,25.4
34,0.09702,,116,,25
35,0.09923,,116,,25
36,0.10169,,117,,25
37,0.10361,,117,,24.8
38,0.10616,,116,,24.6
39,0.10872,,117,,24.4
40,0.11149,,117,,24.2
41,0.1145,,117,,24.2
42,0.11752,,118,,24.2
43,0.12074,,118,,24.2
44,0.12296,,118,,24.4
45,0.12581,,118,,24.2
46,0.1282,,118,,24.2
47,0.13089,,118,,24.2
48,0.13312,,119,,24.2
49,0.13538,,119,,24.2
50,0.13794,,119,,24.4
51,0.14026,,120,,23.8
52,0.14275,,120,,23.8
53,0.14561,,121,,23.6
54,0.14855,,121,,23.4
55,0.15161,,122,,23
56,0.15462,,122,,23
57,0.15757,,122,,22.8
58,0.16105,,123,,23
59,0.16429,,123,,22.6
60,0.16681,,123,,22.2
61,0.16988,,123,,22.2
62,0.17343,,123,,21.2
63,0.17579,,123,,21
64,0.17869,,123,,20.8
65,0.18192,,123,,20.6
66,0.18508,,123,,20.6
67,0.18822,,123,,20.4
68,0.19121,,123,,20.4
69,0.194,,124,,20.2
70,0.19693,,124,,20.4
71,0.19988,,124,,20.4
72,0.20293,,124,,20.6
73,0.20571,,124,,20.6
74,0.20841,,125,,21
75,0.2111,,125,,21.6
76,0.2143,,125,,21.6
77,0.21728,,125,,21.6
78,0.22017,,125,,22.2
79,0.22252,,125,,22.2
80,0.2245,,126,,22.4
