secs,km,power,hr,cad,alt
0,0,,75,,82.6
1,0.00251,,78,,83.6
2,0.00279,,80,,85.2
3,0.00359,,83,,84.8
4,0.0049,,85,,84.8
5,0.00745,,86.5,,85
6,0.01,,88,,85.2
7,0.0122733,,89,,85.1333
8,0.0145467,,90,,85.0667
9,0.01682,,91,,85
10,0.01929,,96,,85
11,0.02207,,100,,84.6
12,0.02572,,103,,84.4
13,0.02952,,104.5,,84.5
14,0.03332,,106,,84.6
15,0.037,,107.5,,84.7
16,0.04068,,109,,84.8
17,0.04408,,109.75,,84.95
18,0.04748,,110.5,,85.1
19,0.05088,,111.25,,85.25
20,0.05428,,112,,85.4
21,0.05732,,112.5,,85.1
22,0.06036,,113,,84.8
23,0.0628033,,113.333,,84.8
24,0.0652467,,113.667,,84.8
25,0.06769,,114,,84.8
26,0.0701333,,114.333,,84.8
27,0.0725767,,114.667,,84.8
28,0.07502,,115,,84.8
29,0.078165,,115.333,,84.9667
30,0.08131,,115.667,,85.1333
31,0.084455,,116,,85.3
32,0.0876,,116.333,,85.4667
33,0.090745,,116.667,,85.6333
34,0.09389,,117,,85.8
35,0.09733,,118,,85.8667
36,0.10077,,119,,85.9333
37,0.10421,,120,,86
38,0.10751,,120,,86
39,0.11081,,120,,86
40,0.113443,,120.5,,85.8667
41,0.116077,,121,,85.7333
42,0.11871,,121.5,,85.6
43,0.121343,,122,,85.4667
44,0.123977,,122.5,,85.3333
45,0.12661,,123,,85.2
46,0.129647,,123.667,,85.5333
47,0.132683,,124.333,,85.8667
48,0.13572,,125,,86.2
49,0.13799,,125.5,,86.3
50,0.14026,,126,,86.4
51,0.142092,,126.4,,86.36
52,0.143924,,126.8,,86.32
53,0.145756,,127.2,,86.28
54,0.147588,,127.6,,86.24
55,0.14942,,128,,86.2
56,0.151453,,127.833,,86.2667
57,0.153487,,127.667,,86.3333
58,0.15552,,127.5,,86.4
59,0.157553,,127.333,,86.4667
60,0.159587,,127.167,,86.5333
61,0.16162,,127,,86.6
62,0.16419,,128,,86.6
63,0.1671,,128,,86.4
64,0.170215,,128.25,,86.45
65,0.17333,,128.5,,86.5
66,0.176445,,128.75,,86.55
67,0.17956,,129,,86.6
68,0.18259,,129.5,,87.2
69,0.18562,,130,,87.8
70,0.188027,,129.667,,87.9333
71,0.190433,,129.333,,88.0667
72,0.19284,,129,,88.2
73,0.195658,,129,,88.2667
74,0.198477,,129,,88.3333
75,0.201295,,129,,88.4
76,0.204113,,129,,88.4667
77,0.206932,,129,,88.5333
78,0.20975,,129,,88.6
79,0.212676,,129.2,,88.64
80,0.215602,,129.4,,88.68
81,0.218528,,129.6,,88.72
82,0.221454,,129.8,,88.76
83,0.22438,,130,,88.8
84,0.22741,,130,,88.8
85,0.230265,,130,,88.9
86,0.23312,,130,,89
87,0.235975,,130,,89.1
88,0.23883,,130,,89.2
89,0.241685,,130,,89.3
90,0.24454,,130,,89.4
91,0.24704,,130,,89.8
92,0.250078,,129.8,,89.84
93,0.253116,,129.6,,89.88
94,0.256154,,129.4,,89.92
95,0.259192,,129.2,,89.96
96,0.26223,,129,,90
97,0.265493,,128.667,,89.9333
98,0.268757,,128.333,,89.8667
99,0.27202,,128,,89.8
100,0.2754,,128,,89.8
101,0.27878,,128,,89.8
102,0.28202,,128,,89.8
103,0.28526,,128,,89.8
104,0.2885,,128,,89.8
105,0.29183,,128,,89.5
106,0.29516,,128,,89.2
107,0.29933,,127.667,,89.2
108,0.3035,,127.333,,89.2
109,0.30767,,127,,89.2
110,0.31175,,128,,90
111,0.315665,,128.5,,90.7
112,0.31958,,129,,91.4
113,0.323187,,129.333,,91.4667
114,0.326793,,129.667,,91.5333
115,0.3304,,130,,91.6
116,0.333642,,130.333,,91.5
