secs,km,power,hr,cad,alt
0,0,,97,,182
1,0.00286,,99,,182.2
2,0.00286,,100,,182.2
3,0.00456,,101,,182.4
4,0.00625,,102,,182.4
5,0.00983,,102,,182.6
6,0.00983,,103,,182.6
7,0.01178,,103,,182.8
8,0.01372,,104,,183
9,0.01539,,104,,183
10,0.01718,,105,,183.2
11,0.01946,,106,,183.4
12,0.02168,,107,,183.4
13,0.02367,,108,,183.6
14,0.02557,,109,,183.6
15,0.02736,,109,,183.8
16,0.02944,,110,,184
17,0.03121,,110,,184
18,0.03243,,110,,184
19,0.03426,,112,,184.2
20,0.03614,,112,,184.2
21,0.03788,,113,,184.4
22,0.03981,,113,,184.4
23,0.04164,,112,,184.6
24,0.04348,,112,,184.6
25,0.04535,,112,,184.6
26,0.04685,,112,,184.8
27,0.04869,,112,,184.8
28,0.05044,,112,,185
29,0.05205,,113,,185
30,0.05428,,113,,185
31,0.05621,,113,,185.2
32,0.05807,,113,,185.2
33,0.0599,,113,,185.4
34,0.06175,,113,,185.4
35,0.06373,,112,,185.6
36,0.06579,,113,,185.6
37,0.06754,,113,,185.8
38,0.06954,,114,,185.8
39,0.07149,,115,,186
40,0.07333,,116,,186
41,0.07524,,116,,186
42,0.07706,,117,,186.2
43,0.079,,117,,186.2
44,0.0808,,118,,186.4
45,0.08231,,118,,186.4
46,0.0841,,119,,186.6
47,0.08582,,119,,186.6
48,0.08734,,119,,186.8
49,0.08917,,120,,186.8
50,0.09109,,120,,187
51,0.09266,,120,,187
52,0.09451,,122,,187.2
53,0.09638,,122,,187.2
54,0.09822,,123,,187.4
55,0.10021,,123,,187.4
56,0.10202,,124,,187.6
57,0.10368,,124,,187.6
58,0.10537,,124,,187.6
59,0.10703,,124,,187.8
60,0.10874,,125,,187.8
61,0.11057,,125,,188
62,0.11229,,125,,188
63,0.114,,125,,188.2
64,0.11574,,126,,188.2
65,0.11913,,126,,188.4
66,0.11913,,126,,188.4
67,0.12091,,126,,188.4
68,0.1225,,126,,188.6
69,0.12407,,126,,188.6
70,0.12573,,126,,188.6
71,0.12755,,126,,188.8
72,0.1295,,126,,188.8
73,0.13132,,126,,189
74,0.13296,,125,,189
75,0.13479,,125,,189.2
76,0.13675,,125,,189.2
77,0.13837,,125,,189.2
78,0.1402,,125,,189.4
79,0.14181,,125,,189.4
80,0.14348,,124,,189.6
81,0.14524,,124,,189.6
82,0.14683,,124,,189.6
83,0.14838,,124,,189.8
84,0.15027,,124,,189.8
85,0.15221,,124,,190
