secs,km,power,hr,cad,alt
0,0,,85,,45.4
1,0.00166,,86,,45.4
2,0.00358,,89,,45.4
3,0.00549,,91,,45.4
4,0.0074,,93,,45.4
5,0.00953,,96,,45.4
6,0.0121,,98,,45.2
7,0.01467,,100,,45
8,0.01768,,101.5,,44.9
9,0.02069,,103,,44.8
10,0.0237767,,104.333,,44.6667
11,0.0268633,,105.667,,44.5333
12,0.02995,,107,,44.4
13,0.0322733,,108,,44.4667
14,0.0345967,,109,,44.5333
15,0.03692,,110,,44.6
16,0.03911,,111,,44.6
17,0.0413,,112,,44.6
18,0.04349,,113,,44.6
19,0.0462275,,113.25,,44.775
20,0.048965,,113.5,,44.95
21,0.0517025,,113.75,,45.125
22,0.05444,,114,,45.3
23,0.0571775,,114.25,,45.475
24,0.059915,,114.5,,45.65
25,0.0626525,,114.75,,45.825
26,0.06539,,115,,46
27,0.0677956,,115.111,,46.2667
28,0.0702011,,115.222,,46.5333
29,0.0726067,,115.333,,46.8
30,0.0750122,,115.444,,47.0667
31,0.0774178,,115.556,,47.3333
32,0.0798233,,115.667,,47.6
33,0.0822289,,115.778,,47.8667
34,0.0846344,,115.889,,48.1333
35,0.08704,,116,,48.4
36,0.090124,,115.8,,48.36
37,0.093208,,115.6,,48.32
38,0.096292,,115.4,,48.28
39,0.099376,,115.2,,48.24
40,0.10246,,115,,48.2
41,0.104823,,115.111,,48.4222
42,0.107187,,115.222,,48.6444
43,0.10955,,115.333,,48.8667
44,0.111913,,115.444,,49.0889
45,0.114277,,115.556,,49.3111
46,0.11664,,115.667,,49.5333
47,0.119003,,115.778,,49.7556
48,0.121367,,115.889,,49.9778
49,0.12373,,116,,50.2
50,0.12645,,116,,50.2
51,0.12909,,116.25,,50.275
52,0.13173,,116.5,,50.35
53,0.13437,,116.75,,50.425
54,0.13701,,117,,50.5
55,0.13965,,117.25,,50.575
56,0.14229,,117.5,,50.65
57,0.14493,,117.75,,50.725
58,0.14757,,118,,50.8
59,0.150344,,118.125,,50.725
60,0.153117,,118.25,,50.65
61,0.155891,,118.375,,50.575
62,0.158665,,118.5,,50.5
63,0.161439,,118.625,,50.425
64,0.164213,,118.75,,50.35
65,0.166986,,118.875,,50.275
66,0.16976,,119,,50.2
67,0.17289,,119.667,,49.9333
68,0.17602,,120.333,,49.6667
69,0.17915,,121,,49.4
70,0.181858,,120.833,,49.4333
71,0.184567,,120.667,,49.4667
72,0.187275,,120.5,,49.5
73,0.189983,,120.333,,49.5333
74,0.192692,,120.167,,49.5667
75,0.1954,,120,,49.6
76,0.198651,,120,,50
77,0.201903,,120,,50.4
78,0.205154,,120,,50.8
79,0.208406,,120,,51.2
80,0.211657,,120,,51.6
81,0.214909,,120,,52
82,0.21816,,120,,52.4
83,0.220875,,120,,52.625
84,0.22359,,120,,52.85
85,0.226305,,120,,53.075
86,0.22902,,120,,53.3
87,0.231735,,120,,53.525
88,0.23445,,120,,53.75
89,0.237165,,120,,53.975
90,0.23988,,120,,54.2
91,0.242987,,120.143,,54.4286
92,0.246094,,120.286,,54.6571
93,0.249201,,120.429,,54.8857
94,0.252309,,120.571,,55.1143
95,0.255416,,120.714,,55.3429
96,0.258523,,120.857,,55.5714
97,0.26163,,121,,55.8
98,0.264591,,121,,55.7429
99,0.267553,,121,,55.6857
100,0.270514,,121,,55.6286
101,0.273476,,121,,55.5714
102,0.276437,,121,,55.5143
103,0.279399,,121,,55.4571
104,0.28236,,121,,55.4
105,0.285411,,120.857,,55.3429
106,0.288463,,120.714,,55.2857
107,0.291514,,120.571,,55.2286
108,0.294566,,120.429,,55.1714
109,0.297617,,120.286,,55.1143
110,0.300669,,120.143,,55.0571
111,0.30372,,120,,55
112,0.305497,,119.75,,54.1
113,0.307275,,119.5,,53.2
114,0.309053,,119.25,,52.3
115,0.31083,,119,,51.4
116,0.312902,,119.2,,51.08
117,0.314974,,119.4,,50.76
118,0.317046,,119.6,,50.44
119,0.319118,,119.8,,50.12
120,0.32119,,120,,49.8
121,0.323528,,120,,49.9778
122,0.325866,,120,,50.1556
123,0.328203,,120,,50.3333
124,0.330541,,120,,50.5111
125,0.332879,,120,,50.6889
126,0.335217,,120,,50.8667
127,0.337554,,120,,51.0444
128,0.339892,,120,,51.2222
129,0.34223,,120,,51.4
130,0.344726,,119.889,,51.0222
131,0.347221,,119.778,,50.6444
132,0.349717,,119.667,,50.2667
133,0.352212,,119.556,,49.8889
134,0.354708,,119.444,,49.5111
135,0.357203,,119.333,,49.1333
136,0.359699,,119.222,,48.7556
137,0.362194,,119.111,,48.3778
138,0.36469,,119,,48
139,0.367368,,119.6,,47.4
140,0.370046,,120.2,,46.8
141,0.372724,,120.8,,46.2
142,0.375402,,121.4,,45.6
143,0.37808,,122,,45
144,0.380903,,120.667,,44.8
145,0.383727,,119.333,,44.6
146,0.38655,,118,,44.4
147,0.389481,,118,,44.1429
148,0.392413,,118,,43.8857
149,0.395344,,118,,43.6286
150,0.398276,,118,,43.3714
151,0.401207,,118,,43.1143
152,0.404139,,118,,42.8571
153,0.40707,,118,,42.6
154,0.410201,,118,,42.2857
155,0.413333,,118,,41.9714
156,0.416464,,118,,41.6571
157,0.419596,,118,,41.3429
158,0.422727,,118,,41.0286
159,0.425859,,118,,40.7143
160,0.42899,,118,,40.4
161,0.431984,,118.143,,40.2857
162,0.434979,,118.286,,40.1714
163,0.437973,,118.429,,40.0571
164,0.440967,,118.571,,39.9429
165,0.443961,,118.714,,39.8286
166,0.446956,,118.857,,39.7143
167,0.44995,,119,,39.6
168,0.452929,,119,,39.8
169,0.455907,,119,,40
170,0.458886,,119,,40.2
171,0.461864,,119,,40.4
172,0.464843,,119,,40.6
173,0.467821,,119,,40.8
174,0.4708,,119,,41
175,0.473705,,119.25,,40.975
176,0.47661,,119.5,,40.95
177,0.479515,,119.75,,40.925
178,0.48242,,120,,40.9
179,0.485325,,120.25,,40.875
180,0.48823,,120.5,,40.85
181,0.491135,,120.75,,40.825
182,0.49404,,121,,40.8
183,0.496815,,121.25,,40.875
184,0.49959,,121.5,,40.95
185,0.502365,,121.75,,41.025
186,0.50514,,122,,41.1
187,0.507915,,122.25,,41.175
188,0.51069,,122.5,,41.25
189,0.513465,,122.75,,41.325
190,0.51624,,123,,41.4
191,0.519216,,123.143,,41.3143
192,0.522191,,123.286,,41.2286
193,0.525167,,123.429,,41.1429
194,0.528143,,123.571,,41.0571
195,0.531119,,123.714,,40.9714
196,0.534094,,123.857,,40.8857
197,0.53707,,124,,40.8
198,0.539764,,124.125,,40.6
199,0.542458,,124.25,,40.4
200,0.545151,,124.375,,40.2
201,0.547845,,124.5,,40
202,0.550539,,124.625,,39.8
203,0.553233,,124.75,,39.6
204,0.555926,,124.875,,39.4
205,0.55862,,125,,39.2
206,0.5614,,125,,38.85
207,0.56418,,125,,38.5
208,0.56696,,125,,38.15
209,0.56974,,125,,37.8
210,0.57252,,125,,37.45
211,0.5753,,125,,37.1
212,0.57808,,125,,36.75
213,0.58086,,125,,36.4
214,0.5836,,124.875,,36.3
215,0.58634,,124.75,,36.2
216,0.58908,,124.625,,36.1
217,0.59182,,124.5,,36
218,0.59456,,124.375,,35.9
219,0.5973,,124.25,,35.8
220,0.60004,,124.125,,35.7
221,0.60278,,124,,35.6
222,0.605529,,124.125,,35.3
223,0.608278,,124.25,,35
224,0.611026,,124.375,,34.7
225,0.613775,,124.5,,34.4
226,0.616524,,124.625,,34.1
227,0.619273,,124.75,,33.8
228,0.622021,,124.875,,33.5
229,0.62477,,125,,33.2
230,0.627633,,125,,33.55
231,0.630495,,125,,33.9
232,0.633358,,125,,34.25
233,0.63622,,125,,34.6
234,0.639083,,125,,34.95
235,0.641945,,125,,35.3
236,0.644808,,125,,35.65
237,0.64767,,125,,36
238,0.650607,,124.857,,36.1143
239,0.653544,,124.714,,36.2286
240,0.656481,,124.571,,36.3429
241,0.659419,,124.429,,36.4571
242,0.662356,,124.286,,36.5714
243,0.665293,,124.143,,36.6857
244,0.66823,,124,,36.8
245,0.670965,,123.75,,37
246,0.6737,,123.5,,37.2
247,0.676435,,123.25,,37.4
248,0.67917,,123,,37.6
249,0.681905,,122.75,,37.8
250,0.68464,,122.5,,38
251,0.687375,,122.25,,38.2
252,0.69011,,122,,38.4
253,0.69244,,122.333,,38.6667
254,0.69477,,122.667,,38.9333
255,0.6971,,123,,39.2
256,0.699604,,123.6,,39.44
257,0.702108,,124.2,,39.68
258,0.704612,,124.8,,39.92
259,0.707116,,125.4,,40.16
260,0.70962,,126,,40.4
261,0.712689,,125.714,,40.7143
262,0.715757,,125.429,,41.0286
263,0.718826,,125.143,,41.3429
264,0.721894,,124.857,,41.6571
265,0.724963,,124.571,,41.9714
266,0.728031,,124.286,,42.2857
267,0.7311,,124,,42.6
268,0.733999,,124.143,,42.8286
269,0.736897,,124.286,,43.0571
270,0.739796,,124.429,,43.2857
271,0.742694,,124.571,,43.5143
272,0.745593,,124.714,,43.7429
273,0.748491,,124.857,,43.9714
274,0.75139,,125,,44.2
275,0.754349,,125.286,,44.2571
276,0.757307,,125.571,,44.3143
277,0.760266,,125.857,,44.3714
278,0.763224,,126.143,,44.4286
279,0.766183,,126.429,,44.4857
280,0.769141,,126.714,,44.5429
281,0.7721,,127,,44.6
282,0.775026,,127.286,,44.8286
283,0.777951,,127.571,,45.0571
284,0.780877,,127.857,,45.2857
285,0.783803,,128.143,,45.5143
286,0.786729,,128.429,,45.7429
287,0.789654,,128.714,,45.9714
288,0.79258,,129,,46.2
289,0.7955,,129,,46.48
290,0.79842,,129,,46.76
291,0.80134,,129,,47.04
292,0.80426,,129,,47.32
293,0.80718,,129,,47.6
294,0.810378,,129,,47.65
295,0.813575,,129,,47.7
296,0.816773,,129,,47.75
297,0.81997,,129,,47.8
298,0.823166,,128.857,,47.8571
299,0.826361,,128.714,,47.9143
300,0.829557,,128.571,,47.9714
301,0.832753,,128.429,,48.0286
302,0.835949,,128.286,,48.0857
303,0.839144,,128.143,,48.1429
304,0.84234,,128,,48.2
305,0.845326,,128.143,,48.4857
306,0.848311,,128.286,,48.7714
307,0.851297,,128.429,,49.0571
308,0.854283,,128.571,,49.3429
309,0.857269,,128.714,,49.6286
310,0.860254,,128.857,,49.9143
311,0.86324,,129,,50.2
312,0.866281,,128.714,,50.2857
313,0.869323,,128.429,,50.3714
314,0.872364,,128.143,,50.4571
315,0.875406,,127.857,,50.5429
316,0.878447,,127.571,,50.6286
317,0.881489,,127.286,,50.7143
318,0.88453,,127,,50.8
319,0.887433,,126.5,,50.8
320,0.890337,,126,,50.8
321,0.89324,,125.5,,50.8
322,0.896143,,125,,50.8
323,0.899047,,124.5,,50.8
324,0.90195,,124,,50.8
325,0.904766,,124.125,,50.975
326,0.907583,,124.25,,51.15
327,0.910399,,124.375,,51.325
328,0.913215,,124.5,,51.5
329,0.916031,,124.625,,51.675
330,0.918848,,124.75,,51.85
331,0.921664,,124.875,,52.025
332,0.92448,,125,,52.2
333,0.927299,,124.75,,52.7
334,0.930118,,124.5,,53.2
335,0.932936,,124.25,,53.7
336,0.935755,,124,,54.2
337,0.938574,,123.75,,54.7
338,0.941393,,123.5,,55.2
339,0.944211,,123.25,,55.7
340,0.94703,,123,,56.2
341,0.949979,,123.286,,56
342,0.952927,,123.571,,55.8
343,0.955876,,123.857,,55.6
344,0.958824,,124.143,,55.4
345,0.961773,,124.429,,55.2
346,0.964721,,124.714,,55
347,0.96767,,125,,54.8
348,0.97039,,125.125,,54.6
349,0.97311,,125.25,,54.4
350,0.97583,,125.375,,54.2
351,0.97855,,125.5,,54
352,0.98127,,125.625,,53.8
353,0.98399,,125.75,,53.6
354,0.98671,,125.875,,53.4
355,0.98943,,126,,53.2
356,0.992169,,126.125,,52.725
357,0.994908,,126.25,,52.25
358,0.997646,,126.375,,51.775
359,1.00038,,126.5,,51.3
360,1.00312,,126.625,,50.825
361,1.00586,,126.75,,50.35
362,1.0086,,126.875,,49.875
363,1.01134,,127,,49.4
364,1.01402,,127,,49.225
365,1.01669,,127,,49.05
366,1.01937,,127,,48.875
367,1.02205,,127,,48.7
368,1.02473,,127,,48.525
369,1.0274,,127,,48.35
370,1.03008,,127,,48.175
371,1.03276,,127,,48
372,1.03476,,127,,47.7818
373,1.03676,,127,,47.5636
374,1.03877,,127,,47.3455
375,1.04077,,127,,47.1273
376,1.04277,,127,,46.9091
377,1.04477,,127,,46.6909
378,1.04677,,127,,46.4727
379,1.04877,,127,,46.2545
380,1.05078,,127,,46.0364
381,1.05278,,127,,45.8182
382,1.05478,,127,,45.6
383,1.05728,,127,,45.5778
384,1.05977,,127,,45.5556
385,1.06227,,127,,45.5333
386,1.06477,,127,,45.5111
387,1.06726,,127,,45.4889
388,1.06976,,127,,45.4667
389,1.07226,,127,,45.4444
390,1.07475,,127,,45.4222
391,1.07725,,127,,45.4
392,1.07978,,126.4,,45.44
393,1.0823,,125.8,,45.48
394,1.08483,,125.2,,45.52
395,1.08735,,124.6,,45.56
396,1.08988,,124,,45.6
397,1.09301,,124.286,,45.6571
398,1.09615,,124.571,,45.7143
399,1.09928,,124.857,,45.7714
400,1.10241,,125.143,,45.8286
401,1.10554,,125.429,,45.8857
402,1.10868,,125.714,,45.9429
403,1.11181,,126,,46
404,1.11483,,126.143,,46.0571
405,1.11785,,126.286,,46.1143
406,1.12087,,126.429,,46.1714
407,1.12389,,126.571,,46.2286
408,1.12691,,126.714,,46.2857
409,1.12993,,126.857,,46.3429
410,1.13295,,127,,46.4
411,1.13592,,126.714,,46.5429
412,1.13888,,126.429,,46.6857
413,1.14185,,126.143,,46.8286
414,1.14482,,125.857,,46.9714
415,1.14779,,125.571,,47.1143
416,1.15075,,125.286,,47.2571
417,1.15372,,125,,47.4
418,1.1567,,125.143,,47.3143
419,1.15969,,125.286,,47.2286
420,1.16267,,125.429,,47.1429
421,1.16565,,125.571,,47.0571
422,1.16863,,125.714,,46.9714
423,1.17162,,125.857,,46.8857
424,1.1746,,126,,46.8
425,1.17767,,126,,47.0286
426,1.18075,,126,,47.2571
427,1.18382,,126,,47.4857
428,1.18689,,126,,47.7143
429,1.18996,,126,,47.9429
430,1.19304,,126,,48.1714
431,1.19611,,126,,48.4
432,1.19905,,126.143,,48.6286
433,1.202,,126.286,,48.8571
434,1.20494,,126.429,,49.0857
435,1.20789,,126.571,,49.3143
436,1.21083,,126.714,,49.5429
437,1.21378,,126.857,,49.7714
438,1.21672,,127,,50
439,1.21978,,127.143,,49.8
440,1.22283,,127.286,,49.6
441,1.22589,,127.429,,49.4
442,1.22894,,127.571,,49.2
443,1.232,,127.714,,49
444,1.23505,,127.857,,48.8
445,1.23811,,128,,48.6
446,1.24103,,128,,48.4857
447,1.24395,,128,,48.3714
448,1.24687,,128,,48.2571
449,1.24979,,128,,48.1429
450,1.25271,,128,,48.0286
451,1.25563,,128,,47.9143
452,1.25855,,128,,47.8
453,1.26137,,128,,48.05
454,1.26418,,128,,48.3
455,1.267,,128,,48.55
456,1.26982,,128,,48.8
457,1.27264,,128,,49.05
458,1.27545,,128,,49.3
459,1.27827,,128,,49.55
460,1.28109,,128,,49.8
461,1.28402,,128,,49.7714
462,1.28695,,128,,49.7429
463,1.28988,,128,,49.7143
464,1.29281,,128,,49.6857
465,1.29574,,128,,49.6571
466,1.29867,,128,,49.6286
467,1.3016,,128,,49.6
468,1.30446,,128.125,,49.65
469,1.30732,,128.25,,49.7
470,1.31019,,128.375,,49.75
471,1.31305,,128.5,,49.8
472,1.31591,,128.625,,49.85
473,1.31878,,128.75,,49.9
474,1.32164,,128.875,,49.95
475,1.3245,,129,,50
476,1.32711,,128.875,,49.875
477,1.32971,,128.75,,49.75
478,1.33232,,128.625,,49.625
479,1.33492,,128.5,,49.5
480,1.33753,,128.375,,49.375
481,1.34014,,128.25,,49.25
482,1.34274,,128.125,,49.125
483,1.34535,,128,,49
484,1.34777,,127.25,,48.7
485,1.3502,,126.5,,48.4
486,1.35262,,125.75,,48.1
487,1.35504,,125,,47.8
488,1.35797,,125.143,,47.6857
489,1.36089,,125.286,,47.5714
490,1.36382,,125.429,,47.4571
491,1.36674,,125.571,,47.3429
492,1.36967,,125.714,,47.2286
493,1.37259,,125.857,,47.1143
494,1.37552,,126,,47
495,1.37814,,126.125,,46.925
496,1.38077,,126.25,,46.85
497,1.38339,,126.375,,46.775
498,1.38601,,126.5,,46.7
499,1.38864,,126.625,,46.625
500,1.39126,,126.75,,46.55
501,1.39389,,126.875,,46.475
502,1.39651,,127,,46.4
503,1.39906,,127.125,,46.4
504,1.40162,,127.25,,46.4
505,1.40417,,127.375,,46.4
506,1.40673,,127.5,,46.4
507,1.40928,,127.625,,46.4
508,1.41183,,127.75,,46.4
509,1.41439,,127.875,,46.4
510,1.41694,,128,,46.4
511,1.41964,,127.571,,46.7143
512,1.42234,,127.143,,47.0286
513,1.42504,,126.714,,47.3429
514,1.42774,,126.286,,47.6571
515,1.43044,,125.857,,47.9714
516,1.43314,,125.429,,48.2857
517,1.43584,,125,,48.6
518,1.43851,,125,,48.2
519,1.44118,,125,,47.8
520,1.44386,,125,,47.4
521,1.44653,,125,,47
522,1.4492,,125,,46.6
523,1.45188,,125,,46.2
