secs,km,power,hr,cad,alt
0,0,,119,,24.4
1,0.00262,,117,,24.8
2,0.00556,,115,,24.8
3,0.00855,,113,,24.8
4,0.01207,,113,,24.8
5,0.01563,,113,,24.8
6,0.01983,,115,,24.8
7,0.02318,,117,,24.8
8,0.02607,,117,,24.8
9,0.02765,,119,,25
10,0.02874,,122,,25.4
11,0.03002,,120,,24.8
12,0.03326,,122,,24.6
13,0.0353,,125,,24.6
14,0.03799,,127,,24.6
15,0.04127,,129,,25
16,0.04452,,128,,24.6
17,0.04767,,131,,24.4
18,0.05132,,135,,24.6
19,0.05488,,135,,24.6
20,0.05747,,131,,24.6
21,0.05998,,131,,24.6
22,0.06277,,132,,24.8
23,0.06571,,130,,24.6
24,0.06811,,130,,24.6
25,0.07086,,129,,24.4
26,0.07303,,129,,24.4
27,0.07534,,130,,24.4
28,0.07779,,130,,24.4
29,0.08025,,131,,24.4
30,0.08269,,131,,24.4
31,0.08527,,131,,24.4
32,0.08794,,132,,24.4
33,0.09132,,132,,24.4
34,0.09408,,132,,24.4
35,0.09716,,133,,24.4
36,0.09954,,134,,24.4
37,0.10266,,134,,24.4
38,0.10552,,135,,24.4
39,0.10833,,135,,24.4
40,0.11135,,136,,24.4
41,0.11456,,136,,24.4
42,0.11807,,138,,24.6
43,0.1219,,138,,24.6
44,0.12581,,138,,24.6
45,0.13073,,138,,24.6
46,0.13606,,139,,24.8
47,0.14019,,140,,24.8
48,0.14597,,139,,24.8
49,0.1505,,140,,24.8
50,0.15468,,141,,24.8
51,0.15805,,142,,24.8
52,0.16094,,143,,24.8
53,0.16313,,143,,25
54,0.16313,,144,,25
55,0.16564,,144,,24.8
56,0.17042,,144,,24.8
57,0.17042,,144,,24.8
58,0.17234,,144,,24.8
59,0.17462,,144,,25
60,0.17707,,143,,25
61,0.17937,,143,,25
62,0.18351,,143,,25
63,0.18573,,142,,25
64,0.18799,,142,,25.2
65,0.18799,,142,,25.4
66,0.19016,,143,,25.4
67,0.19493,,143,,25.6
68,0.1976,,143,,25.6
69,0.19998,,143,,25.8
70,0.20202,,144,,25.8
71,0.20438,,144,,25.8
72,0.20664,,144,,25.6
73,0.20902,,144,,25.8
74,0.2115,,146,,25.8
75,0.21412,,146,,25.8
76,0.21412,,146,,25.8
77,0.21674,,146,,25.8
78,0.22241,,145,,25.8
79,0.22519,,145,,25.8
80,0.22799,,145,,25.8
81,0.23086,,145,,25.8
82,0.23379,,145,,25.8
83,0.23379,,146,,25.8
84,0.23666,,146,,26
85,0.23975,,146,,26
86,0.24277,,146,,26
87,0.24601,,146,,26.2
88,0.24951,,146,,26.2
89,0.25292,,148,,26.2
90,0.2561,,147,,26.2
91,0.25897,,149,,26.2
92,0.26168,,149,,26.6
93,0.26714,,149,,26.8
94,0.26958,,149,,27
95,0.26958,,150,,27
96,0.27236,,150,,27.2
97,0.27783,,150,,27.4
98,0.27783,,150,,27.4
99,0.28043,,151,,27.6
100,0.28588,,151,,27.8
101,0.28862,,149,,27.8
102,0.28862,,149,,28
103,0.29117,,150,,28.4
104,0.29581,,150,,28.4
105,0.29829,,148,,28.6
106,0.30092,,148,,28.8
107,0.3037,,150,,28.8
108,0.30644,,149,,29
109,0.30644,,149,,29.2
110,0.31211,,149,,29.2
111,0.31513,,150,,29.2
112,0.31811,,150,,29.4
113,0.31811,,150,,29.4
114,0.32088,,150,,29.4
115,0.32349,,150,,29.6
116,0.32825,,151,,29.6
117,0.32825,,151,,29.6
118,0.33067,,151,,29.6
119,0.33279,,151,,29.6
120,0.33532,,151,,29.6
121,0.33813,,151,,29.4
122,0.34125,,150,,29.4
123,0.34423,,151,,29.2
124,0.34725,,150,,29.2
125,0.35036,,150,,29
126,0.35355,,150,,28.8
127,0.35677,,150,,28.6
128,0.35986,,149,,28.4
129,0.36276,,149,,28.4
130,0.36564,,149,,28.2
131,0.36831,,148,,28.2
132,0.37093,,147,,28
133,0.37368,,147,,27.8
134,0.37667,,147,,27.6
135,0.37942,,147,,27.6
136,0.38239,,147,,27.4
137,0.38516,,147,,27.4
138,0.38779,,147,,27.4
139,0.39006,,147,,27.4
140,0.39254,,147,,27.4
141,0.39495,,147,,27.2
142,0.39781,,148,,27.2
143,0.40056,,148,,27.2
144,0.40334,,150,,27
145,0.40627,,149,,27
146,0.40958,,148,,26.8
147,0.41327,,148,,26.6
148,0.42053,,148,,26.4
149,0.42053,,148,,26.2
150,0.42332,,148,,26.2
151,0.42566,,148,,26
152,0.4284,,148,,26
153,0.43145,,148,,26
154,0.43452,,148,,25.8
155,0.43928,,148,,25.6
156,0.43928,,148,,25.6
157,0.44131,,148,,25.6
158,0.44608,,148,,25.6
159,0.44608,,148,,25.4
160,0.44908,,148,,25.4
161,0.45222,,149,,25.4
162,0.45496,,149,,25.4
163,0.46029,,149,,25.2
164,0.46029,,149,,25.2
165,0.46262,,149,,25
166,0.46518,,149,,25
167,0.46786,,149,,25
168,0.47029,,149,,25
169,0.47318,,149,,25
170,0.47986,,149,,25
171,0.47986,,149,,25
172,0.48576,,148,,25
173,0.4888,,149,,25
174,0.4888,,149,,25
175,0.49273,,149,,25
176,0.49656,,149,,25
177,0.50002,,149,,25
178,0.50786,,149,,25
179,0.51159,,150,,25
180,0.51159,,150,,25
181,0.51771,,150,,25
182,0.51771,,150,,25
183,0.52058,,150,,25.2
184,0.52398,,150,,25.2
185,0.53026,,150,,25.2
186,0.5336,,150,,25.2
187,0.53764,,150,,25.2
188,0.54037,,151,,25.4
189,0.54247,,151,,25.4
190,0.54566,,151,,25.4
191,0.54566,,152,,25.4
192,0.54865,,151,,25.4
193,0.55518,,151,,25.4
194,0.55916,,151,,25.4
195,0.56301,,151,,25.4
196,0.56663,,151,,25.4
197,0.56663,,151,,25.4
198,0.57058,,152,,25.4
199,0.57851,,151,,25.4
200,0.58196,,150,,25.4
201,0.58594,,148,,25.4
202,0.58994,,148,,25.4
203,0.59355,,149,,25.4
204,0.59768,,149,,25.4
205,0.60023,,150,,25.4
206,0.60387,,150,,25.4
207,0.60695,,151,,25.4
208,0.60695,,150,,25.4
209,0.61381,,149,,25.4
210,0.61713,,149,,25.4
211,0.62003,,149,,25.4
212,0.62003,,150,,25.4
213,0.62609,,150,,25.6
214,0.62933,,150,,25.6
215,0.63214,,151,,25.6
216,0.63491,,151,,25.6
217,0.63749,,151,,25.6
