secs,km,power,hr,cad,alt
0,0,,71,,203.8
1,0.00245333,,71.5,,203.767
2,0.00490667,,72,,203.733
3,0.00736,,72.5,,203.7
4,0.00981333,,73,,203.667
5,0.0122667,,73.5,,203.633
6,0.01472,,74,,203.6
7,0.01797,,75.5,,203.6
8,0.02122,,77,,203.6
9,0.024435,,78.5,,203.6
10,0.02765,,80,,203.6
11,0.03081,,81.5,,203.5
12,0.03397,,83,,203.4
13,0.037085,,84.5,,203.9
14,0.0402,,86,,204.4
15,0.0433367,,87.3333,,204.667
16,0.0464733,,88.6667,,204.933
17,0.04961,,90,,205.2
18,0.052905,,91.5,,205.9
19,0.0562,,93,,206.6
20,0.05933,,94.5,,207
21,0.06246,,96,,207.4
22,0.06575,,97,,208
23,0.06904,,98,,208.6
24,0.07233,,99,,209.2
25,0.07545,,100,,209.6
26,0.07857,,101,,210
27,0.081535,,101.75,,210.25
28,0.0845,,102.5,,210.5
29,0.087465,,103.25,,210.75
30,0.09043,,104,,211
31,0.093434,,104.6,,211.24
32,0.096438,,105.2,,211.48
33,0.099442,,105.8,,211.72
34,0.102446,,106.4,,211.96
35,0.10545,,107,,212.2
36,0.108648,,107.75,,212.3
37,0.111845,,108.5,,212.4
38,0.115042,,109.25,,212.5
39,0.11824,,110,,212.6
40,0.121278,,110.5,,212.9
41,0.124317,,111,,213.2
42,0.127355,,111.5,,213.5
43,0.130393,,112,,213.8
44,0.133432,,112.5,,214.1
45,0.13647,,113,,214.4
46,0.139506,,113.286,,214.514
47,0.142541,,113.571,,214.629
48,0.145577,,113.857,,214.743
49,0.148613,,114.143,,214.857
50,0.151649,,114.429,,214.971
51,0.154684,,114.714,,215.086
52,0.15772,,115,,215.2
53,0.160733,,115.286,,215.286
54,0.163746,,115.571,,215.371
55,0.166759,,115.857,,215.457
56,0.169771,,116.143,,215.543
57,0.172784,,116.429,,215.629
58,0.175797,,116.714,,215.714
59,0.17881,,117,,215.8
60,0.182005,,117.5,,215.7
61,0.1852,,118,,215.6
62,0.188113,,118.286,,215.6
63,0.191026,,118.571,,215.6
64,0.193939,,118.857,,215.6
65,0.196851,,119.143,,215.6
66,0.199764,,119.429,,215.6
67,0.202677,,119.714,,215.6
68,0.20559,,120,,215.6
69,0.208649,,120.143,,215.686
70,0.211707,,120.286,,215.771
71,0.214766,,120.429,,215.857
72,0.217824,,120.571,,215.943
73,0.220883,,120.714,,216.029
74,0.223941,,120.857,,216.114
75,0.227,,121,,216.2
76,0.230186,,121.143,,216.4
77,0.233371,,121.286,,216.6
78,0.236557,,121.429,,216.8
79,0.239743,,121.571,,217
80,0.242929,,121.714,,217.2
81,0.246114,,121.857,,217.4
82,0.2493,,122,,217.6
83,0.252501,,122.143,,217.771
84,0.255703,,122.286,,217.943
85,0.258904,,122.429,,218.114
86,0.262106,,122.571,,218.286
87,0.265307,,122.714,,218.457
88,0.268509,,122.857,,218.629
89,0.27171,,123,,218.8
90,0.274763,,123,,219.114
91,0.277816,,123,,219.429
92,0.280869,,123,,219.743
93,0.283921,,123,,220.057
94,0.286974,,123,,220.371
95,0.290027,,123,,220.686
96,0.29308,,123,,221
97,0.29608,,123,,221.286
98,0.29908,,123,,221.571
99,0.30208,,123,,221.857
100,0.30508,,123,,222.143
101,0.30808,,123,,222.429
102,0.31108,,123,,222.714
103,0.31408,,123,,223
104,0.317091,,122.857,,223.286
105,0.320103,,122.714,,223.571
106,0.323114,,122.571,,223.857
107,0.326126,,122.429,,224.143
108,0.329137,,122.286,,224.429
109,0.332149,,122.143,,224.714
110,0.33516,,122,,225
111,0.338357,,122.143,,225.086
112,0.341554,,122.286,,225.171
113,0.344751,,122.429,,225.257
114,0.347949,,122.571,,225.343
115,0.351146,,122.714,,225.429
116,0.354343,,122.857,,225.514
117,0.35754,,123,,225.6
118,0.360286,,122.875,,225.475
119,0.363033,,122.75,,225.35
120,0.365779,,122.625,,225.225
121,0.368525,,122.5,,225.1
122,0.371271,,122.375,,224.975
123,0.374018,,122.25,,224.85
124,0.376764,,122.125,,224.725
125,0.37951,,122,,224.6
126,0.382352,,122,,224.633
127,0.385193,,122,,224.667
128,0.388035,,122,,224.7
129,0.390877,,122,,224.733
130,0.393718,,122,,224.767
131,0.39656,,122,,224.8
132,0.399616,,121.857,,224.657
133,0.402671,,121.714,,224.514
134,0.405727,,121.571,,224.371
