secs,km,power,hr,cad,alt
0,0,,93,,12.8
1,0.00233,,96,,13.2
2,0.00576,,98,,13.4
3,0.00945,,101,,14
4,0.01317,,102,,14.2
5,0.01728,,104,,14.2
6,0.02129,,107,,14
7,0.02544,,108,,14.2
8,0.0291,,109,,13.8
9,0.03272,,110,,14
10,0.03612,,112,,13.8
11,0.03974,,113,,14
12,0.04318,,114,,14
13,0.04667,,115,,14.2
14,0.05015,,116,,14.6
15,0.05371,,117,,14.6
16,0.05714,,118,,14.8
17,0.06084,,119,,15
18,0.06446,,120,,14.8
19,0.06808,,122,,14.6
20,0.07163,,123,,14.6
21,0.07518,,124,,15
22,0.07847,,126,,15.2
23,0.08179,,128,,15.2
24,0.08537,,129,,15
25,0.08888,,131,,14.8
26,0.09248,,132,,14.8
27,0.09605,,133,,14.6
28,0.09967,,134,,14
29,0.10325,,136,,13.8
30,0.10702,,136,,13.8
31,0.11071,,137,,13.8
32,0.11439,,138,,13.2
33,0.11795,,139,,12.8
34,0.12139,,139,,11.8
35,0.1249,,140,,11.2
36,0.12844,,141,,11.2
37,0.1321,,142,,10.8
38,0.13573,,142,,10.6
39,0.13938,,143,,10.6
40,0.14275,,143,,10.6
41,0.14624,,143,,11.4
42,0.1497,,144,,11.4
43,0.15323,,144,,11.2
44,0.15679,,144,,11.4
45,0.16011,,145,,12.4
46,0.16341,,145,,13
47,0.16677,,145,,13.6
48,0.17044,,145,,14
49,0.17409,,146,,14.2
50,0.17763,,146,,14.4
51,0.18113,,146,,15
52,0.18468,,147,,14.4
53,0.1881,,147,,14.6
54,0.19164,,147,,14.6
55,0.19509,,147,,14.8
56,0.19849,,148,,14.2
57,0.20198,,148,,14.2
58,0.2054,,148,,14.2
59,0.20878,,148,,14.2
60,0.21206,,148,,14.6
61,0.21512,,148,,14.4
62,0.21836,,148,,14.4
63,0.22135,,148,,14.6
64,0.2245,,149,,14.6
65,0.22751,,149,,14.6
66,0.23081,,149,,14.6
67,0.234,,149,,14.8
68,0.23714,,149,,14.6
69,0.2404,,149,,14.4
70,0.24362,,149,,14.6
71,0.24681,,150,,14.4
72,0.25,,149,,14.4
73,0.25323,,150,,14.6
74,0.25623,,150,,14.4
75,0.25973,,150,,14.4
76,0.2633,,150,,14.6
77,0.26666,,150,,14.2
78,0.26937,,150,,14
79,0.27246,,150,,13.8
80,0.2754,,150,,13.4
81,0.27867,,150,,12.6
82,0.28205,,150,,12
83,0.28532,,151,,11.6
84,0.28861,,151,,11.4
85,0.29172,,150,,11
86,0.29491,,151,,11
87,0.29812,,150,,10.8
88,0.3013,,150,,10.8
89,0.30425,,150,,10.2
90,0.30735,,151,,11.4
91,0.31035,,150,,11.6
92,0.31313,,150,,12.4
93,0.31626,,150,,12
94,0.31976,,150,,11.8
95,0.32322,,150,,12
96,0.32653,,150,,12.4
97,0.33,,150,,12.6
98,0.33392,,150,,13
99,0.3375,,150,,13.2
100,0.34058,,150,,13.4
101,0.34379,,150,,13.4
102,0.34721,,150,,13.2
103,0.35072,,150,,13.2
104,0.35402,,150,,12.8
105,0.35746,,150,,13
106,0.361,,150,,13.2
107,0.36434,,150,,13.6
108,0.36772,,150,,13.8
109,0.37125,,150,,13.6
110,0.37438,,150,,13.6
111,0.37732,,150,,13.4
112,0.38026,,151,,13.2
113,0.38319,,150,,13
114,0.38627,,150,,13
115,0.38943,,151,,12.8
116,0.3926,,150,,12.6
117,0.39557,,151,,12.6
118,0.39886,,151,,12.2
119,0.4019,,151,,12.2
120,0.40501,,151,,12.2
121,0.4081,,151,,12.4
122,0.4111,,151,,12.6
123,0.41418,,151,,12.6
124,0.41735,,151,,12.8
125,0.42071,,151,,12.8
126,0.42391,,151,,13.2
127,0.42686,,151,,13.4
128,0.42982,,150,,13.2
129,0.43279,,150,,12.8
130,0.4359,,150,,12.4
131,0.43928,,150,,12.6
132,0.44226,,150,,12.8
133,0.44551,,151,,12.4
134,0.4487,,150,,12.6
135,0.45181,,151,,12.4
136,0.4549,,150,,12.4
137,0.45785,,150,,12.6
138,0.4607,,150,,12.8
139,0.46365,,150,,13.4
140,0.46665,,151,,13.4
141,0.46968,,150,,14
142,0.47281,,150,,14.4
143,0.47608,,150,,14.8
144,0.47941,,150,,15.4
145,0.48264,,150,,15.8
146,0.4859,,149,,15.8
147,0.48956,,149,,16
148,0.49288,,149,,16.4
149,0.49609,,149,,16.6
150,0.49933,,148,,16.6
151,0.50233,,149,,16.6
152,0.50537,,148,,16.6
153,0.50836,,148,,16.6
154,0.51166,,148,,16.4
155,0.51469,,148,,16.2
156,0.51787,,147,,16
157,0.52125,,148,,15.2
158,0.52431,,148,,14.8
159,0.52668,,148,,14.4
160,0.52958,,148,,14
161,0.53288,,148,,13.8
162,0.53609,,148,,13.8
163,0.53914,,149,,13.6
164,0.54239,,149,,13.2
165,0.54569,,149,,12.8
166,0.54871,,150,,12.8
167,0.55177,,150,,12.4
168,0.55479,,150,,12.2
169,0.55793,,150,,12.2
170,0.5612,,150,,12
171,0.56452,,151,,11.6
172,0.56768,,151,,12
173,0.57091,,151,,12.2
174,0.57411,,151,,12.6
175,0.5773,,152,,13.2
176,0.5806,,151,,13.2
177,0.58379,,152,,14
178,0.58695,,151,,14.2
179,0.59026,,151,,14.4
180,0.59346,,152,,14.8
181,0.59676,,152,,15.6
182,0.60023,,152,,16.2
183,0.60357,,152,,16.8
184,0.60684,,152,,17.4
185,0.61024,,152,,17.8
186,0.61329,,152,,17.8
187,0.61657,,153,,18.4
188,0.61952,,152,,18.4
189,0.62244,,153,,18.8
190,0.62537,,152,,18.8
