secs,km,power,hr,cad,alt
0,0,,90,,426
1,0.00052,,90,,426.2
2,0.00315,,90,,426
3,0.00473,,90,,426.2
4,0.00659,,90,,426.4
5,0.00852,,91,,426
6,0.01063,,91,,426.4
7,0.01475,,92,,426.2
8,0.01475,,92,,426.2
9,0.01686,,93,,426.2
10,0.01895,,93,,426.2
11,0.02093,,94,,426.2
12,0.02292,,95,,426.4
13,0.0248,,96,,426.4
14,0.02678,,96,,426.4
15,0.02882,,97,,426.4
16,0.0309,,98,,426.4
17,0.03298,,99,,426.4
18,0.03503,,100,,426.4
19,0.03705,,101,,426.4
20,0.03905,,102,,426.4
21,0.04102,,103,,426.2
22,0.04283,,105,,426.2
23,0.04477,,105,,426.2
24,0.04689,,106,,426.2
25,0.04902,,106,,426.2
26,0.05104,,107,,426.2
27,0.05301,,108,,426.2
28,0.05484,,108,,426.2
29,0.05664,,108,,426.4
30,0.05857,,108,,426.4
31,0.06047,,108,,426.4
32,0.0624,,108,,426.4
33,0.06425,,109,,426.4
34,0.06608,,108,,426.4
35,0.06792,,108,,426.4
36,0.06989,,108,,426.4
37,0.07177,,108,,426.4
38,0.07378,,108,,426.4
39,0.07569,,108,,426.2
40,0.07745,,108,,426.2
41,0.0796,,107,,426.2
42,0.08161,,108,,426.2
43,0.08354,,108,,426
44,0.0854,,109,,426
45,0.08699,,109,,426
46,0.08857,,110,,426
47,0.08979,,110,,426
48,0.09112,,111,,426
49,0.09311,,112,,426.2
50,0.09476,,112,,426.2
51,0.09641,,113,,426.2
52,0.09799,,113,,426.2
53,0.09944,,113,,426.2
54,0.10073,,113,,426.2
55,0.10208,,112,,426.2
56,0.10336,,112,,426.2
57,0.10515,,113,,426.4
58,0.10678,,113,,426.4
59,0.10837,,113,,426.4
60,0.11008,,113,,426.4
61,0.11169,,113,,426.4
62,0.11355,,113,,426.4
63,0.11552,,113,,426.4
64,0.11727,,114,,426.4
65,0.11896,,114,,426.2
66,0.12066,,115,,426.2
67,0.12334,,115,,426.2
68,0.12525,,115,,426
69,0.12721,,115,,426
70,0.12872,,115,,426
71,0.13031,,115,,426
72,0.13189,,115,,426
73,0.13362,,116,,426.2
74,0.13544,,116,,426.2
75,0.13739,,116,,426
76,0.13938,,117,,426
77,0.1413,,117,,426
78,0.14324,,117,,426
79,0.1452,,117,,426
80,0.147,,117,,426
81,0.14877,,117,,426
82,0.15068,,117,,426
83,0.1527,,117,,426
84,0.15487,,117,,426
85,0.15723,,117,,426.2
86,0.15955,,117,,426.2
87,0.16174,,117,,426.4
88,0.1638,,116,,426.2
89,0.16582,,116,,426.2
90,0.16771,,116,,426.2
91,0.16955,,116,,426.2
92,0.17146,,116,,426
93,0.17323,,116,,426
94,0.17503,,117,,426
95,0.17683,,117,,426
96,0.17879,,117,,425.8
97,0.18084,,117,,425.8
98,0.1828,,117,,426
99,0.18476,,117,,426
100,0.18685,,117,,426
101,0.18887,,116,,426.2
102,0.19097,,117,,426.2
103,0.19298,,116,,426.2
104,0.19496,,117,,426.2
105,0.19676,,116,,426.2
106,0.1985,,116,,426.4
107,0.20027,,116,,426.2
108,0.20211,,116,,426.2
109,0.20389,,116,,426.2
110,0.2056,,116,,426.2
111,0.20765,,116,,426.2
112,0.20955,,116,,426
113,0.2116,,117,,425.8
114,0.21365,,117,,425.8
115,0.21556,,117,,425.8
116,0.21744,,117,,425.8
117,0.2192,,117,,425.8
118,0.2209,,118,,426
119,0.2228,,118,,426
120,0.22463,,118,,426
121,0.2265,,118,,426.2
122,0.2286,,118,,426.2
123,0.23072,,118,,426.2
124,0.23269,,118,,426.2
125,0.2346,,118,,426
126,0.2364,,119,,426
127,0.24004,,119,,426
128,0.24004,,119,,425.8
129,0.24208,,119,,426
130,0.24425,,119,,425.8
131,0.24638,,119,,425.8
132,0.24835,,119,,426
133,0.25021,,119,,426
134,0.25215,,120,,426
135,0.25401,,120,,426
136,0.25601,,120,,426
137,0.25823,,120,,426
138,0.26024,,120,,426.2
139,0.26206,,120,,426.2
140,0.26364,,120,,426.2
141,0.26511,,120,,426.2
142,0.26643,,120,,426.2
143,0.26843,,120,,426.2
144,0.27045,,120,,426.2
145,0.27176,,120,,426.2
146,0.27343,,120,,426
147,0.27522,,120,,426
148,0.27717,,120,,426
149,0.27917,,120,,426
150,0.28081,,119,,426
151,0.2826,,120,,426
152,0.28394,,119,,426.2
153,0.28518,,119,,426.2
