secs,km,power,hr,cad,alt
0,0,,80,,41.2
1,0.0044,,80,,41.2
2,0.0078,,89,,40.8
3,0.0111,,89,,41
4,0.0138,,89,,40.8
5,0.0171,,89,,40.8
6,0.02,,89,,41
7,0.0227,,89,,41
8,0.0257,,89,,41
9,0.0289,,89,,41
10,0.0319,,89,,41
11,0.0349,,102,,41
12,0.0383,,102,,41
13,0.0418,,102,,41.2
14,0.0451,,102,,41.2
15,0.0482,,103,,41.2
16,0.0511,,103,,41.2
17,0.0541,,103,,41.2
18,0.0572,,103,,41.2
19,0.0604,,103,,41.2
20,0.0634,,103,,41.2
21,0.0663,,105,,41.2
22,0.0694,,107,,41.2
23,0.0725,,109,,41.2
24,0.0758,,109,,41.2
25,0.0792,,110,,41.2
26,0.0824,,110,,41.2
27,0.0853,,110,,41.2
28,0.0883,,110,,41.2
29,0.0913,,110,,41
30,0.0945,,110,,41
31,0.0975,,111,,41
32,0.1007,,112,,41
33,0.1036,,112,,41.2
34,0.1068,,112,,41.2
35,0.1102,,112,,41
36,0.1131,,113,,41
37,0.1162,,113,,41.2
38,0.119,,114,,41.4
39,0.1223,,115,,41.4
40,0.1261,,115,,41.2
41,0.1291,,115,,41.2
42,0.132,,115,,41.4
43,0.1349,,115,,41.4
44,0.1379,,115,,41.4
45,0.1407,,115,,41.4
46,0.143,,115,,41.4
47,0.146,,116,,41.4
48,0.1489,,116,,41.6
49,0.152,,117,,41.4
50,0.1552,,118,,41.4
51,0.1578,,118,,41.6
52,0.1611,,118,,41.6
53,0.1645,,118,,41.4
54,0.168,,118,,41.4
55,0.1712,,119,,41.4
56,0.1739,,119,,41.6
57,0.177,,120,,41.4
58,0.1801,,120,,41.4
59,0.1834,,120,,41.4
60,0.1858,,120,,41.4
61,0.1882,,120,,41.6
62,0.1917,,120,,41.4
63,0.1949,,120,,41.4
64,0.1976,,121,,41.2
65,0.2007,,121,,41
66,0.2039,,122,,41
67,0.2068,,122,,40.8
68,0.2101,,123,,40.6
69,0.2132,,123,,40.8
70,0.2165,,123,,40.6
