secs,km,power,hr,cad,alt
0,0,,68,,0
1,0.00151,,71,,0
2,0.00304,,73,,0
3,0.00463,,74,,0
4,0.00638,,76,,0
5,0.00821,,78,,0
6,0.01011,,79,,0
7,0.01203,,82,,0
8,0.01398,,81,,0
9,0.01496,,82,,0
10,0.01594,,83,,0
11,0.01796,,86,,0
12,0.02028,,86,,0
13,0.02272,,87,,0
14,0.02517,,86,,0
15,0.02762,,88,,0
16,0.03008,,94,,0
17,0.03262,,97,,0
18,0.03519,,103,,0
19,0.03779,,107,,0
20,0.04043,,111,,0
21,0.04308,,113,,0
22,0.04573,,118,,0
23,0.0484,,119,,0
24,0.05107,,121,,0
25,0.05373,,121,,0
26,0.05638,,121,,0
27,0.05903,,122,,0
28,0.0617,,121,,0
29,0.06439,,122,,0
30,0.06709,,121,,0
31,0.06982,,125,,0
32,0.07255,,128,,0
33,0.07527,,128,,0
34,0.07798,,129,,0
35,0.08068,,130,,0
36,0.08337,,131,,0
37,0.08605,,131,,0
38,0.08874,,131,,0
39,0.09144,,131,,0
40,0.09414,,132,,0
41,0.09684,,133,,0
42,0.09955,,134,,0
43,0.10225,,135,,0
44,0.10496,,134,,0
45,0.10766,,134,,0
46,0.11038,,135,,0
47,0.11309,,135,,0
48,0.11581,,136,,0
49,0.11851,,137,,0
50,0.1212,,136,,0
51,0.1239,,135,,0
52,0.12659,,136,,0
53,0.12927,,138,,0
54,0.13196,,138,,0
55,0.13466,,140,,0
56,0.13735,,138,,0
57,0.14005,,137,,0
58,0.14275,,138,,0
59,0.14544,,136,,0
60,0.14813,,135,,0
61,0.15082,,136,,0
62,0.1535,,137,,0
63,0.15619,,135,,0
64,0.15887,,134,,0
65,0.16155,,135,,0
66,0.16423,,134,,0
67,0.16691,,133,,0
68,0.1696,,134,,0
69,0.1723,,135,,0
70,0.175,,135,,0
71,0.17771,,137,,0
72,0.18041,,137,,0
73,0.18312,,136,,0
74,0.18583,,135,,0
75,0.18853,,135,,0
76,0.19124,,135,,0
77,0.19394,,135,,0
78,0.19666,,135,,0
79,0.19938,,136,,0
80,0.20211,,136,,0
81,0.20484,,135,,0
82,0.20757,,135,,0
83,0.21029,,134,,0
84,0.21302,,133,,0
85,0.21574,,133,,0
86,0.21845,,134,,0
87,0.22115,,134,,0
88,0.22386,,134,,0
89,0.22655,,135,,0
90,0.22925,,135,,0
91,0.23194,,135,,0
92,0.23463,,135,,0
93,0.23732,,135,,0
94,0.24002,,135,,0
95,0.24272,,136,,0
96,0.2454,,136,,0
97,0.24809,,136,,0
98,0.25078,,137,,0
99,0.25347,,137,,0
100,0.25617,,137,,0
101,0.25887,,137,,0
102,0.26157,,136,,0
103,0.26426,,136,,0
104,0.26696,,135,,0
105,0.26966,,135,,0
106,0.27237,,135,,0
107,0.27508,,135,,0
108,0.27778,,136,,0
109,0.28048,,137,,0
110,0.28318,,137,,0
111,0.28587,,136,,0
112,0.28857,,136,,0
113,0.29126,,136,,0
114,0.29397,,136,,0
115,0.29667,,136,,0
116,0.29939,,135,,0
117,0.30211,,135,,0
118,0.30482,,135,,0
119,0.30754,,135,,0
120,0.31025,,135,,0
121,0.31297,,135,,0
122,0.31568,,135,,0
123,0.31839,,135,,0
124,0.3211,,135,,0
125,0.3238,,135,,0
126,0.3265,,135,,0
127,0.32919,,135,,0
128,0.33189,,135,,0
129,0.33458,,135,,0
130,0.33727,,135,,0
131,0.33995,,135,,0
132,0.34264,,135,,0
133,0.34533,,135,,0
134,0.34802,,135,,0
135,0.35072,,135,,0
136,0.35342,,135,,0
137,0.35611,,135,,0
138,0.35881,,135,,0
139,0.3615,,135,,0
140,0.36419,,135,,0
141,0.36687,,135,,0
142,0.36954,,135,,0
143,0.37221,,135,,0
144,0.37487,,135,,0
145,0.37752,,135,,0
146,0.38017,,135,,0
147,0.38282,,135,,0
148,0.38547,,135,,0
149,0.38811,,135,,0
150,0.39075,,135,,0
151,0.39338,,135,,0
152,0.39601,,135,,0
153,0.39864,,135,,0
154,0.40129,,135,,0
155,0.40394,,136,,0
156,0.40659,,136,,0
157,0.40925,,136,,0
158,0.41191,,136,,0
159,0.41458,,136,,0
160,0.41726,,136,,0
161,0.41993,,136,,0
162,0.42261,,136,,0
163,0.4253,,136,,0
164,0.428,,136,,0
165,0.43071,,136,,0
166,0.43343,,136,,0
167,0.43614,,136,,0
168,0.43886,,136,,0
169,0.44155,,136,,0
170,0.44424,,136,,0
171,0.44693,,136,,0
172,0.4496,,136,,0
173,0.45228,,136,,0
174,0.45494,,136,,0
175,0.45761,,136,,0
176,0.46028,,136,,0
