secs,km,power,hr,cad,alt
0,0,,67,,80.4
1,0.00285,,68,,80.6
2,0.00455,,69.3333,,80.8
3,0.00625,,70.6667,,81
4,0.00795,,72,,81.2
5,0.0109533,,73.3333,,81.5333
6,0.0139567,,74.6667,,81.8667
7,0.01696,,76,,82.2
8,0.0195933,,76.3333,,82.4
9,0.0222267,,76.6667,,82.6
10,0.02486,,77,,82.8
11,0.0278686,,77,,82.9714
12,0.0308771,,77,,83.1429
13,0.0338857,,77,,83.3143
14,0.0368943,,77,,83.4857
15,0.0399029,,77,,83.6571
16,0.0429114,,77,,83.8286
17,0.04592,,77,,84
18,0.049284,,77.6,,84.16
19,0.052648,,78.2,,84.32
20,0.056012,,78.8,,84.48
21,0.059376,,79.4,,84.64
22,0.06274,,80,,84.8
23,0.0660586,,80.1429,,85.2286
24,0.0693771,,80.2857,,85.6571
25,0.0726957,,80.4286,,86.0857
26,0.0760143,,80.5714,,86.5143
27,0.0793329,,80.7143,,86.9429
28,0.0826514,,80.8571,,87.3714
29,0.08597,,81,,87.8
30,0.0892786,,81.2857,,87.5429
31,0.0925871,,81.5714,,87.2857
32,0.0958957,,81.8571,,87.0286
33,0.0992043,,82.1429,,86.7714
34,0.102513,,82.4286,,86.5143
35,0.105821,,82.7143,,86.2571
36,0.10913,,83,,86
37,0.111772,,83.8333,,85.0333
38,0.114413,,84.6667,,84.0667
39,0.117055,,85.5,,83.1
40,0.119697,,86.3333,,82.1333
41,0.122338,,87.1667,,81.1667
42,0.12498,,88,,80.2
43,0.12834,,88,,80.2
44,0.131958,,88,,80.4333
45,0.135577,,88,,80.6667
46,0.139195,,88,,80.9
47,0.142813,,88,,81.1333
48,0.146432,,88,,81.3667
49,0.15005,,88,,81.6
50,0.15326,,88,,81.7429
51,0.15647,,88,,81.8857
52,0.15968,,88,,82.0286
53,0.16289,,88,,82.1714
54,0.1661,,88,,82.3143
55,0.16931,,88,,82.4571
56,0.17252,,88,,82.6
57,0.17556,,89.5,,82.5
58,0.1786,,91,,82.4
59,0.18174,,91.2857,,82.4857
60,0.18488,,91.5714,,82.5714
61,0.18802,,91.8571,,82.6571
62,0.19116,,92.1429,,82.7429
63,0.1943,,92.4286,,82.8286
64,0.19744,,92.7143,,82.9143
65,0.20058,,93,,83
66,0.203978,,93.75,,83.05
67,0.207375,,94.5,,83.1
68,0.210773,,95.25,,83.15
69,0.21417,,96,,83.2
70,0.21775,,96.3333,,83.3667
71,0.22133,,96.6667,,83.5333
72,0.22491,,97,,83.7
73,0.22849,,97.3333,,83.8667
74,0.23207,,97.6667,,84.0333
75,0.23565,,98,,84.2
76,0.239303,,98,,84.2667
77,0.242957,,98,,84.3333
78,0.24661,,98,,84.4
79,0.250263,,98,,84.4667
80,0.253917,,98,,84.5333
81,0.25757,,98,,84.6
82,0.26128,,98.1667,,84.6667
83,0.26499,,98.3333,,84.7333
84,0.2687,,98.5,,84.8
85,0.27241,,98.6667,,84.8667
86,0.27612,,98.8333,,84.9333
87,0.27983,,99,,85
88,0.283497,,99.3333,,85.2
89,0.287163,,99.6667,,85.4
90,0.29083,,100,,85.6
91,0.294497,,100.333,,85.8
92,0.298163,,100.667,,86
93,0.30183,,101,,86.2
94,0.305104,,101.143,,86.1429
95,0.308379,,101.286,,86.0857
96,0.311653,,101.429,,86.0286
97,0.314927,,101.571,,85.9714
98,0.318201,,101.714,,85.9143
99,0.321476,,101.857,,85.8571
100,0.32475,,102,,85.8
101,0.328298,,102,,85.5333
102,0.331847,,102,,85.2667
103,0.335395,,102,,85
104,0.338943,,102,,84.7333
105,0.342492,,102,,84.4667
106,0.34604,,102,,84.2
107,0.349815,,103.5,,83.8
108,0.35359,,105,,83.4
109,0.35725,,105,,83.1667
110,0.36091,,105,,82.9333
111,0.36457,,105,,82.7
112,0.36823,,105,,82.4667
