secs,km,power,hr,cad,alt
0,0,,108,,9.6
1,0.0014,,109,,9.6
2,0.0035,,113.5,,9.6
3,0.0056,,118,,9.6
4,0.00951,,118.6,,9.6
5,0.01342,,119.2,,9.6
6,0.01733,,119.8,,9.6
7,0.02124,,120.4,,9.6
8,0.02515,,121,,9.6
9,0.029298,,122,,9.68
10,0.033446,,123,,9.76
11,0.037594,,124,,9.84
12,0.041742,,125,,9.92
13,0.04589,,126,,10
14,0.050505,,127.5,,10
15,0.05512,,129,,10
16,0.059486,,129.2,,10.08
17,0.063852,,129.4,,10.16
18,0.068218,,129.6,,10.24
19,0.072584,,129.8,,10.32
20,0.07695,,130,,10.4
21,0.081214,,130.2,,10.48
22,0.085478,,130.4,,10.56
23,0.089742,,130.6,,10.64
24,0.094006,,130.8,,10.72
25,0.09827,,131,,10.8
26,0.10251,,134.5,,11
27,0.10675,,138,,11.2
28,0.11103,,139.5,,11.4
29,0.11531,,141,,11.6
30,0.119445,,143,,11.9
31,0.12358,,145,,12.2
32,0.127624,,145.4,,12.36
33,0.131668,,145.8,,12.52
34,0.135712,,146.2,,12.68
35,0.139756,,146.6,,12.84
36,0.1438,,147,,13
37,0.14729,,147.75,,13
38,0.15078,,148.5,,13
39,0.15427,,149.25,,13
40,0.15776,,150,,13
41,0.161525,,150.167,,13
42,0.16529,,150.333,,13
43,0.169055,,150.5,,13
44,0.17282,,150.667,,13
45,0.176585,,150.833,,13
46,0.18035,,151,,13
47,0.184385,,152,,13
48,0.18842,,153,,13
49,0.192455,,154,,13
50,0.19649,,155,,13
51,0.200602,,155,,13.04
52,0.204714,,155,,13.08
53,0.208826,,155,,13.12
54,0.212938,,155,,13.16
55,0.21705,,155,,13.2
56,0.221046,,155.8,,13.28
57,0.225042,,156.6,,13.36
58,0.229038,,157.4,,13.44
59,0.233034,,158.2,,13.52
60,0.23703,,159,,13.6
61,0.24103,,159,,13.4
62,0.24503,,159,,13.2
63,0.24903,,159,,13
64,0.25303,,159,,12.8
65,0.25703,,159,,12.6
66,0.260021,,159.143,,12.5143
67,0.263013,,159.286,,12.4286
68,0.266004,,159.429,,12.3429
69,0.268996,,159.571,,12.2571
70,0.271987,,159.714,,12.1714
71,0.274979,,159.857,,12.0857
72,0.27797,,160,,12
73,0.283235,,160.5,,11.7
74,0.2885,,161,,11.4
75,0.293765,,161.5,,11.1
76,0.29903,,162,,10.8
77,0.303272,,162,,10.68
78,0.307514,,162,,10.56
79,0.311756,,162,,10.44
80,0.315998,,162,,10.32
81,0.32024,,162,,10.2
82,0.32425,,162.75,,10.2
83,0.32826,,163.5,,10.2
84,0.33227,,164.25,,10.2
85,0.33628,,165,,10.2
86,0.340152,,165.167,,10.5
87,0.344023,,165.333,,10.8
88,0.347895,,165.5,,11.1
89,0.351767,,165.667,,11.4
90,0.355638,,165.833,,11.7
91,0.35951,,166,,12
92,0.363485,,166.75,,12.3
93,0.36746,,167.5,,12.6
94,0.371435,,168.25,,12.9
95,0.37541,,169,,13.2
96,0.379247,,169,,13.4667
97,0.383083,,169,,13.7333
98,0.38692,,169,,14
99,0.390757,,169,,14.2667
100,0.394593,,169,,14.5333
101,0.39843,,169,,14.8
102,0.402614,,169,,15.04
103,0.406798,,169,,15.28
104,0.410982,,169,,15.52
105,0.415166,,169,,15.76
106,0.41935,,169,,16
107,0.423262,,169,,16.1667
108,0.427173,,169,,16.3333
109,0.431085,,169,,16.5
110,0.434997,,169,,16.6667
111,0.438908,,169,,16.8333
112,0.44282,,169,,17
113,0.446642,,169,,16.7333
114,0.450463,,169,,16.4667
115,0.454285,,169,,16.2
116,0.458107,,169,,15.9333
117,0.461928,,169,,15.6667
118,0.46575,,169,,15.4
119,0.469598,,168.833,,15.1667
120,0.473447,,168.667,,14.9333
121,0.477295,,168.5,,14.7
122,0.481143,,168.333,,14.4667
123,0.484992,,168.167,,14.2333
124,0.48884,,168,,14
125,0.49398,,168.333,,13.7333
126,0.49912,,168.667,,13.4667
127,0.50426,,169,,13.2
128,0.507782,,169,,13.1333
129,0.511303,,169,,13.0667
130,0.514825,,169,,13
131,0.518347,,169,,12.9333
132,0.521868,,169,,12.8667
133,0.52539,,169,,12.8
134,0.526553,,168.667,,12.7333
135,0.527717,,168.333,,12.6667
136,0.52888,,168,,12.6
137,0.530393,,168,,12.5714
138,0.531906,,168,,12.5429
139,0.533419,,168,,12.5143
140,0.534931,,168,,12.4857
141,0.536444,,168,,12.4571
142,0.537957,,168,,12.4286
143,0.53947,,168,,12.4
144,0.540534,,167.625,,12.4
145,0.541598,,167.25,,12.4
146,0.542661,,166.875,,12.4
147,0.543725,,166.5,,12.4
148,0.544789,,166.125,,12.4
149,0.545853,,165.75,,12.4
150,0.546916,,165.375,,12.4
151,0.54798,,165,,12.4
152,0.549378,,163,,12.5
153,0.550775,,161,,12.6
154,0.552172,,159,,12.7
155,0.55357,,157,,12.8
156,0.554997,,156.25,,12.85
157,0.556425,,155.5,,12.9
158,0.557852,,154.75,,12.95
159,0.55928,,154,,13
160,0.560525,,152.5,,13.1
161,0.56177,,151,,13.2
162,0.56294,,146,,13.2
163,0.56403,,142,,13.2
164,0.56528,,142,,13.4
165,0.566474,,141.4,,13.44
166,0.567668,,140.8,,13.48
167,0.568862,,140.2,,13.52
168,0.570056,,139.6,,13.56
169,0.57125,,139,,13.6
170,0.57239,,135,,13.8
171,0.57377,,132,,13.8
172,0.575097,,131,,13.8667
173,0.576423,,130,,13.9333
174,0.57775,,129,,14
175,0.578977,,127.667,,14.1333
176,0.580203,,126.333,,14.2667
177,0.58143,,125,,14.4
178,0.58282,,124.4,,14.48
179,0.58421,,123.8,,14.56
180,0.5856,,123.2,,14.64
181,0.58699,,122.6,,14.72
182,0.58838,,122,,14.8
183,0.589744,,121.6,,14.9
184,0.591108,,121.2,,15
185,0.592472,,120.8,,15.1
186,0.593836,,120.4,,15.2
187,0.5952,,120,,15.3
188,0.596564,,119.6,,15.4
189,0.597928,,119.2,,15.5
190,0.599292,,118.8,,15.6
191,0.600656,,118.4,,15.7
192,0.60202,,118,,15.8
193,0.60339,,117.2,,15.88
194,0.60476,,116.4,,15.96
195,0.60613,,115.6,,16.04
196,0.6075,,114.8,,16.12
197,0.60887,,114,,16.2
198,0.610301,,113.571,,16.2
199,0.611733,,113.143,,16.2
200,0.613164,,112.714,,16.2
201,0.614596,,112.286,,16.2
202,0.616027,,111.857,,16.2
203,0.617459,,111.429,,16.2
204,0.61889,,111,,16.2
205,0.620313,,112,,16.2667
206,0.621737,,113,,16.3333
207,0.62316,,114,,16.4
208,0.6244,,114.5,,16.3667
209,0.62564,,115,,16.3333
210,0.62688,,115.5,,16.3
211,0.62812,,116,,16.2667
212,0.62936,,116.5,,16.2333
213,0.6306,,117,,16.2
214,0.631635,,116.8,,16.14
215,0.63267,,116.6,,16.08
216,0.633705,,116.4,,16.02
217,0.63474,,116.2,,15.96
218,0.635775,,116,,15.9
219,0.63681,,115.8,,15.84
220,0.637845,,115.6,,15.78
221,0.63888,,115.4,,15.72
222,0.639915,,115.2,,15.66
223,0.64095,,115,,15.6
224,0.642108,,115.333,,15.6667
225,0.643267,,115.667,,15.7333
226,0.644425,,116,,15.8
227,0.645583,,116.333,,15.8667
228,0.646742,,116.667,,15.9333
229,0.6479,,117,,16
230,0.650532,,117.5,,16.025
231,0.653165,,118,,16.05
232,0.655797,,118.5,,16.075
233,0.65843,,119,,16.1
234,0.661062,,119.5,,16.125
