secs,km,power,hr,cad,alt
0,0,,104,,52.4
1,0.00239,,103,,47.6
2,0.00479,,103,,45.2
3,0.00719,,103,,44.2
4,0.00958667,,103,,43.7333
5,0.0119833,,103,,43.2667
6,0.01438,,103,,42.8
7,0.0167789,,103.111,,42.8
8,0.0191778,,103.222,,42.8
9,0.0215767,,103.333,,42.8
10,0.0239756,,103.444,,42.8
11,0.0263744,,103.556,,42.8
12,0.0287733,,103.667,,42.8
13,0.0311722,,103.778,,42.8
14,0.0335711,,103.889,,42.8
15,0.03597,,104,,42.8
16,0.038365,,105.5,,42.8
17,0.04076,,107,,42.8
18,0.04316,,108,,42.8
19,0.04556,,109,,42.8
20,0.04796,,110,,42.8
21,0.050355,,111.5,,42.8
22,0.05275,,113,,42.8
23,0.055355,,114.5,,42.8
24,0.05796,,116,,42.8
25,0.060835,,117.5,,42.8
26,0.06371,,119,,42.8
27,0.0667067,,120,,42.8
28,0.0697033,,121,,42.8
29,0.0727,,122,,42.8
30,0.0757375,,122.75,,42.8
31,0.078775,,123.5,,42.8
32,0.0818125,,124.25,,42.8
33,0.08485,,125,,42.8
34,0.0879767,,125.5,,42.7333
35,0.0911033,,126,,42.6667
36,0.09423,,126.5,,42.6
37,0.0973567,,127,,42.5333
38,0.100483,,127.5,,42.4667
39,0.10361,,128,,42.4
40,0.106775,,128.75,,42.35
41,0.10994,,129.5,,42.3
42,0.113105,,130.25,,42.25
43,0.11627,,131,,42.2
44,0.119434,,131.286,,42.1714
45,0.122599,,131.571,,42.1429
46,0.125763,,131.857,,42.1143
47,0.128927,,132.143,,42.0857
48,0.132091,,132.429,,42.0571
49,0.135256,,132.714,,42.0286
50,0.13842,,133,,42
51,0.141555,,134,,42
52,0.14469,,135,,42
53,0.147794,,135.6,,42
54,0.150898,,136.2,,42
55,0.154002,,136.8,,42
56,0.157106,,137.4,,42
57,0.16021,,138,,42
58,0.163245,,138.5,,42
59,0.16628,,139,,42
60,0.169315,,139.5,,42
61,0.17235,,140,,42
62,0.175385,,140.5,,42
63,0.17842,,141,,42
64,0.181439,,141,,42
65,0.184457,,141,,42
66,0.187476,,141,,42
67,0.190494,,141,,42
68,0.193513,,141,,42
69,0.196531,,141,,42
70,0.19955,,141,,42
71,0.202592,,141.75,,42
72,0.205635,,142.5,,42
73,0.208677,,143.25,,42
74,0.21172,,144,,42
75,0.214765,,144.5,,42
76,0.21781,,145,,42
77,0.220855,,145.5,,42
78,0.2239,,146,,42
79,0.226945,,146.5,,42
80,0.22999,,147,,42
81,0.23303,,147.286,,42
82,0.23607,,147.571,,42
83,0.23911,,147.857,,42
84,0.24215,,148.143,,42
85,0.24519,,148.429,,42
86,0.24823,,148.714,,42
87,0.25127,,149,,42
88,0.254243,,149,,41.9714
89,0.257216,,149,,41.9429
90,0.260189,,149,,41.9143
91,0.263161,,149,,41.8857
92,0.266134,,149,,41.8571
93,0.269107,,149,,41.8286
94,0.27208,,149,,41.8
95,0.275035,,149.25,,41.75
96,0.27799,,149.5,,41.7
97,0.280945,,149.75,,41.65
98,0.2839,,150,,41.6
99,0.286849,,150.143,,41.5714
100,0.289797,,150.286,,41.5429
101,0.292746,,150.429,,41.5143
102,0.295694,,150.571,,41.4857
103,0.298643,,150.714,,41.4571
104,0.301591,,150.857,,41.4286
105,0.30454,,151,,41.4
106,0.30754,,151.143,,41.3714
107,0.31054,,151.286,,41.3429
108,0.31354,,151.429,,41.3143
109,0.31654,,151.571,,41.2857
110,0.31954,,151.714,,41.2571
111,0.32254,,151.857,,41.2286
112,0.32554,,152,,41.2
113,0.328521,,151.857,,41.2286
114,0.331503,,151.714,,41.2571
115,0.334484,,151.571,,41.2857
116,0.337466,,151.429,,41.3143
117,0.340447,,151.286,,41.3429
118,0.343429,,151.143,,41.3714
119,0.34641,,151,,41.4
120,0.34913,,151.333,,41.4
121,0.35185,,151.667,,41.4
122,0.35457,,152,,41.4
123,0.357256,,152,,41.4
124,0.359942,,152,,41.4
125,0.362629,,152,,41.4
126,0.365315,,152,,41.4
127,0.368001,,152,,41.4
128,0.370688,,152,,41.4
129,0.373374,,152,,41.4
130,0.37606,,152,,41.4
131,0.378971,,152.143,,41.4
132,0.381883,,152.286,,41.4
133,0.384794,,152.429,,41.4
