secs,km,power,hr,cad,alt
0,0,,115,,-333
1,0.00093,,115,,-332.6
2,0.00235,,115,,-332.8
3,0.00462,,115,,-331.8
4,0.00717375,,114.875,,-331.8
5,0.0097275,,114.75,,-331.8
6,0.0122812,,114.625,,-331.8
7,0.014835,,114.5,,-331.8
8,0.0173887,,114.375,,-331.8
9,0.0199425,,114.25,,-331.8
10,0.0224962,,114.125,,-331.8
11,0.02505,,114,,-331.8
12,0.02776,,111.5,,-331.5
13,0.03047,,109,,-331.2
14,0.03293,,106,,-331
15,0.03559,,106.5,,-330.8
16,0.03825,,107,,-330.6
17,0.041,,109,,-330.5
18,0.04375,,111,,-330.4
19,0.046515,,114,,-330.2
20,0.04928,,117,,-330
21,0.051915,,118.5,,-330.1
22,0.05455,,120,,-330.2
23,0.05733,,124,,-330.2
24,0.06013,,128,,-330.6
25,0.06283,,134,,-330.4
26,0.065325,,136.5,,-330.4
27,0.06782,,139,,-330.4
28,0.0703325,,140,,-330.45
29,0.072845,,141,,-330.5
30,0.0753575,,142,,-330.55
31,0.07787,,143,,-330.6
32,0.08058,,146,,-330.6
33,0.08345,,143,,-330.6
34,0.08619,,146,,-330.6
35,0.08877,,151,,-330.6
36,0.09127,,154,,-330.2
37,0.093885,,156,,-330.4
38,0.0965,,158,,-330.6
39,0.09908,,157,,-330.4
40,0.101917,,155.667,,-330.333
41,0.104753,,154.333,,-330.267
42,0.10759,,153,,-330.2
43,0.110298,,153.25,,-330.05
44,0.113005,,153.5,,-329.9
45,0.115713,,153.75,,-329.75
46,0.11842,,154,,-329.6
47,0.121008,,153.2,,-329.68
48,0.123596,,152.4,,-329.76
49,0.126184,,151.6,,-329.84
50,0.128772,,150.8,,-329.92
51,0.13136,,150,,-330
52,0.13394,,149,,-330.04
53,0.13652,,148,,-330.08
54,0.1391,,147,,-330.12
55,0.14168,,146,,-330.16
56,0.14426,,145,,-330.2
57,0.146905,,147.5,,-330
58,0.14955,,150,,-329.8
59,0.152197,,151,,-329.667
60,0.154843,,152,,-329.533
61,0.15749,,153,,-329.4
62,0.160052,,153.833,,-329.433
63,0.162613,,154.667,,-329.467
64,0.165175,,155.5,,-329.5
65,0.167737,,156.333,,-329.533
66,0.170298,,157.167,,-329.567
67,0.17286,,158,,-329.6
68,0.175405,,157.25,,-329.7
69,0.17795,,156.5,,-329.8
70,0.180495,,155.75,,-329.9
71,0.18304,,155,,-330
72,0.1857,,152.5,,-330.2
73,0.18836,,150,,-330.4
74,0.191037,,149.5,,-330.333
75,0.193713,,149,,-330.267
76,0.19639,,148.5,,-330.2
77,0.199067,,148,,-330.133
78,0.201743,,147.5,,-330.067
79,0.20442,,147,,-330
80,0.207119,,147.125,,-329.975
81,0.209817,,147.25,,-329.95
82,0.212516,,147.375,,-329.925
83,0.215215,,147.5,,-329.9
