secs,km,power,hr,cad,alt
0,0,,94,,680.6
1,0.00019,,93,,680.6
2,0.00019,,92.1667,,680.583
3,0.00019,,91.3333,,680.567
4,0.00019,,90.5,,680.55
5,0.00019,,89.6667,,680.533
6,0.00019,,88.8333,,680.517
7,0.00019,,88,,680.5
8,0.00019,,87.1667,,680.483
9,0.00019,,86.3333,,680.467
10,0.00019,,85.5,,680.45
11,0.00019,,84.6667,,680.433
12,0.00019,,83.8333,,680.417
13,0.00019,,83,,680.4
14,0.00353,,76.5,,680.2
15,0.00687,,70,,680
16,0.01026,,84,,679.8
17,0.01367,,86.5,,679.8
18,0.01708,,89,,679.8
19,0.02062,,93,,679.8
20,0.02447,,96,,679.6
21,0.02832,,99,,679.4
22,0.03199,,102,,679.2
23,0.03551,,103.5,,679.1
24,0.03903,,105,,679
25,0.042165,,107,,678.9
26,0.0453,,109,,678.8
27,0.04871,,114,,678.4
28,0.05214,,114,,678.2
29,0.0554471,,114.143,,677.914
30,0.0587543,,114.286,,677.629
31,0.0620614,,114.429,,677.343
32,0.0653686,,114.571,,677.057
33,0.0686757,,114.714,,676.771
34,0.0719829,,114.857,,676.486
35,0.07529,,115,,676.2
36,0.07858,,121,,676.2
37,0.08186,,121,,676
38,0.08468,,124,,675.9
39,0.0875,,127,,675.8
40,0.09045,,131,,675.8
41,0.0937,,131,,675.6
42,0.09694,,134,,675.4
43,0.100297,,132.333,,675.267
44,0.103653,,130.667,,675.133
45,0.10701,,129,,675
46,0.110505,,127.5,,674.8
47,0.114,,126,,674.6
48,0.117242,,126.8,,674.56
49,0.120484,,127.6,,674.52
50,0.123726,,128.4,,674.48
51,0.126968,,129.2,,674.44
52,0.13021,,130,,674.4
53,0.13312,,136,,674.4
54,0.1362,,140,,674.4
55,0.13957,,140,,674.6
56,0.14257,,136.5,,674.4
57,0.14557,,133,,674.2
58,0.14862,,128,,674.4
59,0.15163,,130,,674.6
60,0.154723,,131.333,,674.533
61,0.157817,,132.667,,674.467
62,0.16091,,134,,674.4
63,0.16444,,133.833,,674.233
64,0.16797,,133.667,,674.067
65,0.1715,,133.5,,673.9
66,0.17503,,133.333,,673.733
67,0.17856,,133.167,,673.567
68,0.18209,,133,,673.4
69,0.185574,,133.6,,673.4
70,0.189058,,134.2,,673.4
71,0.192542,,134.8,,673.4
72,0.196026,,135.4,,673.4
73,0.19951,,136,,673.4
74,0.202865,,136,,673.567
75,0.20622,,136,,673.733
76,0.209575,,136,,673.9
77,0.21293,,136,,674.067
78,0.216285,,136,,674.233
79,0.21964,,136,,674.4
80,0.222747,,137,,674.2
81,0.225853,,138,,674
82,0.22896,,139,,673.8
83,0.232223,,139.143,,673.571
84,0.235486,,139.286,,673.343
85,0.238749,,139.429,,673.114
86,0.242011,,139.571,,672.886
87,0.245274,,139.714,,672.657
88,0.248537,,139.857,,672.429
89,0.2518,,140,,672.2
90,0.255087,,140,,671.886
91,0.258374,,140,,671.571
92,0.261661,,140,,671.257
93,0.264949,,140,,670.943
94,0.268236,,140,,670.629
95,0.271523,,140,,670.314
96,0.27481,,140,,670
97,0.277963,,140.429,,669.486
98,0.281116,,140.857,,668.971
99,0.284269,,141.286,,668.457
100,0.287421,,141.714,,667.943
101,0.290574,,142.143,,667.429
102,0.293727,,142.571,,666.914
103,0.29688,,143,,666.4
104,0.30049,,146,,665.8
105,0.304027,,146.167,,665.167
106,0.307563,,146.333,,664.533
107,0.3111,,146.5,,663.9
108,0.314637,,146.667,,663.267
109,0.318173,,146.833,,662.633
110,0.32171,,147,,662
111,0.325082,,146.667,,661.433
112,0.328453,,146.333,,660.867
113,0.331825,,146,,660.3
114,0.335197,,145.667,,659.733
115,0.338568,,145.333,,659.167
116,0.34194,,145,,658.6
117,0.345243,,145.143,,657.686
118,0.348546,,145.286,,656.771
119,0.351849,,145.429,,655.857
120,0.355151,,145.571,,654.943
121,0.358454,,145.714,,654.029
122,0.361757,,145.857,,653.114
123,0.36506,,146,,652.2
124,0.368408,,145.833,,651.4
125,0.371757,,145.667,,650.6
126,0.375105,,145.5,,649.8
127,0.378453,,145.333,,649
128,0.381802,,145.167,,648.2
129,0.38515,,145,,647.4
130,0.388267,,144.857,,646.829
131,0.391384,,144.714,,646.257
132,0.394501,,144.571,,645.686
133,0.397619,,144.429,,645.114
134,0.400736,,144.286,,644.543
135,0.403853,,144.143,,643.971
136,0.40697,,144,,643.4
137,0.410154,,143.857,,643.114
138,0.413339,,143.714,,642.829
139,0.416523,,143.571,,642.543
140,0.419707,,143.429,,642.257
141,0.422891,,143.286,,641.971
142,0.426076,,143.143,,641.686
143,0.42926,,143,,641.4
144,0.432708,,143,,641.133
145,0.436157,,143,,640.867
146,0.439605,,143,,640.6
147,0.443053,,143,,640.333
