secs,km,power,hr,cad,alt
0,0,,81,,-21
1,0.00045,,81,,-21
2,0.00045,,81.2222,,-21
3,0.00045,,81.4444,,-21
4,0.00045,,81.6667,,-21
5,0.00045,,81.8889,,-21
6,0.00045,,82.1111,,-21
7,0.00045,,82.3333,,-21
8,0.00045,,82.5556,,-21
9,0.00045,,82.7778,,-21
10,0.00045,,83,,-21
11,0.00254,,89,,-21.2
12,0.00499,,95,,-21.2
13,0.00713,,99,,-21.2
14,0.00915,,104,,-21.4
15,0.01131,,108,,-21.4
16,0.01338,,113,,-21.4
17,0.01539,,115,,-21.6
18,0.01741,,118,,-21.6
19,0.01962,,122,,-21.6
20,0.02177,,123,,-21.4
21,0.02366,,125,,-21.4
22,0.02566,,128,,-21.6
23,0.02784,,128,,-21.8
24,0.02996,,129,,-21.8
25,0.0319,,130,,-21.8
26,0.0338,,132,,-21.8
27,0.03648,,132,,-21.8
28,0.03873,,133,,-21.6
29,0.04104,,135,,-21.6
30,0.04336,,136,,-21.4
31,0.0457,,136,,-21.4
32,0.04837,,136,,-21.4
33,0.05068,,137,,-21.4
34,0.05329,,139,,-21.4
35,0.0555,,138,,-21.4
36,0.05754,,138,,-21.6
37,0.05956,,138,,-21.6
38,0.06154,,137,,-21.8
39,0.06347,,138,,-22.2
40,0.06557,,135,,-22.6
41,0.06753,,137,,-22.8
42,0.06951,,135,,-23
43,0.0716,,136,,-23.2
44,0.0737,,137,,-23.2
45,0.07585,,137,,-23.2
46,0.07764,,137,,-23.2
47,0.07946,,138,,-23.2
48,0.08136,,138,,-23
49,0.08347,,138,,-22.8
50,0.08569,,136,,-22.8
51,0.08776,,138,,-22.4
52,0.08973,,137,,-22.4
53,0.09203,,139,,-22.2
54,0.09437,,139,,-22.2
55,0.0968,,138,,-22.4
56,0.09923,,139,,-22.4
57,0.10152,,138,,-22.2
58,0.10385,,139,,-22.2
59,0.10619,,139,,-22
60,0.10856,,139,,-22
61,0.11104,,138,,-22
62,0.11348,,139,,-22.2
63,0.11592,,139,,-22.4
64,0.11846,,141,,-22.6
65,0.12085,,141,,-22.8
66,0.12329,,140,,-23
67,0.1256,,141,,-23.2
68,0.12776,,142,,-23.2
69,0.13002,,142,,-23.4
70,0.13204,,142,,-23.4
71,0.13391,,143,,-23.4
72,0.13609,,143,,-23.4
73,0.13829,,143,,-23.4
74,0.14065,,142,,-23.4
75,0.14301,,142,,-23.4
76,0.14518,,142,,-23.4
77,0.14747,,142,,-23.6
78,0.14972,,142,,-23.6
79,0.15182,,142,,-23.8
80,0.15414,,142,,-24
81,0.15636,,141,,-24
82,0.15856,,142,,-24
83,0.16086,,142,,-24
84,0.16313,,143,,-24
85,0.1654,,143,,-24
86,0.16764,,143,,-23.8
87,0.16964,,143,,-23.8
88,0.17188,,143,,-23.8
89,0.17408,,143,,-23.8
90,0.17637,,145,,-23.6
91,0.17875,,144,,-23.6
92,0.18093,,145,,-23.6
93,0.18327,,145,,-23.8
94,0.18571,,146,,-24
95,0.1879,,146,,-24
96,0.19023,,146,,-24
97,0.19249,,145,,-24
98,0.1947,,144,,-23.6
99,0.19711,,145,,-23.6
100,0.19939,,143,,-23.6
101,0.2016,,143,,-23.6
102,0.204,,145,,-23.6
103,0.20616,,146,,-23.6
104,0.20842,,143,,-23.4
105,0.21078,,144,,-23.4
106,0.21291,,143,,-23.4
107,0.21523,,143,,-23.6
108,0.21753,,142,,-23.6
109,0.21967,,142,,-23.6
110,0.22201,,142,,-23.6
111,0.22425,,143,,-23.6
112,0.22639,,143,,-23.6
113,0.22875,,144,,-23.8
114,0.23104,,144,,-23.8
115,0.23351,,144,,-23.6
116,0.23599,,145,,-23.6
117,0.23824,,145,,-23.6
118,0.2403,,143,,-23.6
119,0.24244,,144,,-23.8
120,0.24466,,144,,-23.8
121,0.24714,,144,,-23.8
122,0.24963,,143,,-24
123,0.25203,,143,,-24.2
124,0.25439,,144,,-24.6
125,0.2566,,144,,-24.8
126,0.25885,,145,,-24.8
127,0.2611,,144,,-25
128,0.26311,,145,,-25
129,0.26515,,144,,-25
130,0.26746,,145,,-25
131,0.26986,,146,,-25
132,0.27215,,144,,-25
133,0.27445,,145,,-24.8
134,0.27674,,144,,-24.6
135,0.27919,,144,,-24.5
136,0.28164,,144,,-24.4
137,0.28387,,144,,-24.4
138,0.28608,,144,,-24.2
139,0.28823,,143,,-24.2
140,0.29047,,143,,-24.2
141,0.29297,,143,,-24.4
142,0.29548,,142,,-24.6
143,0.29814,,143,,-24.6
144,0.30073,,143,,-24.8
145,0.3031,,143,,-24.8
146,0.30556,,142,,-24.8
147,0.30793,,142,,-25
148,0.3101,,142,,-24.8
149,0.31256,,144,,-25
150,0.31498,,143,,-25.2
151,0.3174,,144,,-25.4
152,0.32017,,144,,-25.6
153,0.32267,,144,,-25.6
154,0.32515,,144,,-25
155,0.32778,,144,,-25
156,0.33035,,143,,-24.8
157,0.33303,,144,,-24.6
158,0.33609,,143,,-24.8
159,0.33868,,144,,-24.8
160,0.34116,,146,,-24.8
161,0.34366,,146,,-25
162,0.34599,,145,,-24.8
163,0.34834,,145,,-24.8
164,0.35047,,145,,-24.8
165,0.35236,,144,,-24.6
166,0.35449,,144,,-24.6
167,0.35671,,144,,-24.6
168,0.35904,,144,,-24.6
169,0.36141,,144,,-24.8
170,0.36359,,145,,-24.6
171,0.36598,,144,,-24.6
172,0.36847,,144,,-24.6
173,0.37067,,145,,-24.6
